year,region,tp_spring
1955,Brest,140.208
1955,Gomel,125.172
1955,Grodno,172.384
1955,Minsk,151.719
1955,Mogilev,137.715
1955,Vitebsk,167.852
1956,Brest,99.397
1956,Gomel,134.428
1956,Grodno,126.379
1956,Minsk,141.461
1956,Mogilev,160.401
1956,Vitebsk,151.951
1957,Brest,74.431
1957,Gomel,92.918
1957,Grodno,96.518
1957,Minsk,92.776
1957,Mogilev,100.229
1957,Vitebsk,124.341
1958,Brest,172.238
1958,Gomel,148.825
1958,Grodno,201.400
1958,Minsk,184.151
1958,Mogilev,173.769
1958,Vitebsk,135.337
1959,Brest,99.461
1959,Gomel,99.461
1959,Grodno,99.461
1959,Minsk,99.461
1959,Mogilev,99.461
1959,Vitebsk,99.461
1960,Brest,113.220
1960,Gomel,98.612
1960,Grodno,119.301
1960,Minsk,118.325
1960,Mogilev,80.476
1960,Vitebsk,104.868
1961,Brest,115.406
1961,Gomel,140.758
1961,Grodno,154.615
1961,Minsk,148.387
1961,Mogilev,141.098
1961,Vitebsk,139.156
1962,Brest,210.428
1962,Gomel,176.315
1962,Grodno,210.884
1962,Minsk,211.499
1962,Mogilev,178.347
1962,Vitebsk,204.823
1963,Brest,92.646
1963,Gomel,92.646
1963,Grodno,92.647
1963,Minsk,92.648
1963,Mogilev,92.648
1963,Vitebsk,92.646
1964,Brest,116.126
1964,Gomel,112.902
1964,Grodno,114.574
1964,Minsk,124.023
1964,Mogilev,123.502
1964,Vitebsk,110.166
1965,Brest,115.551
1965,Gomel,100.295
1965,Grodno,128.618
1965,Minsk,115.560
1965,Mogilev,96.179
1965,Vitebsk,128.341
1966,Brest,137.964
1966,Gomel,137.312
1966,Grodno,186.587
1966,Minsk,162.983
1966,Mogilev,134.961
1966,Vitebsk,175.102
1967,Brest,183.131
1967,Gomel,183.131
1967,Grodno,183.131
1967,Minsk,183.131
1967,Mogilev,183.131
1967,Vitebsk,183.131
1968,Brest,145.848
1968,Gomel,125.638
1968,Grodno,158.069
1968,Minsk,163.604
1968,Mogilev,136.841
1968,Vitebsk,162.299
1969,Brest,136.089
1969,Gomel,152.527
1969,Grodno,145.349
1969,Minsk,139.769
1969,Mogilev,123.743
1969,Vitebsk,110.275
