year,region,tp_spring
1940,Brest,154.902
1940,Gomel,166.047
1940,Grodno,145.083
1940,Minsk,147.977
1940,Mogilev,178.544
1940,Vitebsk,164.658
1941,Brest,233.796
1941,Gomel,178.532
1941,Grodno,242.408
1941,Minsk,189.415
1941,Mogilev,159.458
1941,Vitebsk,154.007
1942,Brest,143.656
1942,Gomel,118.701
1942,Grodno,153.769
1942,Minsk,137.813
1942,Mogilev,116.533
1942,Vitebsk,133.546
1943,Brest,143.552
1943,Gomel,145.452
1943,Grodno,176.127
1943,Minsk,165.134
1943,Mogilev,166.102
1943,Vitebsk,190.969
1944,Brest,140.984
1944,Gomel,148.398
1944,Grodno,159.513
1944,Minsk,143.331
1944,Mogilev,155.668
1944,Vitebsk,172.667
1945,Brest,142.022
1945,Gomel,131.139
1945,Grodno,183.758
1945,Minsk,159.527
1945,Mogilev,149.211
1945,Vitebsk,157.723
1946,Brest,107.171
1946,Gomel,109.548
1946,Grodno,118.395
1946,Minsk,109.925
1946,Mogilev,107.762
1946,Vitebsk,109.699
1947,Brest,155.753
1947,Gomel,175.175
1947,Grodno,143.357
1947,Minsk,179.657
1947,Mogilev,194.286
1947,Vitebsk,160.976
1948,Brest,192.502
1948,Gomel,126.826
1948,Grodno,203.591
1948,Minsk,152.545
1948,Mogilev,133.265
1948,Vitebsk,149.468
1949,Brest,142.768
1949,Gomel,140.420
1949,Grodno,169.000
1949,Minsk,162.817
1949,Mogilev,165.428
1949,Vitebsk,168.446
1950,Brest,88.713
1950,Gomel,90.307
1950,Grodno,113.989
1950,Minsk,104.700
1950,Mogilev,105.670
1950,Vitebsk,146.391
1951,Brest,223.885
1951,Gomel,227.142
1951,Grodno,191.211
1951,Minsk,215.254
1951,Mogilev,215.617
1951,Vitebsk,212.796
1952,Brest,134.692
1952,Gomel,117.578
1952,Grodno,135.912
1952,Minsk,155.174
1952,Mogilev,133.526
1952,Vitebsk,160.745
1953,Brest,94.144
1953,Gomel,152.725
1953,Grodno,92.870
1953,Minsk,115.333
1953,Mogilev,157.351
1953,Vitebsk,141.855
1954,Brest,166.537
1954,Gomel,142.991
1954,Grodno,166.810
1954,Minsk,132.145
1954,Mogilev,128.427
1954,Vitebsk,121.263
1955,Brest,149.266
1955,Gomel,149.510
1955,Grodno,186.452
1955,Minsk,169.384
1955,Mogilev,144.975
1955,Vitebsk,208.143
1956,Brest,139.910
1956,Gomel,156.687
1956,Grodno,135.411
1956,Minsk,154.490
1956,Mogilev,173.077
1956,Vitebsk,187.189
1957,Brest,95.984
1957,Gomel,131.446
1957,Grodno,107.221
1957,Minsk,122.827
1957,Mogilev,133.198
1957,Vitebsk,147.503
1958,Brest,207.581
1958,Gomel,210.662
1958,Grodno,235.085
1958,Minsk,211.933
1958,Mogilev,216.813
1958,Vitebsk,174.401
1959,Brest,106.112
1959,Gomel,120.348
1959,Grodno,116.571
1959,Minsk,120.358
1959,Mogilev,121.301
1959,Vitebsk,128.528
1960,Brest,115.694
1960,Gomel,109.106
1960,Grodno,144.685
1960,Minsk,126.742
1960,Mogilev,104.852
1960,Vitebsk,133.478
1961,Brest,153.913
1961,Gomel,181.110
1961,Grodno,202.338
1961,Minsk,179.497
1961,Mogilev,198.808
1961,Vitebsk,185.847
1962,Brest,262.104
1962,Gomel,234.186
1962,Grodno,253.080
1962,Minsk,264.383
1962,Mogilev,244.230
1962,Vitebsk,268.606
1963,Brest,117.868
1963,Gomel,114.780
1963,Grodno,137.774
1963,Minsk,121.245
1963,Mogilev,112.032
1963,Vitebsk,104.768
1964,Brest,157.151
1964,Gomel,152.027
1964,Grodno,165.723
1964,Minsk,157.698
1964,Mogilev,164.462
1964,Vitebsk,136.356
1965,Brest,161.403
1965,Gomel,123.994
1965,Grodno,177.534
1965,Minsk,179.994
1965,Mogilev,153.847
1965,Vitebsk,186.306
1966,Brest,164.516
1966,Gomel,165.976
1966,Grodno,210.156
1966,Minsk,200.938
1966,Mogilev,182.705
1966,Vitebsk,222.646
1967,Brest,205.418
1967,Gomel,216.783
1967,Grodno,202.643
1967,Minsk,218.001
1967,Mogilev,210.376
1967,Vitebsk,197.925
1968,Brest,210.000
1968,Gomel,185.212
1968,Grodno,193.523
1968,Minsk,200.090
1968,Mogilev,195.906
1968,Vitebsk,220.415
1969,Brest,169.990
1969,Gomel,207.694
1969,Grodno,176.206
1969,Minsk,166.529
1969,Mogilev,169.892
1969,Vitebsk,130.922
1970,Brest,194.833
1970,Gomel,177.163
1970,Grodno,195.928
1970,Minsk,174.632
1970,Mogilev,169.912
1970,Vitebsk,181.135
1971,Brest,154.620
1971,Gomel,146.303
1971,Grodno,139.875
1971,Minsk,127.470
1971,Mogilev,141.058
1971,Vitebsk,127.071
1972,Brest,165.247
1972,Gomel,170.115
1972,Grodno,194.786
1972,Minsk,186.728
1972,Mogilev,201.672
1972,Vitebsk,194.775
1973,Brest,160.676
1973,Gomel,146.683
1973,Grodno,158.851
1973,Minsk,165.118
1973,Mogilev,175.794
1973,Vitebsk,176.203
1974,Brest,95.230
1974,Gomel,76.940
1974,Grodno,84.036
1974,Minsk,79.612
1974,Mogilev,97.149
1974,Vitebsk,89.877
1975,Brest,205.928
1975,Gomel,175.465
1975,Grodno,162.839
1975,Minsk,196.766
1975,Mogilev,168.930
1975,Vitebsk,176.891
1976,Brest,186.307
1976,Gomel,196.166
1976,Grodno,182.763
1976,Minsk,188.937
1976,Mogilev,217.250
1976,Vitebsk,200.113
1977,Brest,198.424
1977,Gomel,176.085
1977,Grodno,199.164
1977,Minsk,208.781
1977,Mogilev,162.538
1977,Vitebsk,167.197
1978,Brest,142.560
1978,Gomel,166.373
1978,Grodno,186.141
1978,Minsk,183.469
1978,Mogilev,175.355
1978,Vitebsk,211.576
1979,Brest,161.241
1979,Gomel,151.048
1979,Grodno,168.137
1979,Minsk,143.906
1979,Mogilev,128.041
1979,Vitebsk,140.275
1980,Brest,151.882
1980,Gomel,176.525
1980,Grodno,140.069
1980,Minsk,150.572
1980,Mogilev,164.910
1980,Vitebsk,129.753
1981,Brest,115.457
1981,Gomel,122.674
1981,Grodno,125.813
1981,Minsk,117.049
1981,Mogilev,128.469
1981,Vitebsk,123.361
1982,Brest,171.026
1982,Gomel,146.649
1982,Grodno,161.838
1982,Minsk,171.489
1982,Mogilev,152.194
1982,Vitebsk,170.782
1983,Brest,245.345
1983,Gomel,219.530
1983,Grodno,250.207
1983,Minsk,245.947
1983,Mogilev,230.881
1983,Vitebsk,246.216
1984,Brest,180.939
1984,Gomel,142.025
1984,Grodno,169.033
1984,Minsk,137.791
1984,Mogilev,119.098
1984,Vitebsk,133.465
1985,Brest,231.966
1985,Gomel,156.596
1985,Grodno,232.270
1985,Minsk,197.011
1985,Mogilev,140.210
1985,Vitebsk,149.298
1986,Brest,126.841
1986,Gomel,74.266
1986,Grodno,157.664
1986,Minsk,118.024
1986,Mogilev,98.985
1986,Vitebsk,148.895
1987,Brest,176.698
1987,Gomel,154.134
1987,Grodno,173.792
1987,Minsk,170.105
1987,Mogilev,184.882
1987,Vitebsk,168.015
1988,Brest,178.516
1988,Gomel,155.227
1988,Grodno,171.866
1988,Minsk,137.987
1988,Mogilev,149.194
1988,Vitebsk,142.266
1989,Brest,159.421
1989,Gomel,154.450
1989,Grodno,174.456
1989,Minsk,150.008
1989,Mogilev,167.512
1989,Vitebsk,155.761
1990,Brest,144.571
1990,Gomel,177.833
1990,Grodno,141.034
1990,Minsk,130.684
1990,Mogilev,156.148
1990,Vitebsk,136.434
1991,Brest,148.233
1991,Gomel,191.962
1991,Grodno,142.194
1991,Minsk,155.877
1991,Mogilev,182.799
1991,Vitebsk,172.012
1992,Brest,172.834
1992,Gomel,160.134
1992,Grodno,199.156
1992,Minsk,173.159
1992,Mogilev,149.002
1992,Vitebsk,192.632
1993,Brest,145.629
1993,Gomel,142.688
1993,Grodno,122.167
1993,Minsk,139.879
1993,Mogilev,137.554
1993,Vitebsk,123.242
1994,Brest,227.376
1994,Gomel,193.027
1994,Grodno,248.897
1994,Minsk,218.009
1994,Mogilev,196.581
1994,Vitebsk,230.674
1995,Brest,203.576
1995,Gomel,184.364
1995,Grodno,209.963
1995,Minsk,193.813
1995,Mogilev,200.365
1995,Vitebsk,203.861
1996,Brest,190.030
