year,region,tp_summer
1955,Brest,252.095
1955,Gomel,148.647
1955,Grodno,216.716
1955,Minsk,194.932
1955,Mogilev,148.786
1955,Vitebsk,150.395
1956,Brest,286.298
1956,Gomel,286.298
1956,Grodno,286.298
1956,Minsk,286.298
1956,Mogilev,286.298
1956,Vitebsk,286.298
1957,Brest,236.745
1957,Gomel,224.892
1957,Grodno,250.340
1957,Minsk,254.193
1957,Mogilev,283.029
1957,Vitebsk,299.100
1958,Brest,279.200
1958,Gomel,279.200
1958,Grodno,279.200
1958,Minsk,279.200
1958,Mogilev,279.200
1958,Vitebsk,279.200
1959,Brest,202.577
1959,Gomel,148.233
1959,Grodno,193.041
1959,Minsk,184.743
1959,Mogilev,142.785
1959,Vitebsk,116.632
1960,Brest,295.946
1960,Gomel,156.527
1960,Grodno,347.027
1960,Minsk,288.012
1960,Mogilev,211.692
1960,Vitebsk,269.234
1961,Brest,135.834
1961,Gomel,189.443
1961,Grodno,178.930
1961,Minsk,205.864
1961,Mogilev,219.343
1961,Vitebsk,260.926
1962,Brest,224.271
1962,Gomel,285.672
1962,Grodno,279.028
1962,Minsk,314.824
1962,Mogilev,374.811
1962,Vitebsk,352.297
1963,Brest,151.132
1963,Gomel,125.580
1963,Grodno,179.428
1963,Minsk,177.035
1963,Mogilev,201.212
1963,Vitebsk,213.452
1964,Brest,173.981
1964,Gomel,200.491
1964,Grodno,147.231
1964,Minsk,179.901
1964,Mogilev,193.372
1964,Vitebsk,165.562
1965,Brest,223.572
1965,Gomel,265.906
1965,Grodno,238.774
1965,Minsk,235.498
1965,Mogilev,238.648
1965,Vitebsk,221.656
1966,Brest,194.445
1966,Gomel,194.444
1966,Grodno,194.445
1966,Minsk,194.445
1966,Mogilev,194.445
1966,Vitebsk,194.445
1967,Brest,185.377
1967,Gomel,189.271
1967,Grodno,195.987
1967,Minsk,200.636
1967,Mogilev,178.668
1967,Vitebsk,175.062
1968,Brest,266.603
1968,Gomel,200.509
1968,Grodno,230.115
1968,Minsk,205.229
1968,Mogilev,189.198
1968,Vitebsk,198.069
1969,Brest,190.612
1969,Gomel,262.236
1969,Grodno,196.789
1969,Minsk,198.793
1969,Mogilev,271.202
1969,Vitebsk,198.304
1970,Brest,253.700
1970,Gomel,229.160
1970,Grodno,251.118
1970,Minsk,255.871
1970,Mogilev,209.913
1970,Vitebsk,219.953
1971,Brest,166.347
1971,Gomel,201.057
1971,Grodno,171.106
1971,Minsk,161.410
1971,Mogilev,181.833
1971,Vitebsk,192.273
1972,Brest,264.978
1972,Gomel,198.631
1972,Grodno,245.453
1972,Minsk,229.739
1972,Mogilev,167.370
1972,Vitebsk,164.494
1973,Brest,225.285
1973,Gomel,224.815
1973,Grodno,225.135
1973,Minsk,225.435
1973,Mogilev,225.192
1973,Vitebsk,224.899
1974,Brest,295.168
1974,Gomel,329.479
1974,Grodno,308.691
1974,Minsk,315.252
1974,Mogilev,325.711
1974,Vitebsk,257.885
1975,Brest,210.957
1975,Gomel,220.359
1975,Grodno,205.579
1975,Minsk,209.050
1975,Mogilev,223.492
1975,Vitebsk,196.412
1976,Brest,146.311
1976,Gomel,153.247
1976,Grodno,154.736
1976,Minsk,149.676
1976,Mogilev,152.400
1976,Vitebsk,170.301
1977,Brest,318.643
1977,Gomel,328.424
1977,Grodno,303.839
1977,Minsk,336.087
1977,Mogilev,287.687
1977,Vitebsk,298.140
1978,Brest,204.353
1978,Gomel,191.086
1978,Grodno,222.257
1978,Minsk,221.542
1978,Mogilev,202.954
1978,Vitebsk,202.936
1979,Brest,222.138
1979,Gomel,186.035
1979,Grodno,208.169
1979,Minsk,241.421
1979,Mogilev,191.093
1979,Vitebsk,264.721
1980,Brest,319.885
1980,Gomel,363.801
1980,Grodno,342.905
1980,Minsk,297.576
1980,Mogilev,324.390
1980,Vitebsk,300.526
1981,Brest,236.290
1981,Gomel,219.726
1981,Grodno,226.669
1981,Minsk,260.742
1981,Mogilev,186.654
1981,Vitebsk,239.140
1982,Brest,200.923
1982,Gomel,251.990
1982,Grodno,202.418
1982,Minsk,245.396
1982,Mogilev,227.622
1982,Vitebsk,225.943
1983,Brest,161.100
1983,Gomel,154.924
1983,Grodno,156.125
1983,Minsk,158.670
1983,Mogilev,155.230
1983,Vitebsk,157.130
1984,Brest,177.331
1984,Gomel,185.904
1984,Grodno,191.770
1984,Minsk,193.992
1984,Mogilev,204.955
1984,Vitebsk,183.942
1985,Brest,216.370
1985,Gomel,263.529
1985,Grodno,272.201
1985,Minsk,197.160
1985,Mogilev,278.804
1985,Vitebsk,250.761
1986,Brest,255.161
1986,Gomel,293.937
1986,Grodno,255.851
1986,Minsk,257.372
1986,Mogilev,293.353
1986,Vitebsk,238.050
1987,Brest,201.326
1987,Gomel,226.200
1987,Grodno,261.596
1987,Minsk,238.386
1987,Mogilev,247.066
1987,Vitebsk,305.744
1988,Brest,315.902
1988,Gomel,284.554
1988,Grodno,302.005
1988,Minsk,297.958
1988,Mogilev,292.702
1988,Vitebsk,317.847
1989,Brest,225.006
1989,Gomel,255.837
1989,Grodno,275.035
1989,Minsk,315.863
1989,Mogilev,271.389
1989,Vitebsk,348.865
1990,Brest,254.402
1990,Gomel,277.521
1990,Grodno,280.206
1990,Minsk,254.410
1990,Mogilev,272.701
1990,Vitebsk,323.733
1991,Brest,208.360
1991,Gomel,201.257
1991,Grodno,200.493
1991,Minsk,202.204
1991,Mogilev,203.887
1991,Vitebsk,223.581
1992,Brest,133.397
1992,Gomel,130.376
1992,Grodno,112.321
1992,Minsk,99.623
1992,Mogilev,114.586
1992,Vitebsk,103.938
1993,Brest,269.213
1993,Gomel,281.447
1993,Grodno,287.668
1993,Minsk,287.258
1993,Mogilev,248.931
1993,Vitebsk,282.452
1994,Brest,102.761
1994,Gomel,162.183
1994,Grodno,129.490
1994,Minsk,155.474
1994,Mogilev,145.427
1994,Vitebsk,159.039
1995,Brest,194.319
1995,Gomel,186.251
1995,Grodno,194.340
1995,Minsk,179.809
1995,Mogilev,175.700
1995,Vitebsk,206.786
1996,Brest,168.184
1996,Gomel,223.481
1996,Grodno,143.171
1996,Minsk,164.520
1996,Mogilev,128.959
1996,Vitebsk,157.774
1997,Brest,240.885
1997,Gomel,240.890
1997,Grodno,240.883
1997,Minsk,240.887
1997,Mogilev,240.885
1997,Vitebsk,240.883
1998,Brest,301.337
1998,Gomel,348.006
1998,Grodno,308.603
1998,Minsk,368.333
1998,Mogilev,378.251
1998,Vitebsk,353.355
1999,Brest,204.108
1999,Gomel,215.226
1999,Grodno,186.960
1999,Minsk,172.245
1999,Mogilev,209.023
1999,Vitebsk,172.834
2000,Brest,273.416
2000,Gomel,258.049
2000,Grodno,285.316
2000,Minsk,259.192
2000,Mogilev,314.250
2000,Vitebsk,327.726
2001,Brest,270.364
2001,Gomel,235.512
2001,Grodno,250.642
2001,Minsk,268.411
2001,Mogilev,223.991
2001,Vitebsk,290.503
2002,Brest,151.472
2002,Gomel,149.149
2002,Grodno,135.986
2002,Minsk,150.387
2002,Mogilev,150.752
2002,Vitebsk,129.817
2003,Brest,202.641
2003,Gomel,233.274
2003,Grodno,236.714
2003,Minsk,251.840
2003,Mogilev,247.053
2003,Vitebsk,267.261
2004,Brest,240.906
2004,Gomel,236.475
2004,Grodno,226.304
2004,Minsk,256.370
2004,Mogilev,199.682
2004,Vitebsk,240.601
2005,Brest,190.738
2005,Gomel,218.659
2005,Grodno,269.698
2005,Minsk,250.815
2005,Mogilev,248.048
2005,Vitebsk,218.389
2006,Brest,310.230
2006,Gomel,286.510
2006,Grodno,293.452
2006,Minsk,310.262
2006,Mogilev,296.283
2006,Vitebsk,303.345
2007,Brest,304.235
2007,Gomel,250.753
2007,Grodno,271.116
2007,Minsk,204.670
2007,Mogilev,244.371
2007,Vitebsk,202.548
2008,Brest,213.169
2008,Gomel,206.831
2008,Grodno,201.503
2008,Minsk,218.154
2008,Mogilev,190.892
2008,Vitebsk,210.854
2009,Brest,284.491
2009,Gomel,321.291
2009,Grodno,289.093
2009,Minsk,303.527
2009,Mogilev,327.974
2009,Vitebsk,269.402
2010,Brest,268.991
2010,Gomel,199.115
2010,Grodno,303.890
2010,Minsk,304.340
2010,Mogilev,188.366
2010,Vitebsk,254.817
2011,Brest,296.853
2011,Gomel,315.603
2011,Grodno,275.223
2011,Minsk,280.670
2011,Mogilev,280.801
2011,Vitebsk,243.356
2012,Brest,281.556
2012,Gomel,320.561
2012,Grodno,264.054
2012,Minsk,259.024
2012,Mogilev,280.684
2012,Vitebsk,247.348
2013,Brest,202.368
2013,Gomel,185.522
2013,Grodno,206.796
2013,Minsk,196.788
2013,Mogilev,189.856
2013,Vitebsk,206.420
2014,Brest,210.541
2014,Gomel,215.805
2014,Grodno,224.934
2014,Minsk,242.204
2014,Mogilev,191.850
2014,Vitebsk,252.868
2015,Brest,95.304
2015,Gomel,117.966
2015,Grodno,109.784
2015,Minsk,113.184
2015,Mogilev,113.833
2015,Vitebsk,105.657
2016,Brest,201.942
2016,Gomel,159.219
2016,Grodno,260.101
2016,Minsk,260.025
2016,Mogilev,198.243
2016,Vitebsk,265.783
2017,Brest,230.284
2017,Gomel,211.130
2017,Grodno,273.310
2017,Minsk,269.360
2017,Mogilev,221.856
2017,Vitebsk,297.850
2018,Brest,199.626
2018,Gomel,263.703
2018,Grodno,197.145
2018,Minsk,237.360
2018,Mogilev,280.745
2018,Vitebsk,229.155
2019,Brest,206.237
2019,Gomel,193.215
2019,Grodno,174.281
2019,Minsk,228.713
2019,Mogilev,220.505
2019,Vitebsk,265.636
2020,Brest,229.092
2020,Gomel,206.804
2020,Grodno,190.200
2020,Minsk,246.975
2020,Mogilev,248.549
2020,Vitebsk,278.928
