year,region,tp_summer
1940,Brest,199.475
1940,Gomel,163.159
1940,Grodno,252.934
1940,Minsk,189.147
1940,Mogilev,181.412
1940,Vitebsk,231.401
1941,Brest,163.748
1941,Gomel,195.872
1941,Grodno,172.671
1941,Minsk,171.547
1941,Mogilev,172.269
1941,Vitebsk,181.175
1942,Brest,153.562
1942,Gomel,88.190
1942,Grodno,161.187
1942,Minsk,140.791
1942,Mogilev,92.002
1942,Vitebsk,171.865
1943,Brest,224.774
1943,Gomel,208.219
1943,Grodno,245.578
1943,Minsk,235.398
1943,Mogilev,217.307
1943,Vitebsk,246.361
1944,Brest,175.979
1944,Gomel,139.506
1944,Grodno,158.451
1944,Minsk,146.812
1944,Mogilev,151.813
1944,Vitebsk,123.756
1945,Brest,230.835
1945,Gomel,228.531
1945,Grodno,256.528
1945,Minsk,277.208
1945,Mogilev,274.111
1945,Vitebsk,324.773
1946,Brest,219.092
1946,Gomel,165.581
1946,Grodno,263.500
1946,Minsk,253.550
1946,Mogilev,203.914
1946,Vitebsk,245.298
1947,Brest,248.284
1947,Gomel,280.040
1947,Grodno,241.263
1947,Minsk,264.949
1947,Mogilev,315.142
1947,Vitebsk,297.406
1948,Brest,294.109
1948,Gomel,300.964
1948,Grodno,262.293
1948,Minsk,277.174
1948,Mogilev,263.420
1948,Vitebsk,303.308
1949,Brest,265.678
1949,Gomel,302.252
1949,Grodno,303.976
1949,Minsk,318.282
1949,Mogilev,312.376
1949,Vitebsk,325.586
1950,Brest,161.229
1950,Gomel,185.360
1950,Grodno,227.435
1950,Minsk,261.104
1950,Mogilev,219.758
1950,Vitebsk,271.033
1951,Brest,115.263
1951,Gomel,114.120
1951,Grodno,113.726
1951,Minsk,121.211
1951,Mogilev,122.572
1951,Vitebsk,171.633
1952,Brest,155.456
1952,Gomel,181.844
1952,Grodno,145.457
1952,Minsk,169.953
1952,Mogilev,229.389
1952,Vitebsk,206.108
1953,Brest,180.892
1953,Gomel,267.688
1953,Grodno,182.076
1953,Minsk,185.866
1953,Mogilev,252.746
1953,Vitebsk,212.130
1954,Brest,260.795
1954,Gomel,290.963
1954,Grodno,267.202
1954,Minsk,295.138
1954,Mogilev,267.762
1954,Vitebsk,298.948
1955,Brest,229.692
1955,Gomel,143.080
1955,Grodno,141.816
1955,Minsk,132.846
1955,Mogilev,153.147
1955,Vitebsk,123.872
1956,Brest,270.017
1956,Gomel,308.931
1956,Grodno,287.186
1956,Minsk,290.568
1956,Mogilev,294.289
1956,Vitebsk,279.490
1957,Brest,206.617
1957,Gomel,246.241
1957,Grodno,246.413
1957,Minsk,264.259
1957,Mogilev,277.193
