year,region,tp_warm
1955,Brest,372.136
1955,Gomel,276.648
1955,Grodno,363.729
1955,Minsk,338.587
1955,Mogilev,288.576
1955,Vitebsk,335.659
1956,Brest,375.591
1956,Gomel,382.680
1956,Grodno,377.990
1956,Minsk,379.750
1956,Mogilev,381.830
1956,Vitebsk,367.698
1957,Brest,383.922
1957,Gomel,400.758
1957,Grodno,440.735
1957,Minsk,438.685
1957,Mogilev,472.886
1957,Vitebsk,509.031
1958,Brest,372.800
1958,Gomel,373.040
1958,Grodno,372.791
1958,Minsk,372.856
1958,Mogilev,372.905
1958,Vitebsk,372.599
1959,Brest,262.757
1959,Gomel,217.317
1959,Grodno,276.207
1959,Minsk,266.729
1959,Mogilev,225.899
1959,Vitebsk,209.217
1960,Brest,416.768
1960,Gomel,260.974
1960,Grodno,467.753
1960,Minsk,414.046
1960,Mogilev,318.871
1960,Vitebsk,383.290
1961,Brest,204.869
1961,Gomel,291.312
1961,Grodno,293.606
1961,Minsk,311.881
1961,Mogilev,334.419
1961,Vitebsk,393.220
1962,Brest,379.356
1962,Gomel,408.962
1962,Grodno,466.368
1962,Minsk,489.376
1962,Mogilev,516.396
1962,Vitebsk,524.634
1963,Brest,262.508
1963,Gomel,207.884
1963,Grodno,275.146
1963,Minsk,269.572
1963,Mogilev,290.828
1963,Vitebsk,290.692
1964,Brest,273.811
1964,Gomel,286.755
1964,Grodno,254.193
1964,Minsk,293.941
1964,Mogilev,294.757
1964,Vitebsk,267.529
1965,Brest,326.558
1965,Gomel,330.581
1965,Grodno,356.031
1965,Minsk,346.187
1965,Mogilev,318.615
1965,Vitebsk,334.486
1966,Brest,271.782
1966,Gomel,261.166
1966,Grodno,304.468
1966,Minsk,301.224
1966,Mogilev,285.156
1966,Vitebsk,322.513
1967,Brest,282.387
1967,Gomel,288.833
1967,Grodno,290.635
1967,Minsk,309.862
1967,Mogilev,279.770
1967,Vitebsk,305.023
1968,Brest,378.723
1968,Gomel,327.763
1968,Grodno,348.083
1968,Minsk,324.373
1968,Mogilev,284.709
1968,Vitebsk,320.799
1969,Brest,282.516
1969,Gomel,335.148
1969,Grodno,312.796
1969,Minsk,306.359
1969,Mogilev,356.337
1969,Vitebsk,311.257
1970,Brest,403.213
1970,Gomel,362.364
1970,Grodno,371.666
1970,Minsk,369.952
1970,Mogilev,315.367
1970,Vitebsk,321.511
1971,Brest,270.986
1971,Gomel,325.986
1971,Grodno,253.362
1971,Minsk,248.384
1971,Mogilev,294.708
1971,Vitebsk,302.213
1972,Brest,385.665
1972,Gomel,319.562
1972,Grodno,368.490
1972,Minsk,357.094
1972,Mogilev,276.496
1972,Vitebsk,289.459
1973,Brest,360.554
1973,Gomel,326.590
1973,Grodno,373.416
1973,Minsk,413.272
1973,Mogilev,382.724
1973,Vitebsk,343.777
1974,Brest,406.470
1974,Gomel,412.326
1974,Grodno,427.665
1974,Minsk,421.508
1974,Mogilev,413.283
1974,Vitebsk,343.687
1975,Brest,313.510
1975,Gomel,284.494
1975,Grodno,276.701
1975,Minsk,268.048
1975,Mogilev,280.820
1975,Vitebsk,231.890
1976,Brest,266.090
1976,Gomel,237.660
1976,Grodno,235.154
1976,Minsk,229.159
1976,Mogilev,225.771
1976,Vitebsk,239.773
1977,Brest,422.410
1977,Gomel,411.460
1977,Grodno,429.842
1977,Minsk,438.857
1977,Mogilev,392.993
1977,Vitebsk,392.151
1978,Brest,348.951
1978,Gomel,343.943
1978,Grodno,406.944
1978,Minsk,423.692
1978,Mogilev,364.654
1978,Vitebsk,450.628
1979,Brest,306.667
1979,Gomel,243.864
1979,Grodno,295.499
1979,Minsk,319.620
1979,Mogilev,267.018
1979,Vitebsk,368.572
1980,Brest,407.767
1980,Gomel,471.508
1980,Grodno,433.505
1980,Minsk,385.595
1980,Mogilev,417.708
1980,Vitebsk,390.917
1981,Brest,296.420
1981,Gomel,302.176
1981,Grodno,298.482
1981,Minsk,335.419
1981,Mogilev,277.132
1981,Vitebsk,323.029
1982,Brest,307.214
1982,Gomel,321.049
1982,Grodno,303.759
1982,Minsk,356.600
1982,Mogilev,288.697
1982,Vitebsk,337.981
1983,Brest,251.110
1983,Gomel,251.051
1983,Grodno,251.093
1983,Minsk,251.058
1983,Mogilev,251.042
1983,Vitebsk,251.076
1984,Brest,369.824
1984,Gomel,383.183
1984,Grodno,392.299
1984,Minsk,375.026
1984,Mogilev,396.254
1984,Vitebsk,377.324
1985,Brest,363.593
1985,Gomel,395.034
1985,Grodno,436.018
1985,Minsk,377.340
1985,Mogilev,451.280
1985,Vitebsk,430.451
1986,Brest,339.255
1986,Gomel,361.641
1986,Grodno,365.105
1986,Minsk,356.432
1986,Mogilev,367.997
1986,Vitebsk,357.559
1987,Brest,325.406
1987,Gomel,330.851
1987,Grodno,386.566
1987,Minsk,338.549
1987,Mogilev,366.745
1987,Vitebsk,445.935
1988,Brest,424.948
1988,Gomel,376.678
1988,Grodno,406.223
1988,Minsk,396.102
1988,Mogilev,389.795
1988,Vitebsk,412.048
1989,Brest,297.875
1989,Gomel,330.011
1989,Grodno,341.886
1989,Minsk,390.256
1989,Mogilev,342.555
1989,Vitebsk,414.686
1990,Brest,422.586
1990,Gomel,450.089
1990,Grodno,471.370
1990,Minsk,416.843
1990,Mogilev,407.020
1990,Vitebsk,474.553
1991,Brest,314.121
1991,Gomel,339.233
1991,Grodno,311.419
1991,Minsk,319.710
1991,Mogilev,353.579
1991,Vitebsk,375.929
1992,Brest,304.853
1992,Gomel,229.864
1992,Grodno,267.690
1992,Minsk,236.451
1992,Mogilev,192.312
1992,Vitebsk,247.096
1993,Brest,372.345
1993,Gomel,429.285
1993,Grodno,404.201
1993,Minsk,397.384
1993,Mogilev,377.965
1993,Vitebsk,403.012
1994,Brest,242.834
1994,Gomel,282.689
1994,Grodno,286.407
1994,Minsk,300.732
1994,Mogilev,272.419
1994,Vitebsk,319.605
1995,Brest,310.304
1995,Gomel,323.254
1995,Grodno,331.088
1995,Minsk,297.443
1995,Mogilev,343.182
1995,Vitebsk,373.003
1996,Brest,314.457
1996,Gomel,399.125
1996,Grodno,318.774
1996,Minsk,324.563
1996,Mogilev,305.950
1996,Vitebsk,332.589
1997,Brest,340.464
1997,Gomel,380.826
1997,Grodno,344.648
1997,Minsk,371.429
1997,Mogilev,374.138
1997,Vitebsk,358.447
1998,Brest,436.395
1998,Gomel,473.630
1998,Grodno,456.986
1998,Minsk,555.412
1998,Mogilev,540.352
1998,Vitebsk,540.617
1999,Brest,302.757
1999,Gomel,341.935
1999,Grodno,259.695
1999,Minsk,227.604
1999,Mogilev,279.806
1999,Vitebsk,213.977
2000,Brest,348.309
2000,Gomel,374.474
2000,Grodno,348.025
2000,Minsk,338.894
2000,Mogilev,392.070
2000,Vitebsk,374.955
2001,Brest,406.873
2001,Gomel,321.064
2001,Grodno,377.910
2001,Minsk,359.014
2001,Mogilev,319.622
2001,Vitebsk,376.958
2002,Brest,229.124
2002,Gomel,259.313
2002,Grodno,234.053
2002,Minsk,215.819
2002,Mogilev,228.517
2002,Vitebsk,184.796
2003,Brest,278.134
2003,Gomel,340.849
2003,Grodno,350.125
2003,Minsk,357.112
2003,Mogilev,352.568
2003,Vitebsk,398.284
2004,Brest,329.862
2004,Gomel,324.271
2004,Grodno,309.882
2004,Minsk,336.199
2004,Mogilev,264.451
2004,Vitebsk,322.839
2005,Brest,306.878
2005,Gomel,295.928
2005,Grodno,426.601
2005,Minsk,394.773
2005,Mogilev,349.895
2005,Vitebsk,391.473
2006,Brest,408.385
2006,Gomel,404.589
2006,Grodno,423.332
2006,Minsk,442.860
2006,Mogilev,403.472
2006,Vitebsk,444.422
2007,Brest,397.615
2007,Gomel,355.222
2007,Grodno,366.468
2007,Minsk,288.460
2007,Mogilev,330.839
2007,Vitebsk,305.160
2008,Brest,371.994
2008,Gomel,352.616
2008,Grodno,342.638
2008,Minsk,369.229
2008,Mogilev,333.271
2008,Vitebsk,343.196
2009,Brest,392.952
2009,Gomel,430.304
2009,Grodno,410.581
2009,Minsk,431.730
2009,Mogilev,454.853
2009,Vitebsk,397.586
2010,Brest,461.691
2010,Gomel,341.108
2010,Grodno,483.305
2010,Minsk,472.604
2010,Mogilev,336.454
2010,Vitebsk,422.369
2011,Brest,363.648
2011,Gomel,403.746
2011,Grodno,383.012
2011,Minsk,377.158
2011,Mogilev,387.899
2011,Vitebsk,345.051
2012,Brest,354.644
2012,Gomel,394.265
2012,Grodno,356.677
2012,Minsk,345.913
2012,Mogilev,386.524
2012,Vitebsk,342.870
2013,Brest,411.261
2013,Gomel,322.704
2013,Grodno,386.915
2013,Minsk,338.749
2013,Mogilev,328.916
2013,Vitebsk,348.220
2014,Brest,354.825
2014,Gomel,364.325
2014,Grodno,356.153
2014,Minsk,375.625
2014,Mogilev,321.124
2014,Vitebsk,355.146
2015,Brest,260.766
2015,Gomel,236.299
2015,Grodno,267.960
2015,Minsk,272.181
2015,Mogilev,228.617
2015,Vitebsk,259.942
2016,Brest,269.542
2016,Gomel,250.986
2016,Grodno,319.164
2016,Minsk,323.456
2016,Mogilev,286.204
2016,Vitebsk,345.372
2017,Brest,342.930
2017,Gomel,308.364
2017,Grodno,393.278
2017,Minsk,378.403
2017,Mogilev,330.673
2017,Vitebsk,402.472
2018,Brest,277.567
2018,Gomel,336.075
2018,Grodno,272.991
2018,Minsk,319.572
2018,Mogilev,355.255
2018,Vitebsk,327.357
2019,Brest,362.052
2019,Gomel,318.460
2019,Grodno,291.537
2019,Minsk,348.806
2019,Mogilev,328.894
2019,Vitebsk,398.203
2020,Brest,340.812
2020,Gomel,309.092
2020,Grodno,287.357
2020,Minsk,340.389
2020,Mogilev,383.024
2020,Vitebsk,385.838
