year,region,tp_warm
1940,Brest,333.199
1940,Gomel,293.938
1940,Grodno,408.224
1940,Minsk,325.673
1940,Mogilev,354.982
1940,Vitebsk,408.350
1941,Brest,314.776
1941,Gomel,334.600
1941,Grodno,288.990
1941,Minsk,313.064
1941,Mogilev,307.469
1941,Vitebsk,275.965
1942,Brest,247.681
1942,Gomel,156.534
1942,Grodno,275.095
1942,Minsk,247.423
1942,Mogilev,182.244
1942,Vitebsk,295.071
1943,Brest,422.406
1943,Gomel,352.193
1943,Grodno,436.084
1943,Minsk,410.311
1943,Mogilev,364.087
1943,Vitebsk,414.709
1944,Brest,275.766
1944,Gomel,209.319
1944,Grodno,285.600
1944,Minsk,247.399
1944,Mogilev,229.301
1944,Vitebsk,251.315
1945,Brest,331.269
1945,Gomel,322.429
1945,Grodno,391.731
1945,Minsk,405.647
1945,Mogilev,403.278
1945,Vitebsk,477.744
1946,Brest,286.435
1946,Gomel,235.144
1946,Grodno,347.843
1946,Minsk,332.367
1946,Mogilev,292.434
1946,Vitebsk,352.268
1947,Brest,313.825
1947,Gomel,351.466
1947,Grodno,303.442
1947,Minsk,353.649
1947,Mogilev,401.726
1947,Vitebsk,368.233
1948,Brest,442.915
1948,Gomel,411.091
1948,Grodno,433.703
1948,Minsk,411.525
1948,Mogilev,391.658
1948,Vitebsk,453.155
1949,Brest,332.136
1949,Gomel,358.446
1949,Grodno,386.207
1949,Minsk,392.838
1949,Mogilev,377.574
1949,Vitebsk,411.818
1950,Brest,233.448
1950,Gomel,263.187
1950,Grodno,315.627
1950,Minsk,343.966
1950,Mogilev,302.323
1950,Vitebsk,389.105
1951,Brest,248.796
1951,Gomel,253.760
1951,Grodno,214.055
1951,Minsk,231.806
1951,Mogilev,239.054
1951,Vitebsk,272.269
1952,Brest,329.469
1952,Gomel,320.921
1952,Grodno,358.055
1952,Minsk,376.508
1952,Mogilev,399.952
1952,Vitebsk,440.515
1953,Brest,268.771
1953,Gomel,375.917
1953,Grodno,293.926
1953,Minsk,305.347
1953,Mogilev,382.457
1953,Vitebsk,378.591
1954,Brest,376.846
1954,Gomel,393.878
1954,Grodno,381.430
1954,Minsk,397.916
1954,Mogilev,364.080
1954,Vitebsk,402.348
1955,Brest,361.375
1955,Gomel,296.673
1955,Grodno,285.133
1955,Minsk,305.424
1955,Mogilev,315.068
1955,Vitebsk,326.278
1956,Brest,364.512
1956,Gomel,398.950
1956,Grodno,374.330
1956,Minsk,382.081
1956,Mogilev,393.484
1956,Vitebsk,363.532
1957,Brest,383.580
1957,Gomel,443.984
1957,Grodno,456.635
1957,Minsk,483.558
1957,Mogilev,480.496
1957,Vitebsk,542.791
1958,Brest,367.234
1958,Gomel,451.751
1958,Grodno,378.733
1958,Minsk,380.761
1958,Mogilev,412.601
1958,Vitebsk,360.143
1959,Brest,263.979
1959,Gomel,200.211
1959,Grodno,297.283
1959,Minsk,217.058
1959,Mogilev,203.650
1959,Vitebsk,228.967
1960,Brest,376.612
1960,Gomel,306.531
1960,Grodno,470.885
1960,Minsk,393.570
1960,Mogilev,361.466
1960,Vitebsk,407.701
1961,Brest,270.670
1961,Gomel,344.907
1961,Grodno,338.125
1961,Minsk,338.246
1961,Mogilev,392.268
1961,Vitebsk,420.709
1962,Brest,425.763
1962,Gomel,509.045
1962,Grodno,513.121
1962,Minsk,547.147
1962,Mogilev,588.974
1962,Vitebsk,586.597
1963,Brest,288.664
1963,Gomel,254.901
1963,Grodno,334.615
1963,Minsk,301.334
1963,Mogilev,317.625
1963,Vitebsk,332.894
1964,Brest,295.224
1964,Gomel,408.121
1964,Grodno,287.946
1964,Minsk,352.283
1964,Mogilev,371.269
1964,Vitebsk,319.677
1965,Brest,394.678
1965,Gomel,425.922
1965,Grodno,366.294
1965,Minsk,457.087
1965,Mogilev,432.764
1965,Vitebsk,425.969
