year,region,tp_winter
1955,Brest,134.196
1955,Gomel,127.080
1955,Grodno,154.803
1955,Minsk,148.890
1955,Mogilev,146.606
1955,Vitebsk,140.221
1956,Brest,108.070
1956,Gomel,102.143
1956,Grodno,109.559
1956,Minsk,103.700
1956,Mogilev,101.159
1956,Vitebsk,100.681
1957,Brest,121.619
1957,Gomel,119.275
1957,Grodno,142.454
1957,Minsk,148.253
1957,Mogilev,147.127
1957,Vitebsk,140.046
1958,Brest,91.931
1958,Gomel,97.103
1958,Grodno,116.481
1958,Minsk,140.496
1958,Mogilev,103.177
1958,Vitebsk,133.197
1959,Brest,101.499
1959,Gomel,100.562
1959,Grodno,114.684
1959,Minsk,116.287
1959,Mogilev,113.247
1959,Vitebsk,106.190
1960,Brest,79.593
1960,Gomel,100.082
1960,Grodno,101.240
1960,Minsk,100.049
1960,Mogilev,114.494
1960,Vitebsk,106.156
1961,Brest,99.880
1961,Gomel,99.879
1961,Grodno,99.879
1961,Minsk,99.877
1961,Mogilev,99.876
1961,Vitebsk,99.878
1962,Brest,89.779
1962,Gomel,94.737
1962,Grodno,80.256
1962,Minsk,93.515
1962,Mogilev,78.240
1962,Vitebsk,88.902
1963,Brest,74.254
1963,Gomel,61.722
1963,Grodno,81.018
1963,Minsk,80.301
1963,Mogilev,69.012
1963,Vitebsk,64.289
1964,Brest,131.690
1964,Gomel,131.690
1964,Grodno,131.690
1964,Minsk,131.693
1964,Mogilev,131.692
1964,Vitebsk,131.690
1965,Brest,156.632
1965,Gomel,193.048
1965,Grodno,158.734
1965,Minsk,173.303
1965,Mogilev,162.248
1965,Vitebsk,169.304
1966,Brest,129.887
1966,Gomel,149.417
1966,Grodno,133.468
1966,Minsk,130.502
1966,Mogilev,144.837
1966,Vitebsk,123.008
1967,Brest,132.008
1967,Gomel,151.222
1967,Grodno,129.391
1967,Minsk,130.700
1967,Mogilev,136.158
1967,Vitebsk,114.094
1968,Brest,70.826
1968,Gomel,115.698
1968,Grodno,80.248
1968,Minsk,88.398
1968,Mogilev,106.165
1968,Vitebsk,91.718
1969,Brest,149.624
1969,Gomel,172.335
1969,Grodno,137.663
1969,Minsk,139.538
1969,Mogilev,145.877
1969,Vitebsk,126.072
1970,Brest,116.749
1970,Gomel,136.281
1970,Grodno,113.979
1970,Minsk,120.314
1970,Mogilev,124.284
1970,Vitebsk,117.950
1971,Brest,72.815
1971,Gomel,90.490
1971,Grodno,69.399
1971,Minsk,75.560
1971,Mogilev,61.088
1971,Vitebsk,66.290
1972,Brest,84.496
1972,Gomel,91.179
1972,Grodno,86.647
1972,Minsk,93.898
1972,Mogilev,86.239
1972,Vitebsk,95.428
1973,Brest,79.775
1973,Gomel,71.025
1973,Grodno,90.828
1973,Minsk,82.997
1973,Mogilev,67.351
1973,Vitebsk,96.813
1974,Brest,106.379
1974,Gomel,116.267
1974,Grodno,135.012
1974,Minsk,136.329
1974,Mogilev,116.397
1974,Vitebsk,168.885
1975,Brest,98.289
1975,Gomel,98.288
1975,Grodno,98.293
1975,Minsk,98.288
1975,Mogilev,98.276
1975,Vitebsk,98.289
1976,Brest,97.219
1976,Gomel,100.647
1976,Grodno,115.978
1976,Minsk,97.480
1976,Mogilev,115.314
1976,Vitebsk,108.673
1977,Brest,112.423
1977,Gomel,79.351
1977,Grodno,120.239
1977,Minsk,104.714
1977,Mogilev,88.457
1977,Vitebsk,108.169
1978,Brest,158.037
1978,Gomel,142.166
1978,Grodno,130.056
1978,Minsk,136.294
1978,Mogilev,129.362
1978,Vitebsk,116.501
1979,Brest,103.293
1979,Gomel,100.165
1979,Grodno,122.514
1979,Minsk,118.147
1979,Mogilev,117.566
1979,Vitebsk,118.200
1980,Brest,101.982
1980,Gomel,123.390
1980,Grodno,120.743
1980,Minsk,115.083
1980,Mogilev,109.322
1980,Vitebsk,119.772
1981,Brest,138.106
1981,Gomel,127.693
1981,Grodno,139.192
1981,Minsk,139.447
1981,Mogilev,117.306
1981,Vitebsk,132.079
1982,Brest,156.793
1982,Gomel,132.615
1982,Grodno,164.915
1982,Minsk,155.008
1982,Mogilev,132.472
1982,Vitebsk,152.288
1983,Brest,93.656
1983,Gomel,86.383
1983,Grodno,108.074
1983,Minsk,104.138
1983,Mogilev,88.221
1983,Vitebsk,124.813
1984,Brest,79.260
1984,Gomel,104.245
1984,Grodno,87.794
1984,Minsk,85.384
1984,Mogilev,103.214
1984,Vitebsk,108.246
1985,Brest,139.985
1985,Gomel,110.533
1985,Grodno,150.839
1985,Minsk,130.768
1985,Mogilev,123.473
1985,Vitebsk,138.162
1986,Brest,81.016
1986,Gomel,99.904
1986,Grodno,94.360
1986,Minsk,92.031
1986,Mogilev,92.519
1986,Vitebsk,129.707
1987,Brest,126.015
1987,Gomel,95.504
1987,Grodno,127.704
1987,Minsk,111.498
1987,Mogilev,89.494
1987,Vitebsk,119.221
1988,Brest,92.587
1988,Gomel,112.451
1988,Grodno,124.267
1988,Minsk,115.945
1988,Mogilev,111.311
1988,Vitebsk,137.495
1989,Brest,96.347
1989,Gomel,99.639
1989,Grodno,136.313
1989,Minsk,129.884
1989,Mogilev,135.747
1989,Vitebsk,169.957
1990,Brest,95.095
1990,Gomel,101.961
1990,Grodno,107.495
1990,Minsk,105.434
1990,Mogilev,85.729
1990,Vitebsk,119.945
1991,Brest,81.129
1991,Gomel,74.661
1991,Grodno,110.565
1991,Minsk,96.176
1991,Mogilev,82.964
1991,Vitebsk,126.821
1992,Brest,98.788
1992,Gomel,92.184
1992,Grodno,122.052
1992,Minsk,103.367
1992,Mogilev,94.039
1992,Vitebsk,128.724
1993,Brest,139.206
1993,Gomel,122.107
1993,Grodno,170.410
1993,Minsk,167.391
1993,Mogilev,125.573
1993,Vitebsk,161.678
1994,Brest,140.462
1994,Gomel,132.094
1994,Grodno,146.187
1994,Minsk,134.437
1994,Mogilev,125.977
1994,Vitebsk,139.836
1995,Brest,96.340
1995,Gomel,79.273
1995,Grodno,102.130
1995,Minsk,112.246
1995,Mogilev,68.631
1995,Vitebsk,96.412
1996,Brest,68.216
1996,Gomel,77.120
1996,Grodno,102.722
1996,Minsk,99.485
1996,Mogilev,79.609
1996,Vitebsk,115.070
1997,Brest,108.612
1997,Gomel,116.813
1997,Grodno,127.730
1997,Minsk,112.982
1997,Mogilev,102.228
1997,Vitebsk,136.269
1998,Brest,106.486
1998,Gomel,111.399
1998,Grodno,123.947
1998,Minsk,125.770
1998,Mogilev,105.011
1998,Vitebsk,147.739
1999,Brest,112.932
1999,Gomel,120.094
1999,Grodno,137.266
1999,Minsk,132.559
1999,Mogilev,121.720
1999,Vitebsk,145.906
2000,Brest,128.188
2000,Gomel,165.860
2000,Grodno,114.724
2000,Minsk,136.686
2000,Mogilev,152.655
2000,Vitebsk,150.893
2001,Brest,118.863
2001,Gomel,108.282
2001,Grodno,152.135
2001,Minsk,136.837
2001,Mogilev,114.534
2001,Vitebsk,154.235
2002,Brest,83.791
2002,Gomel,70.954
2002,Grodno,83.498
2002,Minsk,78.717
2002,Mogilev,71.698
2002,Vitebsk,78.889
2003,Brest,139.091
2003,Gomel,167.974
2003,Grodno,181.652
2003,Minsk,192.487
2003,Mogilev,175.903
2003,Vitebsk,200.850
2004,Brest,105.059
2004,Gomel,121.594
2004,Grodno,118.559
2004,Minsk,114.964
2004,Mogilev,113.924
2004,Vitebsk,120.782
2005,Brest,113.964
2005,Gomel,108.241
2005,Grodno,111.343
2005,Minsk,87.326
2005,Mogilev,89.409
2005,Vitebsk,73.806
2006,Brest,139.587
2006,Gomel,122.186
2006,Grodno,161.888
2006,Minsk,140.219
2006,Mogilev,129.584
2006,Vitebsk,150.024
2007,Brest,100.969
2007,Gomel,99.584
2007,Grodno,111.367
2007,Minsk,98.817
2007,Mogilev,94.126
2007,Vitebsk,95.598
2008,Brest,91.834
2008,Gomel,127.965
2008,Grodno,109.674
2008,Minsk,114.095
2008,Mogilev,130.563
2008,Vitebsk,126.973
2009,Brest,139.453
2009,Gomel,156.114
2009,Grodno,141.709
2009,Minsk,146.578
2009,Mogilev,153.814
2009,Vitebsk,157.918
2010,Brest,123.109
2010,Gomel,135.330
2010,Grodno,130.171
2010,Minsk,130.120
2010,Mogilev,137.195
2010,Vitebsk,173.347
2011,Brest,112.443
2011,Gomel,167.415
2011,Grodno,148.073
2011,Minsk,152.539
2011,Mogilev,160.957
2011,Vitebsk,164.966
2012,Brest,148.922
2012,Gomel,173.426
2012,Grodno,143.926
2012,Minsk,155.172
2012,Mogilev,126.575
2012,Vitebsk,131.320
2013,Brest,96.045
2013,Gomel,96.045
2013,Grodno,96.045
2013,Minsk,96.045
2013,Mogilev,96.045
2013,Vitebsk,96.045
2014,Brest,103.117
2014,Gomel,112.723
2014,Grodno,119.128
2014,Minsk,124.906
2014,Mogilev,121.659
2014,Vitebsk,139.301
2015,Brest,141.408
2015,Gomel,149.739
2015,Grodno,148.452
2015,Minsk,140.058
2015,Mogilev,134.578
2015,Vitebsk,136.363
2016,Brest,116.498
2016,Gomel,118.355
2016,Grodno,122.100
2016,Minsk,118.542
2016,Mogilev,113.908
2016,Vitebsk,121.130
2017,Brest,108.753
2017,Gomel,174.706
2017,Grodno,119.190
2017,Minsk,138.498
2017,Mogilev,166.551
2017,Vitebsk,154.056
2018,Brest,118.258
2018,Gomel,120.674
2018,Grodno,133.551
2018,Minsk,125.201
2018,Mogilev,119.244
2018,Vitebsk,115.288
2019,Brest,96.392
2019,Gomel,104.935
2019,Grodno,119.463
2019,Minsk,127.131
2019,Mogilev,118.916
2019,Vitebsk,144.577
