year,region,tp_winter
1940,Brest,99.951
1940,Gomel,104.229
1940,Grodno,108.908
1940,Minsk,103.200
1940,Mogilev,104.060
1940,Vitebsk,117.124
1941,Brest,97.823
1941,Gomel,91.803
1941,Grodno,106.244
1941,Minsk,93.847
1941,Mogilev,96.964
1941,Vitebsk,109.213
1942,Brest,116.535
1942,Gomel,128.069
1942,Grodno,138.068
1942,Minsk,126.252
1942,Mogilev,114.951
1942,Vitebsk,115.487
1943,Brest,126.572
1943,Gomel,124.100
1943,Grodno,124.142
1943,Minsk,128.741
1943,Mogilev,132.405
1943,Vitebsk,133.665
1944,Brest,98.481
1944,Gomel,107.500
1944,Grodno,102.399
1944,Minsk,112.475
1944,Mogilev,126.022
1944,Vitebsk,122.519
1945,Brest,118.483
1945,Gomel,118.086
1945,Grodno,138.794
1945,Minsk,122.020
1945,Mogilev,118.122
1945,Vitebsk,126.195
1946,Brest,97.621
1946,Gomel,88.299
1946,Grodno,81.433
1946,Minsk,91.960
1946,Mogilev,99.484
1946,Vitebsk,77.734
1947,Brest,155.968
1947,Gomel,159.032
1947,Grodno,158.528
1947,Minsk,160.003
1947,Mogilev,155.990
1947,Vitebsk,184.260
1948,Brest,100.119
1948,Gomel,80.463
1948,Grodno,108.598
1948,Minsk,93.039
1948,Mogilev,82.868
1948,Vitebsk,96.353
1949,Brest,128.155
1949,Gomel,125.335
1949,Grodno,138.526
1949,Minsk,122.160
1949,Mogilev,121.497
1949,Vitebsk,132.555
1950,Brest,116.370
1950,Gomel,112.048
1950,Grodno,128.452
1950,Minsk,126.569
1950,Mogilev,127.943
1950,Vitebsk,136.444
1951,Brest,122.085
1951,Gomel,113.522
1951,Grodno,142.282
1951,Minsk,125.927
1951,Mogilev,126.519
1951,Vitebsk,138.527
1952,Brest,131.615
1952,Gomel,126.187
1952,Grodno,138.168
1952,Minsk,125.353
1952,Mogilev,126.428
1952,Vitebsk,135.411
1953,Brest,68.317
1953,Gomel,55.932
1953,Grodno,79.079
1953,Minsk,68.386
1953,Mogilev,59.579
1953,Vitebsk,65.312
1954,Brest,152.640
1954,Gomel,148.048
1954,Grodno,156.789
1954,Minsk,157.495
1954,Mogilev,148.544
1954,Vitebsk,143.510
1955,Brest,155.312
1955,Gomel,148.269
1955,Grodno,172.618
1955,Minsk,166.822
1955,Mogilev,184.496
1955,Vitebsk,183.333
1956,Brest,129.939
1956,Gomel,113.808
1956,Grodno,135.251
1956,Minsk,116.088
1956,Mogilev,116.730
1956,Vitebsk,128.319
1957,Brest,161.564
1957,Gomel,164.501
1957,Grodno,177.442
1957,Minsk,177.769
1957,Mogilev,187.645
1957,Vitebsk,185.173
1958,Brest,113.683
1958,Gomel,130.101
1958,Grodno,130.021
1958,Minsk,156.844
1958,Mogilev,147.914
1958,Vitebsk,177.191
1959,Brest,121.494
