experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,32.750,64.330,48.004,59.223
Historical,Brest,1901,29.895,61.113,44.686,57.065
Historical,Brest,1902,32.551,59.816,47.501,56.481
Historical,Brest,1903,29.200,58.727,47.381,54.514
Historical,Brest,1904,31.285,62.508,45.658,55.121
Historical,Brest,1905,28.940,57.452,43.547,50.363
Historical,Brest,1906,27.832,61.861,45.413,57.016
Historical,Brest,1907,27.832,67.043,46.225,55.936
Historical,Brest,1908,30.257,63.529,46.750,51.759
Historical,Brest,1909,32.174,60.401,45.685,58.874
Historical,Brest,1910,30.197,55.058,46.335,54.595
Historical,Brest,1911,32.209,64.627,46.040,58.713
Historical,Brest,1912,31.385,61.510,48.236,60.112
Historical,Brest,1913,30.312,60.066,42.736,53.285
Historical,Brest,1914,31.537,66.456,46.676,54.936
Historical,Brest,1915,30.310,66.064,48.072,57.101
Historical,Brest,1916,33.418,66.856,44.788,60.103
Historical,Brest,1917,31.444,60.006,47.820,54.102
Historical,Brest,1918,31.801,61.445,48.796,56.020
Historical,Brest,1919,31.573,58.816,48.040,56.079
Historical,Brest,1920,33.113,58.888,50.379,59.113
Historical,Brest,1921,30.075,61.352,46.884,53.970
Historical,Brest,1922,33.112,60.794,49.688,56.818
Historical,Brest,1923,31.569,62.517,50.258,58.636
Historical,Brest,1924,27.620,62.256,52.182,57.961
Historical,Brest,1925,37.247,58.802,48.904,58.600
Historical,Brest,1926,32.604,64.011,45.655,56.060
Historical,Brest,1927,31.463,64.079,49.341,60.725
Historical,Brest,1928,34.298,63.922,47.216,59.313
Historical,Brest,1929,30.769,68.792,49.344,60.735
Historical,Brest,1930,30.115,63.780,46.093,58.567
Historical,Brest,1931,30.476,61.714,43.463,52.349
Historical,Brest,1932,34.609,65.533,50.718,58.477
Historical,Brest,1933,28.656,61.259,46.039,52.025
Historical,Brest,1934,35.605,61.023,46.139,57.187
Historical,Brest,1935,30.382,64.456,46.352,54.963
Historical,Brest,1936,27.592,61.934,47.613,61.194
Historical,Brest,1937,30.755,57.422,46.363,55.645
Historical,Brest,1938,31.392,59.677,44.113,54.603
Historical,Brest,1939,33.039,64.787,45.871,58.721
Historical,Brest,1940,27.841,64.950,48.401,59.881
Historical,Brest,1941,29.188,61.762,46.157,53.050
Historical,Brest,1942,29.277,59.712,45.264,52.433
Historical,Brest,1943,30.586,65.741,45.369,57.750
Historical,Brest,1944,29.847,61.336,44.013,54.827
Historical,Brest,1945,32.506,61.112,42.146,51.328
Historical,Brest,1946,31.889,67.530,45.152,55.234
Historical,Brest,1947,31.289,63.325,49.361,60.931
Historical,Brest,1948,28.306,60.135,42.507,55.408
Historical,Brest,1949,28.691,64.740,46.421,59.892
Historical,Brest,1950,31.813,63.206,47.951,59.576
Historical,Brest,1951,30.826,57.657,44.858,54.936
Historical,Brest,1952,29.178,60.834,44.621,52.785
Historical,Brest,1953,29.755,58.807,45.357,52.182
Historical,Brest,1954,28.907,59.650,47.285,52.426
Historical,Brest,1955,31.006,56.403,46.213,57.222
Historical,Brest,1956,30.185,64.361,47.339,56.842
Historical,Brest,1957,27.657,57.796,41.227,54.134
Historical,Brest,1958,31.438,63.478,47.617,55.368
Historical,Brest,1959,34.807,56.821,45.717,54.538
Historical,Brest,1960,29.752,60.823,43.545,56.768
Historical,Brest,1961,33.341,61.328,47.318,57.140
Historical,Brest,1962,29.345,57.111,45.418,53.053
Historical,Brest,1963,32.901,58.677,45.423,52.714
Historical,Brest,1964,30.799,57.706,48.267,51.667
Historical,Brest,1965,27.084,57.478,42.295,49.896
Historical,Brest,1966,28.261,58.651,41.408,53.166
Historical,Brest,1967,33.703,57.353,44.272,54.176
