experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,29.342,96.264,74.431,84.726
Historical,Brest,1901,28.780,95.797,76.977,85.322
Historical,Brest,1902,34.983,97.319,77.598,84.697
Historical,Brest,1903,27.416,92.903,78.412,78.462
Historical,Brest,1904,31.934,96.758,72.811,75.347
Historical,Brest,1905,35.324,94.288,81.182,87.688
Historical,Brest,1906,31.031,95.008,74.592,79.948
Historical,Brest,1907,39.873,93.171,72.416,80.603
Historical,Brest,1908,30.621,97.015,72.330,83.414
Historical,Brest,1909,38.666,90.250,71.822,82.272
Historical,Brest,1910,28.074,91.472,70.607,82.187
Historical,Brest,1911,28.980,94.568,72.108,83.963
Historical,Brest,1912,25.958,90.088,61.276,79.442
Historical,Brest,1913,38.877,94.896,75.205,83.013
Historical,Brest,1914,36.684,93.850,77.852,82.833
Historical,Brest,1915,33.548,90.476,73.767,84.059
Historical,Brest,1916,36.814,95.483,75.424,83.275
Historical,Brest,1917,31.251,93.149,72.595,82.157
Historical,Brest,1918,28.069,95.269,73.516,82.036
Historical,Brest,1919,28.824,92.268,73.810,79.746
Historical,Brest,1920,32.656,96.187,68.467,77.572
Historical,Brest,1921,32.694,96.459,69.561,80.168
Historical,Brest,1922,42.291,94.689,73.508,89.231
Historical,Brest,1923,33.161,93.977,76.107,86.909
Historical,Brest,1924,35.397,95.881,71.660,80.204
Historical,Brest,1925,39.041,94.127,72.926,80.438
Historical,Brest,1926,37.190,89.857,75.933,82.921
Historical,Brest,1927,37.884,95.222,72.310,83.686
Historical,Brest,1928,34.353,98.831,77.566,84.172
Historical,Brest,1929,35.449,97.552,75.257,82.017
Historical,Brest,1930,37.242,88.541,71.263,79.496
Historical,Brest,1931,32.333,88.423,74.172,81.309
Historical,Brest,1932,36.547,93.476,68.812,82.678
Historical,Brest,1933,23.304,94.130,72.119,85.039
Historical,Brest,1934,36.163,91.770,79.064,84.734
Historical,Brest,1935,36.002,95.593,73.970,82.208
Historical,Brest,1936,39.154,94.866,68.257,79.281
Historical,Brest,1937,32.074,99.952,70.120,84.960
Historical,Brest,1938,26.345,87.082,69.672,76.500
Historical,Brest,1939,35.091,92.198,73.902,78.694
Historical,Brest,1940,34.780,92.638,69.671,79.755
Historical,Brest,1941,29.584,90.088,72.498,84.544
Historical,Brest,1942,33.741,90.697,74.459,79.253
Historical,Brest,1943,31.167,88.386,72.918,80.913
Historical,Brest,1944,40.656,92.016,75.284,86.765
Historical,Brest,1945,38.085,95.493,80.179,82.977
Historical,Brest,1946,30.049,94.158,76.917,87.932
Historical,Brest,1947,32.158,93.227,72.941,86.627
Historical,Brest,1948,27.498,96.419,76.286,89.287
Historical,Brest,1949,31.486,94.562,74.668,84.544
Historical,Brest,1950,34.093,94.784,73.303,80.758
Historical,Brest,1951,27.612,96.621,73.073,76.732
Historical,Brest,1952,29.407,90.932,72.498,76.479
Historical,Brest,1953,29.928,88.616,74.887,76.591
Historical,Brest,1954,33.892,93.155,77.351,80.083
Historical,Brest,1955,33.854,90.189,67.637,77.680
Historical,Brest,1956,31.614,91.469,67.463,81.404
Historical,Brest,1957,32.255,96.497,68.000,81.314
Historical,Brest,1958,31.280,94.625,73.648,86.874
Historical,Brest,1959,31.618,91.113,73.519,87.615
Historical,Brest,1960,26.894,91.401,75.523,77.394
Historical,Brest,1961,33.420,90.608,70.288,80.107
Historical,Brest,1962,34.771,90.812,73.290,80.584
Historical,Brest,1963,29.627,89.698,73.511,79.994
Historical,Brest,1964,29.125,88.589,71.172,82.010
Historical,Brest,1965,27.106,88.548,72.116,78.920
Historical,Brest,1966,27.197,91.331,73.313,81.818
Historical,Brest,1967,29.300,89.758,72.333,77.955
Historical,Brest,1968,30.060,89.386,71.864,79.404
Historical,Brest,1969,34.703,90.318,73.755,76.451
Historical,Brest,1970,29.241,90.559,71.797,80.360
Historical,Brest,1971,29.969,91.705,76.579,72.651
Historical,Brest,1972,29.471,91.921,62.868,77.352
Historical,Brest,1973,29.552,89.300,73.383,80.789
Historical,Brest,1974,30.563,93.484,69.234,75.548
Historical,Brest,1975,31.031,86.471,68.540,77.478
Historical,Brest,1976,40.606,87.813,69.445,76.311
Historical,Brest,1977,47.617,85.221,67.718,77.678
Historical,Brest,1978,32.893,86.998,77.520,76.931
Historical,Brest,1979,32.270,90.038,77.144,83.881
Historical,Brest,1980,42.419,87.070,67.761,76.464
Historical,Brest,1981,41.076,85.268,65.718,75.848
Historical,Brest,1982,35.178,86.552,68.361,75.781
Historical,Brest,1983,29.244,91.314,79.307,86.318
Historical,Brest,1984,35.051,87.036,70.129,80.248
Historical,Brest,1985,30.874,84.831,72.729,79.137
Historical,Brest,1986,31.418,90.771,78.386,80.417
Historical,Brest,1987,39.836,88.293,73.485,77.508
Historical,Brest,1988,31.553,89.321,71.154,79.685
Historical,Brest,1989,37.259,90.929,71.860,80.162
Historical,Brest,1990,36.430,88.463,76.276,78.921
Historical,Brest,1991,37.014,91.874,70.493,82.660
Historical,Brest,1992,30.388,90.415,71.329,83.089
Historical,Brest,1993,31.662,94.210,73.847,82.887
Historical,Brest,1994,32.131,89.368,74.097,78.402
Historical,Brest,1995,30.660,94.716,72.612,81.937
Historical,Brest,1996,35.830,93.131,75.040,78.682
