experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,3.774,16.317,8.324,7.039
Historical,Brest,1901,3.380,12.085,7.297,5.962
Historical,Brest,1902,2.473,12.451,7.091,5.871
Historical,Brest,1903,2.822,14.064,6.892,3.219
Historical,Brest,1904,3.516,14.714,6.711,5.320
Historical,Brest,1905,2.728,13.046,6.638,3.959
Historical,Brest,1906,2.087,14.953,5.784,4.941
Historical,Brest,1907,4.150,14.553,7.658,6.039
Historical,Brest,1908,2.240,12.275,5.661,3.931
Historical,Brest,1909,3.315,13.832,7.344,5.525
Historical,Brest,1910,3.125,14.665,7.509,6.628
Historical,Brest,1911,3.627,15.052,7.693,7.094
Historical,Brest,1912,2.537,12.622,6.700,5.767
Historical,Brest,1913,2.462,14.620,7.640,6.386
Historical,Brest,1914,2.611,13.064,5.980,3.602
Historical,Brest,1915,3.461,11.739,6.915,5.041
Historical,Brest,1916,2.776,16.776,7.757,5.038
Historical,Brest,1917,4.472,13.936,7.833,5.589
Historical,Brest,1918,2.790,13.587,7.447,4.589
Historical,Brest,1919,3.893,12.976,8.147,7.427
Historical,Brest,1920,2.749,12.335,6.773,3.940
Historical,Brest,1921,3.898,17.025,8.403,5.766
Historical,Brest,1922,2.727,15.480,8.595,5.006
Historical,Brest,1923,3.704,12.226,6.263,4.524
Historical,Brest,1924,4.081,15.236,8.727,7.185
Historical,Brest,1925,4.153,15.041,8.534,4.983
Historical,Brest,1926,3.481,15.196,7.606,6.734
Historical,Brest,1927,3.816,12.289,7.297,5.069
Historical,Brest,1928,2.532,17.816,7.169,4.232
Historical,Brest,1929,3.217,16.413,6.211,5.494
Historical,Brest,1930,4.051,13.899,7.975,5.956
Historical,Brest,1931,2.900,16.565,7.426,7.119
Historical,Brest,1932,3.736,12.466,7.298,5.290
Historical,Brest,1933,4.403,12.204,7.237,5.486
Historical,Brest,1934,3.694,11.482,8.376,5.748
Historical,Brest,1935,3.617,13.823,6.491,5.051
Historical,Brest,1936,3.164,15.781,8.571,6.443
Historical,Brest,1937,2.803,14.312,7.284,4.143
Historical,Brest,1938,3.404,15.805,6.619,5.499
Historical,Brest,1939,3.035,14.596,7.663,5.534
Historical,Brest,1940,2.830,13.550,8.247,5.538
Historical,Brest,1941,2.746,12.374,7.475,5.069
Historical,Brest,1942,3.579,12.436,5.697,4.000
Historical,Brest,1943,3.069,12.269,6.503,5.064
Historical,Brest,1944,3.444,12.242,6.936,4.696
Historical,Brest,1945,2.550,13.416,7.603,4.248
Historical,Brest,1946,3.641,15.835,7.099,7.088
Historical,Brest,1947,1.893,11.861,5.131,3.498
Historical,Brest,1948,2.567,18.164,7.438,5.830
Historical,Brest,1949,2.830,13.471,7.095,5.324
Historical,Brest,1950,2.443,15.431,7.866,6.517
Historical,Brest,1951,1.879,15.459,6.887,7.703
Historical,Brest,1952,3.002,15.293,7.125,5.515
Historical,Brest,1953,1.844,11.277,7.408,3.354
Historical,Brest,1954,3.078,13.859,5.959,4.930
Historical,Brest,1955,2.893,13.729,7.011,4.146
Historical,Brest,1956,3.828,15.547,6.671,3.819
Historical,Brest,1957,3.366,16.601,6.846,4.831
Historical,Brest,1958,3.299,14.879,7.460,4.801
Historical,Brest,1959,3.877,13.209,7.603,4.903
Historical,Brest,1960,4.189,17.216,6.556,5.774
Historical,Brest,1961,3.128,16.227,7.564,6.855
Historical,Brest,1962,3.453,14.375,6.449,5.700
Historical,Brest,1963,3.496,15.621,7.004,7.014
Historical,Brest,1964,3.678,12.218,7.049,4.219
Historical,Brest,1965,3.542,12.841,6.388,3.799
Historical,Brest,1966,3.353,12.744,6.831,4.787
Historical,Brest,1967,3.822,14.113,7.497,6.627
Historical,Brest,1968,3.358,13.247,7.405,3.362
Historical,Brest,1969,2.465,14.054,7.159,5.299
Historical,Brest,1970,3.185,14.679,6.590,5.655
Historical,Brest,1971,3.101,16.559,6.159,4.727
Historical,Brest,1972,3.014,11.903,7.421,4.179
Historical,Brest,1973,2.553,15.675,6.013,4.168
Historical,Brest,1974,2.696,12.561,6.842,4.956
Historical,Brest,1975,3.214,14.469,6.966,6.805
Historical,Brest,1976,1.781,15.128,6.369,7.003
Historical,Brest,1977,3.871,12.963,6.476,4.300
Historical,Brest,1978,3.562,14.569,7.036,5.406
Historical,Brest,1979,2.927,15.975,6.837,7.567
Historical,Brest,1980,3.328,12.023,8.138,5.745
Historical,Brest,1981,2.695,14.959,5.951,5.999
Historical,Brest,1982,2.891,14.613,7.660,6.932
Historical,Brest,1983,4.039,11.902,6.411,5.296
Historical,Brest,1984,4.348,13.175,6.909,5.030
Historical,Brest,1985,4.578,13.191,8.227,5.655
Historical,Brest,1986,3.940,11.945,7.022,4.869
Historical,Brest,1987,4.035,13.845,6.573,5.115
Historical,Brest,1988,4.032,14.341,6.349,5.352
Historical,Brest,1989,3.817,13.714,7.359,5.304
Historical,Brest,1990,3.432,12.714,7.326,6.397
Historical,Brest,1991,3.799,14.583,7.796,5.168
Historical,Brest,1992,3.291,13.683,7.096,5.112
Historical,Brest,1993,4.304,13.241,7.638,5.157
Historical,Brest,1994,4.116,15.548,8.594,6.190
Historical,Brest,1995,3.338,13.926,8.368,5.128
Historical,Brest,1996,4.070,16.209,7.885,5.506
Historical,Brest,1997,5.044,14.695,6.634,4.650
Historical,Brest,1998,3.912,16.081,8.135,6.511
Historical,Brest,1999,3.505,15.192,7.092,8.626
Historical,Brest,2000,5.420,14.064,8.626,8.830
Historical,Brest,2001,4.809,13.747,9.246,7.151
Historical,Brest,2002,4.312,18.608,7.685,5.860
Historical,Brest,2003,2.926,15.480,7.577,6.679
