experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,4.141,18.111,9.825,7.866
Historical,Brest,1901,3.208,17.929,7.587,7.048
Historical,Brest,1902,3.795,15.673,9.136,7.442
Historical,Brest,1903,4.194,13.214,8.393,4.879
Historical,Brest,1904,4.417,16.255,10.842,5.980
Historical,Brest,1905,3.973,16.887,9.099,7.810
Historical,Brest,1906,4.032,15.504,8.723,7.398
Historical,Brest,1907,2.917,13.756,7.988,4.376
Historical,Brest,1908,3.129,16.276,9.634,6.730
Historical,Brest,1909,4.597,12.518,8.300,4.931
Historical,Brest,1910,4.610,15.264,8.600,8.763
Historical,Brest,1911,3.133,14.748,9.186,5.983
Historical,Brest,1912,3.610,16.178,9.547,6.356
Historical,Brest,1913,3.269,15.672,8.550,5.799
Historical,Brest,1914,2.918,14.440,9.409,7.173
Historical,Brest,1915,3.327,21.201,8.057,7.695
Historical,Brest,1916,3.945,15.146,9.483,7.481
Historical,Brest,1917,4.464,19.433,8.342,7.312
Historical,Brest,1918,3.746,16.321,7.419,6.594
Historical,Brest,1919,4.709,13.880,8.972,8.323
Historical,Brest,1920,4.313,17.366,8.772,5.792
Historical,Brest,1921,3.863,16.100,8.912,7.017
Historical,Brest,1922,4.899,14.637,9.549,6.972
Historical,Brest,1923,4.896,15.746,8.051,7.184
Historical,Brest,1924,4.824,16.592,9.240,9.860
Historical,Brest,1925,3.889,18.723,8.900,8.337
Historical,Brest,1926,4.597,16.068,9.106,7.431
Historical,Brest,1927,5.724,17.222,10.075,8.886
Historical,Brest,1928,4.059,20.665,10.653,7.848
Historical,Brest,1929,3.368,16.218,9.146,6.212
Historical,Brest,1930,3.600,17.694,8.803,6.394
Historical,Brest,1931,2.458,14.651,6.426,3.244
Historical,Brest,1932,4.367,15.361,10.602,5.937
Historical,Brest,1933,3.978,13.206,8.639,5.805
Historical,Brest,1934,4.849,16.592,8.306,6.849
Historical,Brest,1935,3.734,16.452,7.775,7.730
Historical,Brest,1936,4.016,18.164,9.612,9.469
Historical,Brest,1937,3.079,20.375,7.493,9.842
Historical,Brest,1938,3.555,19.466,9.195,7.190
Historical,Brest,1939,3.027,16.034,9.612,7.132
Historical,Brest,1940,2.863,18.134,7.720,5.324
Historical,Brest,1941,3.762,18.708,8.839,8.258
Historical,Brest,1942,2.845,15.297,8.682,6.009
Historical,Brest,1943,3.374,15.754,7.591,7.442
