experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,2.185,11.214,5.627,5.275
Historical,Brest,1901,2.315,14.015,6.049,4.136
Historical,Brest,1902,1.680,16.191,5.516,5.452
Historical,Brest,1903,2.966,11.458,5.676,5.152
Historical,Brest,1904,2.216,13.875,6.653,6.026
Historical,Brest,1905,2.103,16.669,6.187,5.830
Historical,Brest,1906,2.525,10.270,5.900,4.679
Historical,Brest,1907,2.361,15.868,6.877,5.786
Historical,Brest,1908,1.152,15.564,5.252,5.490
Historical,Brest,1909,2.150,13.385,5.944,5.481
Historical,Brest,1910,2.292,12.109,6.062,5.245
Historical,Brest,1911,1.914,12.829,6.911,4.784
Historical,Brest,1912,1.721,12.915,6.099,5.491
Historical,Brest,1913,2.834,10.495,6.073,4.630
Historical,Brest,1914,1.893,10.203,3.998,2.394
Historical,Brest,1915,2.626,12.375,6.196,4.549
Historical,Brest,1916,2.768,12.852,5.917,4.751
Historical,Brest,1917,2.078,12.689,6.516,6.111
Historical,Brest,1918,2.454,12.381,4.461,5.128
Historical,Brest,1919,2.715,14.500,5.970,7.202
Historical,Brest,1920,1.035,15.716,5.900,6.060
Historical,Brest,1921,1.690,13.042,5.768,5.513
Historical,Brest,1922,3.221,15.421,7.429,6.803
Historical,Brest,1923,1.800,14.710,6.958,3.633
Historical,Brest,1924,1.968,13.805,6.201,5.420
Historical,Brest,1925,2.469,11.501,7.097,6.461
Historical,Brest,1926,2.292,15.630,5.467,6.295
Historical,Brest,1927,3.559,13.321,6.773,4.478
Historical,Brest,1928,3.049,15.653,6.946,5.921
Historical,Brest,1929,2.480,16.493,6.576,5.272
Historical,Brest,1930,1.796,14.067,5.890,5.919
Historical,Brest,1931,2.847,13.678,5.274,4.847
Historical,Brest,1932,3.191,13.758,6.959,4.468
Historical,Brest,1933,2.773,11.235,5.742,4.116
Historical,Brest,1934,3.440,13.106,6.750,5.225
Historical,Brest,1935,3.063,14.608,6.112,5.558
Historical,Brest,1936,2.234,13.240,6.044,5.621
Historical,Brest,1937,3.017,16.334,7.561,6.540
Historical,Brest,1938,2.147,12.235,8.154,6.656
Historical,Brest,1939,2.787,16.777,5.755,7.464
Historical,Brest,1940,2.661,14.187,5.624,5.596
Historical,Brest,1941,1.835,12.561,5.461,5.109
Historical,Brest,1942,2.846,12.197,6.153,4.813
Historical,Brest,1943,2.454,10.992,4.939,3.923
Historical,Brest,1944,2.642,14.900,6.018,5.815
Historical,Brest,1945,2.756,13.054,5.069,4.245
Historical,Brest,1946,3.052,15.401,5.437,5.569
Historical,Brest,1947,3.182,11.250,5.608,4.042
Historical,Brest,1948,2.584,14.258,5.680,5.488
Historical,Brest,1949,1.827,14.090,6.003,5.310
Historical,Brest,1950,3.634,11.593,8.455,6.538
Historical,Brest,1951,1.966,12.964,5.087,5.850
Historical,Brest,1952,2.732,12.045,6.261,4.951
Historical,Brest,1953,2.053,14.061,6.499,5.892
Historical,Brest,1954,3.318,17.183,5.790,5.409
Historical,Brest,1955,2.343,12.744,6.646,4.581
Historical,Brest,1956,2.613,13.891,6.349,6.625
Historical,Brest,1957,1.183,11.399,5.211,3.549
Historical,Brest,1958,2.694,11.612,5.767,4.813
Historical,Brest,1959,1.879,12.433,5.862,3.783
Historical,Brest,1960,2.297,15.736,6.803,6.557
Historical,Brest,1961,2.109,13.398,6.399,5.625
Historical,Brest,1962,2.251,12.768,6.938,5.598
Historical,Brest,1963,3.409,12.742,6.198,3.640
Historical,Brest,1964,1.937,17.709,5.810,5.207
Historical,Brest,1965,1.705,15.313,6.012,7.107
Historical,Brest,1966,1.882,12.178,6.530,5.687
Historical,Brest,1967,2.339,10.430,5.987,5.962
Historical,Brest,1968,2.391,12.437,5.627,4.828
Historical,Brest,1969,2.472,14.013,6.267,7.048
Historical,Brest,1970,2.619,14.902,4.979,4.176
Historical,Brest,1971,1.697,14.697,6.131,4.427
Historical,Brest,1972,2.097,11.184,6.192,4.790
Historical,Brest,1973,2.296,13.512,5.954,4.294
Historical,Brest,1974,1.692,13.438,6.665,5.521
Historical,Brest,1975,2.273,14.000,5.960,6.729
Historical,Brest,1976,1.570,14.718,5.515,5.034
Historical,Brest,1977,2.542,10.728,5.293,4.057
Historical,Brest,1978,3.130,14.448,6.088,5.129
Historical,Brest,1979,2.748,14.753,5.186,6.220
Historical,Brest,1980,2.155,12.398,5.525,3.712
Historical,Brest,1981,2.020,11.665,5.499,5.266
Historical,Brest,1982,2.211,13.378,5.640,6.680
Historical,Brest,1983,1.488,11.023,5.623,6.563
Historical,Brest,1984,1.739,16.338,4.759,5.214
Historical,Brest,1985,1.926,14.757,6.938,5.335
Historical,Brest,1986,2.591,11.713,7.044,6.548
Historical,Brest,1987,2.688,15.815,6.566,6.014
Historical,Brest,1988,1.939,18.761,5.678,5.921
Historical,Brest,1989,1.248,14.026,6.272,4.766
Historical,Brest,1990,2.731,16.533,6.756,7.539
Historical,Brest,1991,1.712,14.841,7.416,4.397
Historical,Brest,1992,2.290,13.041,6.881,5.396
Historical,Brest,1993,3.338,12.995,6.894,6.789
Historical,Brest,1994,3.795,14.000,6.579,5.603
Historical,Brest,1995,3.506,17.427,6.605,7.926
Historical,Brest,1996,2.375,15.560,6.393,5.047
Historical,Brest,1997,1.491,16.113,6.295,7.640
Historical,Brest,1998,1.970,14.355,6.961,5.543
Historical,Brest,1999,3.154,17.007,6.739,7.060
Historical,Brest,2000,3.025,12.327,6.997,4.334
Historical,Brest,2001,3.067,14.980,6.240,5.592
Historical,Brest,2002,4.262,16.077,8.110,6.616
Historical,Brest,2003,3.026,13.278,6.906,6.893
Historical,Brest,2004,2.349,16.268,5.989,6.149
Historical,Brest,2005,2.653,18.030,5.925,7.683
Historical,Brest,2006,2.694,14.705,7.632,7.563
Historical,Brest,2007,3.281,10.767,7.261,7.626
Historical,Brest,2008,3.197,15.752,9.211,8.903
Historical,Brest,2009,3.685,17.471,7.396,7.693
Historical,Brest,2010,3.567,12.264,6.785,7.278
Historical,Brest,2011,1.613,18.622,5.885,7.456
Historical,Brest,2012,3.213,14.734,6.333,6.537
Historical,Brest,2013,2.993,15.285,7.297,8.231
Historical,Brest,2014,3.735,14.708,7.336,8.063
Historical,Gomel,1900,2.417,11.366,4.990,4.006
Historical,Gomel,1901,2.731,12.454,5.688,3.736
Historical,Gomel,1902,1.922,14.862,5.340,5.031
Historical,Gomel,1903,2.655,11.497,5.337,5.080
Historical,Gomel,1904,2.480,13.360,5.622,4.694
Historical,Gomel,1905,1.788,14.299,4.954,4.212
Historical,Gomel,1906,2.461,9.616,4.842,4.641
Historical,Gomel,1907,2.381,13.391,6.002,4.262
Historical,Gomel,1908,2.124,11.531,4.850,4.136
Historical,Gomel,1909,1.619,12.929,4.869,4.491
Historical,Gomel,1910,2.238,13.277,5.699,4.597
Historical,Gomel,1911,1.894,11.839,5.699,4.460
Historical,Gomel,1912,2.661,12.730,5.573,4.734
Historical,Gomel,1913,2.059,11.552,5.825,5.178
Historical,Gomel,1914,1.581,11.682,5.100,3.186
Historical,Gomel,1915,2.025,12.493,4.893,4.084
Historical,Gomel,1916,2.992,11.058,5.459,3.911
Historical,Gomel,1917,2.300,12.991,6.183,5.208
Historical,Gomel,1918,2.198,11.877,4.777,4.318
Historical,Gomel,1919,2.188,12.643,5.486,5.783
Historical,Gomel,1920,2.031,14.930,5.118,4.459
Historical,Gomel,1921,1.973,13.066,4.854,4.136
Historical,Gomel,1922,2.671,13.438,6.493,5.643
Historical,Gomel,1923,2.299,14.634,6.298,3.477
Historical,Gomel,1924,2.121,14.188,5.670,4.010
Historical,Gomel,1925,2.389,10.467,6.410,6.045
Historical,Gomel,1926,1.976,16.126,4.978,4.473
Historical,Gomel,1927,3.610,11.959,5.445,4.363
Historical,Gomel,1928,2.951,15.483,6.538,4.720
Historical,Gomel,1929,2.829,12.527,5.750,4.440
Historical,Gomel,1930,2.073,12.408,4.389,5.097
Historical,Gomel,1931,2.988,13.765,4.831,4.289
Historical,Gomel,1932,2.621,13.253,5.879,4.928
Historical,Gomel,1933,2.216,10.958,5.147,4.015
Historical,Gomel,1934,3.524,11.728,5.696,4.701
Historical,Gomel,1935,2.600,12.876,5.262,4.145
Historical,Gomel,1936,1.991,12.548,5.188,4.197
Historical,Gomel,1937,2.752,14.889,5.836,6.000
Historical,Gomel,1938,2.168,11.452,5.738,4.948
Historical,Gomel,1939,2.432,14.825,5.490,4.606
Historical,Gomel,1940,2.384,12.860,5.111,3.893
