experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,66.586,128.530,104.697,101.979
Historical,Brest,1901,47.720,125.532,99.434,102.019
Historical,Brest,1902,46.022,127.137,100.646,102.463
Historical,Brest,1903,43.428,122.586,97.585,104.961
Historical,Brest,1904,57.781,124.684,103.805,103.652
Historical,Brest,1905,56.635,126.285,100.159,99.562
Historical,Brest,1906,48.487,125.441,99.049,101.603
Historical,Brest,1907,64.216,119.582,96.043,93.957
Historical,Brest,1908,53.836,130.360,95.674,104.412
Historical,Brest,1909,54.519,122.881,102.526,102.212
Historical,Brest,1910,44.289,120.578,96.635,102.389
Historical,Brest,1911,45.202,124.932,96.766,100.201
Historical,Brest,1912,36.627,115.569,94.958,95.046
Historical,Brest,1913,37.258,123.953,101.580,96.121
Historical,Brest,1914,73.949,126.449,101.806,99.474
Historical,Brest,1915,50.881,134.045,86.420,99.762
Historical,Brest,1916,43.293,124.230,103.475,102.941
Historical,Brest,1917,50.173,122.130,103.544,102.068
Historical,Brest,1918,54.380,128.437,98.100,104.940
Historical,Brest,1919,35.124,122.299,96.659,102.402
Historical,Brest,1920,43.972,128.215,100.132,104.088
Historical,Brest,1921,72.979,132.453,95.688,104.647
Historical,Brest,1922,63.037,126.137,99.041,103.595
Historical,Brest,1923,66.886,127.314,99.400,100.382
Historical,Brest,1924,39.856,132.252,97.434,103.380
Historical,Brest,1925,57.693,123.407,95.959,98.277
Historical,Brest,1926,49.450,129.927,100.785,103.160
Historical,Brest,1927,55.481,124.987,101.819,102.545
Historical,Brest,1928,66.559,123.268,103.422,97.112
Historical,Brest,1929,61.917,127.486,100.133,101.131
Historical,Brest,1930,65.958,121.563,103.368,100.862
Historical,Brest,1931,54.912,120.010,101.929,99.164
Historical,Brest,1932,58.564,122.500,97.499,103.363
Historical,Brest,1933,42.898,125.758,94.744,100.284
Historical,Brest,1934,59.525,122.087,98.355,103.209
Historical,Brest,1935,58.714,127.497,105.118,100.930
Historical,Brest,1936,54.457,129.203,103.770,100.502
Historical,Brest,1937,53.719,113.307,99.744,99.628
Historical,Brest,1938,45.839,113.280,95.449,93.195
Historical,Brest,1939,46.758,121.624,101.893,97.888
Historical,Brest,1940,47.791,124.909,100.217,99.953
Historical,Brest,1941,43.601,124.217,97.291,102.013
Historical,Brest,1942,55.729,124.580,98.204,103.150
Historical,Brest,1943,47.428,117.809,94.685,99.278
Historical,Brest,1944,73.193,121.393,103.919,100.689
Historical,Brest,1945,68.614,121.444,100.048,102.358
Historical,Brest,1946,47.104,125.339,99.713,100.315
Historical,Brest,1947,49.539,124.718,103.427,104.407
Historical,Brest,1948,49.180,130.622,102.143,105.838
Historical,Brest,1949,60.021,123.557,96.265,98.539
Historical,Brest,1950,68.000,119.165,97.876,96.310
Historical,Brest,1951,49.876,119.746,100.072,97.263
Historical,Brest,1952,67.565,113.898,101.247,94.925
Historical,Brest,1953,45.643,123.429,101.323,102.070
Historical,Brest,1954,42.568,119.209,94.559,100.728
Historical,Brest,1955,55.827,126.772,96.137,101.438
Historical,Brest,1956,56.273,117.112,84.943,94.838
Historical,Brest,1957,68.485,123.263,91.314,102.307
Historical,Brest,1958,54.312,115.661,104.391,97.733
Historical,Brest,1959,39.285,119.060,97.928,96.338
Historical,Brest,1960,57.101,119.239,93.774,100.076
Historical,Brest,1961,48.563,120.212,97.080,99.126
Historical,Brest,1962,48.007,112.323,99.118,95.637
Historical,Brest,1963,49.136,118.123,98.045,94.398
Historical,Brest,1964,47.997,118.589,104.697,92.785
Historical,Brest,1965,43.902,113.715,89.904,94.809
Historical,Brest,1966,59.273,112.498,92.774,94.036
Historical,Brest,1967,50.730,115.848,100.795,95.378
Historical,Brest,1968,51.905,124.309,102.903,97.283
Historical,Brest,1969,49.009,119.117,96.414,97.100
Historical,Brest,1970,46.107,117.037,100.834,100.953
Historical,Brest,1971,48.201,114.615,102.684,89.884
Historical,Brest,1972,39.445,118.754,98.103,96.151
Historical,Brest,1973,69.188,117.601,97.893,94.828
Historical,Brest,1974,54.812,118.074,104.916,99.623
Historical,Brest,1975,46.371,115.425,93.249,95.766
Historical,Brest,1976,56.694,112.044,93.552,91.548
Historical,Brest,1977,66.899,109.819,95.468,92.602
Historical,Brest,1978,55.526,118.187,91.793,95.057
Historical,Brest,1979,37.289,116.790,101.988,96.611
Historical,Brest,1980,44.188,115.168,101.555,92.378
Historical,Brest,1981,49.889,116.905,95.635,91.332
Historical,Brest,1982,66.815,112.299,97.808,92.806
Historical,Brest,1983,47.424,112.354,96.965,89.222
Historical,Brest,1984,46.387,112.114,97.275,94.973
Historical,Brest,1985,60.691,121.250,98.718,97.580
Historical,Brest,1986,47.689,110.255,95.595,93.981
Historical,Brest,1987,49.110,115.430,96.720,97.551
Historical,Brest,1988,46.201,114.204,98.374,95.385
Historical,Brest,1989,59.234,117.635,101.733,95.329
Historical,Brest,1990,45.238,125.242,100.792,100.267
Historical,Brest,1991,50.763,123.323,100.035,98.691
Historical,Brest,1992,41.848,115.944,98.311,94.279
Historical,Brest,1993,60.917,123.665,98.330,98.209
Historical,Brest,1994,44.303,118.799,101.469,95.547
Historical,Brest,1995,63.934,122.323,101.666,99.312
Historical,Brest,1996,48.900,120.739,98.037,95.820
Historical,Brest,1997,64.642,121.579,96.046,95.333
