experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,74.861,126.586,106.250,104.871
Historical,Brest,1901,60.405,131.104,102.645,105.456
Historical,Brest,1902,79.162,133.925,102.467,108.692
Historical,Brest,1903,69.566,126.526,101.070,104.680
Historical,Brest,1904,47.502,126.837,105.163,99.103
Historical,Brest,1905,63.078,126.335,101.077,99.148
Historical,Brest,1906,56.033,132.142,105.959,103.852
Historical,Brest,1907,73.632,129.853,102.386,99.996
Historical,Brest,1908,65.017,119.543,102.705,101.509
Historical,Brest,1909,58.138,130.804,102.393,98.033
Historical,Brest,1910,70.661,122.002,105.605,102.841
Historical,Brest,1911,69.812,126.007,108.680,98.216
Historical,Brest,1912,49.114,123.867,100.120,95.534
Historical,Brest,1913,65.438,121.538,104.265,101.711
Historical,Brest,1914,73.660,128.004,105.625,101.601
Historical,Brest,1915,68.646,126.296,104.615,97.802
Historical,Brest,1916,46.391,119.854,105.830,96.902
Historical,Brest,1917,47.952,129.442,104.416,97.977
Historical,Brest,1918,68.874,133.101,113.922,104.563
Historical,Brest,1919,68.202,127.231,104.428,104.095
Historical,Brest,1920,76.697,131.625,106.264,103.620
Historical,Brest,1921,69.443,130.449,107.508,106.425
Historical,Brest,1922,75.611,123.639,103.884,104.902
Historical,Brest,1923,72.389,128.541,110.700,98.820
Historical,Brest,1924,58.534,123.070,103.933,94.604
Historical,Brest,1925,73.247,127.647,102.007,99.877
Historical,Brest,1926,57.276,131.918,106.833,107.221
Historical,Brest,1927,69.652,127.607,109.804,100.060
Historical,Brest,1928,67.273,128.638,107.475,104.577
Historical,Brest,1929,73.400,130.248,105.959,108.740
Historical,Brest,1930,73.918,129.402,105.477,102.440
Historical,Brest,1931,75.621,124.333,100.354,102.538
Historical,Brest,1932,71.199,124.108,104.946,102.016
Historical,Brest,1933,52.778,128.977,101.059,101.935
Historical,Brest,1934,78.349,130.165,103.413,102.264
Historical,Brest,1935,80.150,127.553,105.198,103.636
Historical,Brest,1936,74.861,127.578,106.488,104.474
Historical,Brest,1937,71.169,125.350,102.523,98.670
Historical,Brest,1938,76.587,123.385,103.737,100.215
Historical,Brest,1939,64.919,120.697,101.643,97.909
Historical,Brest,1940,63.321,128.257,102.928,103.853
Historical,Brest,1941,62.369,123.265,101.914,102.500
Historical,Brest,1942,73.863,121.019,108.380,100.917
Historical,Brest,1943,52.539,120.959,101.339,98.175
Historical,Brest,1944,71.723,125.907,105.228,102.672
Historical,Brest,1945,72.112,130.880,104.952,102.040
Historical,Brest,1946,70.058,120.336,106.546,103.420
Historical,Brest,1947,76.270,127.062,103.146,98.534
Historical,Brest,1948,59.005,126.384,103.955,97.981
Historical,Brest,1949,47.746,122.483,105.661,97.071
Historical,Brest,1950,70.465,122.465,107.871,98.262
Historical,Brest,1951,70.763,121.995,104.899,102.632
Historical,Brest,1952,70.298,123.942,103.920,101.214
Historical,Brest,1953,76.475,118.235,107.399,100.351
Historical,Brest,1954,71.300,122.704,107.222,103.582
Historical,Brest,1955,71.098,123.900,103.859,100.608
Historical,Brest,1956,69.151,122.271,100.924,97.493
Historical,Brest,1957,74.100,121.669,104.940,103.416
Historical,Brest,1958,81.856,122.010,100.629,98.907
Historical,Brest,1959,58.138,121.045,106.884,102.076
Historical,Brest,1960,69.145,123.421,105.449,93.631
Historical,Brest,1961,81.919,117.853,105.887,100.814
Historical,Brest,1962,72.320,120.594,101.707,99.861
Historical,Brest,1963,52.919,123.912,100.994,92.861
Historical,Brest,1964,63.540,123.532,100.419,92.830
Historical,Brest,1965,63.110,117.479,100.248,99.742
Historical,Brest,1966,72.522,121.135,101.617,93.894
Historical,Brest,1967,73.987,118.610,99.870,94.997
Historical,Brest,1968,66.729,124.268,108.040,103.381
Historical,Brest,1969,75.537,120.562,100.259,99.816
Historical,Brest,1970,67.174,114.617,101.304,95.498
Historical,Brest,1971,77.789,124.330,102.578,95.643
Historical,Brest,1972,53.624,118.072,100.832,91.110
Historical,Brest,1973,71.611,119.320,104.831,98.636
Historical,Brest,1974,74.022,121.235,104.264,93.807
Historical,Brest,1975,70.050,121.982,99.451,96.346
Historical,Brest,1976,77.793,115.344,103.225,98.224
Historical,Brest,1977,70.553,119.884,103.685,95.195
Historical,Brest,1978,69.960,117.824,101.870,94.801
Historical,Brest,1979,71.987,118.450,104.954,94.032
Historical,Brest,1980,67.276,124.453,103.431,96.746
Historical,Brest,1981,64.328,120.332,100.823,95.373
Historical,Brest,1982,74.241,117.468,99.703,96.056
Historical,Brest,1983,66.324,117.594,99.418,95.657
Historical,Brest,1984,69.524,122.170,103.842,97.262
Historical,Brest,1985,74.852,121.445,104.439,99.513
Historical,Brest,1986,75.266,117.398,104.829,101.010
Historical,Brest,1987,69.331,117.796,103.060,95.952
Historical,Brest,1988,77.955,122.509,106.325,100.745
Historical,Brest,1989,73.863,121.173,101.993,94.618
Historical,Brest,1990,63.238,122.984,103.282,96.965
Historical,Brest,1991,75.314,115.572,103.699,96.243
Historical,Brest,1992,59.825,121.617,98.698,98.537
Historical,Brest,1993,70.301,118.126,102.190,88.384
Historical,Brest,1994,74.864,127.583,104.196,100.706
Historical,Brest,1995,71.745,120.854,104.726,92.545
Historical,Brest,1996,80.223,127.156,105.253,101.974
Historical,Brest,1997,75.215,127.941,105.214,100.907
Historical,Brest,1998,70.149,129.864,110.091,96.570
Historical,Brest,1999,69.860,128.817,106.045,101.883
Historical,Brest,2000,68.972,126.186,103.415,94.024
Historical,Brest,2001,75.145,123.757,105.943,97.704
Historical,Brest,2002,82.058,123.580,105.669,97.944
Historical,Brest,2003,71.502,125.796,105.075,98.382
Historical,Brest,2004,61.438,128.945,108.913,104.761
Historical,Brest,2005,62.962,128.116,104.982,103.444
Historical,Brest,2006,73.811,126.431,105.719,99.583
Historical,Brest,2007,65.358,128.567,110.017,102.855
Historical,Brest,2008,72.011,130.153,102.100,100.129
Historical,Brest,2009,71.155,129.321,96.812,90.004
Historical,Brest,2010,66.511,128.473,105.155,102.647
Historical,Brest,2011,66.937,128.213,104.221,95.512
Historical,Brest,2012,71.808,127.901,109.414,102.223
Historical,Brest,2013,77.315,123.465,108.415,104.762
Historical,Brest,2014,71.697,129.203,104.885,106.497
Historical,Gomel,1900,67.988,131.905,110.665,106.598
Historical,Gomel,1901,49.548,128.136,107.724,108.037
Historical,Gomel,1902,68.738,132.246,109.498,108.711
Historical,Gomel,1903,67.260,123.963,102.724,107.165
Historical,Gomel,1904,63.378,126.478,103.029,100.294
Historical,Gomel,1905,76.931,127.532,104.114,104.670
Historical,Gomel,1906,68.265,133.430,106.065,106.031
Historical,Gomel,1907,77.237,126.320,109.797,104.922
Historical,Gomel,1908,71.649,125.656,103.750,106.245
Historical,Gomel,1909,49.783,131.537,103.362,105.329
Historical,Gomel,1910,66.000,120.196,106.510,102.668
Historical,Gomel,1911,56.664,132.574,107.232,106.956
Historical,Gomel,1912,66.536,127.113,104.494,102.767
Historical,Gomel,1913,77.337,127.472,109.998,109.702
Historical,Gomel,1914,72.977,131.713,99.934,104.756
Historical,Gomel,1915,70.167,127.906,106.154,100.099
Historical,Gomel,1916,56.373,122.452,106.489,100.199
Historical,Gomel,1917,68.985,127.661,109.211,100.904
Historical,Gomel,1918,65.863,128.253,111.439,105.120
Historical,Gomel,1919,65.285,133.108,103.009,107.111
Historical,Gomel,1920,68.436,133.021,108.589,107.609
Historical,Gomel,1921,67.046,127.448,102.105,104.851
Historical,Gomel,1922,71.187,126.537,101.789,100.792
Historical,Gomel,1923,69.375,124.190,110.996,101.822
Historical,Gomel,1924,66.837,131.067,105.320,101.513
Historical,Gomel,1925,71.758,124.473,97.669,99.933
Historical,Gomel,1926,52.500,132.808,109.533,109.509
Historical,Gomel,1927,78.770,127.691,105.612,102.319
Historical,Gomel,1928,67.341,130.928,111.432,106.533
Historical,Gomel,1929,70.729,127.673,110.356,105.292
Historical,Gomel,1930,68.182,124.890,109.158,102.808
Historical,Gomel,1931,70.243,129.124,101.329,100.429
Historical,Gomel,1932,68.322,129.086,102.521,100.466
