experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,10.540,35.943,22.305,21.387
Historical,Brest,1901,11.982,29.147,21.359,20.682
Historical,Brest,1902,13.558,31.824,19.302,23.260
Historical,Brest,1903,13.159,32.282,17.484,20.997
Historical,Brest,1904,14.165,30.740,21.188,20.283
Historical,Brest,1905,14.269,28.215,19.263,18.063
Historical,Brest,1906,11.590,33.189,21.187,22.470
Historical,Brest,1907,12.123,27.814,18.680,18.585
Historical,Brest,1908,8.807,36.941,24.037,24.868
Historical,Brest,1909,12.521,28.923,20.210,18.735
Historical,Brest,1910,13.856,31.518,21.481,23.252
Historical,Brest,1911,12.938,34.977,21.102,22.000
Historical,Brest,1912,14.204,30.189,21.677,19.702
Historical,Brest,1913,9.987,30.952,21.493,20.475
Historical,Brest,1914,10.089,30.582,20.055,19.128
Historical,Brest,1915,9.911,34.931,21.783,21.831
Historical,Brest,1916,12.602,33.809,22.365,23.564
Historical,Brest,1917,12.122,31.385,19.699,20.151
Historical,Brest,1918,11.738,34.720,20.561,19.098
Historical,Brest,1919,13.588,36.009,22.517,23.720
Historical,Brest,1920,13.900,31.055,21.298,25.593
Historical,Brest,1921,10.468,33.301,19.838,24.085
Historical,Brest,1922,15.384,34.484,24.641,24.637
Historical,Brest,1923,10.217,31.908,20.580,18.934
Historical,Brest,1924,13.856,36.200,19.874,18.489
Historical,Brest,1925,17.601,35.086,23.217,26.309
Historical,Brest,1926,12.980,31.114,23.288,22.594
Historical,Brest,1927,14.117,32.679,22.167,22.110
Historical,Brest,1928,9.669,33.567,21.655,21.046
Historical,Brest,1929,13.129,36.274,24.761,23.515
Historical,Brest,1930,12.404,31.187,18.721,18.405
Historical,Brest,1931,9.984,30.100,17.880,18.833
Historical,Brest,1932,10.372,34.457,21.157,24.576
Historical,Brest,1933,14.397,28.828,18.882,18.117
Historical,Brest,1934,12.574,27.594,20.793,17.503
Historical,Brest,1935,12.351,31.941,21.451,20.401
Historical,Brest,1936,10.711,36.603,20.974,22.124
Historical,Brest,1937,10.763,31.856,21.285,24.947
Historical,Brest,1938,12.643,31.443,20.525,23.739
Historical,Brest,1939,9.389,28.082,18.828,18.587
Historical,Brest,1940,12.078,34.512,19.344,16.248
Historical,Brest,1941,11.441,33.072,18.441,22.374
Historical,Brest,1942,11.012,32.625,20.086,19.252
Historical,Brest,1943,11.210,32.787,18.738,21.738
Historical,Brest,1944,9.677,29.559,22.014,17.957
Historical,Brest,1945,11.355,28.488,23.260,20.004
Historical,Brest,1946,11.540,36.213,20.022,22.280
Historical,Brest,1947,11.976,34.158,20.926,18.167
Historical,Brest,1948,10.986,32.039,19.323,21.033
Historical,Brest,1949,11.077,34.607,22.138,26.547
Historical,Brest,1950,14.061,33.154,22.482,23.829
Historical,Brest,1951,11.752,34.241,20.359,20.290
Historical,Brest,1952,11.098,28.772,19.100,20.562
Historical,Brest,1953,10.164,31.226,19.164,18.125
Historical,Brest,1954,10.679,29.555,19.885,20.309
Historical,Brest,1955,10.336,30.754,19.290,22.102
Historical,Brest,1956,13.445,34.311,20.864,18.589
Historical,Brest,1957,9.867,30.825,18.273,21.265
Historical,Brest,1958,14.120,31.072,19.112,21.591
Historical,Brest,1959,13.585,33.598,22.919,23.063
Historical,Brest,1960,13.435,35.139,19.790,24.113
Historical,Brest,1961,13.246,36.699,20.531,24.441
Historical,Brest,1962,12.673,27.854,19.794,21.427
Historical,Brest,1963,13.132,34.838,19.411,20.906
Historical,Brest,1964,13.625,34.746,20.729,23.522
Historical,Brest,1965,11.002,30.054,19.171,18.119
Historical,Brest,1966,11.133,34.108,20.491,23.213
Historical,Brest,1967,10.900,28.321,21.586,18.664
Historical,Brest,1968,12.306,31.799,19.149,20.477
Historical,Brest,1969,10.174,33.143,18.312,23.984
Historical,Brest,1970,9.404,31.898,19.516,21.374
Historical,Brest,1971,12.922,31.714,19.928,19.587
Historical,Brest,1972,11.362,34.234,16.522,23.617
Historical,Brest,1973,11.633,31.443,20.471,21.897
Historical,Brest,1974,12.278,31.692,23.622,20.395
Historical,Brest,1975,13.075,30.928,20.727,18.718
Historical,Brest,1976,12.068,31.842,20.261,21.066
Historical,Brest,1977,10.486,32.148,18.630,21.110
Historical,Brest,1978,13.305,30.737,20.917,21.305
Historical,Brest,1979,12.997,28.951,20.744,20.132
Historical,Brest,1980,11.933,30.134,19.775,20.522
Historical,Brest,1981,10.612,30.879,19.879,19.816
Historical,Brest,1982,11.061,26.032,17.917,18.577
Historical,Brest,1983,12.069,30.369,20.735,23.730
Historical,Brest,1984,11.600,29.325,17.582,16.443
Historical,Brest,1985,16.020,30.160,22.068,20.616
Historical,Brest,1986,12.772,29.360,19.070,20.513
Historical,Brest,1987,11.633,30.351,19.512,18.840
Historical,Brest,1988,13.734,32.520,21.118,26.665
Historical,Brest,1989,13.634,27.131,21.892,20.330
Historical,Brest,1990,15.968,34.313,21.467,25.013
Historical,Brest,1991,16.842,31.243,22.332,22.010
Historical,Brest,1992,12.585,32.064,19.718,20.914
Historical,Brest,1993,11.347,32.106,20.325,20.907
Historical,Brest,1994,13.806,31.778,20.726,22.788
Historical,Brest,1995,12.827,35.114,23.329,23.704
Historical,Brest,1996,13.370,32.135,22.438,23.130
Historical,Brest,1997,8.569,35.235,23.015,20.865
Historical,Brest,1998,10.125,37.539,20.574,22.073
Historical,Brest,1999,13.262,33.481,21.304,24.500
Historical,Brest,2000,13.919,42.782,22.721,26.845
Historical,Brest,2001,12.976,36.249,22.864,23.898
Historical,Brest,2002,14.862,32.837,24.225,28.249
Historical,Brest,2003,18.411,36.395,23.600,27.081
Historical,Brest,2004,15.670,37.920,25.098,27.995
Historical,Brest,2005,18.637,36.214,25.236,29.434
Historical,Brest,2006,13.250,40.539,23.954,24.171
Historical,Brest,2007,15.077,35.637,21.439,24.366
Historical,Brest,2008,14.426,41.626,23.677,27.024
Historical,Brest,2009,14.366,32.848,24.232,22.956
Historical,Brest,2010,17.046,34.260,24.807,23.049
Historical,Brest,2011,14.140,34.175,23.598,26.928
Historical,Brest,2012,14.865,36.371,25.916,25.956
Historical,Brest,2013,16.261,36.654,23.633,21.009
Historical,Brest,2014,14.306,38.147,23.223,27.652
Historical,Gomel,1900,11.755,34.909,20.160,18.485
