experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,58.155,106.130,86.366,91.323
Historical,Brest,1901,62.955,111.962,87.015,97.020
Historical,Brest,1902,58.826,107.262,87.528,95.399
Historical,Brest,1903,67.354,98.686,82.824,89.528
Historical,Brest,1904,61.064,96.987,82.252,83.413
Historical,Brest,1905,68.883,102.734,83.331,92.079
Historical,Brest,1906,59.669,110.328,81.202,90.547
Historical,Brest,1907,55.098,103.121,84.626,87.604
Historical,Brest,1908,61.288,103.651,82.416,94.701
Historical,Brest,1909,60.457,107.502,84.330,97.768
Historical,Brest,1910,58.360,111.697,84.212,91.955
Historical,Brest,1911,47.932,105.829,85.971,88.771
Historical,Brest,1912,54.644,109.900,84.875,93.597
Historical,Brest,1913,58.712,97.692,78.469,83.256
Historical,Brest,1914,56.749,102.240,84.054,88.946
Historical,Brest,1915,47.366,109.522,82.253,93.718
Historical,Brest,1916,49.670,99.719,84.494,88.364
Historical,Brest,1917,62.339,104.360,85.266,93.256
Historical,Brest,1918,53.491,105.476,83.511,83.415
Historical,Brest,1919,55.337,108.453,85.366,89.519
Historical,Brest,1920,57.843,103.466,87.227,94.808
Historical,Brest,1921,55.473,102.501,84.048,96.404
Historical,Brest,1922,58.415,108.282,85.634,88.025
Historical,Brest,1923,58.536,109.834,83.179,92.051
Historical,Brest,1924,61.965,104.805,80.865,88.059
Historical,Brest,1925,60.687,103.895,78.665,92.497
Historical,Brest,1926,62.716,100.928,88.636,92.482
Historical,Brest,1927,64.735,108.661,87.060,95.928
Historical,Brest,1928,53.161,101.689,83.061,89.308
Historical,Brest,1929,56.105,105.968,80.450,89.401
Historical,Brest,1930,59.716,111.638,87.007,93.446
Historical,Brest,1931,63.822,102.619,84.313,84.674
Historical,Brest,1932,62.734,107.410,87.456,92.203
Historical,Brest,1933,57.996,102.356,84.434,93.962
Historical,Brest,1934,56.430,102.572,87.779,97.476
Historical,Brest,1935,59.371,100.751,85.407,95.221
Historical,Brest,1936,56.872,102.137,85.617,88.725
Historical,Brest,1937,64.920,105.440,87.594,89.930
Historical,Brest,1938,63.383,104.765,84.800,92.528
Historical,Brest,1939,54.487,105.627,80.747,94.353
Historical,Brest,1940,57.353,103.086,85.782,93.728
Historical,Brest,1941,53.432,98.426,84.301,85.233
Historical,Brest,1942,61.573,99.779,84.118,89.209
Historical,Brest,1943,62.687,98.451,85.934,92.779
Historical,Brest,1944,51.783,107.213,82.362,92.094
Historical,Brest,1945,65.570,99.853,80.049,91.852
Historical,Brest,1946,56.521,102.070,90.704,95.322
Historical,Brest,1947,59.280,109.004,77.985,91.355
Historical,Brest,1948,61.131,100.582,84.579,96.403
Historical,Brest,1949,48.398,104.525,83.208,96.340
Historical,Brest,1950,49.540,97.939,86.013,89.136
Historical,Brest,1951,63.473,100.392,82.905,84.750
Historical,Brest,1952,59.495,102.309,82.793,88.740
Historical,Brest,1953,56.388,100.199,84.431,84.128
Historical,Brest,1954,51.795,103.581,83.650,87.630
Historical,Brest,1955,48.701,104.350,79.128,85.582
Historical,Brest,1956,51.048,97.817,81.834,87.840
Historical,Brest,1957,54.790,97.281,82.134,85.287
Historical,Brest,1958,61.906,96.997,83.178,93.542
Historical,Brest,1959,53.439,104.513,80.937,83.360
Historical,Brest,1960,54.658,104.180,83.100,91.082
Historical,Brest,1961,60.770,99.773,82.152,91.178
Historical,Brest,1962,55.053,97.659,85.851,89.481
Historical,Brest,1963,58.876,96.946,82.454,91.212
Historical,Brest,1964,52.643,94.964,82.308,88.323
Historical,Brest,1965,58.415,99.606,82.951,90.078
Historical,Brest,1966,58.007,103.775,80.442,88.738
Historical,Brest,1967,63.548,100.381,81.922,85.254
Historical,Brest,1968,51.985,99.823,82.373,87.457
Historical,Brest,1969,68.070,94.732,80.940,96.149
Historical,Brest,1970,58.237,91.725,79.994,80.121
Historical,Brest,1971,60.991,96.425,81.385,84.991
Historical,Brest,1972,63.698,97.209,80.567,94.418
Historical,Brest,1973,61.974,95.285,82.534,88.030
Historical,Brest,1974,60.193,99.570,80.552,87.986
Historical,Brest,1975,60.586,99.270,81.507,91.884
