experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,6.500,19.576,10.643,9.328
Historical,Brest,1901,7.470,19.150,12.816,10.867
Historical,Brest,1902,6.629,17.548,12.034,10.287
Historical,Brest,1903,7.879,17.663,13.074,10.700
Historical,Brest,1904,6.318,18.275,11.417,9.960
Historical,Brest,1905,7.937,19.608,12.379,9.475
Historical,Brest,1906,6.509,18.686,11.237,8.619
Historical,Brest,1907,6.652,17.713,12.812,9.967
Historical,Brest,1908,6.427,17.963,11.884,10.734
Historical,Brest,1909,7.101,17.333,11.575,9.675
Historical,Brest,1910,7.793,16.527,12.751,9.454
Historical,Brest,1911,6.756,17.665,12.696,9.575
Historical,Brest,1912,5.878,17.483,12.344,7.805
Historical,Brest,1913,7.644,19.942,13.192,13.317
Historical,Brest,1914,6.680,21.595,11.457,10.153
Historical,Brest,1915,7.429,17.572,12.500,9.781
Historical,Brest,1916,7.473,19.179,13.462,10.798
Historical,Brest,1917,6.714,20.284,12.583,11.417
Historical,Brest,1918,7.552,18.385,13.141,12.087
Historical,Brest,1919,7.753,18.279,13.192,12.406
Historical,Brest,1920,7.419,16.899,11.837,10.122
Historical,Brest,1921,8.889,20.536,13.661,11.641
Historical,Brest,1922,7.606,17.484,12.429,9.989
Historical,Brest,1923,8.976,19.216,13.616,11.294
Historical,Brest,1924,8.101,18.222,11.853,10.983
Historical,Brest,1925,7.756,19.288,13.733,10.664
Historical,Brest,1926,8.247,19.398,11.974,11.154
Historical,Brest,1927,7.290,18.506,12.133,10.195
Historical,Brest,1928,8.070,23.553,12.145,11.658
Historical,Brest,1929,5.793,18.376,12.362,8.045
Historical,Brest,1930,7.936,20.157,12.493,12.124
Historical,Brest,1931,7.505,20.771,13.066,11.490
Historical,Brest,1932,6.100,16.770,12.878,9.732
Historical,Brest,1933,7.620,18.694,12.263,10.574
Historical,Brest,1934,8.082,18.258,13.356,10.852
Historical,Brest,1935,9.240,20.063,14.147,11.825
Historical,Brest,1936,7.039,16.752,12.655,9.793
Historical,Brest,1937,7.630,17.989,12.381,11.564
Historical,Brest,1938,6.001,19.018,11.940,10.123
Historical,Brest,1939,6.570,19.498,12.095,11.065
Historical,Brest,1940,7.871,16.285,11.728,9.687
Historical,Brest,1941,7.446,18.403,13.339,10.205
Historical,Brest,1942,7.126,18.726,12.540,9.649
Historical,Brest,1943,8.520,19.482,13.992,12.531
Historical,Brest,1944,7.864,16.525,12.014,9.963
Historical,Brest,1945,6.154,18.404,12.011,9.624
Historical,Brest,1946,8.268,20.691,12.782,12.071
Historical,Brest,1947,7.624,15.484,11.932,9.005
Historical,Brest,1948,7.309,21.054,12.169,11.277
Historical,Brest,1949,6.448,19.306,12.345,9.300
Historical,Brest,1950,7.549,21.504,12.616,11.607
Historical,Brest,1951,8.185,19.440,12.012,10.228
Historical,Brest,1952,8.897,17.545,13.075,10.745
Historical,Brest,1953,7.039,19.153,12.972,10.713
Historical,Brest,1954,8.029,20.318,12.030,9.551
Historical,Brest,1955,8.399,18.930,11.493,11.069
Historical,Brest,1956,5.057,16.406,10.861,9.838
Historical,Brest,1957,5.732,18.827,12.166,10.941
Historical,Brest,1958,8.324,16.714,13.444,10.884
Historical,Brest,1959,7.471,15.879,11.603,9.564
Historical,Brest,1960,7.239,21.096,12.631,11.736
Historical,Brest,1961,6.589,20.164,11.931,9.367
Historical,Brest,1962,6.225,18.547,13.059,11.228
Historical,Brest,1963,7.000,20.717,12.757,11.130
Historical,Brest,1964,6.428,17.935,11.840,10.312
Historical,Brest,1965,6.176,17.094,11.977,7.916
Historical,Brest,1966,5.730,19.086,11.848,9.750
Historical,Brest,1967,6.726,14.229,11.922,8.498
Historical,Brest,1968,6.315,18.669,11.801,12.398
Historical,Brest,1969,7.131,18.454,11.308,11.698
Historical,Brest,1970,6.607,18.493,11.956,9.965
Historical,Brest,1971,6.511,20.211,10.865,12.507
Historical,Brest,1972,5.573,16.789,10.555,9.159
Historical,Brest,1973,6.302,16.480,11.393,10.923
Historical,Brest,1974,6.692,17.983,11.267,9.718
Historical,Brest,1975,7.297,18.537,10.705,11.778
Historical,Brest,1976,6.396,20.888,12.751,9.481
Historical,Brest,1977,6.789,18.253,11.570,11.247
Historical,Brest,1978,6.339,16.760,12.544,10.202
Historical,Brest,1979,6.633,18.023,12.901,10.728
Historical,Brest,1980,7.418,17.803,13.189,11.426
Historical,Brest,1981,7.463,22.262,12.541,12.757
Historical,Brest,1982,6.394,16.935,12.048,10.908
Historical,Brest,1983,7.526,18.045,11.149,9.994
Historical,Brest,1984,7.117,18.508,12.626,10.618
Historical,Brest,1985,7.604,18.163,12.162,10.481
Historical,Brest,1986,6.819,16.577,13.272,9.991
Historical,Brest,1987,6.705,18.126,11.209,8.592
Historical,Brest,1988,7.936,20.681,12.379,12.527
Historical,Brest,1989,8.886,17.529,12.998,11.020
Historical,Brest,1990,7.432,19.994,12.759,11.382
Historical,Brest,1991,9.414,16.442,13.062,10.886
Historical,Brest,1992,6.884,18.615,12.226,10.062
Historical,Brest,1993,7.085,18.988,12.245,10.945
Historical,Brest,1994,6.514,17.014,12.396,11.241
Historical,Brest,1995,8.367,18.873,11.451,10.505
Historical,Brest,1996,6.990,19.667,12.891,11.812
Historical,Brest,1997,8.899,19.345,12.766,10.573
Historical,Brest,1998,7.828,19.566,12.967,10.473
Historical,Brest,1999,8.475,21.607,13.598,10.744
