experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,18.557,34.757,25.246,26.057
Historical,Brest,1901,18.966,34.648,26.313,26.626
Historical,Brest,1902,16.301,33.007,22.823,24.395
Historical,Brest,1903,17.825,31.884,25.095,25.509
Historical,Brest,1904,16.255,33.986,24.711,24.312
Historical,Brest,1905,16.116,33.593,27.271,24.322
Historical,Brest,1906,16.615,32.924,23.821,24.270
Historical,Brest,1907,14.735,32.303,22.947,22.328
Historical,Brest,1908,16.356,35.743,26.434,26.643
Historical,Brest,1909,16.797,33.988,24.743,25.525
Historical,Brest,1910,17.304,35.803,23.514,25.641
Historical,Brest,1911,15.779,32.276,23.838,24.155
Historical,Brest,1912,14.264,30.660,24.167,23.001
Historical,Brest,1913,16.272,34.638,27.044,23.621
Historical,Brest,1914,16.192,34.039,25.775,25.451
Historical,Brest,1915,16.185,33.602,24.879,24.250
Historical,Brest,1916,16.349,33.073,26.372,25.228
Historical,Brest,1917,18.348,32.307,23.272,24.491
Historical,Brest,1918,15.720,34.190,25.373,23.876
Historical,Brest,1919,16.798,35.014,24.349,26.663
Historical,Brest,1920,15.660,33.150,23.297,22.014
Historical,Brest,1921,18.322,33.689,25.578,24.385
Historical,Brest,1922,16.464,34.061,24.543,23.535
Historical,Brest,1923,16.922,33.690,24.938,24.705
Historical,Brest,1924,16.463,33.160,23.928,24.116
Historical,Brest,1925,18.106,33.524,25.801,28.074
Historical,Brest,1926,18.287,32.921,23.328,25.292
Historical,Brest,1927,19.054,34.519,24.061,26.585
Historical,Brest,1928,15.690,31.995,25.074,22.672
Historical,Brest,1929,16.292,33.059,23.128,22.792
Historical,Brest,1930,18.529,33.847,25.649,25.716
Historical,Brest,1931,16.534,31.750,23.214,24.417
Historical,Brest,1932,17.473,33.552,23.998,24.877
Historical,Brest,1933,16.472,31.758,24.314,22.736
Historical,Brest,1934,15.530,35.259,24.771,25.732
Historical,Brest,1935,16.806,34.327,24.472,23.010
Historical,Brest,1936,16.588,35.180,25.677,26.698
Historical,Brest,1937,14.297,34.217,23.354,23.420
Historical,Brest,1938,17.149,34.163,24.429,25.209
Historical,Brest,1939,15.353,34.226,23.919,25.403
Historical,Brest,1940,15.295,33.842,25.115,23.275
Historical,Brest,1941,16.473,36.230,25.950,25.823
Historical,Brest,1942,16.859,34.594,23.680,26.138
Historical,Brest,1943,16.115,34.094,21.189,21.561
Historical,Brest,1944,18.043,33.704,25.200,22.010
Historical,Brest,1945,15.556,35.358,25.159,27.138
Historical,Brest,1946,17.081,35.491,23.997,24.346
Historical,Brest,1947,16.519,34.660,24.826,23.393
Historical,Brest,1948,16.242,33.301,24.730,28.291
Historical,Brest,1949,17.511,33.400,24.180,24.043
Historical,Brest,1950,18.544,32.613,25.850,27.862
Historical,Brest,1951,17.371,33.542,24.222,20.923
Historical,Brest,1952,16.286,33.138,26.977,27.376
Historical,Brest,1953,15.985,30.221,25.183,24.888
Historical,Brest,1954,14.957,31.553,24.709,20.895
Historical,Brest,1955,16.211,31.703,25.155,25.124
Historical,Brest,1956,15.713,31.387,26.662,24.512
Historical,Brest,1957,15.994,32.483,25.691,24.942
Historical,Brest,1958,16.089,32.124,25.975,22.495
Historical,Brest,1959,16.693,34.365,22.263,25.583
Historical,Brest,1960,16.996,31.866,22.051,26.528
Historical,Brest,1961,13.679,34.306,24.146,22.826
Historical,Brest,1962,16.792,32.059,25.029,24.909
Historical,Brest,1963,16.359,32.974,23.506,23.085
Historical,Brest,1964,15.250,31.833,24.924,23.824
Historical,Brest,1965,16.096,32.769,22.772,24.604
Historical,Brest,1966,15.978,29.227,24.681,26.159
Historical,Brest,1967,16.025,31.954,24.514,23.517
Historical,Brest,1968,15.275,32.407,25.430,25.048
Historical,Brest,1969,17.173,32.958,22.610,24.150
Historical,Brest,1970,15.123,31.132,25.032,21.111
Historical,Brest,1971,17.666,34.546,22.987,25.837
Historical,Brest,1972,15.189,31.653,24.606,21.152
Historical,Brest,1973,15.446,32.141,25.234,23.510
Historical,Brest,1974,15.472,35.317,24.129,26.699
Historical,Brest,1975,15.826,32.474,25.187,24.882
Historical,Brest,1976,15.897,33.632,24.482,22.919
Historical,Brest,1977,15.924,31.733,22.743,22.586
Historical,Brest,1978,14.699,28.805,22.280,20.408
Historical,Brest,1979,16.435,33.164,23.901,22.041
Historical,Brest,1980,14.014,32.605,22.203,24.335
Historical,Brest,1981,16.357,33.344,23.443,22.469
Historical,Brest,1982,15.229,34.224,21.963,19.468
Historical,Brest,1983,15.570,30.409,24.292,23.482
Historical,Brest,1984,15.460,32.679,22.737,26.186
Historical,Brest,1985,15.436,31.692,23.755,24.214
Historical,Brest,1986,15.888,33.798,25.094,21.998
Historical,Brest,1987,16.337,30.331,22.998,22.721
Historical,Brest,1988,18.094,33.879,24.273,25.935
Historical,Brest,1989,16.740,29.834,23.779,24.193
Historical,Brest,1990,14.224,32.239,24.290,25.547
Historical,Brest,1991,16.004,32.552,23.228,24.901
Historical,Brest,1992,14.584,33.247,23.588,22.163
Historical,Brest,1993,18.534,32.325,24.172,23.149
Historical,Brest,1994,17.068,30.800,24.174,22.739
Historical,Brest,1995,17.611,31.678,25.499,25.912
Historical,Brest,1996,17.442,34.122,24.276,23.453
Historical,Brest,1997,17.766,35.149,23.090,23.370
Historical,Brest,1998,16.221,34.252,24.161,23.984
Historical,Brest,1999,17.537,38.113,25.814,28.747
Historical,Brest,2000,15.497,34.808,24.988,23.269
Historical,Brest,2001,17.534,33.421,25.655,27.926
Historical,Brest,2002,15.115,37.757,27.560,23.807
Historical,Brest,2003,17.446,36.641,24.267,26.476
Historical,Brest,2004,15.939,34.491,26.027,25.137
Historical,Brest,2005,14.031,31.620,23.463,24.779
Historical,Brest,2006,15.844,33.578,24.938,26.951
Historical,Brest,2007,17.570,31.169,23.694,24.646
Historical,Brest,2008,16.498,33.820,24.524,25.402
Historical,Brest,2009,16.383,32.302,26.793,27.254
Historical,Brest,2010,17.292,32.336,26.484,24.801
Historical,Brest,2011,15.805,39.157,24.764,24.932
Historical,Brest,2012,17.337,36.620,27.014,26.429
Historical,Brest,2013,18.516,34.520,23.005,24.326
Historical,Brest,2014,19.891,35.644,26.651,25.789
Historical,Gomel,1900,16.478,33.502,24.577,25.659
Historical,Gomel,1901,17.947,34.394,23.574,26.173
Historical,Gomel,1902,16.578,31.147,21.887,24.170
Historical,Gomel,1903,15.703,30.036,23.806,24.483
Historical,Gomel,1904,16.235,33.218,23.784,25.752
Historical,Gomel,1905,17.504,34.378,23.615,22.044
Historical,Gomel,1906,16.336,32.315,22.393,25.315
Historical,Gomel,1907,16.575,34.649,23.314,22.990
Historical,Gomel,1908,18.100,32.594,26.598,25.654
Historical,Gomel,1909,15.610,33.177,24.242,21.917
Historical,Gomel,1910,15.976,33.886,23.912,25.578
Historical,Gomel,1911,15.091,34.015,22.779,24.597
Historical,Gomel,1912,14.485,29.859,23.931,23.948
Historical,Gomel,1913,15.769,30.909,24.659,23.596
Historical,Gomel,1914,15.432,35.774,24.023,26.726
Historical,Gomel,1915,13.732,32.214,25.389,24.210
Historical,Gomel,1916,17.111,30.605,24.515,23.163
Historical,Gomel,1917,17.042,32.808,21.915,23.650
Historical,Gomel,1918,15.651,33.747,23.393,24.975
Historical,Gomel,1919,16.871,32.999,23.032,25.534
Historical,Gomel,1920,15.227,35.169,22.169,23.191
Historical,Gomel,1921,17.656,34.776,23.569,21.527
Historical,Gomel,1922,16.213,33.990,24.088,24.484
Historical,Gomel,1923,15.731,33.134,23.005,24.595
Historical,Gomel,1924,17.018,31.102,23.487,24.133
Historical,Gomel,1925,19.103,34.624,25.308,25.825
Historical,Gomel,1926,18.319,34.457,23.932,25.345
Historical,Gomel,1927,17.798,32.576,23.283,25.769
Historical,Gomel,1928,16.662,30.763,25.008,23.081
Historical,Gomel,1929,15.790,32.846,22.454,23.774
Historical,Gomel,1930,16.901,34.492,24.976,26.335
Historical,Gomel,1931,15.652,31.131,22.933,24.083
Historical,Gomel,1932,15.759,33.110,24.577,23.853
Historical,Gomel,1933,14.284,32.538,23.936,23.434
Historical,Gomel,1934,14.440,35.568,26.425,26.411
Historical,Gomel,1935,17.426,32.579,24.033,24.076
Historical,Gomel,1936,18.221,32.355,24.540,26.206
Historical,Gomel,1937,15.434,32.665,24.242,24.607
Historical,Gomel,1938,17.073,32.504,23.970,26.470
Historical,Gomel,1939,14.882,33.345,23.063,25.138
Historical,Gomel,1940,17.899,34.540,23.480,22.150
Historical,Gomel,1941,15.907,32.701,26.391,25.047
Historical,Gomel,1942,18.214,34.041,23.285,23.332
Historical,Gomel,1943,15.604,33.309,19.509,21.534
Historical,Gomel,1944,17.587,32.769,25.491,23.864
Historical,Gomel,1945,15.801,33.084,24.823,25.162
Historical,Gomel,1946,16.516,35.226,23.910,26.635
Historical,Gomel,1947,15.745,32.236,24.684,24.188
Historical,Gomel,1948,15.609,33.373,25.130,24.629
Historical,Gomel,1949,15.637,31.514,24.055,24.805
Historical,Gomel,1950,18.935,33.388,25.543,29.331
Historical,Gomel,1951,17.599,32.818,23.694,23.474
Historical,Gomel,1952,16.094,34.329,26.407,26.025
Historical,Gomel,1953,15.985,30.764,24.487,25.249
Historical,Gomel,1954,15.692,33.775,23.148,22.762
Historical,Gomel,1955,15.475,30.427,24.846,23.242
Historical,Gomel,1956,14.392,30.197,25.167,22.779
Historical,Gomel,1957,17.945,31.615,21.936,21.471
Historical,Gomel,1958,15.371,32.917,25.788,23.910
Historical,Gomel,1959,17.135,30.488,23.771,24.204
