experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,27.757,58.525,43.979,51.199
Historical,Brest,1901,29.214,58.339,48.252,52.342
Historical,Brest,1902,26.427,59.092,44.564,47.473
Historical,Brest,1903,26.756,59.205,47.145,44.859
Historical,Brest,1904,25.985,56.773,44.787,49.317
Historical,Brest,1905,29.501,59.770,45.365,51.651
Historical,Brest,1906,22.853,59.535,47.463,48.101
Historical,Brest,1907,28.960,58.695,42.190,49.405
Historical,Brest,1908,28.012,57.717,43.076,50.620
Historical,Brest,1909,20.655,57.247,38.986,47.347
Historical,Brest,1910,26.345,58.326,41.668,45.966
Historical,Brest,1911,29.222,56.732,43.369,51.996
Historical,Brest,1912,23.731,54.873,41.231,47.206
Historical,Brest,1913,24.184,59.623,45.617,48.056
Historical,Brest,1914,23.337,56.457,43.044,48.104
Historical,Brest,1915,24.910,57.706,46.320,49.676
Historical,Brest,1916,21.895,58.890,43.289,47.771
Historical,Brest,1917,30.904,59.118,44.245,51.352
Historical,Brest,1918,25.713,60.453,46.538,46.674
Historical,Brest,1919,23.603,64.730,44.015,46.907
Historical,Brest,1920,22.885,62.180,48.191,50.203
Historical,Brest,1921,27.913,58.408,39.046,46.843
Historical,Brest,1922,26.863,61.802,42.483,48.228
Historical,Brest,1923,27.894,62.069,47.117,50.576
Historical,Brest,1924,24.969,57.290,43.719,48.815
Historical,Brest,1925,25.738,60.827,42.260,49.239
Historical,Brest,1926,26.060,56.752,39.350,47.440
Historical,Brest,1927,28.143,59.909,47.559,49.080
Historical,Brest,1928,26.831,59.117,45.053,47.593
Historical,Brest,1929,28.614,59.058,45.015,48.347
Historical,Brest,1930,26.059,59.106,42.524,48.993
Historical,Brest,1931,24.955,60.499,41.470,46.418
Historical,Brest,1932,26.834,57.302,42.605,47.914
Historical,Brest,1933,23.353,57.851,41.564,49.604
Historical,Brest,1934,27.055,65.025,48.063,48.374
Historical,Brest,1935,30.061,56.116,42.252,49.320
Historical,Brest,1936,22.354,54.993,43.219,48.930
Historical,Brest,1937,23.765,60.401,45.510,49.016
Historical,Brest,1938,24.459,56.318,40.332,49.095
