experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,376.503,678.576,541.221,570.497
Historical,Brest,1901,364.882,694.283,543.098,573.528
Historical,Brest,1902,368.896,677.465,541.309,574.447
Historical,Brest,1903,384.383,625.217,535.284,552.144
Historical,Brest,1904,367.553,668.802,544.785,562.460
Historical,Brest,1905,381.178,642.523,539.844,569.006
Historical,Brest,1906,381.795,692.364,514.054,567.984
Historical,Brest,1907,387.099,670.345,517.903,549.696
Historical,Brest,1908,330.527,674.582,537.873,570.105
Historical,Brest,1909,348.066,682.472,519.351,565.697
Historical,Brest,1910,345.918,669.028,509.558,560.416
Historical,Brest,1911,375.825,667.589,517.332,568.749
Historical,Brest,1912,327.651,656.727,495.870,539.308
Historical,Brest,1913,367.440,661.097,543.786,545.605
Historical,Brest,1914,388.086,681.718,530.454,555.154
Historical,Brest,1915,374.462,692.510,524.970,569.824
Historical,Brest,1916,374.385,679.821,540.712,575.178
Historical,Brest,1917,367.859,666.375,544.960,559.566
Historical,Brest,1918,332.430,697.310,546.045,577.249
Historical,Brest,1919,385.063,648.245,518.310,562.459
Historical,Brest,1920,401.664,691.999,551.628,574.782
Historical,Brest,1921,393.771,702.194,516.495,571.651
Historical,Brest,1922,415.717,694.211,550.946,575.805
Historical,Brest,1923,399.556,694.034,547.009,562.319
Historical,Brest,1924,372.905,669.632,538.894,562.384
Historical,Brest,1925,377.719,705.657,524.294,565.368
Historical,Brest,1926,373.527,663.529,534.939,557.019
Historical,Brest,1927,403.075,682.822,540.244,575.713
Historical,Brest,1928,373.776,662.741,544.939,568.892
Historical,Brest,1929,413.624,707.746,542.607,575.861
Historical,Brest,1930,412.393,670.488,525.899,556.172
Historical,Brest,1931,384.921,636.842,517.040,537.143
Historical,Brest,1932,414.070,665.250,531.029,563.700
Historical,Brest,1933,300.350,674.618,530.080,548.704
Historical,Brest,1934,398.111,636.723,558.335,546.260
Historical,Brest,1935,407.505,693.596,526.730,548.223
Historical,Brest,1936,392.411,669.815,528.116,562.360
Historical,Brest,1937,383.929,678.311,519.790,553.163
Historical,Brest,1938,392.878,635.954,520.953,530.558
Historical,Brest,1939,361.871,654.746,523.047,546.103
Historical,Brest,1940,327.731,667.581,514.941,542.834
Historical,Brest,1941,335.848,646.001,537.750,550.722
Historical,Brest,1942,397.908,637.236,523.879,550.831
Historical,Brest,1943,379.739,647.739,526.368,553.463
Historical,Brest,1944,386.467,661.018,539.728,564.677
Historical,Brest,1945,384.787,677.331,533.001,563.835
Historical,Brest,1946,388.132,644.600,531.082,573.504
