experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,33.731,92.797,53.444,51.734
Historical,Brest,1901,35.608,91.542,59.821,55.085
Historical,Brest,1902,37.890,83.336,50.870,44.043
Historical,Brest,1903,36.953,89.906,55.470,50.036
Historical,Brest,1904,31.512,83.630,55.735,52.240
Historical,Brest,1905,29.370,90.025,53.694,47.360
Historical,Brest,1906,34.287,87.907,48.514,41.155
Historical,Brest,1907,30.978,100.516,55.799,52.196
Historical,Brest,1908,37.985,80.258,51.327,42.183
Historical,Brest,1909,37.723,88.910,54.541,51.508
Historical,Brest,1910,33.755,80.792,58.727,48.211
Historical,Brest,1911,35.541,85.835,54.294,51.145
Historical,Brest,1912,30.443,83.674,55.471,50.237
Historical,Brest,1913,32.315,88.325,55.342,52.587
Historical,Brest,1914,27.698,90.872,53.079,45.849
Historical,Brest,1915,39.017,84.213,53.912,47.121
Historical,Brest,1916,32.356,91.875,56.090,53.867
Historical,Brest,1917,37.625,92.199,50.656,47.414
Historical,Brest,1918,37.615,81.516,60.923,54.994
Historical,Brest,1919,32.278,93.273,56.407,49.242
Historical,Brest,1920,36.493,90.282,52.652,53.620
Historical,Brest,1921,45.770,104.535,61.604,54.684
Historical,Brest,1922,31.249,88.586,54.815,48.665
Historical,Brest,1923,37.189,86.445,60.674,49.096
Historical,Brest,1924,40.844,91.245,60.909,53.443
Historical,Brest,1925,38.756,83.959,57.675,54.914
Historical,Brest,1926,37.937,102.196,58.333,51.578
Historical,Brest,1927,35.860,91.259,60.812,51.106
Historical,Brest,1928,33.491,98.906,57.158,57.157
Historical,Brest,1929,34.597,92.515,54.047,52.089
Historical,Brest,1930,35.103,92.371,50.822,46.179
Historical,Brest,1931,39.419,97.218,57.734,53.302
Historical,Brest,1932,38.987,77.365,52.540,43.209
Historical,Brest,1933,40.856,85.449,55.210,46.925
Historical,Brest,1934,41.740,90.394,52.687,45.795
Historical,Brest,1935,34.898,91.178,61.099,58.903
Historical,Brest,1936,33.294,92.239,57.147,55.497
Historical,Brest,1937,37.185,87.488,57.303,54.304
Historical,Brest,1938,32.303,84.576,52.752,44.846
Historical,Brest,1939,29.932,94.530,51.268,43.828
Historical,Brest,1940,34.836,89.981,55.132,49.707
Historical,Brest,1941,34.875,78.705,54.223,48.933
Historical,Brest,1942,34.610,96.942,48.309,47.787
Historical,Brest,1943,33.303,90.123,57.994,46.885
Historical,Brest,1944,31.890,85.685,54.295,43.109
Historical,Brest,1945,35.603,100.708,52.116,47.594
Historical,Brest,1946,38.393,85.096,56.104,42.914
Historical,Brest,1947,33.241,88.789,50.030,52.574
Historical,Brest,1948,30.660,107.082,55.089,58.590
Historical,Brest,1949,39.619,90.739,58.350,53.075
Historical,Brest,1950,32.575,96.349,53.550,46.217
Historical,Brest,1951,36.437,88.838,49.256,50.428
Historical,Brest,1952,35.031,82.016,54.432,51.562
Historical,Brest,1953,31.999,90.498,52.611,48.510
Historical,Brest,1954,31.162,90.390,52.599,51.019
Historical,Brest,1955,38.551,87.950,61.091,49.153
Historical,Brest,1956,32.099,85.165,48.566,49.307
Historical,Brest,1957,35.282,92.140,52.348,47.487
Historical,Brest,1958,39.044,83.479,56.497,47.998
Historical,Brest,1959,41.529,83.464,53.815,50.749
Historical,Brest,1960,36.369,100.760,56.808,58.441
Historical,Brest,1961,37.060,92.718,49.494,50.061
Historical,Brest,1962,38.779,93.332,54.313,43.875
Historical,Brest,1963,35.250,104.211,55.322,51.022
Historical,Brest,1964,37.489,82.707,51.473,47.742
Historical,Brest,1965,34.520,86.534,57.009,50.129
Historical,Brest,1966,34.140,81.233,55.887,46.306
Historical,Brest,1967,33.088,82.838,50.532,41.017
Historical,Brest,1968,34.088,82.286,56.248,52.524
Historical,Brest,1969,32.678,85.696,46.692,43.039
Historical,Brest,1970,35.449,91.472,50.473,45.973
Historical,Brest,1971,33.293,90.668,47.083,51.521
Historical,Brest,1972,36.185,80.645,52.747,46.904
Historical,Brest,1973,36.367,89.362,56.035,53.344
Historical,Brest,1974,33.274,93.011,51.021,52.394
Historical,Brest,1975,35.564,90.177,51.678,47.119
Historical,Brest,1976,33.857,94.148,50.892,48.849
Historical,Brest,1977,39.299,81.642,52.672,52.435
Historical,Brest,1978,34.710,86.418,54.944,53.584
Historical,Brest,1979,36.473,87.037,54.120,48.485
Historical,Brest,1980,33.349,85.784,56.711,48.030
Historical,Brest,1981,35.722,86.813,48.616,54.044
Historical,Brest,1982,31.819,84.590,57.869,49.298
Historical,Brest,1983,36.115,81.415,47.484,43.685
Historical,Brest,1984,37.498,88.356,58.679,55.038
Historical,Brest,1985,41.664,87.989,54.283,44.406
