experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,54.068,109.227,83.763,85.134
Historical,Brest,1901,56.527,112.085,85.230,87.805
Historical,Brest,1902,49.389,107.398,78.784,80.699
Historical,Brest,1903,53.607,105.974,88.149,81.915
Historical,Brest,1904,48.275,104.626,83.910,85.574
Historical,Brest,1905,55.284,112.068,81.910,84.594
Historical,Brest,1906,49.142,106.920,80.730,84.664
Historical,Brest,1907,56.344,109.477,77.286,85.456
Historical,Brest,1908,54.177,110.460,83.381,84.745
Historical,Brest,1909,51.360,102.241,73.583,80.505
Historical,Brest,1910,56.832,105.053,74.384,80.239
Historical,Brest,1911,53.705,106.873,82.631,82.825
Historical,Brest,1912,50.216,102.006,76.892,80.842
Historical,Brest,1913,53.775,101.243,87.108,80.926
Historical,Brest,1914,52.700,108.717,79.940,81.891
Historical,Brest,1915,52.876,106.350,80.187,81.761
Historical,Brest,1916,53.218,108.547,85.382,80.960
Historical,Brest,1917,57.639,110.136,78.919,85.838
Historical,Brest,1918,53.425,109.636,82.695,83.936
Historical,Brest,1919,54.742,115.101,78.596,81.360
Historical,Brest,1920,54.010,112.286,85.090,84.584
Historical,Brest,1921,60.163,109.151,76.050,87.143
Historical,Brest,1922,53.917,108.335,77.536,81.288
Historical,Brest,1923,52.282,112.683,86.532,85.044
Historical,Brest,1924,50.814,101.804,78.059,84.773
Historical,Brest,1925,56.292,110.354,81.200,83.820
Historical,Brest,1926,54.359,106.603,77.776,83.313
Historical,Brest,1927,56.642,107.245,81.181,88.969
Historical,Brest,1928,53.259,111.008,78.634,84.318
Historical,Brest,1929,53.900,108.401,81.014,82.414
Historical,Brest,1930,58.623,112.813,75.349,86.106
Historical,Brest,1931,54.206,110.323,76.044,79.405
Historical,Brest,1932,56.132,107.281,80.428,81.040
Historical,Brest,1933,53.865,102.519,79.539,79.069
Historical,Brest,1934,53.647,112.795,86.864,79.772
Historical,Brest,1935,59.630,107.165,81.502,83.146
Historical,Brest,1936,52.302,102.394,81.478,84.790
Historical,Brest,1937,55.012,107.006,80.731,82.351
Historical,Brest,1938,50.182,109.177,70.332,79.783
Historical,Brest,1939,52.876,106.968,77.361,84.075
Historical,Brest,1940,47.388,104.971,72.697,81.651
Historical,Brest,1941,53.797,105.994,82.464,85.012
Historical,Brest,1942,52.836,106.987,81.575,91.970
Historical,Brest,1943,52.902,107.064,79.613,84.164
Historical,Brest,1944,51.032,102.511,80.049,84.019
Historical,Brest,1945,51.691,114.410,81.839,81.749
Historical,Brest,1946,52.218,110.302,83.924,88.260
Historical,Brest,1947,48.333,107.338,81.978,86.422
Historical,Brest,1948,50.218,103.276,79.710,85.180
Historical,Brest,1949,49.818,105.019,80.309,82.856
Historical,Brest,1950,55.126,110.099,85.419,87.981
Historical,Brest,1951,50.453,102.879,81.974,75.048
Historical,Brest,1952,53.801,107.978,81.961,90.535
Historical,Brest,1953,49.582,111.124,83.045,82.121
Historical,Brest,1954,53.695,106.312,85.099,81.774
Historical,Brest,1955,53.168,102.617,82.122,84.992
Historical,Brest,1956,49.277,100.748,80.060,84.540
Historical,Brest,1957,56.128,104.218,77.975,84.989
Historical,Brest,1958,48.764,102.883,81.515,80.591
Historical,Brest,1959,52.514,108.217,77.049,82.060
Historical,Brest,1960,54.451,102.616,76.148,85.728
Historical,Brest,1961,47.944,109.166,77.872,75.962
Historical,Brest,1962,54.160,97.930,79.908,86.101
Historical,Brest,1963,52.991,102.455,77.401,84.841
Historical,Brest,1964,53.962,101.700,81.910,85.998
Historical,Brest,1965,45.142,102.192,76.970,81.844
Historical,Brest,1966,52.312,103.845,82.611,81.541
Historical,Brest,1967,45.094,100.927,83.046,82.983
Historical,Brest,1968,53.941,99.850,83.719,78.847
Historical,Brest,1969,53.769,103.193,78.951,82.705
Historical,Brest,1970,53.931,103.318,81.915,81.417
Historical,Brest,1971,54.497,105.050,74.721,81.789
Historical,Brest,1972,52.046,98.065,78.757,76.568
Historical,Brest,1973,48.189,104.522,74.702,78.312
Historical,Brest,1974,53.266,105.181,78.330,83.025
Historical,Brest,1975,55.098,100.128,82.164,79.515
Historical,Brest,1976,54.347,107.914,81.923,82.618
Historical,Brest,1977,55.503,101.802,81.855,82.486
Historical,Brest,1978,44.809,100.599,80.310,74.526
Historical,Brest,1979,53.623,102.981,82.740,78.404
Historical,Brest,1980,49.518,107.063,71.470,76.691
Historical,Brest,1981,54.097,99.328,75.058,80.886
Historical,Brest,1982,49.864,98.391,76.598,76.456
Historical,Brest,1983,52.450,98.282,79.965,79.503
Historical,Brest,1984,50.796,103.503,79.328,79.147
Historical,Brest,1985,50.061,105.053,72.722,80.091
Historical,Brest,1986,50.813,102.901,78.865,78.462
Historical,Brest,1987,56.386,103.625,76.982,80.864
Historical,Brest,1988,56.311,100.242,80.330,85.131
Historical,Brest,1989,59.087,101.398,80.481,83.558
Historical,Brest,1990,56.997,104.224,80.481,84.600
Historical,Brest,1991,52.968,103.048,79.604,77.605
Historical,Brest,1992,55.513,102.257,75.876,83.445
Historical,Brest,1993,55.464,104.587,80.671,78.890
Historical,Brest,1994,51.913,101.845,79.762,82.485
Historical,Brest,1995,58.007,101.460,81.421,90.539
Historical,Brest,1996,54.492,107.867,83.562,81.131
