experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,101.532,194.841,153.334,171.139
Historical,Brest,1901,117.703,193.009,147.963,169.678
Historical,Brest,1902,112.741,199.285,160.266,173.445
Historical,Brest,1903,115.066,174.906,151.007,162.424
Historical,Brest,1904,104.360,183.321,152.550,163.313
Historical,Brest,1905,116.831,180.362,147.908,164.920
Historical,Brest,1906,114.832,198.764,150.002,169.773
Historical,Brest,1907,110.709,189.369,148.097,162.483
Historical,Brest,1908,104.740,202.452,153.910,169.292
Historical,Brest,1909,107.019,197.562,147.077,170.958
Historical,Brest,1910,114.301,199.614,155.204,170.793
Historical,Brest,1911,99.958,191.937,153.286,165.886
Historical,Brest,1912,113.440,200.506,162.263,172.947
Historical,Brest,1913,117.056,180.915,142.628,160.314
Historical,Brest,1914,115.585,193.484,151.241,170.372
Historical,Brest,1915,110.944,197.844,154.787,165.832
Historical,Brest,1916,117.646,200.711,151.090,173.380
Historical,Brest,1917,113.687,189.827,149.456,168.731
Historical,Brest,1918,100.097,200.454,149.153,166.005
Historical,Brest,1919,107.268,187.157,158.079,168.265
Historical,Brest,1920,107.463,187.981,157.782,170.499
Historical,Brest,1921,112.631,193.726,153.835,168.907
Historical,Brest,1922,114.893,203.214,157.208,173.051
Historical,Brest,1923,114.551,191.350,153.858,167.895
Historical,Brest,1924,112.313,183.958,151.826,168.516
Historical,Brest,1925,116.092,190.503,158.843,176.473
Historical,Brest,1926,119.762,191.581,154.432,171.950
Historical,Brest,1927,123.584,196.867,159.038,175.621
Historical,Brest,1928,110.468,196.763,148.103,166.465
Historical,Brest,1929,101.934,204.146,155.986,169.119
Historical,Brest,1930,112.813,188.711,153.343,178.394
Historical,Brest,1931,114.091,188.385,146.748,163.372
Historical,Brest,1932,111.172,203.228,154.792,178.783
Historical,Brest,1933,106.115,184.484,144.836,166.220
Historical,Brest,1934,109.887,183.088,152.386,164.610
Historical,Brest,1935,114.946,204.560,146.381,160.149
Historical,Brest,1936,97.512,196.633,154.095,167.530
Historical,Brest,1937,111.695,184.289,157.059,169.277
Historical,Brest,1938,110.128,185.122,149.131,178.045
Historical,Brest,1939,105.255,193.473,147.853,167.788
Historical,Brest,1940,94.347,199.700,149.720,164.159
Historical,Brest,1941,98.565,188.486,149.650,154.944
Historical,Brest,1942,103.945,190.901,144.114,154.813
Historical,Brest,1943,113.949,181.061,152.999,168.420
Historical,Brest,1944,100.388,189.642,146.986,161.648
Historical,Brest,1945,117.965,181.674,154.565,166.523
Historical,Brest,1946,108.412,192.145,155.463,175.579
Historical,Brest,1947,111.257,202.001,152.486,170.298
Historical,Brest,1948,109.090,187.935,147.336,164.881
Historical,Brest,1949,109.332,193.378,150.637,179.353
Historical,Brest,1950,111.282,191.563,159.768,170.556
Historical,Brest,1951,108.835,187.648,148.422,160.096
Historical,Brest,1952,112.834,185.060,144.970,158.850
Historical,Brest,1953,105.353,180.572,150.405,161.546
Historical,Brest,1954,105.171,192.266,143.218,162.781
Historical,Brest,1955,104.109,180.699,144.325,164.141
Historical,Brest,1956,102.335,179.802,151.610,162.220
Historical,Brest,1957,103.417,177.742,139.785,156.280
Historical,Brest,1958,104.769,188.634,153.514,166.719
Historical,Brest,1959,110.424,184.067,145.016,158.794
Historical,Brest,1960,106.708,196.460,148.629,162.474
Historical,Brest,1961,113.013,182.695,150.834,177.011
Historical,Brest,1962,110.284,178.409,150.208,164.223
Historical,Brest,1963,119.812,178.064,146.290,170.743
Historical,Brest,1964,104.191,183.336,151.317,162.558
Historical,Brest,1965,103.293,175.584,142.406,149.706
Historical,Brest,1966,107.296,180.613,146.723,168.196
Historical,Brest,1967,104.764,183.585,142.864,158.993
Historical,Brest,1968,102.429,179.060,138.217,161.888
Historical,Brest,1969,119.480,177.166,150.357,171.104
Historical,Brest,1970,105.371,168.979,143.701,157.182
Historical,Brest,1971,102.195,185.680,146.536,167.056
Historical,Brest,1972,108.487,172.011,148.162,164.378
Historical,Brest,1973,107.417,169.707,153.130,165.086
Historical,Brest,1974,100.583,190.398,139.446,160.540
Historical,Brest,1975,104.461,175.383,152.432,161.785
Historical,Brest,1976,101.132,182.629,141.528,160.499
Historical,Brest,1977,105.844,182.972,142.378,160.894
Historical,Brest,1978,114.705,171.985,150.167,156.734
Historical,Brest,1979,103.293,174.291,143.821,161.399
Historical,Brest,1980,104.299,178.310,145.770,152.510
Historical,Brest,1981,111.409,183.446,142.093,161.076
Historical,Brest,1982,110.238,173.981,139.922,166.994
Historical,Brest,1983,105.769,184.675,148.533,163.591
Historical,Brest,1984,96.992,171.802,144.497,149.313
Historical,Brest,1985,100.884,174.123,149.967,165.087
Historical,Brest,1986,114.799,176.306,142.377,162.212
Historical,Brest,1987,111.745,182.812,144.968,156.500
Historical,Brest,1988,116.309,180.759,158.108,173.801
Historical,Brest,1989,117.103,171.999,144.551,171.759
Historical,Brest,1990,127.876,184.434,147.038,173.666
Historical,Brest,1991,112.014,185.670,153.362,172.461
Historical,Brest,1992,102.295,182.299,138.012,161.969
Historical,Brest,1993,107.126,178.270,141.574,164.496
Historical,Brest,1994,119.936,178.937,156.284,173.057
Historical,Brest,1995,116.600,178.190,152.469,170.588
Historical,Brest,1996,104.518,187.045,157.400,163.257
Historical,Brest,1997,121.119,193.522,149.631,174.353
Historical,Brest,1998,114.970,190.590,150.341,173.212
Historical,Brest,1999,122.156,199.115,161.764,176.802
Historical,Brest,2000,118.192,197.425,167.130,185.084
Historical,Brest,2001,113.908,185.331,161.099,168.008
Historical,Brest,2002,126.019,208.762,157.093,185.845
Historical,Brest,2003,126.622,193.432,160.829,178.340
Historical,Brest,2004,126.223,199.716,160.210,182.611
Historical,Brest,2005,120.287,205.240,165.993,182.171
Historical,Brest,2006,120.268,203.772,157.364,185.420
Historical,Brest,2007,119.471,187.287,159.292,178.375
Historical,Brest,2008,120.929,203.632,165.142,177.385
Historical,Brest,2009,118.237,191.730,160.244,174.580
Historical,Brest,2010,119.342,189.092,165.422,178.460
Historical,Brest,2011,113.035,195.321,159.336,179.087
Historical,Brest,2012,115.501,200.884,164.727,182.129
Historical,Brest,2013,114.179,196.560,165.369,176.403
Historical,Brest,2014,126.480,200.437,157.808,175.337
Historical,Gomel,1900,108.550,190.005,146.575,170.484
Historical,Gomel,1901,103.557,195.029,145.389,164.409
Historical,Gomel,1902,109.060,198.252,154.159,168.418
Historical,Gomel,1903,99.725,170.826,145.364,159.849
Historical,Gomel,1904,104.106,187.972,149.572,156.507
Historical,Gomel,1905,106.242,180.104,141.628,165.834
Historical,Gomel,1906,111.339,193.780,147.307,165.634
Historical,Gomel,1907,109.062,191.824,145.148,167.481
Historical,Gomel,1908,105.999,185.026,153.450,161.449
Historical,Gomel,1909,104.959,197.898,139.794,162.513
Historical,Gomel,1910,107.804,190.399,148.830,161.835
Historical,Gomel,1911,100.646,194.090,144.090,168.003
Historical,Gomel,1912,108.612,197.365,152.049,171.848
Historical,Gomel,1913,119.612,185.778,140.480,165.942
Historical,Gomel,1914,110.864,188.973,148.953,167.664
Historical,Gomel,1915,107.161,187.131,149.461,158.116
Historical,Gomel,1916,111.882,193.327,148.291,161.217
Historical,Gomel,1917,113.466,184.849,148.599,164.190
Historical,Gomel,1918,92.816,196.059,140.538,161.214
Historical,Gomel,1919,103.451,175.595,146.401,161.065
Historical,Gomel,1920,105.282,183.968,151.278,167.095
Historical,Gomel,1921,107.731,189.368,146.495,164.551
Historical,Gomel,1922,115.611,194.648,150.014,169.578
Historical,Gomel,1923,106.265,193.064,147.322,165.189
Historical,Gomel,1924,113.424,192.719,152.190,160.852
Historical,Gomel,1925,109.919,188.254,154.600,169.998
Historical,Gomel,1926,107.188,190.995,146.174,169.634
Historical,Gomel,1927,121.470,190.482,151.634,172.203
Historical,Gomel,1928,107.830,192.483,145.626,163.827
Historical,Gomel,1929,98.943,211.346,150.599,172.849
Historical,Gomel,1930,100.983,188.132,154.553,175.040
Historical,Gomel,1931,104.777,178.107,143.948,159.891
Historical,Gomel,1932,109.642,197.502,151.349,169.863
Historical,Gomel,1933,108.201,179.695,145.167,159.829
Historical,Gomel,1934,102.767,194.835,151.803,163.378
Historical,Gomel,1935,103.782,192.602,145.963,160.845
Historical,Gomel,1936,105.415,199.662,149.399,166.661
Historical,Gomel,1937,116.891,181.464,149.832,164.729
Historical,Gomel,1938,111.270,194.284,141.665,168.797
Historical,Gomel,1939,100.425,188.364,139.915,161.546
Historical,Gomel,1940,104.735,191.521,139.821,158.235
Historical,Gomel,1941,96.565,180.730,139.590,155.740
Historical,Gomel,1942,110.645,187.631,142.627,161.763
Historical,Gomel,1943,109.674,185.803,148.852,166.128
Historical,Gomel,1944,108.131,189.507,143.273,158.245
Historical,Gomel,1945,112.473,180.776,143.606,163.676
Historical,Gomel,1946,102.171,194.084,150.556,166.372
Historical,Gomel,1947,99.191,191.475,147.186,164.121
Historical,Gomel,1948,106.321,186.283,138.990,159.256
Historical,Gomel,1949,104.482,181.027,148.329,169.595
Historical,Gomel,1950,102.933,190.068,153.915,160.617
Historical,Gomel,1951,101.134,189.795,144.038,161.035
Historical,Gomel,1952,105.697,186.476,138.435,156.603
Historical,Gomel,1953,98.319,188.194,140.808,164.352
Historical,Gomel,1954,104.333,188.074,134.605,159.871
Historical,Gomel,1955,99.773,183.603,142.776,153.135
Historical,Gomel,1956,99.071,188.074,147.213,160.597
Historical,Gomel,1957,96.575,174.340,135.822,162.811
Historical,Gomel,1958,104.669,180.963,142.666,164.012
Historical,Gomel,1959,105.828,183.342,143.053,167.411
Historical,Gomel,1960,98.612,192.911,141.054,162.323
Historical,Gomel,1961,106.117,180.419,147.196,161.840
Historical,Gomel,1962,104.897,173.381,148.176,160.338
Historical,Gomel,1963,118.380,163.061,141.001,165.137
Historical,Gomel,1964,104.849,174.468,142.853,158.454
Historical,Gomel,1965,94.534,179.886,138.361,151.848
Historical,Gomel,1966,102.184,180.778,140.678,163.128
Historical,Gomel,1967,96.966,187.128,140.914,165.923
Historical,Gomel,1968,105.787,179.693,132.790,159.415
Historical,Gomel,1969,107.731,177.752,144.705,164.669
Historical,Gomel,1970,96.971,178.877,137.693,159.303
Historical,Gomel,1971,109.032,175.563,135.222,155.677
Historical,Gomel,1972,111.214,179.084,148.020,167.111
Historical,Gomel,1973,93.402,173.951,138.595,162.676
Historical,Gomel,1974,107.844,182.586,136.847,157.906
Historical,Gomel,1975,102.668,176.999,151.318,165.861
Historical,Gomel,1976,104.261,177.764,136.282,163.598
Historical,Gomel,1977,103.726,177.711,138.594,166.671
Historical,Gomel,1978,100.115,178.430,140.340,164.345
Historical,Gomel,1979,102.063,172.882,142.322,159.303
Historical,Gomel,1980,105.143,183.060,138.041,159.486
Historical,Gomel,1981,106.837,187.996,134.108,165.386
Historical,Gomel,1982,102.481,166.240,133.970,160.650
Historical,Gomel,1983,108.502,181.202,148.702,161.940
Historical,Gomel,1984,96.589,177.557,133.094,150.707
Historical,Gomel,1985,108.209,178.688,142.064,164.400
Historical,Gomel,1986,106.848,175.544,141.643,156.334
Historical,Gomel,1987,113.446,176.760,139.884,153.618
Historical,Gomel,1988,119.098,180.710,151.076,170.517
Historical,Gomel,1989,108.045,176.941,140.848,167.923
Historical,Gomel,1990,119.828,183.607,144.106,168.690
Historical,Gomel,1991,109.862,191.638,149.422,172.783
Historical,Gomel,1992,100.942,179.079,135.033,159.474
Historical,Gomel,1993,118.427,177.928,138.035,166.483
