experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,202.529,346.939,284.084,298.084
Historical,Brest,1901,146.140,343.291,287.326,300.917
Historical,Brest,1902,157.616,357.492,283.888,299.699
Historical,Brest,1903,158.945,330.400,275.413,289.670
Historical,Brest,1904,145.474,350.750,274.812,289.887
Historical,Brest,1905,148.783,332.306,283.535,295.155
Historical,Brest,1906,138.806,355.316,276.236,295.852
Historical,Brest,1907,206.691,337.662,262.180,282.338
Historical,Brest,1908,149.516,340.978,270.969,294.320
Historical,Brest,1909,139.353,334.260,277.111,290.047
Historical,Brest,1910,136.880,325.348,275.324,287.591
Historical,Brest,1911,166.038,336.851,268.936,291.134
Historical,Brest,1912,113.786,326.687,254.130,273.864
Historical,Brest,1913,149.660,337.402,284.727,290.310
Historical,Brest,1914,198.412,349.594,290.996,287.512
Historical,Brest,1915,169.653,332.443,252.896,279.570
Historical,Brest,1916,147.963,340.918,289.409,294.907
Historical,Brest,1917,152.648,344.113,280.008,290.646
Historical,Brest,1918,143.239,350.841,287.088,296.364
Historical,Brest,1919,140.480,338.906,270.684,290.624
Historical,Brest,1920,174.664,352.747,278.862,297.854
Historical,Brest,1921,190.047,349.369,267.310,302.920
Historical,Brest,1922,196.561,348.617,289.449,292.687
Historical,Brest,1923,196.625,341.600,289.074,291.549
Historical,Brest,1924,115.744,336.309,274.297,290.260
Historical,Brest,1925,166.494,340.101,251.822,285.582
Historical,Brest,1926,154.465,333.740,291.516,287.365
Historical,Brest,1927,173.436,348.005,279.881,292.229
Historical,Brest,1928,200.275,333.478,291.813,278.605
Historical,Brest,1929,189.061,342.122,288.976,289.890
Historical,Brest,1930,216.041,337.757,273.524,288.210
Historical,Brest,1931,174.642,336.023,279.043,278.343
Historical,Brest,1932,173.097,340.468,269.993,292.129
Historical,Brest,1933,125.933,338.247,266.941,288.353
Historical,Brest,1934,179.657,338.454,282.184,293.915
Historical,Brest,1935,187.949,341.752,278.913,288.114
Historical,Brest,1936,182.832,343.765,284.377,291.625
Historical,Brest,1937,153.984,336.236,262.770,290.070
Historical,Brest,1938,163.681,316.402,275.298,269.320
Historical,Brest,1939,173.304,326.393,279.848,283.419
Historical,Brest,1940,154.025,329.441,269.496,291.628
Historical,Brest,1941,139.827,331.912,275.858,286.172
Historical,Brest,1942,201.780,323.748,267.533,286.318
Historical,Brest,1943,134.584,323.649,273.166,280.996
Historical,Brest,1944,205.156,331.639,282.355,291.339
