experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,303.365,498.731,416.687,436.006
Historical,Brest,1901,261.450,504.274,424.899,451.478
Historical,Brest,1902,250.593,508.701,416.517,447.548
Historical,Brest,1903,285.312,487.488,399.333,429.167
Historical,Brest,1904,254.746,507.154,408.443,427.414
Historical,Brest,1905,264.451,489.386,420.931,441.370
Historical,Brest,1906,254.307,496.247,402.510,437.671
Historical,Brest,1907,299.601,489.367,388.404,423.547
Historical,Brest,1908,236.149,495.625,397.866,439.284
Historical,Brest,1909,221.838,492.967,396.325,431.888
Historical,Brest,1910,232.793,497.267,393.776,432.487
Historical,Brest,1911,276.825,489.395,391.074,431.785
Historical,Brest,1912,206.204,489.387,370.160,420.179
Historical,Brest,1913,274.855,497.861,411.296,422.669
Historical,Brest,1914,272.568,506.357,423.423,430.214
Historical,Brest,1915,264.931,494.494,384.243,430.799
Historical,Brest,1916,241.329,497.236,414.284,440.424
Historical,Brest,1917,256.402,495.760,418.639,433.722
Historical,Brest,1918,224.495,513.654,423.804,435.622
Historical,Brest,1919,258.511,496.773,374.423,434.137
Historical,Brest,1920,294.091,517.978,423.399,440.205
Historical,Brest,1921,279.186,521.015,393.919,447.445
Historical,Brest,1922,290.219,521.890,415.092,437.655
Historical,Brest,1923,301.108,505.478,419.891,432.391
Historical,Brest,1924,249.331,508.514,405.924,423.100
Historical,Brest,1925,268.685,512.959,384.157,431.168
Historical,Brest,1926,259.590,483.965,421.676,423.907
Historical,Brest,1927,287.217,509.065,416.396,435.556
Historical,Brest,1928,286.776,484.896,422.313,418.652
Historical,Brest,1929,273.193,513.544,420.767,431.995
Historical,Brest,1930,302.693,492.927,401.864,430.070
Historical,Brest,1931,279.884,474.495,401.009,413.495
Historical,Brest,1932,293.786,502.853,402.131,437.363
Historical,Brest,1933,206.510,496.124,402.134,431.585
Historical,Brest,1934,304.162,483.525,423.259,434.754
Historical,Brest,1935,284.535,495.723,412.612,433.074
Historical,Brest,1936,303.863,502.535,418.405,429.556
Historical,Brest,1937,259.646,503.918,396.359,430.188
Historical,Brest,1938,286.093,471.128,392.248,412.389
Historical,Brest,1939,291.034,479.184,395.827,427.531
Historical,Brest,1940,245.266,478.492,389.612,428.525
Historical,Brest,1941,220.932,477.763,404.661,422.849
Historical,Brest,1942,286.192,479.030,400.118,426.182
Historical,Brest,1943,243.372,471.044,408.447,417.693
Historical,Brest,1944,296.610,481.140,398.539,437.102
Historical,Brest,1945,288.719,488.291,429.706,440.278
Historical,Brest,1946,293.190,480.590,402.952,429.895
Historical,Brest,1947,292.633,500.477,391.285,435.583
