experiment,region,year,evspsbl_10,evspsbl_90,evspsbl_50,evspsbl_corr
Historical,Brest,1900,11.163,43.669,21.738,18.989
Historical,Brest,1901,11.670,43.517,25.058,16.566
Historical,Brest,1902,14.689,36.416,22.472,14.984
Historical,Brest,1903,11.058,41.489,23.063,17.572
Historical,Brest,1904,10.032,46.337,24.319,19.994
Historical,Brest,1905,10.290,38.496,21.072,13.480
Historical,Brest,1906,8.101,42.678,19.932,14.649
Historical,Brest,1907,10.847,46.713,22.265,18.239
Historical,Brest,1908,12.530,38.204,19.481,15.836
Historical,Brest,1909,9.496,39.317,21.605,17.335
Historical,Brest,1910,10.778,38.366,22.831,17.126
Historical,Brest,1911,13.106,43.776,22.883,18.712
Historical,Brest,1912,10.492,38.410,23.912,16.417
Historical,Brest,1913,8.834,40.231,21.072,17.751
Historical,Brest,1914,11.799,40.832,20.970,17.216
Historical,Brest,1915,13.421,39.966,22.262,14.604
Historical,Brest,1916,12.866,48.352,21.735,19.497
Historical,Brest,1917,11.595,44.265,21.170,18.065
Historical,Brest,1918,11.745,40.833,22.121,21.115
Historical,Brest,1919,11.834,43.949,22.981,17.888
Historical,Brest,1920,8.466,44.100,22.609,18.114
Historical,Brest,1921,12.083,43.674,25.745,18.814
Historical,Brest,1922,10.732,43.515,21.872,17.452
Historical,Brest,1923,12.419,40.021,23.935,19.976
Historical,Brest,1924,10.797,46.816,27.023,21.663
Historical,Brest,1925,12.525,42.710,23.777,21.192
Historical,Brest,1926,13.105,43.781,24.657,18.255
Historical,Brest,1927,13.269,46.927,25.311,18.682
Historical,Brest,1928,7.991,48.943,25.639,20.544
Historical,Brest,1929,11.594,43.739,22.320,18.765
Historical,Brest,1930,11.983,44.737,20.362,16.607
Historical,Brest,1931,13.695,44.717,23.724,15.970
Historical,Brest,1932,11.846,39.150,22.047,13.417
Historical,Brest,1933,15.758,41.314,20.675,21.099
Historical,Brest,1934,11.708,41.347,21.101,15.614
Historical,Brest,1935,12.912,47.913,23.873,21.372
Historical,Brest,1936,11.640,52.525,23.447,22.457
Historical,Brest,1937,11.682,43.404,25.168,22.134
Historical,Brest,1938,11.865,48.742,22.253,18.367
Historical,Brest,1939,10.701,45.585,21.185,17.583
Historical,Brest,1940,9.985,40.692,21.304,20.169
Historical,Brest,1941,9.650,38.761,23.720,16.163
Historical,Brest,1942,10.361,40.056,17.445,15.188
Historical,Brest,1943,9.801,45.299,24.192,19.283
Historical,Brest,1944,12.440,46.337,20.677,13.893
Historical,Brest,1945,12.681,50.183,20.379,18.913
Historical,Brest,1946,12.959,36.645,22.576,14.787
Historical,Brest,1947,10.983,45.346,19.354,21.678
Historical,Brest,1948,9.209,48.421,21.489,23.327
Historical,Brest,1949,12.705,41.673,25.865,19.190
Historical,Brest,1950,11.053,43.450,21.129,17.748
Historical,Brest,1951,11.607,43.211,19.824,18.030
Historical,Brest,1952,10.134,42.072,23.369,17.189
Historical,Brest,1953,10.121,44.212,21.964,15.814
Historical,Brest,1954,12.093,39.076,21.100,15.121
Historical,Brest,1955,12.063,45.522,24.212,18.890
Historical,Brest,1956,11.013,38.550,19.029,17.612
Historical,Brest,1957,12.606,42.954,21.262,17.369
Historical,Brest,1958,12.714,41.756,20.775,16.590
Historical,Brest,1959,14.844,36.789,23.861,18.253
Historical,Brest,1960,13.512,44.028,23.860,20.015
Historical,Brest,1961,10.765,45.120,19.690,20.150
Historical,Brest,1962,14.205,44.148,22.717,17.610
Historical,Brest,1963,11.323,56.294,19.387,20.865
Historical,Brest,1964,12.984,40.104,20.098,18.464
Historical,Brest,1965,12.518,38.833,21.407,17.338
Historical,Brest,1966,11.778,39.240,20.277,15.814
Historical,Brest,1967,11.767,38.947,21.445,15.317
Historical,Brest,1968,8.962,41.416,21.574,17.795
Historical,Brest,1969,9.408,42.299,17.200,12.404
