experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,18.149,77.086,57.384,35.412
Historical,Brest,1901,26.559,77.566,49.147,34.387
Historical,Brest,1902,32.232,91.321,54.930,50.956
Historical,Brest,1903,36.466,78.132,49.532,33.961
Historical,Brest,1904,23.256,84.019,46.191,34.229
Historical,Brest,1905,24.547,79.426,48.668,35.357
Historical,Brest,1906,20.059,86.442,46.395,35.483
Historical,Brest,1907,29.471,82.773,49.236,34.288
Historical,Brest,1908,18.894,85.454,45.656,42.930
Historical,Brest,1909,22.889,72.333,43.117,40.179
Historical,Brest,1910,22.926,85.620,49.211,39.489
Historical,Brest,1911,25.794,77.424,43.157,34.214
Historical,Brest,1912,22.668,76.831,46.448,28.029
Historical,Brest,1913,26.404,80.565,48.084,45.374
Historical,Brest,1914,25.175,81.469,48.711,36.984
Historical,Brest,1915,21.985,77.027,40.645,39.029
Historical,Brest,1916,24.318,81.479,52.243,37.372
Historical,Brest,1917,28.141,75.415,48.541,26.064
Historical,Brest,1918,29.633,67.869,50.468,39.461
Historical,Brest,1919,25.622,97.234,50.685,39.373
Historical,Brest,1920,24.101,74.850,48.289,38.928
Historical,Brest,1921,32.128,77.701,53.725,46.223
Historical,Brest,1922,25.212,87.388,52.736,44.129
Historical,Brest,1923,27.992,83.343,55.270,41.884
Historical,Brest,1924,26.181,73.860,47.643,32.047
Historical,Brest,1925,32.052,93.218,52.310,41.385
Historical,Brest,1926,26.066,86.208,45.864,43.569
Historical,Brest,1927,25.700,77.584,41.473,44.028
Historical,Brest,1928,17.238,82.182,46.741,31.959
Historical,Brest,1929,24.437,75.714,54.297,40.220
Historical,Brest,1930,16.894,76.134,48.978,38.822
Historical,Brest,1931,25.635,79.236,51.337,40.402
Historical,Brest,1932,26.895,77.986,49.811,37.930
Historical,Brest,1933,27.474,77.419,52.752,36.106
Historical,Brest,1934,25.481,84.672,48.285,41.406
Historical,Brest,1935,20.331,81.280,43.520,29.208
Historical,Brest,1936,23.888,83.581,52.342,29.896
Historical,Brest,1937,30.697,78.157,47.638,40.539
Historical,Brest,1938,37.888,75.979,51.092,40.467
Historical,Brest,1939,22.951,74.763,40.292,29.685
Historical,Brest,1940,19.480,90.524,46.025,38.467
Historical,Brest,1941,17.854,87.318,44.540,26.276
Historical,Brest,1942,26.382,97.460,49.196,35.392
Historical,Brest,1943,25.392,80.956,44.430,31.889
Historical,Brest,1944,26.853,78.674,52.459,46.893
Historical,Brest,1945,17.926,72.783,42.915,20.115
Historical,Brest,1946,23.550,75.072,40.566,29.738
Historical,Brest,1947,30.830,81.430,55.105,38.745
Historical,Brest,1948,25.928,76.858,46.776,28.696
Historical,Brest,1949,26.485,76.695,44.442,42.378
Historical,Brest,1950,20.778,85.553,42.241,28.993
Historical,Brest,1951,21.152,86.701,44.562,34.862
Historical,Brest,1952,33.923,89.163,55.940,42.173
Historical,Brest,1953,15.773,76.533,46.942,37.410
Historical,Brest,1954,28.327,71.109,52.906,34.695
Historical,Brest,1955,20.621,78.369,44.916,40.272
Historical,Brest,1956,23.113,67.794,36.139,29.925
