experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,18.256,80.659,45.757,64.106
Historical,Brest,1901,16.330,94.610,53.771,76.303
Historical,Brest,1902,24.072,106.045,45.691,58.071
Historical,Brest,1903,10.625,99.372,57.491,83.017
Historical,Brest,1904,11.536,87.091,58.067,52.027
Historical,Brest,1905,18.714,95.686,60.599,78.222
Historical,Brest,1906,20.021,89.239,57.593,67.690
Historical,Brest,1907,20.626,86.601,41.647,65.829
Historical,Brest,1908,16.970,114.955,40.097,55.390
Historical,Brest,1909,13.769,91.070,49.194,57.264
Historical,Brest,1910,14.683,80.709,47.936,63.206
Historical,Brest,1911,18.106,89.548,49.798,79.243
Historical,Brest,1912,15.689,100.341,52.918,54.557
Historical,Brest,1913,21.758,99.117,59.948,70.787
Historical,Brest,1914,16.777,86.347,43.091,54.669
Historical,Brest,1915,22.278,95.740,42.850,81.624
Historical,Brest,1916,17.395,85.784,43.472,65.540
Historical,Brest,1917,19.637,109.668,58.825,72.408
Historical,Brest,1918,13.164,95.563,58.292,69.100
Historical,Brest,1919,24.212,97.557,59.420,76.960
Historical,Brest,1920,19.677,99.013,48.705,63.632
Historical,Brest,1921,16.104,87.958,26.964,53.516
Historical,Brest,1922,26.869,78.294,61.717,73.015
Historical,Brest,1923,19.191,89.207,44.538,74.383
Historical,Brest,1924,12.611,71.285,40.297,56.574
Historical,Brest,1925,19.586,97.366,49.352,74.379
Historical,Brest,1926,21.117,87.698,48.690,68.942
Historical,Brest,1927,18.081,81.996,45.881,68.416
Historical,Brest,1928,14.568,86.017,51.583,62.430
Historical,Brest,1929,13.662,81.682,40.639,64.560
Historical,Brest,1930,20.687,91.172,41.561,71.910
Historical,Brest,1931,17.246,92.117,41.201,56.245
Historical,Brest,1932,16.752,105.439,47.121,77.856
Historical,Brest,1933,17.248,89.625,48.882,60.294
Historical,Brest,1934,19.015,102.910,54.875,79.257
Historical,Brest,1935,16.744,83.376,46.816,71.776
Historical,Brest,1936,14.978,69.836,45.630,62.032
Historical,Brest,1937,18.155,89.016,55.380,78.135
Historical,Brest,1938,13.730,80.619,42.883,56.048
Historical,Brest,1939,15.308,108.281,62.845,81.018
Historical,Brest,1940,18.919,86.512,49.657,67.886
Historical,Brest,1941,16.194,87.776,46.142,71.802
Historical,Brest,1942,19.967,105.098,51.739,64.203
Historical,Brest,1943,21.849,98.092,44.075,68.819
Historical,Brest,1944,11.541,91.834,52.308,83.520
Historical,Brest,1945,28.076,114.184,59.916,77.151
Historical,Brest,1946,19.337,98.063,58.260,78.372
Historical,Brest,1947,23.039,87.989,44.071,62.929
Historical,Brest,1948,16.030,89.241,46.519,71.976
Historical,Brest,1949,17.125,89.660,49.111,74.476
Historical,Brest,1950,21.559,90.313,46.990,74.206
Historical,Brest,1951,13.967,83.945,50.819,74.482
Historical,Brest,1952,16.639,89.805,41.045,58.496
Historical,Brest,1953,13.765,94.116,53.161,70.443
Historical,Brest,1954,24.906,108.067,58.258,79.962
Historical,Brest,1955,15.029,82.037,35.736,61.246
Historical,Brest,1956,13.504,85.836,43.916,78.463
Historical,Brest,1957,15.364,100.213,36.913,69.474
Historical,Brest,1958,15.506,86.825,47.286,57.770
Historical,Brest,1959,14.879,91.613,51.579,69.044
Historical,Brest,1960,13.354,96.631,45.090,65.830
Historical,Brest,1961,17.968,91.246,47.620,65.921
Historical,Brest,1962,25.615,101.068,56.813,79.380
Historical,Brest,1963,13.889,79.988,51.165,56.561
Historical,Brest,1964,19.141,89.550,48.501,57.377
Historical,Brest,1965,14.156,90.408,50.764,61.482
Historical,Brest,1966,20.107,94.189,46.100,78.150
Historical,Brest,1967,11.750,81.781,57.275,66.452
Historical,Brest,1968,14.030,89.881,49.727,68.817
Historical,Brest,1969,25.329,89.826,59.179,67.738
Historical,Brest,1970,18.978,109.152,58.501,69.809
Historical,Brest,1971,14.238,80.103,43.175,50.042
Historical,Brest,1972,17.898,91.365,45.814,61.290
Historical,Brest,1973,21.016,87.843,50.551,71.494
Historical,Brest,1974,21.100,86.722,41.062,57.216
Historical,Brest,1975,26.983,82.698,39.318,59.958
Historical,Brest,1976,19.488,107.248,46.473,68.883
Historical,Brest,1977,27.898,89.221,50.694,83.154
Historical,Brest,1978,18.188,96.445,44.752,63.086
Historical,Brest,1979,22.090,91.966,43.600,82.789
Historical,Brest,1980,16.374,104.021,46.539,67.292
Historical,Brest,1981,12.534,87.526,35.657,64.067
Historical,Brest,1982,25.395,83.259,46.110,70.535
Historical,Brest,1983,19.743,84.140,51.874,66.844
Historical,Brest,1984,9.587,76.303,42.215,59.899
Historical,Brest,1985,10.568,79.539,46.863,63.272
Historical,Brest,1986,19.266,101.029,46.083,81.917
Historical,Brest,1987,16.033,96.114,61.142,68.465
Historical,Brest,1988,16.880,88.444,53.278,67.292
Historical,Brest,1989,13.928,128.984,36.588,82.344
Historical,Brest,1990,26.241,96.070,55.636,66.674
Historical,Brest,1991,16.261,89.292,56.577,70.014
Historical,Brest,1992,9.517,94.997,58.124,73.895
Historical,Brest,1993,15.813,103.199,52.391,73.219
Historical,Brest,1994,20.479,94.921,43.659,67.810
Historical,Brest,1995,15.392,77.095,40.524,63.473
Historical,Brest,1996,24.169,88.294,44.697,72.991
Historical,Brest,1997,11.515,107.085,42.598,65.854
Historical,Brest,1998,20.474,113.985,53.107,80.181
Historical,Brest,1999,20.844,90.258,52.530,71.567
Historical,Brest,2000,16.141,99.980,51.536,75.385
Historical,Brest,2001,13.528,99.060,54.623,70.556
Historical,Brest,2002,13.816,81.661,41.631,52.675
Historical,Brest,2003,10.501,86.528,39.368,52.528
Historical,Brest,2004,18.582,84.723,47.359,55.173
Historical,Brest,2005,19.341,72.306,42.232,63.978
Historical,Brest,2006,12.261,74.552,42.209,72.976
Historical,Brest,2007,16.620,98.933,45.063,78.698
Historical,Brest,2008,13.425,92.630,46.171,62.723
Historical,Brest,2009,12.058,96.944,52.019,57.440
Historical,Brest,2010,14.521,64.623,36.492,54.189
Historical,Brest,2011,21.926,96.885,55.570,76.827
Historical,Brest,2012,15.461,96.279,43.619,72.214
Historical,Brest,2013,19.480,101.174,43.595,56.117
Historical,Brest,2014,15.507,96.199,46.112,72.429
Historical,Gomel,1900,16.672,74.731,41.892,72.714
Historical,Gomel,1901,18.583,94.709,51.635,74.797
Historical,Gomel,1902,19.583,91.344,39.790,85.396
Historical,Gomel,1903,9.531,85.171,50.982,75.680
Historical,Gomel,1904,13.793,89.320,51.454,77.209
Historical,Gomel,1905,20.684,85.727,47.825,73.238
Historical,Gomel,1906,17.210,107.583,55.337,78.442
Historical,Gomel,1907,10.895,78.628,34.808,57.451
Historical,Gomel,1908,14.750,93.476,45.211,65.334
Historical,Gomel,1909,11.638,93.822,39.431,60.888
Historical,Gomel,1910,10.670,82.461,42.315,68.983
Historical,Gomel,1911,16.431,91.951,42.271,74.835
Historical,Gomel,1912,14.941,106.248,44.824,75.614
Historical,Gomel,1913,21.468,81.406,51.856,62.747
Historical,Gomel,1914,12.104,81.226,34.643,68.479
Historical,Gomel,1915,20.149,85.086,41.283,79.372
Historical,Gomel,1916,12.492,81.280,39.350,64.864
Historical,Gomel,1917,14.947,109.930,57.582,73.626
Historical,Gomel,1918,17.195,82.422,41.843,67.524
Historical,Gomel,1919,13.390,87.940,54.834,86.428
