experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,18.256,80.659,45.757,64.792
Historical,Brest,1901,16.330,94.610,53.771,70.087
Historical,Brest,1902,24.072,106.045,45.691,74.761
Historical,Brest,1903,10.625,99.372,57.491,75.005
Historical,Brest,1904,11.536,87.091,58.067,68.024
Historical,Brest,1905,18.714,95.686,60.599,80.594
Historical,Brest,1906,20.021,89.239,57.593,70.461
Historical,Brest,1907,20.626,86.601,41.647,74.420
Historical,Brest,1908,16.970,114.955,40.097,54.584
Historical,Brest,1909,13.769,91.070,49.194,66.927
Historical,Brest,1910,14.683,80.709,47.936,67.574
Historical,Brest,1911,18.106,89.548,49.798,76.132
Historical,Brest,1912,15.689,100.341,52.918,66.939
Historical,Brest,1913,21.758,99.117,59.948,77.156
Historical,Brest,1914,16.777,86.347,43.091,51.741
Historical,Brest,1915,22.278,95.740,42.850,73.968
Historical,Brest,1916,17.395,85.784,43.472,66.836
Historical,Brest,1917,19.637,109.668,58.825,79.680
Historical,Brest,1918,13.164,95.563,58.292,81.827
Historical,Brest,1919,24.212,97.557,59.420,75.222
Historical,Brest,1920,19.677,99.013,48.705,72.513
Historical,Brest,1921,16.104,87.958,26.964,61.691
Historical,Brest,1922,26.869,78.294,61.717,72.009
Historical,Brest,1923,19.191,89.207,44.538,68.093
Historical,Brest,1924,12.611,71.285,40.297,49.980
Historical,Brest,1925,19.586,97.366,49.352,77.537
Historical,Brest,1926,21.117,87.698,48.690,71.773
Historical,Brest,1927,18.081,81.996,45.881,61.447
Historical,Brest,1928,14.568,86.017,51.583,68.529
Historical,Brest,1929,13.662,81.682,40.639,66.206
Historical,Brest,1930,20.687,91.172,41.561,81.422
Historical,Brest,1931,17.246,92.117,41.201,58.678
Historical,Brest,1932,16.752,105.439,47.121,80.874
Historical,Brest,1933,17.248,89.625,48.882,66.998
Historical,Brest,1934,19.015,102.910,54.875,82.777
Historical,Brest,1935,16.744,83.376,46.816,72.905
Historical,Brest,1936,14.978,69.836,45.630,68.064
Historical,Brest,1937,18.155,89.016,55.380,70.290
Historical,Brest,1938,13.730,80.619,42.883,65.848
Historical,Brest,1939,15.308,108.281,62.845,88.565
Historical,Brest,1940,18.919,86.512,49.657,76.397
Historical,Brest,1941,16.194,87.776,46.142,75.868
Historical,Brest,1942,19.967,105.098,51.739,71.523
Historical,Brest,1943,21.849,98.092,44.075,68.959
Historical,Brest,1944,11.541,91.834,52.308,75.631
Historical,Brest,1945,28.076,114.184,59.916,83.858
Historical,Brest,1946,19.337,98.063,58.260,74.859
Historical,Brest,1947,23.039,87.989,44.071,72.051
Historical,Brest,1948,16.030,89.241,46.519,65.560
Historical,Brest,1949,17.125,89.660,49.111,88.626
Historical,Brest,1950,21.559,90.313,46.990,75.086
Historical,Brest,1951,13.967,83.945,50.819,68.741
Historical,Brest,1952,16.639,89.805,41.045,64.156
Historical,Brest,1953,13.765,94.116,53.161,65.560
Historical,Brest,1954,24.906,108.067,58.258,85.490
Historical,Brest,1955,15.029,82.037,35.736,65.653
Historical,Brest,1956,13.504,85.836,43.916,75.976
Historical,Brest,1957,15.364,100.213,36.913,63.824
Historical,Brest,1958,15.506,86.825,47.286,67.935
Historical,Brest,1959,14.879,91.613,51.579,68.642
Historical,Brest,1960,13.354,96.631,45.090,69.053
Historical,Brest,1961,17.968,91.246,47.620,70.478
Historical,Brest,1962,25.615,101.068,56.813,100.623
Historical,Brest,1963,13.889,79.988,51.165,73.237
Historical,Brest,1964,19.141,89.550,48.501,70.947
Historical,Brest,1965,14.156,90.408,50.764,75.217
Historical,Brest,1966,20.107,94.189,46.100,78.547
Historical,Brest,1967,11.750,81.781,57.275,73.151
Historical,Brest,1968,14.030,89.881,49.727,68.720
Historical,Brest,1969,25.329,89.826,59.179,83.177
Historical,Brest,1970,18.978,109.152,58.501,85.271
Historical,Brest,1971,14.238,80.103,43.175,66.610
Historical,Brest,1972,17.898,91.365,45.814,79.159
Historical,Brest,1973,21.016,87.843,50.551,77.923
Historical,Brest,1974,21.100,86.722,41.062,55.557
Historical,Brest,1975,26.983,82.698,39.318,67.768
Historical,Brest,1976,19.488,107.248,46.473,83.982
Historical,Brest,1977,27.898,89.221,50.694,86.852
Historical,Brest,1978,18.188,96.445,44.752,67.673
Historical,Brest,1979,22.090,91.966,43.600,73.114
Historical,Brest,1980,16.374,104.021,46.539,89.779
Historical,Brest,1981,12.534,87.526,35.657,70.677
Historical,Brest,1982,25.395,83.259,46.110,81.103
Historical,Brest,1983,19.743,84.140,51.874,72.376
Historical,Brest,1984,9.587,76.303,42.215,55.639
Historical,Brest,1985,10.568,79.539,46.863,56.218
Historical,Brest,1986,19.266,101.029,46.083,71.527
Historical,Brest,1987,16.033,96.114,61.142,81.069
Historical,Brest,1988,16.880,88.444,53.278,73.017
Historical,Brest,1989,13.928,128.984,36.588,83.440
Historical,Brest,1990,26.241,96.070,55.636,70.253
Historical,Brest,1991,16.261,89.292,56.577,84.186
Historical,Brest,1992,9.517,94.997,58.124,78.401
Historical,Brest,1993,15.813,103.199,52.391,78.444
Historical,Brest,1994,20.479,94.921,43.659,77.817
Historical,Brest,1995,15.392,77.095,40.524,69.005
Historical,Brest,1996,24.169,88.294,44.697,73.602
Historical,Brest,1997,11.515,107.085,42.598,72.876
Historical,Brest,1998,20.474,113.985,53.107,72.420
Historical,Brest,1999,20.844,90.258,52.530,82.018
Historical,Brest,2000,16.141,99.980,51.536,76.563
Historical,Brest,2001,13.528,99.060,54.623,75.099
Historical,Brest,2002,13.816,81.661,41.631,59.450
Historical,Brest,2003,10.501,86.528,39.368,62.930
Historical,Brest,2004,18.582,84.723,47.359,64.548
Historical,Brest,2005,19.341,72.306,42.232,67.380
Historical,Brest,2006,12.261,74.552,42.209,80.946
Historical,Brest,2007,16.620,98.933,45.063,73.095
Historical,Brest,2008,13.425,92.630,46.171,58.672
Historical,Brest,2009,12.058,96.944,52.019,66.242
Historical,Brest,2010,14.521,64.623,36.492,54.222
Historical,Brest,2011,21.926,96.885,55.570,71.770
Historical,Brest,2012,15.461,96.279,43.619,73.513
Historical,Brest,2013,19.480,101.174,43.595,66.882
Historical,Brest,2014,15.507,96.199,46.112,83.975
Historical,Gomel,1900,16.672,74.731,41.892,72.982
Historical,Gomel,1901,18.583,94.709,51.635,76.479
Historical,Gomel,1902,19.583,91.344,39.790,86.857
Historical,Gomel,1903,9.531,85.171,50.982,63.589
Historical,Gomel,1904,13.793,89.320,51.454,78.340
Historical,Gomel,1905,20.684,85.727,47.825,72.082
Historical,Gomel,1906,17.210,107.583,55.337,82.876
Historical,Gomel,1907,10.895,78.628,34.808,69.424
Historical,Gomel,1908,14.750,93.476,45.211,70.439
Historical,Gomel,1909,11.638,93.822,39.431,72.932
Historical,Gomel,1910,10.670,82.461,42.315,76.086
Historical,Gomel,1911,16.431,91.951,42.271,77.097
Historical,Gomel,1912,14.941,106.248,44.824,75.284
Historical,Gomel,1913,21.468,81.406,51.856,72.434
Historical,Gomel,1914,12.104,81.226,34.643,73.609
Historical,Gomel,1915,20.149,85.086,41.283,76.277
Historical,Gomel,1916,12.492,81.280,39.350,64.795
Historical,Gomel,1917,14.947,109.930,57.582,74.118
Historical,Gomel,1918,17.195,82.422,41.843,63.641
Historical,Gomel,1919,13.390,87.940,54.834,79.128
Historical,Gomel,1920,11.079,85.653,44.200,85.831
Historical,Gomel,1921,14.748,81.444,37.124,85.823
Historical,Gomel,1922,19.100,95.795,48.694,78.986
Historical,Gomel,1923,10.020,87.192,36.729,70.674
Historical,Gomel,1924,11.724,70.998,36.096,59.841
Historical,Gomel,1925,19.172,98.668,37.423,76.847
