experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,36.139,85.387,55.129,45.528
Historical,Brest,1901,37.419,82.701,55.937,41.381
Historical,Brest,1902,31.946,86.590,62.666,58.512
Historical,Brest,1903,36.364,86.524,60.883,49.121
Historical,Brest,1904,37.643,83.309,58.444,48.285
Historical,Brest,1905,45.078,73.066,55.434,39.915
Historical,Brest,1906,36.793,77.335,55.397,43.297
Historical,Brest,1907,32.791,82.511,55.623,47.700
Historical,Brest,1908,27.804,68.478,51.025,40.380
Historical,Brest,1909,31.092,79.985,58.202,46.668
Historical,Brest,1910,30.202,80.461,52.691,49.953
Historical,Brest,1911,36.685,78.450,62.150,51.603
Historical,Brest,1912,31.355,84.738,59.951,49.209
Historical,Brest,1913,32.307,78.390,55.598,35.404
Historical,Brest,1914,27.046,81.359,52.029,37.180
Historical,Brest,1915,28.373,82.628,54.202,45.875
Historical,Brest,1916,35.789,77.626,60.177,41.548
Historical,Brest,1917,46.411,90.414,63.562,49.247
Historical,Brest,1918,32.870,73.708,53.582,47.854
Historical,Brest,1919,36.157,84.519,55.449,49.329
Historical,Brest,1920,43.884,85.726,53.847,42.456
Historical,Brest,1921,42.054,86.525,61.111,58.083
Historical,Brest,1922,32.838,91.215,61.338,50.820
Historical,Brest,1923,29.565,84.868,57.557,39.674
Historical,Brest,1924,34.817,88.639,56.996,51.312
Historical,Brest,1925,39.744,82.388,61.714,40.084
Historical,Brest,1926,32.431,93.501,55.037,48.248
Historical,Brest,1927,25.253,83.048,48.175,49.979
Historical,Brest,1928,35.571,81.258,54.782,47.000
Historical,Brest,1929,32.841,85.606,54.457,42.600
Historical,Brest,1930,36.236,81.132,56.496,52.464
Historical,Brest,1931,41.612,77.332,61.360,49.362
Historical,Brest,1932,27.198,88.470,59.028,42.854
Historical,Brest,1933,36.189,82.926,52.582,46.252
Historical,Brest,1934,33.461,79.768,49.115,47.074
Historical,Brest,1935,29.831,76.572,52.646,43.733
Historical,Brest,1936,27.816,85.243,50.562,38.797
Historical,Brest,1937,39.104,86.917,59.494,53.260
Historical,Brest,1938,44.080,81.304,56.912,47.759
Historical,Brest,1939,37.955,83.529,57.760,44.515
Historical,Brest,1940,33.880,84.662,53.135,43.699
Historical,Brest,1941,41.178,82.139,59.782,54.791
Historical,Brest,1942,39.118,79.134,55.143,42.383
Historical,Brest,1943,30.234,79.032,44.427,30.456
Historical,Brest,1944,42.556,90.768,63.281,48.295
Historical,Brest,1945,36.264,77.169,51.639,45.926
Historical,Brest,1946,49.991,95.124,67.678,51.086
Historical,Brest,1947,35.382,87.292,60.873,50.519
Historical,Brest,1948,39.387,81.488,60.291,43.540
Historical,Brest,1949,35.813,75.546,57.118,46.186
Historical,Brest,1950,31.349,77.873,56.924,35.984
Historical,Brest,1951,29.124,89.734,57.174,44.950
Historical,Brest,1952,35.163,81.856,62.639,46.011
Historical,Brest,1953,29.026,75.765,61.921,36.274
Historical,Brest,1954,33.257,82.487,55.132,45.626
Historical,Brest,1955,32.237,76.898,53.017,45.275
Historical,Brest,1956,33.077,92.083,55.246,44.006
Historical,Brest,1957,27.725,80.013,59.872,42.895
Historical,Brest,1958,37.691,80.857,58.375,45.867
Historical,Brest,1959,31.219,81.906,55.304,48.862
Historical,Brest,1960,29.810,78.701,55.185,36.788
Historical,Brest,1961,30.744,92.968,47.946,45.488
Historical,Brest,1962,40.264,83.038,55.258,46.334
Historical,Brest,1963,33.533,73.958,49.925,45.231
Historical,Brest,1964,29.251,74.671,51.884,41.575
Historical,Brest,1965,37.316,85.051,58.065,55.073
Historical,Brest,1966,37.955,82.918,56.897,51.680
Historical,Brest,1967,41.230,85.213,57.568,57.113
Historical,Brest,1968,35.676,75.540,52.440,43.201
Historical,Brest,1969,33.538,81.866,50.572,51.959
Historical,Brest,1970,44.768,75.858,59.521,53.598
Historical,Brest,1971,38.295,76.325,49.035,37.412
Historical,Brest,1972,24.280,80.762,51.577,27.451
Historical,Brest,1973,35.472,87.828,59.328,54.915
Historical,Brest,1974,37.516,74.784,57.716,49.469
Historical,Brest,1975,38.785,80.030,61.080,46.408
Historical,Brest,1976,34.508,75.503,54.400,49.258
Historical,Brest,1977,35.916,91.937,60.646,50.158
Historical,Brest,1978,36.006,79.655,57.496,54.768
Historical,Brest,1979,36.264,79.505,54.047,44.176
Historical,Brest,1980,35.572,75.225,55.416,48.887
Historical,Brest,1981,32.913,86.278,54.560,42.754
Historical,Brest,1982,21.334,86.063,53.550,43.894
Historical,Brest,1983,39.984,84.180,53.383,56.660
Historical,Brest,1984,36.185,77.462,50.128,47.537
Historical,Brest,1985,35.492,81.414,56.334,40.133
Historical,Brest,1986,34.384,73.993,50.252,34.126
Historical,Brest,1987,35.990,79.409,52.718,44.074
Historical,Brest,1988,38.445,76.985,58.978,42.782
Historical,Brest,1989,30.450,82.845,56.250,50.565
Historical,Brest,1990,32.519,82.454,61.279,43.922
Historical,Brest,1991,36.102,81.392,60.013,45.414
Historical,Brest,1992,36.940,73.490,53.333,41.439
Historical,Brest,1993,39.060,85.475,59.185,57.297
Historical,Brest,1994,42.711,79.674,60.916,54.000
Historical,Brest,1995,36.340,88.262,57.996,52.256
Historical,Brest,1996,36.467,85.788,62.036,44.000
Historical,Brest,1997,39.381,77.946,58.065,49.141
Historical,Brest,1998,40.827,89.755,62.160,60.767
Historical,Brest,1999,33.968,75.503,56.657,46.731
Historical,Brest,2000,35.719,79.499,52.557,50.696
Historical,Brest,2001,28.363,86.581,62.398,42.934
Historical,Brest,2002,40.430,85.244,61.529,44.351
Historical,Brest,2003,26.442,80.690,54.241,48.258
Historical,Brest,2004,36.677,94.437,60.976,42.027
Historical,Brest,2005,26.426,80.347,60.163,58.136
Historical,Brest,2006,30.770,85.517,55.542,49.340
Historical,Brest,2007,31.968,91.658,56.636,42.892
Historical,Brest,2008,34.565,86.275,55.393,46.508
Historical,Brest,2009,36.739,83.170,61.726,51.506
Historical,Brest,2010,40.713,86.378,60.815,62.175
Historical,Brest,2011,38.973,84.683,60.669,52.468
Historical,Brest,2012,32.501,85.015,60.358,56.951
Historical,Brest,2013,27.772,87.118,49.454,44.673
Historical,Brest,2014,39.714,101.286,65.564,55.525
Historical,Gomel,1900,32.216,90.510,58.142,42.846
Historical,Gomel,1901,35.047,105.992,56.626,52.824
Historical,Gomel,1902,40.386,91.446,60.890,56.583
Historical,Gomel,1903,37.476,83.484,60.193,50.660
Historical,Gomel,1904,33.945,80.574,61.581,50.008
Historical,Gomel,1905,34.826,77.999,57.351,46.999
Historical,Gomel,1906,36.007,83.901,54.641,47.686
Historical,Gomel,1907,29.857,84.062,46.580,47.824
Historical,Gomel,1908,28.415,71.987,47.940,46.139
Historical,Gomel,1909,32.509,88.919,52.388,35.487
Historical,Gomel,1910,29.166,72.353,54.281,51.618
Historical,Gomel,1911,35.758,85.179,57.420,48.668
Historical,Gomel,1912,33.686,97.494,58.537,45.422
Historical,Gomel,1913,30.313,85.436,49.823,39.949
Historical,Gomel,1914,25.952,84.825,53.400,48.590
Historical,Gomel,1915,24.812,83.073,58.556,38.412
Historical,Gomel,1916,36.708,82.733,55.912,40.598
Historical,Gomel,1917,45.052,85.352,62.680,54.480
Historical,Gomel,1918,34.941,74.199,51.584,39.655
Historical,Gomel,1919,38.215,80.015,55.777,51.464
Historical,Gomel,1920,37.394,79.550,57.260,50.143
Historical,Gomel,1921,41.416,82.865,57.805,63.050
Historical,Gomel,1922,31.574,89.162,61.036,53.845
Historical,Gomel,1923,32.304,89.081,55.423,45.753
Historical,Gomel,1924,38.121,92.249,59.520,50.117
Historical,Gomel,1925,39.233,88.051,61.653,47.017
Historical,Gomel,1926,36.657,83.296,53.917,45.656
Historical,Gomel,1927,31.240,81.037,49.642,45.363
Historical,Gomel,1928,36.193,85.240,57.173,46.138
Historical,Gomel,1929,38.920,84.858,61.537,53.952
Historical,Gomel,1930,37.916,89.909,52.916,55.756
Historical,Gomel,1931,40.373,73.331,58.878,46.975
Historical,Gomel,1932,28.110,92.164,57.649,45.979
Historical,Gomel,1933,35.734,88.030,57.348,55.300
Historical,Gomel,1934,33.499,85.480,53.961,48.660
Historical,Gomel,1935,31.786,72.121,48.311,40.591
Historical,Gomel,1936,29.783,84.131,51.917,45.268
Historical,Gomel,1937,34.848,80.368,57.136,50.793
Historical,Gomel,1938,41.898,86.649,54.245,50.112
Historical,Gomel,1939,40.123,87.277,55.118,44.163
Historical,Gomel,1940,32.668,87.536,59.122,45.944
Historical,Gomel,1941,39.382,67.420,59.401,44.882
Historical,Gomel,1942,39.283,90.189,63.359,54.143
Historical,Gomel,1943,28.347,81.045,48.335,40.978
Historical,Gomel,1944,44.689,99.032,63.521,48.954
Historical,Gomel,1945,32.090,84.828,55.127,41.781
Historical,Gomel,1946,43.499,83.153,67.961,54.262
Historical,Gomel,1947,40.175,88.491,64.015,50.417
Historical,Gomel,1948,38.478,81.055,60.317,40.093
Historical,Gomel,1949,40.444,74.596,51.039,39.429
Historical,Gomel,1950,26.244,80.088,56.270,38.073
Historical,Gomel,1951,37.170,94.968,59.336,53.984
Historical,Gomel,1952,30.912,76.779,63.900,43.952
Historical,Gomel,1953,27.739,95.412,55.939,43.155
Historical,Gomel,1954,34.662,84.896,62.106,49.756
Historical,Gomel,1955,32.515,79.733,48.747,44.022
Historical,Gomel,1956,35.023,102.951,64.144,52.489
Historical,Gomel,1957,26.569,77.301,63.531,42.957
Historical,Gomel,1958,33.257,82.094,58.624,52.703
Historical,Gomel,1959,35.843,89.470,53.266,52.002
Historical,Gomel,1960,32.072,86.978,57.491,44.372
Historical,Gomel,1961,26.406,79.978,52.815,48.656
Historical,Gomel,1962,38.217,75.213,58.560,45.994
Historical,Gomel,1963,36.352,80.762,53.208,39.177
Historical,Gomel,1964,28.874,86.480,49.667,41.332
Historical,Gomel,1965,36.654,84.066,59.328,60.377
Historical,Gomel,1966,35.355,98.048,56.615,54.031
Historical,Gomel,1967,39.625,88.223,57.295,57.208
Historical,Gomel,1968,36.242,83.549,52.033,42.243
Historical,Gomel,1969,35.729,74.797,61.732,52.314
Historical,Gomel,1970,45.339,77.752,63.940,55.953
Historical,Gomel,1971,36.451,85.616,50.127,42.315
Historical,Gomel,1972,24.425,85.841,48.090,28.485
Historical,Gomel,1973,37.143,83.731,56.776,46.644
Historical,Gomel,1974,34.315,80.638,57.263,48.055
Historical,Gomel,1975,38.648,83.516,59.198,41.898
Historical,Gomel,1976,39.080,75.560,52.382,42.226
Historical,Gomel,1977,32.078,96.861,69.689,49.964
Historical,Gomel,1978,33.319,91.318,57.658,60.897
Historical,Gomel,1979,35.889,78.564,51.719,39.180
Historical,Gomel,1980,32.054,81.564,61.157,51.086
Historical,Gomel,1981,30.678,94.632,59.734,53.867
Historical,Gomel,1982,21.063,87.657,54.697,45.673
Historical,Gomel,1983,40.119,84.175,58.680,48.200
Historical,Gomel,1984,33.905,77.528,50.614,46.299
Historical,Gomel,1985,31.432,72.818,55.461,37.227
Historical,Gomel,1986,33.315,84.295,56.566,41.571
Historical,Gomel,1987,38.425,76.270,55.836,45.967
Historical,Gomel,1988,35.019,81.625,60.086,50.392
Historical,Gomel,1989,39.157,88.297,53.678,58.529
Historical,Gomel,1990,41.697,90.326,63.482,46.217
Historical,Gomel,1991,32.654,76.978,58.999,43.776
Historical,Gomel,1992,36.708,78.613,53.105,42.637
Historical,Gomel,1993,37.114,83.320,57.032,53.748
Historical,Gomel,1994,46.137,80.389,63.619,57.515
Historical,Gomel,1995,37.423,93.097,63.201,47.218
Historical,Gomel,1996,37.636,93.979,61.480,42.737
Historical,Gomel,1997,42.933,93.931,59.492,53.712
Historical,Gomel,1998,38.317,90.990,63.016,64.651
Historical,Gomel,1999,33.554,80.624,52.842,46.012
Historical,Gomel,2000,36.642,84.661,51.236,50.538
Historical,Gomel,2001,31.942,93.223,62.575,45.044
Historical,Gomel,2002,43.037,86.333,57.164,43.991
Historical,Gomel,2003,29.841,80.576,59.654,54.382
Historical,Gomel,2004,32.494,97.784,53.882,39.492
Historical,Gomel,2005,33.180,94.920,55.747,70.390
Historical,Gomel,2006,32.373,80.873,59.482,41.085
Historical,Gomel,2007,33.193,96.734,63.243,46.648
Historical,Gomel,2008,25.826,83.641,53.535,47.270
Historical,Gomel,2009,33.151,77.325,58.558,43.147
Historical,Gomel,2010,40.370,82.557,53.959,62.832
Historical,Gomel,2011,35.378,90.865,55.431,43.805
Historical,Gomel,2012,35.870,91.969,64.350,56.589
Historical,Gomel,2013,24.094,83.353,60.432,47.926
Historical,Gomel,2014,38.222,99.817,63.095,46.163
Historical,Grodno,1900,38.703,92.801,53.383,42.380
Historical,Grodno,1901,39.486,80.241,54.374,43.490
Historical,Grodno,1902,35.766,89.067,65.996,58.745
Historical,Grodno,1903,39.753,87.314,60.701,49.451
Historical,Grodno,1904,40.674,80.650,53.869,53.413
Historical,Grodno,1905,42.834,72.383,58.506,43.261
Historical,Grodno,1906,36.782,80.403,57.034,45.845
Historical,Grodno,1907,32.573,87.599,57.674,50.244
Historical,Grodno,1908,32.827,73.498,50.637,40.277
Historical,Grodno,1909,39.934,80.779,62.007,56.084
Historical,Grodno,1910,32.438,88.672,55.223,54.390
Historical,Grodno,1911,42.435,88.996,63.219,53.492
Historical,Grodno,1912,35.704,87.341,61.596,43.881
Historical,Grodno,1913,34.727,84.220,59.026,37.439
Historical,Grodno,1914,29.904,89.717,51.483,36.262
Historical,Grodno,1915,30.941,82.757,54.264,42.226
Historical,Grodno,1916,41.653,80.656,62.135,49.814
Historical,Grodno,1917,43.412,87.906,64.457,51.662
Historical,Grodno,1918,35.511,84.252,58.781,53.688
Historical,Grodno,1919,38.322,82.157,57.854,51.649
Historical,Grodno,1920,43.593,86.497,57.754,38.845
Historical,Grodno,1921,47.242,91.959,65.588,58.771
Historical,Grodno,1922,39.341,84.816,59.343,51.415
Historical,Grodno,1923,30.300,91.458,56.290,37.073
Historical,Grodno,1924,31.600,87.605,61.525,50.556
Historical,Grodno,1925,40.372,88.380,62.830,45.262
Historical,Grodno,1926,37.294,97.276,53.038,48.911
Historical,Grodno,1927,29.690,76.441,58.074,53.223
Historical,Grodno,1928,35.200,87.928,57.869,49.232
Historical,Grodno,1929,33.953,87.725,52.212,49.152
Historical,Grodno,1930,35.844,83.897,60.308,48.844
Historical,Grodno,1931,36.863,83.533,60.741,52.491
Historical,Grodno,1932,31.327,80.258,62.916,54.649
Historical,Grodno,1933,36.047,85.643,56.252,49.628
Historical,Grodno,1934,37.475,83.017,55.665,48.748
Historical,Grodno,1935,29.850,82.596,57.893,50.493
Historical,Grodno,1936,29.510,95.047,57.917,42.513
Historical,Grodno,1937,41.244,82.784,61.302,58.144
Historical,Grodno,1938,41.237,85.905,61.714,52.905
Historical,Grodno,1939,41.327,84.255,57.727,41.564
Historical,Grodno,1940,29.138,90.728,57.347,51.350
Historical,Grodno,1941,42.583,91.803,58.242,59.899
Historical,Grodno,1942,42.317,75.535,54.287,41.992
Historical,Grodno,1943,30.268,78.007,47.373,38.620
Historical,Grodno,1944,45.494,86.078,62.659,46.339
Historical,Grodno,1945,37.641,92.427,58.396,52.935
Historical,Grodno,1946,49.101,94.732,70.947,52.953
Historical,Grodno,1947,39.995,87.238,59.974,51.969
Historical,Grodno,1948,42.633,90.223,62.404,51.406
Historical,Grodno,1949,40.808,79.615,57.032,47.855
Historical,Grodno,1950,35.775,79.591,66.326,46.452
Historical,Grodno,1951,33.486,94.651,63.835,45.877
Historical,Grodno,1952,36.873,88.737,65.579,53.552
Historical,Grodno,1953,27.700,80.960,59.481,42.333
Historical,Grodno,1954,33.734,86.842,56.778,48.735
Historical,Grodno,1955,33.515,78.974,55.488,51.034
