experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,23.549,69.590,45.065,35.683
Historical,Brest,1901,25.852,73.462,42.230,35.076
Historical,Brest,1902,24.981,73.743,51.819,36.863
Historical,Brest,1903,20.151,58.420,36.539,18.386
Historical,Brest,1904,26.954,60.717,42.893,27.049
Historical,Brest,1905,25.259,58.747,41.685,33.490
Historical,Brest,1906,23.240,61.606,42.337,30.138
Historical,Brest,1907,26.072,56.599,40.494,35.766
Historical,Brest,1908,23.217,79.828,50.090,35.011
Historical,Brest,1909,20.916,61.518,42.254,27.100
Historical,Brest,1910,23.546,58.134,38.096,32.265
Historical,Brest,1911,24.189,64.594,42.195,34.393
Historical,Brest,1912,32.077,67.795,44.421,38.902
Historical,Brest,1913,26.276,58.625,38.940,31.093
Historical,Brest,1914,29.439,69.619,41.511,36.698
Historical,Brest,1915,21.288,79.701,40.163,26.522
Historical,Brest,1916,19.607,63.041,40.768,31.217
Historical,Brest,1917,21.268,66.785,45.332,33.537
Historical,Brest,1918,25.009,66.876,43.747,20.036
Historical,Brest,1919,26.231,55.197,43.091,34.704
Historical,Brest,1920,26.753,65.023,42.682,42.175
Historical,Brest,1921,26.658,68.057,46.573,36.792
Historical,Brest,1922,25.210,58.688,40.342,24.532
Historical,Brest,1923,22.214,58.620,41.169,28.395
Historical,Brest,1924,18.102,56.300,43.385,25.386
Historical,Brest,1925,24.025,65.412,40.968,28.723
Historical,Brest,1926,22.987,55.173,41.150,24.618
Historical,Brest,1927,25.683,68.526,48.580,34.543
Historical,Brest,1928,22.701,67.081,44.590,29.450
Historical,Brest,1929,25.117,69.690,44.811,33.818
Historical,Brest,1930,24.824,61.613,45.466,32.411
Historical,Brest,1931,21.517,65.853,43.198,28.281
Historical,Brest,1932,29.097,65.344,45.674,27.493
Historical,Brest,1933,24.119,61.261,46.062,32.701
Historical,Brest,1934,24.344,57.270,43.922,37.285
Historical,Brest,1935,22.456,60.669,43.544,33.551
Historical,Brest,1936,27.231,66.887,42.788,30.921
Historical,Brest,1937,20.482,67.020,40.077,31.790
Historical,Brest,1938,18.754,62.377,34.496,30.314
Historical,Brest,1939,23.383,63.587,42.341,29.395
Historical,Brest,1940,21.013,61.881,44.046,33.719
Historical,Brest,1941,27.415,65.531,43.528,29.950
Historical,Brest,1942,23.014,59.314,35.082,25.404
Historical,Brest,1943,20.342,67.356,40.361,34.223
Historical,Brest,1944,27.219,71.192,41.879,34.533
