experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,23.549,69.590,45.065,44.555
Historical,Brest,1901,25.852,73.462,42.230,39.231
Historical,Brest,1902,24.981,73.743,51.819,44.659
Historical,Brest,1903,20.151,58.420,36.539,25.906
Historical,Brest,1904,26.954,60.717,42.893,34.525
Historical,Brest,1905,25.259,58.747,41.685,41.282
Historical,Brest,1906,23.240,61.606,42.337,38.510
Historical,Brest,1907,26.072,56.599,40.494,43.421
Historical,Brest,1908,23.217,79.828,50.090,42.005
Historical,Brest,1909,20.916,61.518,42.254,34.854
Historical,Brest,1910,23.546,58.134,38.096,38.341
Historical,Brest,1911,24.189,64.594,42.195,41.418
Historical,Brest,1912,32.077,67.795,44.421,52.457
Historical,Brest,1913,26.276,58.625,38.940,42.991
Historical,Brest,1914,29.439,69.619,41.511,46.218
Historical,Brest,1915,21.288,79.701,40.163,39.652
Historical,Brest,1916,19.607,63.041,40.768,34.231
Historical,Brest,1917,21.268,66.785,45.332,48.001
Historical,Brest,1918,25.009,66.876,43.747,36.129
Historical,Brest,1919,26.231,55.197,43.091,40.243
Historical,Brest,1920,26.753,65.023,42.682,41.968
Historical,Brest,1921,26.658,68.057,46.573,43.419
Historical,Brest,1922,25.210,58.688,40.342,35.179
Historical,Brest,1923,22.214,58.620,41.169,37.302
Historical,Brest,1924,18.102,56.300,43.385,36.141
Historical,Brest,1925,24.025,65.412,40.968,38.695
Historical,Brest,1926,22.987,55.173,41.150,40.659
Historical,Brest,1927,25.683,68.526,48.580,45.000
Historical,Brest,1928,22.701,67.081,44.590,43.662
Historical,Brest,1929,25.117,69.690,44.811,46.522
Historical,Brest,1930,24.824,61.613,45.466,42.977
Historical,Brest,1931,21.517,65.853,43.198,36.157
Historical,Brest,1932,29.097,65.344,45.674,35.515
Historical,Brest,1933,24.119,61.261,46.062,40.762
Historical,Brest,1934,24.344,57.270,43.922,43.473
Historical,Brest,1935,22.456,60.669,43.544,40.837
Historical,Brest,1936,27.231,66.887,42.788,40.387
Historical,Brest,1937,20.482,67.020,40.077,35.106
Historical,Brest,1938,18.754,62.377,34.496,39.777
Historical,Brest,1939,23.383,63.587,42.341,37.310
Historical,Brest,1940,21.013,61.881,44.046,39.721
Historical,Brest,1941,27.415,65.531,43.528,40.919
Historical,Brest,1942,23.014,59.314,35.082,35.379
Historical,Brest,1943,20.342,67.356,40.361,46.562
Historical,Brest,1944,27.219,71.192,41.879,44.658
Historical,Brest,1945,28.831,61.989,38.985,34.496
Historical,Brest,1946,29.665,63.813,44.077,41.762
Historical,Brest,1947,24.859,64.631,46.861,45.968
Historical,Brest,1948,27.537,66.290,45.237,45.060
Historical,Brest,1949,33.712,59.565,47.807,42.874
Historical,Brest,1950,24.732,62.306,46.341,43.479
Historical,Brest,1951,16.315,64.680,41.991,44.303
Historical,Brest,1952,22.535,65.072,38.061,47.382
Historical,Brest,1953,20.546,66.371,47.363,42.976
Historical,Brest,1954,20.949,61.763,44.540,43.040
Historical,Brest,1955,27.737,61.011,43.208,43.579
Historical,Brest,1956,21.007,58.163,41.605,37.037
Historical,Brest,1957,19.951,61.283,43.685,46.793
Historical,Brest,1958,24.940,60.154,36.087,36.357
Historical,Brest,1959,20.495,72.780,44.312,35.919
Historical,Brest,1960,22.709,60.717,39.319,36.880
Historical,Brest,1961,30.861,61.480,43.973,36.286
Historical,Brest,1962,25.041,68.810,41.702,40.069
Historical,Brest,1963,24.259,62.498,35.185,39.276
Historical,Brest,1964,27.821,64.370,41.926,40.013
Historical,Brest,1965,20.868,60.457,44.123,34.394
Historical,Brest,1966,23.803,56.919,40.672,40.592
Historical,Brest,1967,29.530,63.805,46.490,40.201
Historical,Brest,1968,26.395,57.623,42.642,42.158
Historical,Brest,1969,24.494,61.606,44.162,38.853
Historical,Brest,1970,24.265,60.061,39.282,36.280
Historical,Brest,1971,23.033,64.609,43.274,44.481
Historical,Brest,1972,28.437,69.016,38.584,28.819
Historical,Brest,1973,25.401,58.481,36.261,39.300
