experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,31.563,66.646,51.146,37.005
Historical,Brest,1901,32.668,76.028,52.648,36.521
Historical,Brest,1902,33.479,77.011,55.708,43.228
Historical,Brest,1903,25.379,67.307,45.424,41.683
Historical,Brest,1904,28.911,82.192,63.349,54.167
Historical,Brest,1905,28.406,74.837,51.713,43.605
Historical,Brest,1906,31.382,67.554,46.787,38.689
Historical,Brest,1907,26.493,66.196,52.314,44.318
Historical,Brest,1908,29.610,70.972,46.694,41.272
Historical,Brest,1909,28.513,85.630,56.821,48.106
Historical,Brest,1910,32.768,73.756,51.209,44.114
Historical,Brest,1911,39.256,77.054,56.719,44.853
Historical,Brest,1912,29.817,79.936,54.349,47.662
Historical,Brest,1913,34.609,71.595,57.498,39.742
Historical,Brest,1914,28.715,77.953,52.825,40.716
Historical,Brest,1915,29.659,77.738,48.720,35.925
Historical,Brest,1916,35.137,85.710,55.082,55.564
Historical,Brest,1917,25.234,72.424,48.276,45.686
Historical,Brest,1918,34.263,67.915,48.354,44.009
Historical,Brest,1919,36.314,70.895,50.739,46.441
Historical,Brest,1920,28.117,65.287,44.167,31.632
Historical,Brest,1921,27.168,72.447,52.075,41.084
Historical,Brest,1922,35.755,86.565,50.241,48.376
Historical,Brest,1923,35.739,72.806,52.864,46.349
Historical,Brest,1924,30.198,76.564,52.756,47.304
Historical,Brest,1925,33.505,66.792,51.504,39.297
Historical,Brest,1926,31.287,69.921,47.515,44.067
Historical,Brest,1927,37.797,75.903,53.650,44.649
Historical,Brest,1928,30.069,72.450,53.537,40.439
Historical,Brest,1929,30.780,79.156,47.405,38.191
Historical,Brest,1930,30.645,71.168,50.488,38.453
Historical,Brest,1931,30.535,76.874,51.706,40.887
Historical,Brest,1932,33.945,70.254,49.121,38.475
Historical,Brest,1933,24.561,72.917,52.375,46.519
Historical,Brest,1934,35.735,66.353,49.054,49.473
Historical,Brest,1935,32.336,72.159,51.849,45.921
Historical,Brest,1936,26.756,74.710,55.380,41.459
Historical,Brest,1937,36.576,76.360,48.951,42.909
Historical,Brest,1938,32.336,76.384,54.991,52.942
Historical,Brest,1939,36.877,78.675,55.752,52.140
Historical,Brest,1940,29.778,74.716,58.340,48.490
Historical,Brest,1941,36.487,72.860,52.081,41.032
Historical,Brest,1942,30.865,77.541,57.801,37.784
Historical,Brest,1943,29.859,70.328,47.907,47.519
Historical,Brest,1944,29.480,66.748,46.526,40.073
Historical,Brest,1945,30.018,73.994,49.610,44.037
Historical,Brest,1946,27.089,70.785,46.599,45.776
Historical,Brest,1947,27.187,76.621,50.764,46.215
Historical,Brest,1948,36.947,76.071,52.278,52.015
Historical,Brest,1949,29.471,73.101,48.621,37.240
Historical,Brest,1950,30.107,68.484,55.043,50.854
Historical,Brest,1951,25.399,64.241,44.899,35.063
Historical,Brest,1952,25.288,73.101,50.126,40.822
Historical,Brest,1953,29.189,76.018,51.838,54.300
Historical,Brest,1954,34.935,71.095,53.451,39.475
Historical,Brest,1955,23.921,71.898,51.575,39.700
Historical,Brest,1956,22.418,76.015,52.331,53.801
Historical,Brest,1957,32.756,75.587,49.077,40.363
Historical,Brest,1958,26.131,75.712,48.122,45.835
Historical,Brest,1959,31.584,76.521,52.681,43.346
Historical,Brest,1960,27.412,77.291,45.407,37.058
Historical,Brest,1961,35.719,75.374,50.844,52.690
Historical,Brest,1962,28.249,71.771,50.154,44.648
Historical,Brest,1963,27.974,75.135,44.639,38.676
