experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,25.952,126.053,58.301,76.052
Historical,Brest,1901,20.834,109.270,49.379,88.495
Historical,Brest,1902,20.081,130.835,71.657,84.396
Historical,Brest,1903,23.957,113.420,69.669,92.665
Historical,Brest,1904,24.831,138.588,64.464,85.783
Historical,Brest,1905,15.248,113.498,59.368,91.673
Historical,Brest,1906,18.132,115.422,59.182,79.354
Historical,Brest,1907,21.757,112.605,64.676,81.564
Historical,Brest,1908,21.112,121.069,69.905,83.748
Historical,Brest,1909,34.639,112.567,60.302,73.975
Historical,Brest,1910,19.727,103.614,58.132,82.258
Historical,Brest,1911,14.789,108.594,56.113,86.012
Historical,Brest,1912,19.065,112.476,66.803,92.539
Historical,Brest,1913,17.940,96.381,60.513,74.645
Historical,Brest,1914,27.025,106.590,67.285,97.417
Historical,Brest,1915,17.993,88.971,61.630,82.009
Historical,Brest,1916,25.788,99.271,63.914,79.949
Historical,Brest,1917,26.269,109.510,56.729,81.762
Historical,Brest,1918,28.307,118.436,61.382,74.437
Historical,Brest,1919,11.955,105.693,53.899,69.761
Historical,Brest,1920,15.186,113.307,64.522,80.662
Historical,Brest,1921,28.568,103.379,55.949,79.311
Historical,Brest,1922,37.757,117.065,75.658,99.753
Historical,Brest,1923,25.853,98.709,63.529,79.297
Historical,Brest,1924,24.722,98.608,56.291,79.659
Historical,Brest,1925,21.155,103.660,54.263,76.455
Historical,Brest,1926,27.349,98.604,62.651,94.673
Historical,Brest,1927,20.328,105.205,61.868,77.128
Historical,Brest,1928,20.221,121.097,66.595,92.341
Historical,Brest,1929,29.211,108.591,73.924,93.211
Historical,Brest,1930,22.456,107.497,66.797,99.990
Historical,Brest,1931,23.635,87.135,58.320,84.035
Historical,Brest,1932,21.146,105.839,56.103,86.521
Historical,Brest,1933,17.316,109.963,56.469,80.593
Historical,Brest,1934,18.365,110.951,68.013,79.151
Historical,Brest,1935,19.408,103.616,75.782,70.547
Historical,Brest,1936,23.130,113.004,63.429,86.395
Historical,Brest,1937,19.089,94.844,60.125,87.760
Historical,Brest,1938,19.354,104.416,54.620,79.927
Historical,Brest,1939,20.717,101.632,62.846,75.079
Historical,Brest,1940,18.360,130.145,67.881,87.240
Historical,Brest,1941,13.624,118.366,58.166,85.082
Historical,Brest,1942,19.543,93.824,67.916,82.126
Historical,Brest,1943,23.590,94.049,59.327,71.085
Historical,Brest,1944,18.615,88.431,60.264,83.648
Historical,Brest,1945,31.554,120.728,70.817,84.570
Historical,Brest,1946,17.025,114.684,62.001,83.510
Historical,Brest,1947,19.288,104.466,49.502,71.301
Historical,Brest,1948,16.668,108.754,70.651,82.665
Historical,Brest,1949,25.469,134.229,57.523,87.281
Historical,Brest,1950,27.158,110.176,54.556,87.599
Historical,Brest,1951,22.421,121.943,70.664,92.460
Historical,Brest,1952,14.821,114.403,58.857,92.452
Historical,Brest,1953,21.500,101.226,65.571,81.836
Historical,Brest,1954,13.382,111.182,50.975,75.719
Historical,Brest,1955,24.984,96.834,55.462,91.499
Historical,Brest,1956,25.290,116.405,61.998,78.243
Historical,Brest,1957,24.249,108.573,55.955,84.897
Historical,Brest,1958,22.606,113.556,76.704,85.534
Historical,Brest,1959,15.089,105.636,63.740,80.050
Historical,Brest,1960,24.355,123.120,61.060,93.604
Historical,Brest,1961,21.564,101.619,61.626,80.723
Historical,Brest,1962,26.471,115.063,64.658,73.069
Historical,Brest,1963,22.609,110.056,67.797,78.590
Historical,Brest,1964,29.430,104.071,55.955,91.453
Historical,Brest,1965,20.221,112.480,60.499,79.140
Historical,Brest,1966,21.082,117.173,51.158,84.072
Historical,Brest,1967,19.751,100.604,61.009,85.231
Historical,Brest,1968,22.092,101.949,73.321,90.754
Historical,Brest,1969,21.204,105.404,57.536,74.900
Historical,Brest,1970,17.957,92.648,67.767,91.284
Historical,Brest,1971,21.142,112.782,61.806,80.504
Historical,Brest,1972,21.137,119.905,53.681,82.969
Historical,Brest,1973,29.964,130.093,68.928,95.622
Historical,Brest,1974,17.377,120.083,56.454,107.976
Historical,Brest,1975,15.659,119.981,55.267,78.663
Historical,Brest,1976,29.511,98.792,70.256,80.355
Historical,Brest,1977,22.816,112.018,58.638,82.632
Historical,Brest,1978,16.100,117.781,61.441,79.011
Historical,Brest,1979,24.267,110.532,66.311,95.778
Historical,Brest,1980,23.844,84.059,54.881,82.071
Historical,Brest,1981,25.728,90.593,58.008,82.888
Historical,Brest,1982,28.273,106.350,63.506,97.313
Historical,Brest,1983,14.911,94.210,60.430,76.166
Historical,Brest,1984,25.926,102.738,60.994,84.877
Historical,Brest,1985,17.442,99.830,54.104,77.176
Historical,Brest,1986,21.417,136.383,62.878,80.634
Historical,Brest,1987,17.966,138.862,64.205,92.565
Historical,Brest,1988,14.047,136.169,59.688,90.038
Historical,Brest,1989,17.058,117.636,69.605,87.756
Historical,Brest,1990,23.554,107.377,68.338,94.994
Historical,Brest,1991,11.560,105.166,52.506,80.940
Historical,Brest,1992,20.843,115.288,52.609,80.204
Historical,Brest,1993,28.764,112.970,63.206,96.324
Historical,Brest,1994,17.979,114.708,64.668,85.846
Historical,Brest,1995,18.815,97.460,69.928,67.462
Historical,Brest,1996,22.959,103.503,60.470,77.727
Historical,Brest,1997,27.186,91.454,58.701,85.683
Historical,Brest,1998,24.745,103.821,65.982,91.277
Historical,Brest,1999,24.935,94.064,56.646,84.378
Historical,Brest,2000,20.336,111.039,56.022,86.122
Historical,Brest,2001,23.974,114.090,72.306,104.216
Historical,Brest,2002,27.317,101.396,63.476,82.020
Historical,Brest,2003,25.340,111.057,51.998,80.857
Historical,Brest,2004,22.108,110.923,55.276,83.165
