experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,25.952,126.053,58.301,84.217
Historical,Brest,1901,20.834,109.270,49.379,93.805
Historical,Brest,1902,20.081,130.835,71.657,84.271
Historical,Brest,1903,23.957,113.420,69.669,98.000
Historical,Brest,1904,24.831,138.588,64.464,91.695
Historical,Brest,1905,15.248,113.498,59.368,108.927
Historical,Brest,1906,18.132,115.422,59.182,84.134
Historical,Brest,1907,21.757,112.605,64.676,89.996
Historical,Brest,1908,21.112,121.069,69.905,102.650
Historical,Brest,1909,34.639,112.567,60.302,89.579
Historical,Brest,1910,19.727,103.614,58.132,79.035
Historical,Brest,1911,14.789,108.594,56.113,77.365
Historical,Brest,1912,19.065,112.476,66.803,98.426
Historical,Brest,1913,17.940,96.381,60.513,88.815
Historical,Brest,1914,27.025,106.590,67.285,96.674
Historical,Brest,1915,17.993,88.971,61.630,75.429
Historical,Brest,1916,25.788,99.271,63.914,87.847
Historical,Brest,1917,26.269,109.510,56.729,86.340
Historical,Brest,1918,28.307,118.436,61.382,84.352
Historical,Brest,1919,11.955,105.693,53.899,85.051
Historical,Brest,1920,15.186,113.307,64.522,94.922
Historical,Brest,1921,28.568,103.379,55.949,90.833
Historical,Brest,1922,37.757,117.065,75.658,104.185
Historical,Brest,1923,25.853,98.709,63.529,92.433
Historical,Brest,1924,24.722,98.608,56.291,83.330
Historical,Brest,1925,21.155,103.660,54.263,81.571
Historical,Brest,1926,27.349,98.604,62.651,98.724
Historical,Brest,1927,20.328,105.205,61.868,90.023
Historical,Brest,1928,20.221,121.097,66.595,95.378
Historical,Brest,1929,29.211,108.591,73.924,94.270
Historical,Brest,1930,22.456,107.497,66.797,107.631
Historical,Brest,1931,23.635,87.135,58.320,87.455
Historical,Brest,1932,21.146,105.839,56.103,87.898
Historical,Brest,1933,17.316,109.963,56.469,87.565
Historical,Brest,1934,18.365,110.951,68.013,96.088
Historical,Brest,1935,19.408,103.616,75.782,91.350
Historical,Brest,1936,23.130,113.004,63.429,93.691
Historical,Brest,1937,19.089,94.844,60.125,108.191
Historical,Brest,1938,19.354,104.416,54.620,83.499
Historical,Brest,1939,20.717,101.632,62.846,79.323
Historical,Brest,1940,18.360,130.145,67.881,94.122
Historical,Brest,1941,13.624,118.366,58.166,84.928
Historical,Brest,1942,19.543,93.824,67.916,83.546
Historical,Brest,1943,23.590,94.049,59.327,77.829
Historical,Brest,1944,18.615,88.431,60.264,83.874
Historical,Brest,1945,31.554,120.728,70.817,92.751
Historical,Brest,1946,17.025,114.684,62.001,84.517
Historical,Brest,1947,19.288,104.466,49.502,73.350
Historical,Brest,1948,16.668,108.754,70.651,81.626
