experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,31.620,119.173,66.883,60.830
Historical,Brest,1901,16.353,101.868,67.362,68.021
Historical,Brest,1902,32.130,102.674,74.224,75.119
Historical,Brest,1903,21.064,99.066,67.748,71.342
Historical,Brest,1904,21.402,117.760,75.820,76.173
Historical,Brest,1905,33.217,108.060,66.779,77.128
Historical,Brest,1906,30.059,112.619,56.568,84.381
Historical,Brest,1907,31.013,106.833,62.539,67.266
Historical,Brest,1908,22.347,119.919,62.404,74.129
Historical,Brest,1909,24.748,113.098,67.355,78.704
Historical,Brest,1910,29.209,108.200,70.791,76.345
Historical,Brest,1911,29.413,109.555,69.051,75.703
Historical,Brest,1912,18.828,123.535,66.732,67.012
Historical,Brest,1913,14.990,108.158,64.026,93.130
Historical,Brest,1914,21.486,106.194,72.824,77.719
Historical,Brest,1915,32.988,108.854,60.741,68.227
Historical,Brest,1916,23.788,111.682,76.009,82.275
Historical,Brest,1917,27.850,116.443,78.884,76.326
Historical,Brest,1918,16.246,136.620,73.579,90.405
Historical,Brest,1919,27.216,135.152,70.639,80.764
Historical,Brest,1920,25.315,111.548,61.118,76.355
Historical,Brest,1921,36.101,112.089,72.948,72.826
Historical,Brest,1922,28.328,128.114,63.382,71.840
Historical,Brest,1923,35.015,117.592,68.718,86.998
Historical,Brest,1924,15.748,117.764,56.444,71.215
Historical,Brest,1925,30.303,121.271,56.987,75.442
Historical,Brest,1926,29.361,110.653,81.044,88.438
Historical,Brest,1927,34.222,106.828,75.065,90.922
Historical,Brest,1928,33.335,118.139,74.834,85.972
Historical,Brest,1929,24.518,112.269,70.695,85.316
Historical,Brest,1930,31.886,103.010,70.842,99.207
Historical,Brest,1931,29.011,104.979,66.501,71.764
Historical,Brest,1932,23.642,128.445,69.292,76.585
Historical,Brest,1933,17.172,116.416,74.481,71.873
Historical,Brest,1934,33.780,121.514,61.323,84.300
Historical,Brest,1935,38.235,124.911,70.792,84.286
Historical,Brest,1936,29.772,109.643,70.076,82.744
Historical,Brest,1937,29.362,109.709,66.690,75.626
Historical,Brest,1938,21.512,115.418,68.570,81.640
Historical,Brest,1939,34.581,120.901,73.801,70.869
Historical,Brest,1940,28.669,107.003,63.563,82.606
Historical,Brest,1941,21.956,103.977,55.517,65.158
Historical,Brest,1942,34.925,121.501,72.171,83.432
Historical,Brest,1943,32.233,110.068,65.045,81.756
Historical,Brest,1944,32.771,132.750,69.127,66.442
Historical,Brest,1945,27.703,112.207,63.178,85.091
Historical,Brest,1946,31.961,124.321,73.461,76.912
Historical,Brest,1947,21.256,110.171,68.848,76.641
Historical,Brest,1948,26.907,139.944,84.423,93.230
Historical,Brest,1949,24.071,109.136,66.186,72.391
Historical,Brest,1950,30.019,113.886,65.427,70.808
Historical,Brest,1951,28.606,115.976,59.005,69.149
Historical,Brest,1952,36.596,111.425,74.044,83.929
Historical,Brest,1953,18.149,106.490,59.007,56.433
Historical,Brest,1954,29.067,106.165,60.579,88.134
Historical,Brest,1955,31.457,100.896,65.895,82.428
Historical,Brest,1956,20.863,107.063,63.956,62.051
Historical,Brest,1957,28.339,99.376,64.396,71.093
Historical,Brest,1958,32.550,108.983,81.531,82.182
Historical,Brest,1959,28.198,118.872,73.086,68.405
Historical,Brest,1960,17.129,114.455,73.935,64.654
Historical,Brest,1961,35.254,111.272,75.412,92.764
Historical,Brest,1962,34.748,100.356,70.568,92.233
Historical,Brest,1963,19.974,115.704,64.244,85.504
Historical,Brest,1964,26.188,121.721,63.121,75.716
Historical,Brest,1965,25.680,96.200,58.164,69.255
Historical,Brest,1966,24.171,99.037,63.693,58.326
Historical,Brest,1967,27.746,118.537,64.644,79.022
Historical,Brest,1968,24.464,118.393,72.524,97.932
Historical,Brest,1969,39.347,132.269,69.263,77.270
Historical,Brest,1970,20.213,121.521,69.891,77.624
Historical,Brest,1971,20.076,98.208,64.561,84.154
Historical,Brest,1972,24.363,113.338,59.138,70.436
Historical,Brest,1973,35.677,106.020,76.437,85.410
Historical,Brest,1974,26.006,88.768,57.131,85.705
Historical,Brest,1975,25.118,97.753,55.213,64.917
Historical,Brest,1976,40.237,101.301,61.295,67.991
Historical,Brest,1977,24.849,109.790,55.502,58.528
Historical,Brest,1978,25.872,123.149,69.319,69.015
Historical,Brest,1979,17.892,111.713,54.273,72.839
Historical,Brest,1980,23.599,108.236,75.589,82.353
Historical,Brest,1981,32.752,104.132,70.720,101.719
Historical,Brest,1982,32.225,96.172,63.279,87.929
Historical,Brest,1983,25.630,105.429,53.740,63.574
Historical,Brest,1984,33.327,100.683,73.313,61.492
Historical,Brest,1985,25.489,91.949,55.489,77.505
Historical,Brest,1986,39.973,117.133,66.302,81.249
Historical,Brest,1987,29.458,113.929,73.973,71.480
Historical,Brest,1988,33.599,93.617,54.177,82.397
Historical,Brest,1989,24.161,121.373,62.704,68.772
Historical,Brest,1990,29.417,109.964,73.385,75.963
Historical,Brest,1991,26.507,96.384,57.822,67.334
Historical,Brest,1992,26.996,120.091,64.178,74.176
Historical,Brest,1993,17.813,101.539,56.854,56.915
Historical,Brest,1994,34.983,95.104,60.289,63.563
Historical,Brest,1995,34.183,102.881,72.478,82.744
Historical,Brest,1996,33.741,94.128,55.078,71.709
Historical,Brest,1997,28.325,120.981,70.493,79.325
Historical,Brest,1998,29.007,117.064,73.830,72.044
Historical,Brest,1999,31.362,107.929,63.456,74.420
Historical,Brest,2000,36.935,123.855,64.411,88.516
Historical,Brest,2001,32.975,126.101,71.987,90.007
Historical,Brest,2002,19.498,118.082,54.537,73.260
Historical,Brest,2003,23.017,131.407,61.695,66.927
Historical,Brest,2004,25.684,97.667,59.876,79.860
Historical,Brest,2005,36.960,113.806,77.246,84.748
Historical,Brest,2006,26.127,101.941,61.372,72.835
Historical,Brest,2007,19.741,107.083,66.051,78.976
Historical,Brest,2008,26.521,95.749,55.120,68.658
Historical,Brest,2009,27.848,120.342,55.622,83.457
Historical,Brest,2010,27.442,102.153,57.697,81.700
Historical,Brest,2011,26.830,96.859,62.564,66.754
Historical,Brest,2012,29.808,104.841,67.622,85.192
Historical,Brest,2013,17.819,136.628,62.332,91.735
Historical,Brest,2014,31.998,98.257,54.823,70.331
