experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,31.620,119.173,66.883,71.793
Historical,Brest,1901,16.353,101.868,67.362,78.378
Historical,Brest,1902,32.130,102.674,74.224,80.865
Historical,Brest,1903,21.064,99.066,67.748,70.228
Historical,Brest,1904,21.402,117.760,75.820,91.869
Historical,Brest,1905,33.217,108.060,66.779,88.026
Historical,Brest,1906,30.059,112.619,56.568,73.380
Historical,Brest,1907,31.013,106.833,62.539,85.130
Historical,Brest,1908,22.347,119.919,62.404,69.479
Historical,Brest,1909,24.748,113.098,67.355,84.305
Historical,Brest,1910,29.209,108.200,70.791,80.732
Historical,Brest,1911,29.413,109.555,69.051,78.764
Historical,Brest,1912,18.828,123.535,66.732,80.210
Historical,Brest,1913,14.990,108.158,64.026,78.838
Historical,Brest,1914,21.486,106.194,72.824,76.019
Historical,Brest,1915,32.988,108.854,60.741,78.385
Historical,Brest,1916,23.788,111.682,76.009,76.419
Historical,Brest,1917,27.850,116.443,78.884,91.561
Historical,Brest,1918,16.246,136.620,73.579,70.071
Historical,Brest,1919,27.216,135.152,70.639,90.387
Historical,Brest,1920,25.315,111.548,61.118,84.906
Historical,Brest,1921,36.101,112.089,72.948,77.421
Historical,Brest,1922,28.328,128.114,63.382,81.959
Historical,Brest,1923,35.015,117.592,68.718,75.463
Historical,Brest,1924,15.748,117.764,56.444,68.814
Historical,Brest,1925,30.303,121.271,56.987,79.748
Historical,Brest,1926,29.361,110.653,81.044,82.047
Historical,Brest,1927,34.222,106.828,75.065,104.290
Historical,Brest,1928,33.335,118.139,74.834,89.817
Historical,Brest,1929,24.518,112.269,70.695,80.055
Historical,Brest,1930,31.886,103.010,70.842,96.769
Historical,Brest,1931,29.011,104.979,66.501,68.262
Historical,Brest,1932,23.642,128.445,69.292,78.690
Historical,Brest,1933,17.172,116.416,74.481,88.917
Historical,Brest,1934,33.780,121.514,61.323,83.689
Historical,Brest,1935,38.235,124.911,70.792,85.433
Historical,Brest,1936,29.772,109.643,70.076,85.174
Historical,Brest,1937,29.362,109.709,66.690,87.788
Historical,Brest,1938,21.512,115.418,68.570,81.334
Historical,Brest,1939,34.581,120.901,73.801,74.123
Historical,Brest,1940,28.669,107.003,63.563,94.030
Historical,Brest,1941,21.956,103.977,55.517,78.941
Historical,Brest,1942,34.925,121.501,72.171,94.467
Historical,Brest,1943,32.233,110.068,65.045,77.962
Historical,Brest,1944,32.771,132.750,69.127,74.745
Historical,Brest,1945,27.703,112.207,63.178,78.488
Historical,Brest,1946,31.961,124.321,73.461,90.981
Historical,Brest,1947,21.256,110.171,68.848,75.706
Historical,Brest,1948,26.907,139.944,84.423,96.438
Historical,Brest,1949,24.071,109.136,66.186,80.974
Historical,Brest,1950,30.019,113.886,65.427,95.604
Historical,Brest,1951,28.606,115.976,59.005,64.973
Historical,Brest,1952,36.596,111.425,74.044,73.215
Historical,Brest,1953,18.149,106.490,59.007,63.414
Historical,Brest,1954,29.067,106.165,60.579,85.890
Historical,Brest,1955,31.457,100.896,65.895,81.332
Historical,Brest,1956,20.863,107.063,63.956,77.124
Historical,Brest,1957,28.339,99.376,64.396,66.981
Historical,Brest,1958,32.550,108.983,81.531,88.398
Historical,Brest,1959,28.198,118.872,73.086,66.757
Historical,Brest,1960,17.129,114.455,73.935,70.124
Historical,Brest,1961,35.254,111.272,75.412,82.644
Historical,Brest,1962,34.748,100.356,70.568,89.024
Historical,Brest,1963,19.974,115.704,64.244,77.236
Historical,Brest,1964,26.188,121.721,63.121,74.395
Historical,Brest,1965,25.680,96.200,58.164,77.582
Historical,Brest,1966,24.171,99.037,63.693,67.183
Historical,Brest,1967,27.746,118.537,64.644,84.312
Historical,Brest,1968,24.464,118.393,72.524,81.083
Historical,Brest,1969,39.347,132.269,69.263,89.031
Historical,Brest,1970,20.213,121.521,69.891,88.515
Historical,Brest,1971,20.076,98.208,64.561,89.321
Historical,Brest,1972,24.363,113.338,59.138,85.380
Historical,Brest,1973,35.677,106.020,76.437,90.931
Historical,Brest,1974,26.006,88.768,57.131,92.191
Historical,Brest,1975,25.118,97.753,55.213,80.188
Historical,Brest,1976,40.237,101.301,61.295,81.024
Historical,Brest,1977,24.849,109.790,55.502,73.749
Historical,Brest,1978,25.872,123.149,69.319,78.627
Historical,Brest,1979,17.892,111.713,54.273,69.610
Historical,Brest,1980,23.599,108.236,75.589,91.905
Historical,Brest,1981,32.752,104.132,70.720,90.700
Historical,Brest,1982,32.225,96.172,63.279,74.580
Historical,Brest,1983,25.630,105.429,53.740,75.047
Historical,Brest,1984,33.327,100.683,73.313,84.044
Historical,Brest,1985,25.489,91.949,55.489,82.867
Historical,Brest,1986,39.973,117.133,66.302,94.679
Historical,Brest,1987,29.458,113.929,73.973,85.894
Historical,Brest,1988,33.599,93.617,54.177,76.786
Historical,Brest,1989,24.161,121.373,62.704,92.618
Historical,Brest,1990,29.417,109.964,73.385,90.041
Historical,Brest,1991,26.507,96.384,57.822,73.346
Historical,Brest,1992,26.996,120.091,64.178,67.048
Historical,Brest,1993,17.813,101.539,56.854,82.488
Historical,Brest,1994,34.983,95.104,60.289,80.693
Historical,Brest,1995,34.183,102.881,72.478,88.364
Historical,Brest,1996,33.741,94.128,55.078,74.503
Historical,Brest,1997,28.325,120.981,70.493,85.358
Historical,Brest,1998,29.007,117.064,73.830,96.297
Historical,Brest,1999,31.362,107.929,63.456,94.882
Historical,Brest,2000,36.935,123.855,64.411,94.155
Historical,Brest,2001,32.975,126.101,71.987,83.701
Historical,Brest,2002,19.498,118.082,54.537,74.241
Historical,Brest,2003,23.017,131.407,61.695,75.596
Historical,Brest,2004,25.684,97.667,59.876,87.472
Historical,Brest,2005,36.960,113.806,77.246,106.978
Historical,Brest,2006,26.127,101.941,61.372,70.678
Historical,Brest,2007,19.741,107.083,66.051,77.560
Historical,Brest,2008,26.521,95.749,55.120,73.580
Historical,Brest,2009,27.848,120.342,55.622,75.882
Historical,Brest,2010,27.442,102.153,57.697,72.865
Historical,Brest,2011,26.830,96.859,62.564,83.885
Historical,Brest,2012,29.808,104.841,67.622,82.948
Historical,Brest,2013,17.819,136.628,62.332,73.658
Historical,Brest,2014,31.998,98.257,54.823,72.379
Historical,Gomel,1900,23.541,128.058,62.739,74.917
Historical,Gomel,1901,16.648,108.611,70.434,73.035
Historical,Gomel,1902,28.404,105.700,59.235,70.980
Historical,Gomel,1903,23.383,104.653,66.472,71.181
Historical,Gomel,1904,16.514,120.148,69.858,77.719
Historical,Gomel,1905,35.294,107.014,64.567,79.137
Historical,Gomel,1906,19.387,117.362,67.373,74.230
Historical,Gomel,1907,19.503,108.430,59.505,74.851
Historical,Gomel,1908,26.443,107.941,69.400,86.065
Historical,Gomel,1909,18.548,92.687,56.148,75.244
Historical,Gomel,1910,27.199,105.548,66.217,80.290
Historical,Gomel,1911,30.202,118.895,64.271,92.580
Historical,Gomel,1912,19.354,111.746,62.285,76.705
Historical,Gomel,1913,23.459,111.790,57.553,81.282
Historical,Gomel,1914,19.952,108.280,64.069,74.011
Historical,Gomel,1915,30.216,101.281,60.210,79.720
Historical,Gomel,1916,31.462,113.718,78.072,83.573
Historical,Gomel,1917,32.118,117.852,66.549,89.101
Historical,Gomel,1918,25.896,116.222,65.865,74.153
Historical,Gomel,1919,32.274,108.927,67.547,93.237
Historical,Gomel,1920,29.064,99.472,64.800,75.722
Historical,Gomel,1921,32.074,126.107,68.683,77.942
Historical,Gomel,1922,25.914,142.208,58.667,78.251
Historical,Gomel,1923,27.720,119.100,67.093,88.090
Historical,Gomel,1924,14.795,119.823,69.006,70.065
Historical,Gomel,1925,17.666,102.309,55.526,67.546
Historical,Gomel,1926,23.201,107.293,69.542,81.072
Historical,Gomel,1927,25.843,109.832,74.092,94.738
Historical,Gomel,1928,23.784,116.930,65.581,78.243
Historical,Gomel,1929,24.944,119.089,59.815,83.995
Historical,Gomel,1930,28.301,98.962,65.135,78.449
Historical,Gomel,1931,25.611,107.637,68.705,81.054
Historical,Gomel,1932,36.965,115.639,67.029,84.698
Historical,Gomel,1933,22.438,111.081,62.931,78.779
Historical,Gomel,1934,31.094,116.307,58.788,75.176
Historical,Gomel,1935,34.530,109.748,58.588,82.467
Historical,Gomel,1936,27.057,99.843,67.191,87.737
Historical,Gomel,1937,18.294,118.220,72.596,83.933
Historical,Gomel,1938,28.169,109.934,58.593,84.205
Historical,Gomel,1939,26.904,112.519,53.493,73.452
Historical,Gomel,1940,26.151,114.123,61.772,85.387
Historical,Gomel,1941,27.006,106.232,60.032,69.871
Historical,Gomel,1942,28.874,122.100,69.504,68.736
Historical,Gomel,1943,27.006,101.323,66.664,81.597
Historical,Gomel,1944,18.092,113.262,58.764,79.024
Historical,Gomel,1945,29.692,106.845,72.260,83.715
Historical,Gomel,1946,25.323,122.391,75.763,79.843
Historical,Gomel,1947,35.343,107.295,61.754,80.173
Historical,Gomel,1948,24.459,113.272,84.843,80.549
Historical,Gomel,1949,25.085,111.840,63.122,82.457
Historical,Gomel,1950,21.938,101.682,52.780,80.257
Historical,Gomel,1951,23.647,113.666,64.185,73.517
Historical,Gomel,1952,33.510,111.335,62.622,84.303
Historical,Gomel,1953,18.179,92.042,57.299,72.401
Historical,Gomel,1954,21.168,97.542,63.610,86.134
Historical,Gomel,1955,23.399,115.733,65.567,78.020
Historical,Gomel,1956,20.736,130.237,50.375,82.949
Historical,Gomel,1957,31.578,102.913,68.029,74.383
Historical,Gomel,1958,32.046,103.284,74.982,74.600
Historical,Gomel,1959,29.007,125.232,58.328,69.658
Historical,Gomel,1960,17.416,108.695,51.585,71.269
Historical,Gomel,1961,19.041,126.612,72.693,97.270
Historical,Gomel,1962,26.457,88.279,66.468,79.879
Historical,Gomel,1963,26.478,101.771,62.695,74.024
Historical,Gomel,1964,20.041,103.052,65.949,78.291
Historical,Gomel,1965,25.116,84.950,60.771,77.610
Historical,Gomel,1966,23.648,92.626,59.690,78.080
Historical,Gomel,1967,24.220,119.991,69.161,93.062
Historical,Gomel,1968,21.049,98.869,61.639,78.994
Historical,Gomel,1969,28.205,122.158,67.255,107.217
Historical,Gomel,1970,24.040,109.544,65.469,88.113
Historical,Gomel,1971,17.641,98.591,49.476,83.555
Historical,Gomel,1972,22.814,114.324,51.512,86.353
Historical,Gomel,1973,21.395,123.179,64.143,82.161
