experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,26.162,69.149,42.784,35.031
Historical,Brest,1901,22.975,77.334,55.419,32.604
Historical,Brest,1902,18.649,84.648,49.729,26.805
Historical,Brest,1903,22.420,71.007,49.348,30.158
Historical,Brest,1904,25.783,65.585,49.424,36.189
Historical,Brest,1905,26.551,61.922,46.002,39.911
Historical,Brest,1906,21.758,76.100,45.629,27.149
Historical,Brest,1907,29.390,66.263,52.064,28.789
Historical,Brest,1908,30.699,78.882,46.163,45.142
Historical,Brest,1909,20.535,65.424,38.934,22.576
Historical,Brest,1910,21.580,63.546,46.094,32.884
Historical,Brest,1911,24.118,79.432,52.919,32.946
Historical,Brest,1912,22.831,70.059,39.825,40.211
Historical,Brest,1913,25.956,64.889,43.956,33.497
Historical,Brest,1914,23.581,71.876,47.478,26.154
Historical,Brest,1915,30.364,69.673,53.900,34.010
Historical,Brest,1916,21.671,70.731,54.287,30.832
Historical,Brest,1917,19.057,68.678,44.017,30.953
Historical,Brest,1918,22.492,66.243,39.210,30.374
Historical,Brest,1919,28.231,71.240,47.752,32.700
Historical,Brest,1920,17.515,78.078,47.539,29.286
Historical,Brest,1921,23.230,63.168,41.386,27.430
Historical,Brest,1922,30.290,76.022,44.729,43.272
Historical,Brest,1923,23.024,73.881,45.735,40.007
Historical,Brest,1924,24.615,67.796,42.683,25.102
Historical,Brest,1925,25.230,66.758,40.081,28.765
Historical,Brest,1926,26.249,74.639,46.359,36.668
Historical,Brest,1927,30.447,69.566,48.015,31.175
Historical,Brest,1928,24.178,67.312,44.703,29.150
Historical,Brest,1929,31.741,66.718,47.716,36.104
Historical,Brest,1930,16.068,72.796,43.320,29.514
Historical,Brest,1931,23.986,66.954,42.215,35.689
Historical,Brest,1932,28.598,68.561,50.101,32.247
Historical,Brest,1933,26.413,69.638,44.886,35.105
Historical,Brest,1934,27.030,74.577,47.730,34.564
Historical,Brest,1935,36.477,69.020,53.780,36.860
Historical,Brest,1936,25.406,68.857,46.238,36.227
Historical,Brest,1937,26.887,68.154,44.758,33.201
Historical,Brest,1938,18.041,78.337,38.180,43.243
Historical,Brest,1939,20.018,74.233,41.411,27.941
Historical,Brest,1940,27.690,69.803,45.041,33.715
Historical,Brest,1941,24.398,66.861,45.703,32.121
Historical,Brest,1942,30.422,75.327,48.148,35.660
Historical,Brest,1943,20.851,67.467,45.926,32.327
Historical,Brest,1944,23.739,68.861,51.061,40.798
Historical,Brest,1945,20.149,62.497,45.462,29.271
Historical,Brest,1946,26.004,66.828,44.505,30.455
Historical,Brest,1947,30.690,79.630,45.439,35.716
Historical,Brest,1948,16.455,77.635,52.229,35.534
Historical,Brest,1949,22.001,72.007,48.732,23.916
Historical,Brest,1950,26.407,74.433,38.666,20.787
Historical,Brest,1951,29.267,77.917,44.073,37.049
Historical,Brest,1952,19.496,69.799,39.348,29.696
Historical,Brest,1953,21.789,75.700,48.539,31.517
Historical,Brest,1954,19.318,55.188,38.667,28.767
Historical,Brest,1955,23.687,67.413,42.195,29.364
Historical,Brest,1956,24.353,76.956,47.859,29.844
Historical,Brest,1957,23.807,64.278,45.324,35.689
Historical,Brest,1958,20.840,64.470,39.815,40.279
Historical,Brest,1959,28.561,78.339,48.161,35.277
Historical,Brest,1960,30.885,72.325,49.077,26.918
Historical,Brest,1961,28.157,65.555,47.788,35.601
Historical,Brest,1962,24.141,74.579,43.680,33.909
Historical,Brest,1963,30.310,72.990,44.511,28.603
Historical,Brest,1964,27.527,81.774,47.496,35.010
Historical,Brest,1965,27.929,64.719,47.359,32.498
Historical,Brest,1966,26.699,69.588,48.567,43.220
Historical,Brest,1967,27.910,70.153,44.171,34.321
Historical,Brest,1968,24.986,64.451,39.680,24.362
Historical,Brest,1969,19.365,74.270,45.277,17.502
Historical,Brest,1970,25.228,68.434,45.125,36.861
Historical,Brest,1971,21.214,69.172,49.996,25.201
Historical,Brest,1972,20.565,80.820,45.160,33.963
Historical,Brest,1973,26.535,66.232,46.085,25.267
Historical,Brest,1974,24.736,71.101,39.781,27.980
Historical,Brest,1975,15.572,68.665,42.066,19.280
Historical,Brest,1976,31.604,64.396,51.313,32.661
Historical,Brest,1977,25.066,69.054,43.328,31.913
Historical,Brest,1978,21.551,62.181,46.145,27.676
Historical,Brest,1979,15.622,72.032,44.011,30.607
Historical,Brest,1980,22.315,72.062,50.017,39.890
Historical,Brest,1981,28.160,62.516,42.996,27.920
Historical,Brest,1982,21.491,66.534,49.084,40.892
Historical,Brest,1983,23.566,72.428,42.037,39.628
Historical,Brest,1984,26.258,72.344,44.468,25.173
Historical,Brest,1985,25.396,78.644,48.891,38.817
Historical,Brest,1986,22.274,67.192,39.653,24.512
Historical,Brest,1987,27.169,74.404,48.581,30.045
Historical,Brest,1988,22.408,78.999,43.886,38.372
Historical,Brest,1989,32.463,70.433,57.084,35.764
Historical,Brest,1990,23.359,67.210,42.085,31.705
Historical,Brest,1991,24.385,65.590,44.679,31.399
Historical,Brest,1992,24.782,64.670,48.809,27.549
Historical,Brest,1993,29.352,69.892,45.609,30.550
Historical,Brest,1994,23.404,64.661,51.555,36.837
Historical,Brest,1995,27.972,74.354,48.092,35.483
Historical,Brest,1996,29.165,68.829,48.815,33.485
Historical,Brest,1997,23.205,69.639,44.782,36.295
Historical,Brest,1998,29.687,73.169,47.074,36.450
Historical,Brest,1999,28.527,85.928,40.069,46.868
Historical,Brest,2000,32.520,82.428,51.092,27.767
Historical,Brest,2001,29.374,75.037,48.921,32.722
Historical,Brest,2002,30.911,67.544,50.233,32.381
Historical,Brest,2003,19.880,90.984,46.893,35.976
Historical,Brest,2004,25.867,71.587,44.782,35.638
Historical,Brest,2005,27.280,71.798,49.177,35.923
Historical,Brest,2006,23.687,72.181,40.997,33.739
Historical,Brest,2007,30.158,79.858,44.687,36.804
Historical,Brest,2008,23.658,74.790,50.389,46.826
Historical,Brest,2009,29.529,78.762,53.709,46.609
Historical,Brest,2010,28.824,82.707,46.420,31.433
Historical,Brest,2011,24.362,75.106,54.046,32.877
Historical,Brest,2012,30.028,72.064,50.815,42.707
Historical,Brest,2013,31.161,75.179,56.788,26.552
Historical,Brest,2014,31.590,70.627,49.750,34.951
Historical,Gomel,1900,26.519,68.045,42.317,27.217
Historical,Gomel,1901,22.976,73.610,49.173,43.849
Historical,Gomel,1902,17.705,75.401,49.858,44.817
Historical,Gomel,1903,19.543,73.922,45.288,33.546
Historical,Gomel,1904,16.669,74.486,48.376,36.598
Historical,Gomel,1905,26.609,62.957,51.428,36.650
Historical,Gomel,1906,19.613,74.617,37.320,38.944
Historical,Gomel,1907,34.993,76.686,50.118,40.646
Historical,Gomel,1908,26.675,68.639,48.241,37.294
Historical,Gomel,1909,22.581,64.752,41.575,28.240
Historical,Gomel,1910,27.212,67.388,46.046,32.210
Historical,Gomel,1911,26.656,77.976,48.656,41.400
Historical,Gomel,1912,22.209,77.205,37.669,39.002
Historical,Gomel,1913,19.944,76.108,42.029,37.637
Historical,Gomel,1914,20.549,73.942,46.144,30.427
Historical,Gomel,1915,32.213,70.777,55.706,32.090
Historical,Gomel,1916,22.084,70.190,49.575,34.514
Historical,Gomel,1917,19.294,76.745,45.982,25.503
Historical,Gomel,1918,21.202,69.224,39.803,28.021
Historical,Gomel,1919,28.552,63.956,43.863,35.460
Historical,Gomel,1920,15.560,92.402,52.232,39.995
Historical,Gomel,1921,17.125,68.519,38.204,30.203
Historical,Gomel,1922,26.822,75.568,45.927,38.387
Historical,Gomel,1923,22.248,75.046,42.630,36.598
Historical,Gomel,1924,20.914,73.118,45.013,31.487
Historical,Gomel,1925,25.538,63.755,42.733,29.655
Historical,Gomel,1926,25.528,79.575,49.475,41.645
Historical,Gomel,1927,30.131,77.624,53.272,40.032
Historical,Gomel,1928,27.035,60.640,41.623,36.550
Historical,Gomel,1929,27.454,74.969,50.730,42.417
Historical,Gomel,1930,16.285,77.640,47.025,36.978
Historical,Gomel,1931,27.692,72.874,47.025,34.550
Historical,Gomel,1932,30.289,79.682,47.844,51.472
Historical,Gomel,1933,18.636,76.012,46.274,28.193
Historical,Gomel,1934,23.929,73.078,45.529,36.161
Historical,Gomel,1935,29.669,69.762,50.599,42.732
Historical,Gomel,1936,25.790,71.583,39.288,37.343
Historical,Gomel,1937,22.973,73.025,45.315,29.126
Historical,Gomel,1938,16.941,75.893,38.991,36.279
Historical,Gomel,1939,14.503,64.772,43.034,34.646
Historical,Gomel,1940,27.610,81.571,44.535,30.492
Historical,Gomel,1941,22.781,75.197,47.338,34.894
Historical,Gomel,1942,26.515,75.585,46.612,32.876
Historical,Gomel,1943,17.492,81.902,44.910,43.546
Historical,Gomel,1944,18.807,81.661,48.546,43.409
Historical,Gomel,1945,21.607,68.105,36.543,33.063
Historical,Gomel,1946,24.001,66.676,43.710,39.202
Historical,Gomel,1947,24.545,84.058,48.052,39.664
Historical,Gomel,1948,23.743,80.881,44.008,36.276
Historical,Gomel,1949,19.554,79.569,48.598,28.961
Historical,Gomel,1950,24.699,73.992,45.495,26.717
Historical,Gomel,1951,22.998,72.900,42.573,35.090
Historical,Gomel,1952,23.241,82.770,42.015,34.186
Historical,Gomel,1953,19.516,77.031,44.724,29.489
Historical,Gomel,1954,18.969,62.888,39.257,37.613
Historical,Gomel,1955,22.849,64.891,41.580,24.292
Historical,Gomel,1956,26.578,78.412,46.498,35.942
Historical,Gomel,1957,22.257,78.400,41.393,25.984
Historical,Gomel,1958,25.821,72.254,44.403,29.961
Historical,Gomel,1959,32.427,81.359,49.307,54.852
Historical,Gomel,1960,35.667,66.935,48.471,33.339
Historical,Gomel,1961,21.058,76.924,53.127,37.867
Historical,Gomel,1962,22.482,70.030,42.044,27.510
Historical,Gomel,1963,19.504,75.553,43.274,26.795
Historical,Gomel,1964,21.992,84.155,51.451,26.724
Historical,Gomel,1965,30.826,60.347,43.543,28.998
Historical,Gomel,1966,28.162,68.910,47.258,37.132
Historical,Gomel,1967,24.251,72.699,46.375,36.586
Historical,Gomel,1968,23.986,69.626,40.957,31.561
Historical,Gomel,1969,15.498,79.954,43.844,33.831
Historical,Gomel,1970,26.927,67.142,42.695,48.439
Historical,Gomel,1971,19.937,62.427,44.627,19.173
Historical,Gomel,1972,17.562,70.926,44.704,37.482
Historical,Gomel,1973,23.324,66.479,40.005,29.154
Historical,Gomel,1974,23.821,64.405,37.497,24.021
Historical,Gomel,1975,12.427,69.489,38.582,30.965
Historical,Gomel,1976,31.049,70.662,48.524,36.569
Historical,Gomel,1977,24.916,69.570,45.773,23.732
Historical,Gomel,1978,26.802,66.042,43.690,31.629
Historical,Gomel,1979,24.899,78.438,48.502,45.278
Historical,Gomel,1980,25.452,78.901,47.903,36.552
Historical,Gomel,1981,29.153,80.371,43.622,34.260
Historical,Gomel,1982,23.189,73.075,47.440,35.661
Historical,Gomel,1983,20.520,69.287,49.237,43.904
Historical,Gomel,1984,23.264,75.701,44.224,34.690
Historical,Gomel,1985,23.489,87.532,51.670,36.540
Historical,Gomel,1986,24.093,67.897,43.801,26.775
Historical,Gomel,1987,28.129,73.887,50.336,39.077
Historical,Gomel,1988,19.585,67.534,43.025,42.918
Historical,Gomel,1989,27.704,78.148,48.295,41.568
Historical,Gomel,1990,23.141,66.339,47.628,28.854
Historical,Gomel,1991,25.552,68.464,47.161,30.558
Historical,Gomel,1992,20.810,71.211,44.165,35.863
Historical,Gomel,1993,27.914,73.935,42.527,43.158
Historical,Gomel,1994,29.602,74.964,40.534,33.363
Historical,Gomel,1995,22.519,68.687,48.515,31.114
Historical,Gomel,1996,27.191,69.741,43.501,37.886
Historical,Gomel,1997,23.738,78.782,45.385,37.924
Historical,Gomel,1998,27.787,73.072,53.015,37.780
Historical,Gomel,1999,26.173,72.150,42.033,36.489
Historical,Gomel,2000,34.564,70.903,52.995,46.469
Historical,Gomel,2001,29.112,75.000,51.025,40.265
Historical,Gomel,2002,26.704,75.961,50.341,32.243
Historical,Gomel,2003,21.891,79.045,48.660,26.286
Historical,Gomel,2004,22.841,71.008,50.433,39.589
Historical,Gomel,2005,30.633,67.915,42.826,36.780
Historical,Gomel,2006,21.038,70.357,47.383,42.214
Historical,Gomel,2007,23.505,83.639,53.197,46.848
Historical,Gomel,2008,22.400,82.240,54.990,35.996
Historical,Gomel,2009,27.075,81.935,62.188,45.092
Historical,Gomel,2010,26.002,74.787,48.805,31.304
Historical,Gomel,2011,28.121,73.737,45.586,38.338
Historical,Gomel,2012,33.900,77.684,50.051,40.281
Historical,Gomel,2013,28.191,73.083,51.877,44.735
Historical,Gomel,2014,33.003,78.920,54.789,40.172
Historical,Grodno,1900,27.165,68.211,39.429,35.075
Historical,Grodno,1901,25.989,80.107,51.692,30.089
Historical,Grodno,1902,18.901,76.217,45.175,30.122
Historical,Grodno,1903,20.822,66.386,50.260,32.684
Historical,Grodno,1904,29.798,66.764,53.045,40.206
Historical,Grodno,1905,28.095,68.691,46.092,41.178
Historical,Grodno,1906,18.067,78.571,44.001,27.431
Historical,Grodno,1907,22.043,67.989,51.247,30.160
Historical,Grodno,1908,33.702,79.606,53.252,44.578
Historical,Grodno,1909,21.292,63.511,44.003,24.222
Historical,Grodno,1910,31.361,67.977,46.776,39.726
Historical,Grodno,1911,28.025,80.915,57.606,41.333
Historical,Grodno,1912,27.261,76.159,44.058,42.192
Historical,Grodno,1913,25.595,66.100,43.964,36.630
Historical,Grodno,1914,23.728,70.794,43.634,29.170
Historical,Grodno,1915,32.316,80.902,50.105,42.105
Historical,Grodno,1916,25.085,72.557,50.058,37.606
Historical,Grodno,1917,21.210,72.116,44.118,36.713
Historical,Grodno,1918,27.348,65.267,41.710,34.050
Historical,Grodno,1919,30.657,72.442,47.462,30.234
Historical,Grodno,1920,21.071,70.990,47.004,32.063
Historical,Grodno,1921,24.496,67.825,41.998,30.419
Historical,Grodno,1922,30.835,73.977,50.151,46.741
Historical,Grodno,1923,22.223,79.609,50.686,41.505
Historical,Grodno,1924,28.834,68.097,44.806,34.524
Historical,Grodno,1925,24.259,71.704,45.421,37.035
Historical,Grodno,1926,32.301,73.318,46.923,40.419
Historical,Grodno,1927,32.964,75.109,54.849,37.744
Historical,Grodno,1928,25.225,66.780,44.295,30.857
Historical,Grodno,1929,31.798,68.574,45.912,41.085
Historical,Grodno,1930,16.648,79.303,48.129,30.621
Historical,Grodno,1931,24.970,63.859,46.898,38.132
Historical,Grodno,1932,30.039,71.944,50.843,35.361
Historical,Grodno,1933,25.005,69.372,46.264,39.582
Historical,Grodno,1934,29.656,77.145,53.006,43.642
Historical,Grodno,1935,33.992,71.807,51.149,37.283
Historical,Grodno,1936,23.513,68.637,47.836,34.428
Historical,Grodno,1937,20.311,68.035,51.803,37.170
Historical,Grodno,1938,16.543,77.571,42.064,53.014
Historical,Grodno,1939,18.167,63.437,42.063,28.752
