experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,26.162,69.149,42.784,49.369
Historical,Brest,1901,22.975,77.334,55.419,44.389
Historical,Brest,1902,18.649,84.648,49.729,40.182
Historical,Brest,1903,22.420,71.007,49.348,36.379
Historical,Brest,1904,25.783,65.585,49.424,45.968
Historical,Brest,1905,26.551,61.922,46.002,43.651
Historical,Brest,1906,21.758,76.100,45.629,36.682
Historical,Brest,1907,29.390,66.263,52.064,44.295
Historical,Brest,1908,30.699,78.882,46.163,47.099
Historical,Brest,1909,20.535,65.424,38.934,33.856
Historical,Brest,1910,21.580,63.546,46.094,44.595
Historical,Brest,1911,24.118,79.432,52.919,46.109
Historical,Brest,1912,22.831,70.059,39.825,42.950
Historical,Brest,1913,25.956,64.889,43.956,40.414
Historical,Brest,1914,23.581,71.876,47.478,32.577
Historical,Brest,1915,30.364,69.673,53.900,47.822
Historical,Brest,1916,21.671,70.731,54.287,42.063
Historical,Brest,1917,19.057,68.678,44.017,33.046
Historical,Brest,1918,22.492,66.243,39.210,36.431
Historical,Brest,1919,28.231,71.240,47.752,42.725
Historical,Brest,1920,17.515,78.078,47.539,37.314
Historical,Brest,1921,23.230,63.168,41.386,41.439
Historical,Brest,1922,30.290,76.022,44.729,42.931
Historical,Brest,1923,23.024,73.881,45.735,47.828
Historical,Brest,1924,24.615,67.796,42.683,41.715
Historical,Brest,1925,25.230,66.758,40.081,42.036
Historical,Brest,1926,26.249,74.639,46.359,38.398
Historical,Brest,1927,30.447,69.566,48.015,39.236
Historical,Brest,1928,24.178,67.312,44.703,45.720
Historical,Brest,1929,31.741,66.718,47.716,44.778
Historical,Brest,1930,16.068,72.796,43.320,36.721
Historical,Brest,1931,23.986,66.954,42.215,56.996
Historical,Brest,1932,28.598,68.561,50.101,34.706
Historical,Brest,1933,26.413,69.638,44.886,46.664
Historical,Brest,1934,27.030,74.577,47.730,41.960
Historical,Brest,1935,36.477,69.020,53.780,45.402
Historical,Brest,1936,25.406,68.857,46.238,35.555
Historical,Brest,1937,26.887,68.154,44.758,46.032
Historical,Brest,1938,18.041,78.337,38.180,41.933
Historical,Brest,1939,20.018,74.233,41.411,43.811
Historical,Brest,1940,27.690,69.803,45.041,36.653
Historical,Brest,1941,24.398,66.861,45.703,48.069
Historical,Brest,1942,30.422,75.327,48.148,42.339
Historical,Brest,1943,20.851,67.467,45.926,29.124
Historical,Brest,1944,23.739,68.861,51.061,36.177
Historical,Brest,1945,20.149,62.497,45.462,36.234
Historical,Brest,1946,26.004,66.828,44.505,40.813
Historical,Brest,1947,30.690,79.630,45.439,49.410
Historical,Brest,1948,16.455,77.635,52.229,57.739
Historical,Brest,1949,22.001,72.007,48.732,35.816
Historical,Brest,1950,26.407,74.433,38.666,35.513
Historical,Brest,1951,29.267,77.917,44.073,44.284
Historical,Brest,1952,19.496,69.799,39.348,37.936
Historical,Brest,1953,21.789,75.700,48.539,35.950
Historical,Brest,1954,19.318,55.188,38.667,30.353
Historical,Brest,1955,23.687,67.413,42.195,38.802
Historical,Brest,1956,24.353,76.956,47.859,42.181
Historical,Brest,1957,23.807,64.278,45.324,44.793
Historical,Brest,1958,20.840,64.470,39.815,45.791
Historical,Brest,1959,28.561,78.339,48.161,42.831
Historical,Brest,1960,30.885,72.325,49.077,40.461
Historical,Brest,1961,28.157,65.555,47.788,47.467
Historical,Brest,1962,24.141,74.579,43.680,46.697
Historical,Brest,1963,30.310,72.990,44.511,45.431
Historical,Brest,1964,27.527,81.774,47.496,48.544
Historical,Brest,1965,27.929,64.719,47.359,46.849
Historical,Brest,1966,26.699,69.588,48.567,49.397
Historical,Brest,1967,27.910,70.153,44.171,34.135
Historical,Brest,1968,24.986,64.451,39.680,46.406
Historical,Brest,1969,19.365,74.270,45.277,38.255
Historical,Brest,1970,25.228,68.434,45.125,39.057
Historical,Brest,1971,21.214,69.172,49.996,43.643
Historical,Brest,1972,20.565,80.820,45.160,37.833
Historical,Brest,1973,26.535,66.232,46.085,42.733
Historical,Brest,1974,24.736,71.101,39.781,41.802
Historical,Brest,1975,15.572,68.665,42.066,36.822
Historical,Brest,1976,31.604,64.396,51.313,40.548
Historical,Brest,1977,25.066,69.054,43.328,40.602
Historical,Brest,1978,21.551,62.181,46.145,37.079
Historical,Brest,1979,15.622,72.032,44.011,43.556
Historical,Brest,1980,22.315,72.062,50.017,44.200
Historical,Brest,1981,28.160,62.516,42.996,40.677
Historical,Brest,1982,21.491,66.534,49.084,35.210
Historical,Brest,1983,23.566,72.428,42.037,45.826
Historical,Brest,1984,26.258,72.344,44.468,39.127
Historical,Brest,1985,25.396,78.644,48.891,47.394
Historical,Brest,1986,22.274,67.192,39.653,28.315
Historical,Brest,1987,27.169,74.404,48.581,39.710
Historical,Brest,1988,22.408,78.999,43.886,42.053
Historical,Brest,1989,32.463,70.433,57.084,51.615
Historical,Brest,1990,23.359,67.210,42.085,42.095
Historical,Brest,1991,24.385,65.590,44.679,37.968
Historical,Brest,1992,24.782,64.670,48.809,40.971
Historical,Brest,1993,29.352,69.892,45.609,36.679
Historical,Brest,1994,23.404,64.661,51.555,51.015
Historical,Brest,1995,27.972,74.354,48.092,50.734
Historical,Brest,1996,29.165,68.829,48.815,39.536
Historical,Brest,1997,23.205,69.639,44.782,39.150
Historical,Brest,1998,29.687,73.169,47.074,46.407
Historical,Brest,1999,28.527,85.928,40.069,47.493
Historical,Brest,2000,32.520,82.428,51.092,42.726
Historical,Brest,2001,29.374,75.037,48.921,43.905
Historical,Brest,2002,30.911,67.544,50.233,41.899
Historical,Brest,2003,19.880,90.984,46.893,50.880
Historical,Brest,2004,25.867,71.587,44.782,42.018
Historical,Brest,2005,27.280,71.798,49.177,41.875
Historical,Brest,2006,23.687,72.181,40.997,39.465
Historical,Brest,2007,30.158,79.858,44.687,35.352
Historical,Brest,2008,23.658,74.790,50.389,52.424
Historical,Brest,2009,29.529,78.762,53.709,51.773
Historical,Brest,2010,28.824,82.707,46.420,40.131
Historical,Brest,2011,24.362,75.106,54.046,36.622
Historical,Brest,2012,30.028,72.064,50.815,47.471
Historical,Brest,2013,31.161,75.179,56.788,47.309
Historical,Brest,2014,31.590,70.627,49.750,44.838
Historical,Gomel,1900,26.519,68.045,42.317,40.044
Historical,Gomel,1901,22.976,73.610,49.173,45.086
Historical,Gomel,1902,17.705,75.401,49.858,52.430
Historical,Gomel,1903,19.543,73.922,45.288,51.506
Historical,Gomel,1904,16.669,74.486,48.376,45.820
Historical,Gomel,1905,26.609,62.957,51.428,38.948
Historical,Gomel,1906,19.613,74.617,37.320,39.846
Historical,Gomel,1907,34.993,76.686,50.118,50.427
Historical,Gomel,1908,26.675,68.639,48.241,39.240
Historical,Gomel,1909,22.581,64.752,41.575,37.848
Historical,Gomel,1910,27.212,67.388,46.046,44.171
Historical,Gomel,1911,26.656,77.976,48.656,47.882
Historical,Gomel,1912,22.209,77.205,37.669,38.112
Historical,Gomel,1913,19.944,76.108,42.029,45.325
Historical,Gomel,1914,20.549,73.942,46.144,49.663
Historical,Gomel,1915,32.213,70.777,55.706,56.317
Historical,Gomel,1916,22.084,70.190,49.575,43.683
Historical,Gomel,1917,19.294,76.745,45.982,37.004
Historical,Gomel,1918,21.202,69.224,39.803,36.998
Historical,Gomel,1919,28.552,63.956,43.863,40.578
Historical,Gomel,1920,15.560,92.402,52.232,43.402
Historical,Gomel,1921,17.125,68.519,38.204,36.570
Historical,Gomel,1922,26.822,75.568,45.927,38.317
Historical,Gomel,1923,22.248,75.046,42.630,43.866
Historical,Gomel,1924,20.914,73.118,45.013,40.977
Historical,Gomel,1925,25.538,63.755,42.733,39.732
Historical,Gomel,1926,25.528,79.575,49.475,50.325
Historical,Gomel,1927,30.131,77.624,53.272,51.929
Historical,Gomel,1928,27.035,60.640,41.623,51.274
Historical,Gomel,1929,27.454,74.969,50.730,54.106
Historical,Gomel,1930,16.285,77.640,47.025,49.938
Historical,Gomel,1931,27.692,72.874,47.025,49.178
Historical,Gomel,1932,30.289,79.682,47.844,53.220
Historical,Gomel,1933,18.636,76.012,46.274,40.777
Historical,Gomel,1934,23.929,73.078,45.529,46.279
Historical,Gomel,1935,29.669,69.762,50.599,40.583
Historical,Gomel,1936,25.790,71.583,39.288,48.356
Historical,Gomel,1937,22.973,73.025,45.315,46.932
Historical,Gomel,1938,16.941,75.893,38.991,42.206
Historical,Gomel,1939,14.503,64.772,43.034,42.491
Historical,Gomel,1940,27.610,81.571,44.535,43.446
Historical,Gomel,1941,22.781,75.197,47.338,51.735
Historical,Gomel,1942,26.515,75.585,46.612,40.475
Historical,Gomel,1943,17.492,81.902,44.910,38.431
Historical,Gomel,1944,18.807,81.661,48.546,43.947
Historical,Gomel,1945,21.607,68.105,36.543,43.727
Historical,Gomel,1946,24.001,66.676,43.710,48.078
Historical,Gomel,1947,24.545,84.058,48.052,51.920
Historical,Gomel,1948,23.743,80.881,44.008,45.484
Historical,Gomel,1949,19.554,79.569,48.598,40.862
Historical,Gomel,1950,24.699,73.992,45.495,33.101
Historical,Gomel,1951,22.998,72.900,42.573,46.539
Historical,Gomel,1952,23.241,82.770,42.015,35.293
Historical,Gomel,1953,19.516,77.031,44.724,31.555
Historical,Gomel,1954,18.969,62.888,39.257,33.823
Historical,Gomel,1955,22.849,64.891,41.580,37.381
Historical,Gomel,1956,26.578,78.412,46.498,47.276
Historical,Gomel,1957,22.257,78.400,41.393,43.813
Historical,Gomel,1958,25.821,72.254,44.403,38.367
Historical,Gomel,1959,32.427,81.359,49.307,52.908
Historical,Gomel,1960,35.667,66.935,48.471,44.596
Historical,Gomel,1961,21.058,76.924,53.127,51.059
Historical,Gomel,1962,22.482,70.030,42.044,37.122
Historical,Gomel,1963,19.504,75.553,43.274,53.489
Historical,Gomel,1964,21.992,84.155,51.451,31.323
Historical,Gomel,1965,30.826,60.347,43.543,36.240
Historical,Gomel,1966,28.162,68.910,47.258,41.307
Historical,Gomel,1967,24.251,72.699,46.375,44.235
Historical,Gomel,1968,23.986,69.626,40.957,34.774
Historical,Gomel,1969,15.498,79.954,43.844,40.050
Historical,Gomel,1970,26.927,67.142,42.695,48.639
Historical,Gomel,1971,19.937,62.427,44.627,36.542
Historical,Gomel,1972,17.562,70.926,44.704,41.893
Historical,Gomel,1973,23.324,66.479,40.005,35.803
Historical,Gomel,1974,23.821,64.405,37.497,32.782
Historical,Gomel,1975,12.427,69.489,38.582,51.832
Historical,Gomel,1976,31.049,70.662,48.524,48.708
Historical,Gomel,1977,24.916,69.570,45.773,30.438
Historical,Gomel,1978,26.802,66.042,43.690,43.180
Historical,Gomel,1979,24.899,78.438,48.502,48.231
Historical,Gomel,1980,25.452,78.901,47.903,46.208
Historical,Gomel,1981,29.153,80.371,43.622,45.559
Historical,Gomel,1982,23.189,73.075,47.440,37.642
Historical,Gomel,1983,20.520,69.287,49.237,47.927
Historical,Gomel,1984,23.264,75.701,44.224,38.172
Historical,Gomel,1985,23.489,87.532,51.670,45.549
Historical,Gomel,1986,24.093,67.897,43.801,36.338
Historical,Gomel,1987,28.129,73.887,50.336,45.978
Historical,Gomel,1988,19.585,67.534,43.025,55.046
Historical,Gomel,1989,27.704,78.148,48.295,52.425
Historical,Gomel,1990,23.141,66.339,47.628,41.961
Historical,Gomel,1991,25.552,68.464,47.161,43.744
Historical,Gomel,1992,20.810,71.211,44.165,39.737
Historical,Gomel,1993,27.914,73.935,42.527,48.956
Historical,Gomel,1994,29.602,74.964,40.534,36.892
Historical,Gomel,1995,22.519,68.687,48.515,39.200
Historical,Gomel,1996,27.191,69.741,43.501,39.501
Historical,Gomel,1997,23.738,78.782,45.385,40.887
Historical,Gomel,1998,27.787,73.072,53.015,55.720
Historical,Gomel,1999,26.173,72.150,42.033,46.497
Historical,Gomel,2000,34.564,70.903,52.995,55.348
Historical,Gomel,2001,29.112,75.000,51.025,46.867
Historical,Gomel,2002,26.704,75.961,50.341,51.957
Historical,Gomel,2003,21.891,79.045,48.660,38.488
Historical,Gomel,2004,22.841,71.008,50.433,45.247
Historical,Gomel,2005,30.633,67.915,42.826,42.932
Historical,Gomel,2006,21.038,70.357,47.383,44.570
Historical,Gomel,2007,23.505,83.639,53.197,38.524
Historical,Gomel,2008,22.400,82.240,54.990,47.698
Historical,Gomel,2009,27.075,81.935,62.188,58.151
Historical,Gomel,2010,26.002,74.787,48.805,41.830
Historical,Gomel,2011,28.121,73.737,45.586,41.535
Historical,Gomel,2012,33.900,77.684,50.051,48.557
Historical,Gomel,2013,28.191,73.083,51.877,46.980
Historical,Gomel,2014,33.003,78.920,54.789,50.830
Historical,Grodno,1900,27.165,68.211,39.429,46.650
Historical,Grodno,1901,25.989,80.107,51.692,45.374
Historical,Grodno,1902,18.901,76.217,45.175,37.784
Historical,Grodno,1903,20.822,66.386,50.260,34.676
Historical,Grodno,1904,29.798,66.764,53.045,50.759
Historical,Grodno,1905,28.095,68.691,46.092,45.652
Historical,Grodno,1906,18.067,78.571,44.001,28.847
Historical,Grodno,1907,22.043,67.989,51.247,38.589
Historical,Grodno,1908,33.702,79.606,53.252,44.641
Historical,Grodno,1909,21.292,63.511,44.003,32.005
Historical,Grodno,1910,31.361,67.977,46.776,43.425
Historical,Grodno,1911,28.025,80.915,57.606,52.674
Historical,Grodno,1912,27.261,76.159,44.058,42.205
Historical,Grodno,1913,25.595,66.100,43.964,44.156
Historical,Grodno,1914,23.728,70.794,43.634,36.528
Historical,Grodno,1915,32.316,80.902,50.105,46.155
Historical,Grodno,1916,25.085,72.557,50.058,50.249
Historical,Grodno,1917,21.210,72.116,44.118,41.656
Historical,Grodno,1918,27.348,65.267,41.710,36.875
Historical,Grodno,1919,30.657,72.442,47.462,42.537
Historical,Grodno,1920,21.071,70.990,47.004,39.150
Historical,Grodno,1921,24.496,67.825,41.998,37.863
Historical,Grodno,1922,30.835,73.977,50.151,43.815
Historical,Grodno,1923,22.223,79.609,50.686,48.226
Historical,Grodno,1924,28.834,68.097,44.806,45.112
Historical,Grodno,1925,24.259,71.704,45.421,42.445
Historical,Grodno,1926,32.301,73.318,46.923,43.787
Historical,Grodno,1927,32.964,75.109,54.849,48.865
Historical,Grodno,1928,25.225,66.780,44.295,46.621
