experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,29.042,101.756,66.855,71.235
Historical,Brest,1901,37.481,90.096,60.496,62.123
Historical,Brest,1902,28.667,117.248,61.798,58.942
Historical,Brest,1903,27.411,82.617,53.459,56.042
Historical,Brest,1904,25.180,120.642,61.091,52.841
Historical,Brest,1905,38.562,91.784,61.160,70.503
Historical,Brest,1906,37.279,92.360,59.485,50.073
Historical,Brest,1907,27.791,102.224,65.048,69.125
Historical,Brest,1908,35.060,85.450,56.109,62.503
Historical,Brest,1909,24.333,91.675,56.604,50.402
Historical,Brest,1910,33.293,94.494,54.575,69.554
Historical,Brest,1911,43.604,120.313,67.454,76.904
Historical,Brest,1912,32.846,104.087,56.365,42.348
Historical,Brest,1913,27.071,123.536,56.902,67.414
Historical,Brest,1914,30.044,99.394,55.994,60.574
Historical,Brest,1915,33.072,95.356,62.262,50.972
Historical,Brest,1916,26.800,104.076,54.027,64.267
Historical,Brest,1917,34.807,103.676,57.815,70.677
Historical,Brest,1918,35.705,94.550,58.978,63.549
Historical,Brest,1919,27.835,102.760,57.647,64.329
Historical,Brest,1920,45.549,107.585,71.998,72.203
Historical,Brest,1921,27.928,115.007,62.093,49.392
Historical,Brest,1922,26.425,90.154,60.985,66.475
Historical,Brest,1923,32.546,101.150,72.498,66.052
Historical,Brest,1924,19.357,96.497,56.153,53.085
Historical,Brest,1925,31.754,99.749,53.324,66.948
Historical,Brest,1926,36.173,113.025,54.654,62.149
Historical,Brest,1927,34.983,83.958,67.364,71.324
Historical,Brest,1928,35.908,101.846,75.499,63.002
Historical,Brest,1929,39.132,89.212,60.239,53.346
Historical,Brest,1930,28.830,95.263,62.008,56.110
Historical,Brest,1931,27.069,93.967,52.945,52.492
Historical,Brest,1932,33.909,101.454,64.962,63.563
Historical,Brest,1933,39.123,95.428,67.978,62.035
Historical,Brest,1934,29.279,95.768,52.499,57.659
Historical,Brest,1935,29.765,98.039,62.219,65.582
Historical,Brest,1936,34.742,93.359,59.213,65.331
Historical,Brest,1937,27.318,95.945,63.294,70.157
Historical,Brest,1938,30.153,78.661,48.619,52.313
Historical,Brest,1939,28.665,89.503,46.511,54.330
Historical,Brest,1940,35.749,88.595,58.735,67.575
Historical,Brest,1941,22.337,106.973,61.392,72.551
Historical,Brest,1942,36.212,105.373,60.200,75.723
Historical,Brest,1943,30.198,76.437,49.049,49.806
Historical,Brest,1944,37.290,93.449,58.653,62.236
Historical,Brest,1945,35.038,125.760,64.906,75.407
Historical,Brest,1946,30.950,102.811,60.719,50.525
Historical,Brest,1947,28.272,94.966,66.180,55.649
Historical,Brest,1948,27.213,110.665,55.136,61.793
Historical,Brest,1949,33.815,104.077,58.371,55.537
Historical,Brest,1950,28.131,98.919,67.208,69.549
Historical,Brest,1951,30.334,101.095,60.991,55.567
Historical,Brest,1952,40.256,104.308,65.759,57.565
Historical,Brest,1953,27.386,119.349,66.440,59.951
Historical,Brest,1954,31.295,103.413,64.514,59.749
Historical,Brest,1955,33.735,106.609,63.216,65.300
Historical,Brest,1956,24.896,100.220,51.300,38.519
Historical,Brest,1957,25.457,92.989,55.702,44.615
Historical,Brest,1958,40.825,109.322,67.906,57.213
Historical,Brest,1959,29.671,108.209,72.013,62.853
Historical,Brest,1960,29.651,99.547,65.283,53.054
Historical,Brest,1961,38.140,86.124,57.821,59.676
Historical,Brest,1962,29.536,98.616,57.925,52.589
Historical,Brest,1963,30.246,98.544,59.971,62.634
Historical,Brest,1964,30.246,98.335,69.170,50.903
Historical,Brest,1965,32.490,96.849,55.957,74.238
Historical,Brest,1966,35.727,94.527,55.907,62.486
Historical,Brest,1967,43.247,92.473,59.456,49.959
Historical,Brest,1968,26.236,89.789,51.832,62.085
Historical,Brest,1969,29.078,95.100,58.939,57.953
Historical,Brest,1970,30.216,89.370,56.322,54.598
Historical,Brest,1971,24.068,90.122,53.963,54.774
Historical,Brest,1972,28.302,96.420,69.822,56.562
Historical,Brest,1973,26.079,94.538,60.299,54.883
Historical,Brest,1974,19.918,93.855,55.790,35.837
Historical,Brest,1975,29.565,100.737,59.257,48.773
Historical,Brest,1976,35.296,95.824,61.276,56.005
Historical,Brest,1977,26.786,93.953,54.751,64.953
Historical,Brest,1978,24.921,92.242,58.170,53.721
