experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,29.042,101.756,66.855,69.866
Historical,Brest,1901,37.481,90.096,60.496,64.018
Historical,Brest,1902,28.667,117.248,61.798,72.290
Historical,Brest,1903,27.411,82.617,53.459,66.961
Historical,Brest,1904,25.180,120.642,61.091,60.219
Historical,Brest,1905,38.562,91.784,61.160,82.426
Historical,Brest,1906,37.279,92.360,59.485,66.506
Historical,Brest,1907,27.791,102.224,65.048,77.918
Historical,Brest,1908,35.060,85.450,56.109,71.513
Historical,Brest,1909,24.333,91.675,56.604,71.211
Historical,Brest,1910,33.293,94.494,54.575,67.453
Historical,Brest,1911,43.604,120.313,67.454,84.295
Historical,Brest,1912,32.846,104.087,56.365,57.986
Historical,Brest,1913,27.071,123.536,56.902,75.235
Historical,Brest,1914,30.044,99.394,55.994,68.959
Historical,Brest,1915,33.072,95.356,62.262,72.911
Historical,Brest,1916,26.800,104.076,54.027,93.088
Historical,Brest,1917,34.807,103.676,57.815,76.001
Historical,Brest,1918,35.705,94.550,58.978,71.638
Historical,Brest,1919,27.835,102.760,57.647,71.915
Historical,Brest,1920,45.549,107.585,71.998,82.871
Historical,Brest,1921,27.928,115.007,62.093,63.511
Historical,Brest,1922,26.425,90.154,60.985,87.211
Historical,Brest,1923,32.546,101.150,72.498,77.594
Historical,Brest,1924,19.357,96.497,56.153,68.780
Historical,Brest,1925,31.754,99.749,53.324,65.733
Historical,Brest,1926,36.173,113.025,54.654,81.818
Historical,Brest,1927,34.983,83.958,67.364,81.844
Historical,Brest,1928,35.908,101.846,75.499,66.952
Historical,Brest,1929,39.132,89.212,60.239,66.900
Historical,Brest,1930,28.830,95.263,62.008,64.522
Historical,Brest,1931,27.069,93.967,52.945,72.724
Historical,Brest,1932,33.909,101.454,64.962,81.311
Historical,Brest,1933,39.123,95.428,67.978,78.654
Historical,Brest,1934,29.279,95.768,52.499,69.292
Historical,Brest,1935,29.765,98.039,62.219,77.080
Historical,Brest,1936,34.742,93.359,59.213,75.210
Historical,Brest,1937,27.318,95.945,63.294,91.694
Historical,Brest,1938,30.153,78.661,48.619,70.498
Historical,Brest,1939,28.665,89.503,46.511,69.628
Historical,Brest,1940,35.749,88.595,58.735,73.025
Historical,Brest,1941,22.337,106.973,61.392,70.728
Historical,Brest,1942,36.212,105.373,60.200,68.572
Historical,Brest,1943,30.198,76.437,49.049,60.680
Historical,Brest,1944,37.290,93.449,58.653,81.641
Historical,Brest,1945,35.038,125.760,64.906,83.863
Historical,Brest,1946,30.950,102.811,60.719,65.916
Historical,Brest,1947,28.272,94.966,66.180,64.207
Historical,Brest,1948,27.213,110.665,55.136,87.245
Historical,Brest,1949,33.815,104.077,58.371,74.069
Historical,Brest,1950,28.131,98.919,67.208,73.281
Historical,Brest,1951,30.334,101.095,60.991,77.806
Historical,Brest,1952,40.256,104.308,65.759,67.821
Historical,Brest,1953,27.386,119.349,66.440,66.186
Historical,Brest,1954,31.295,103.413,64.514,72.506
Historical,Brest,1955,33.735,106.609,63.216,75.454
Historical,Brest,1956,24.896,100.220,51.300,59.176
Historical,Brest,1957,25.457,92.989,55.702,53.057
Historical,Brest,1958,40.825,109.322,67.906,83.257
Historical,Brest,1959,29.671,108.209,72.013,63.970
Historical,Brest,1960,29.651,99.547,65.283,67.441
Historical,Brest,1961,38.140,86.124,57.821,74.355
Historical,Brest,1962,29.536,98.616,57.925,65.323
Historical,Brest,1963,30.246,98.544,59.971,78.503
Historical,Brest,1964,30.246,98.335,69.170,66.037
Historical,Brest,1965,32.490,96.849,55.957,83.452
Historical,Brest,1966,35.727,94.527,55.907,70.434
Historical,Brest,1967,43.247,92.473,59.456,57.336
Historical,Brest,1968,26.236,89.789,51.832,69.429
Historical,Brest,1969,29.078,95.100,58.939,69.897
Historical,Brest,1970,30.216,89.370,56.322,59.604
Historical,Brest,1971,24.068,90.122,53.963,63.410
Historical,Brest,1972,28.302,96.420,69.822,81.980
Historical,Brest,1973,26.079,94.538,60.299,69.171
Historical,Brest,1974,19.918,93.855,55.790,57.721
Historical,Brest,1975,29.565,100.737,59.257,64.297
Historical,Brest,1976,35.296,95.824,61.276,71.705
Historical,Brest,1977,26.786,93.953,54.751,79.597
Historical,Brest,1978,24.921,92.242,58.170,61.317
Historical,Brest,1979,30.472,94.124,54.590,65.792
Historical,Brest,1980,32.103,96.706,55.010,66.078
Historical,Brest,1981,21.845,94.658,58.802,66.989
Historical,Brest,1982,36.001,100.547,56.026,60.480
Historical,Brest,1983,31.689,89.864,64.234,73.789
Historical,Brest,1984,21.884,106.081,52.820,77.644
Historical,Brest,1985,34.781,89.452,62.526,78.108
Historical,Brest,1986,35.925,98.872,63.084,74.275
Historical,Brest,1987,18.917,92.326,63.139,73.726
Historical,Brest,1988,30.243,99.716,61.789,74.976
Historical,Brest,1989,36.932,111.780,50.948,57.447
Historical,Brest,1990,26.698,102.402,58.872,77.597
Historical,Brest,1991,35.373,123.054,59.425,80.174
Historical,Brest,1992,33.159,92.690,69.864,80.425
Historical,Brest,1993,35.028,100.961,59.497,69.688
Historical,Brest,1994,35.161,86.669,52.262,78.460
