experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,29.351,100.382,54.142,51.513
Historical,Brest,1901,36.628,89.983,52.737,39.797
Historical,Brest,1902,29.089,82.516,55.124,36.303
Historical,Brest,1903,32.156,78.838,51.003,47.774
Historical,Brest,1904,32.481,89.148,60.030,49.316
Historical,Brest,1905,34.169,92.043,61.228,54.041
Historical,Brest,1906,33.450,86.086,51.958,53.327
Historical,Brest,1907,32.728,100.711,58.495,58.900
Historical,Brest,1908,34.404,78.607,52.799,42.299
Historical,Brest,1909,29.866,78.550,51.205,35.888
Historical,Brest,1910,31.922,85.929,49.839,25.715
Historical,Brest,1911,34.814,94.010,60.086,56.331
Historical,Brest,1912,32.935,104.891,56.863,56.151
Historical,Brest,1913,29.237,71.368,55.320,32.300
Historical,Brest,1914,28.002,84.592,49.351,33.435
Historical,Brest,1915,29.157,82.077,52.846,39.437
Historical,Brest,1916,37.997,83.369,58.065,44.539
Historical,Brest,1917,30.385,76.712,57.629,47.486
Historical,Brest,1918,27.260,88.776,61.575,32.046
Historical,Brest,1919,39.549,71.109,58.462,35.284
Historical,Brest,1920,34.905,87.659,62.474,44.063
Historical,Brest,1921,43.369,86.374,62.233,54.103
Historical,Brest,1922,31.108,88.355,53.005,39.143
Historical,Brest,1923,30.546,98.463,58.223,53.524
Historical,Brest,1924,32.129,75.749,53.637,39.461
Historical,Brest,1925,38.383,85.558,66.049,59.241
Historical,Brest,1926,31.193,79.680,57.289,45.771
Historical,Brest,1927,37.066,75.147,56.587,38.127
Historical,Brest,1928,31.948,78.941,55.361,45.375
Historical,Brest,1929,31.301,71.286,45.540,39.935
Historical,Brest,1930,33.223,88.194,56.881,46.898
Historical,Brest,1931,39.165,86.800,61.253,54.419
Historical,Brest,1932,36.066,89.389,59.248,54.194
Historical,Brest,1933,33.174,78.573,54.526,37.259
Historical,Brest,1934,26.778,83.803,58.636,35.927
Historical,Brest,1935,31.638,83.645,53.072,42.438
Historical,Brest,1936,35.142,77.358,49.831,34.195
Historical,Brest,1937,36.224,85.145,63.712,45.810
Historical,Brest,1938,26.060,96.740,56.852,42.513
Historical,Brest,1939,31.835,82.918,53.691,43.096
Historical,Brest,1940,35.983,73.218,54.773,34.099
Historical,Brest,1941,35.869,82.166,51.508,42.138
Historical,Brest,1942,27.381,98.099,53.307,52.518
Historical,Brest,1943,26.647,88.901,60.468,51.530
Historical,Brest,1944,31.468,79.157,53.465,40.518
Historical,Brest,1945,29.707,89.327,56.904,53.477
Historical,Brest,1946,26.868,94.310,66.548,63.008
Historical,Brest,1947,30.971,84.245,59.170,45.408
Historical,Brest,1948,29.389,89.817,54.076,51.057
Historical,Brest,1949,28.565,79.587,53.824,50.089
Historical,Brest,1950,35.906,88.466,54.841,51.927
Historical,Brest,1951,38.291,88.650,55.971,41.570
Historical,Brest,1952,36.743,89.513,51.309,45.281
Historical,Brest,1953,34.091,96.115,65.410,57.433
Historical,Brest,1954,40.382,89.338,62.839,43.871
Historical,Brest,1955,30.529,79.062,56.372,45.781
Historical,Brest,1956,25.131,74.204,48.694,38.453
Historical,Brest,1957,28.660,87.678,51.183,45.442
Historical,Brest,1958,30.394,79.628,46.681,39.389
Historical,Brest,1959,33.672,79.894,59.205,47.715
Historical,Brest,1960,26.157,92.670,53.353,63.716
Historical,Brest,1961,23.423,106.370,58.403,51.319
Historical,Brest,1962,29.918,83.750,49.884,48.108
Historical,Brest,1963,30.498,88.182,51.882,44.037
Historical,Brest,1964,30.280,75.361,56.210,43.939
Historical,Brest,1965,26.106,71.204,42.167,23.136
Historical,Brest,1966,28.669,79.801,52.012,48.942
Historical,Brest,1967,24.995,66.497,45.588,38.301
Historical,Brest,1968,28.960,76.673,54.568,39.274
Historical,Brest,1969,28.629,74.109,54.817,54.814
Historical,Brest,1970,25.513,95.984,60.357,52.849
Historical,Brest,1971,27.262,81.009,57.647,37.972
Historical,Brest,1972,28.408,94.788,50.021,47.094
Historical,Brest,1973,30.240,89.345,51.901,53.059
Historical,Brest,1974,26.234,81.495,52.928,32.495
Historical,Brest,1975,34.218,89.122,55.221,39.535
Historical,Brest,1976,25.696,87.352,61.127,38.048
Historical,Brest,1977,27.928,80.833,46.064,36.639
Historical,Brest,1978,34.829,96.940,56.782,43.449
Historical,Brest,1979,22.576,89.409,60.684,44.311
Historical,Brest,1980,36.048,92.001,60.824,51.721
Historical,Brest,1981,34.658,95.561,63.834,54.556
Historical,Brest,1982,30.237,79.241,55.573,50.964
Historical,Brest,1983,33.482,64.398,46.385,36.910
Historical,Brest,1984,40.565,83.151,62.601,47.692
Historical,Brest,1985,35.054,83.817,58.666,35.972
Historical,Brest,1986,33.217,73.144,54.937,34.342
Historical,Brest,1987,25.085,82.292,53.504,47.404
Historical,Brest,1988,25.260,77.056,54.201,42.471
Historical,Brest,1989,36.869,84.406,54.314,41.395
Historical,Brest,1990,37.060,95.786,62.320,48.350
Historical,Brest,1991,39.348,80.242,57.988,35.056
Historical,Brest,1992,32.212,78.395,60.310,44.162
Historical,Brest,1993,39.532,94.328,56.173,43.893
Historical,Brest,1994,33.387,83.184,53.610,48.790
Historical,Brest,1995,37.498,80.989,65.297,50.132
Historical,Brest,1996,43.624,87.285,65.114,52.148
Historical,Brest,1997,28.565,96.834,56.778,39.624
Historical,Brest,1998,38.970,84.019,57.479,41.967
Historical,Brest,1999,35.916,97.908,61.078,60.515
