experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,29.351,100.382,54.142,47.269
Historical,Brest,1901,36.628,89.983,52.737,52.979
Historical,Brest,1902,29.089,82.516,55.124,45.308
Historical,Brest,1903,32.156,78.838,51.003,53.790
Historical,Brest,1904,32.481,89.148,60.030,56.323
Historical,Brest,1905,34.169,92.043,61.228,55.732
Historical,Brest,1906,33.450,86.086,51.958,50.914
Historical,Brest,1907,32.728,100.711,58.495,75.047
Historical,Brest,1908,34.404,78.607,52.799,49.125
Historical,Brest,1909,29.866,78.550,51.205,41.889
Historical,Brest,1910,31.922,85.929,49.839,47.183
Historical,Brest,1911,34.814,94.010,60.086,65.598
Historical,Brest,1912,32.935,104.891,56.863,56.512
Historical,Brest,1913,29.237,71.368,55.320,36.348
Historical,Brest,1914,28.002,84.592,49.351,36.371
Historical,Brest,1915,29.157,82.077,52.846,51.975
Historical,Brest,1916,37.997,83.369,58.065,60.513
Historical,Brest,1917,30.385,76.712,57.629,57.210
Historical,Brest,1918,27.260,88.776,61.575,50.502
Historical,Brest,1919,39.549,71.109,58.462,52.269
Historical,Brest,1920,34.905,87.659,62.474,44.499
Historical,Brest,1921,43.369,86.374,62.233,59.038
Historical,Brest,1922,31.108,88.355,53.005,44.385
Historical,Brest,1923,30.546,98.463,58.223,84.397
Historical,Brest,1924,32.129,75.749,53.637,46.285
Historical,Brest,1925,38.383,85.558,66.049,66.463
Historical,Brest,1926,31.193,79.680,57.289,56.584
Historical,Brest,1927,37.066,75.147,56.587,49.747
Historical,Brest,1928,31.948,78.941,55.361,50.997
Historical,Brest,1929,31.301,71.286,45.540,51.738
Historical,Brest,1930,33.223,88.194,56.881,55.458
Historical,Brest,1931,39.165,86.800,61.253,62.684
Historical,Brest,1932,36.066,89.389,59.248,52.432
Historical,Brest,1933,33.174,78.573,54.526,38.756
Historical,Brest,1934,26.778,83.803,58.636,47.919
Historical,Brest,1935,31.638,83.645,53.072,43.524
Historical,Brest,1936,35.142,77.358,49.831,46.401
Historical,Brest,1937,36.224,85.145,63.712,54.990
Historical,Brest,1938,26.060,96.740,56.852,49.098
Historical,Brest,1939,31.835,82.918,53.691,46.850
Historical,Brest,1940,35.983,73.218,54.773,49.085
Historical,Brest,1941,35.869,82.166,51.508,42.969
