experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,22.383,83.332,49.858,39.912
Historical,Brest,1901,34.594,76.202,55.710,39.303
Historical,Brest,1902,22.918,77.778,47.488,45.639
Historical,Brest,1903,26.802,79.710,48.247,49.882
Historical,Brest,1904,15.714,77.544,51.441,42.291
Historical,Brest,1905,18.058,85.347,52.223,39.686
Historical,Brest,1906,15.872,89.995,52.339,55.575
Historical,Brest,1907,23.479,94.433,57.527,43.674
Historical,Brest,1908,30.701,69.408,52.956,50.227
Historical,Brest,1909,25.682,94.705,57.165,47.782
Historical,Brest,1910,24.416,84.782,54.489,47.111
Historical,Brest,1911,25.531,75.770,42.577,39.513
Historical,Brest,1912,23.276,82.112,50.036,45.108
Historical,Brest,1913,29.056,79.861,49.304,56.939
Historical,Brest,1914,28.019,89.610,62.658,53.388
Historical,Brest,1915,19.276,90.114,55.116,38.664
Historical,Brest,1916,27.779,91.847,46.274,37.191
Historical,Brest,1917,15.150,80.790,47.512,48.775
Historical,Brest,1918,28.434,88.537,53.306,45.973
Historical,Brest,1919,23.123,73.888,52.080,43.121
Historical,Brest,1920,21.009,82.509,45.421,39.445
Historical,Brest,1921,32.068,97.453,57.088,65.870
Historical,Brest,1922,22.296,86.005,48.606,41.349
Historical,Brest,1923,16.552,95.239,45.921,36.452
Historical,Brest,1924,21.694,76.568,41.634,32.320
Historical,Brest,1925,21.149,86.383,48.098,37.199
Historical,Brest,1926,23.007,79.514,54.700,41.163
Historical,Brest,1927,26.083,90.234,48.946,41.221
Historical,Brest,1928,20.498,76.207,42.347,39.739
Historical,Brest,1929,17.430,77.285,51.028,33.724
Historical,Brest,1930,25.153,79.975,45.016,30.064
Historical,Brest,1931,29.115,72.900,45.193,39.271
Historical,Brest,1932,30.784,77.476,46.532,40.270
Historical,Brest,1933,17.633,74.539,43.128,33.158
Historical,Brest,1934,26.883,83.274,55.105,37.920
Historical,Brest,1935,26.357,82.456,56.622,43.414
Historical,Brest,1936,31.839,87.564,56.086,33.351
Historical,Brest,1937,22.338,87.244,47.944,33.998
Historical,Brest,1938,36.057,80.687,56.088,51.425
Historical,Brest,1939,23.648,102.023,56.446,45.236
Historical,Brest,1940,22.181,85.042,48.444,48.434
Historical,Brest,1941,24.535,83.520,53.570,42.752
Historical,Brest,1942,32.601,76.346,55.055,34.365
Historical,Brest,1943,21.469,82.456,55.057,47.127
Historical,Brest,1944,18.950,90.082,53.964,50.638
Historical,Brest,1945,18.992,86.061,57.379,50.224
Historical,Brest,1946,32.681,97.053,49.299,38.799
Historical,Brest,1947,23.585,87.769,52.281,41.110
Historical,Brest,1948,21.753,75.582,38.196,33.848
Historical,Brest,1949,23.604,86.447,40.394,41.274
Historical,Brest,1950,34.586,89.946,54.567,43.517
Historical,Brest,1951,19.935,123.954,46.976,55.552
Historical,Brest,1952,22.685,93.751,48.600,40.296
Historical,Brest,1953,29.663,80.601,49.335,45.622
Historical,Brest,1954,28.697,74.972,44.918,39.746
Historical,Brest,1955,28.987,77.073,53.112,44.436
Historical,Brest,1956,17.481,74.895,44.256,44.470
Historical,Brest,1957,29.506,91.846,45.848,34.795
Historical,Brest,1958,19.977,84.843,46.190,38.251
Historical,Brest,1959,29.107,77.390,49.111,41.882
Historical,Brest,1960,30.440,100.532,55.810,49.620
Historical,Brest,1961,18.882,100.780,50.377,41.076
Historical,Brest,1962,15.841,73.502,49.369,29.437
Historical,Brest,1963,28.031,82.716,45.455,42.437
Historical,Brest,1964,24.256,94.458,50.668,40.756
Historical,Brest,1965,32.026,80.144,50.942,44.251
Historical,Brest,1966,20.445,77.349,46.765,40.288
Historical,Brest,1967,24.729,73.911,50.864,41.603
Historical,Brest,1968,32.169,72.836,51.206,41.370
Historical,Brest,1969,25.033,86.306,55.926,39.498
Historical,Brest,1970,16.284,83.570,61.405,57.139
Historical,Brest,1971,32.562,92.250,51.463,63.318
Historical,Brest,1972,23.905,76.385,54.168,48.418
Historical,Brest,1973,32.366,91.030,59.410,58.100
Historical,Brest,1974,30.479,91.201,52.498,64.309
Historical,Brest,1975,34.120,110.422,57.100,51.973
Historical,Brest,1976,17.999,90.716,48.741,34.248
Historical,Brest,1977,23.283,92.590,50.174,34.263
Historical,Brest,1978,17.741,79.746,37.103,30.036
Historical,Brest,1979,23.234,86.464,50.406,49.975
Historical,Brest,1980,30.615,76.943,49.139,55.884
Historical,Brest,1981,31.776,73.110,50.061,38.190
Historical,Brest,1982,15.438,72.379,44.147,27.215
Historical,Brest,1983,24.337,80.658,55.315,41.805
Historical,Brest,1984,14.424,74.573,49.079,34.779
Historical,Brest,1985,23.857,94.550,46.816,41.911
Historical,Brest,1986,34.477,85.422,64.139,49.371
Historical,Brest,1987,25.295,98.190,51.994,46.088
Historical,Brest,1988,30.858,89.020,56.561,53.056
Historical,Brest,1989,19.729,86.215,47.103,34.263
Historical,Brest,1990,16.300,92.038,44.330,34.782
Historical,Brest,1991,18.490,82.574,46.572,30.168
Historical,Brest,1992,21.892,85.398,55.440,58.579
Historical,Brest,1993,27.716,85.275,61.110,51.362
Historical,Brest,1994,24.369,73.572,51.825,38.994
Historical,Brest,1995,30.437,94.291,50.775,45.450
Historical,Brest,1996,21.335,88.333,54.693,34.222
Historical,Brest,1997,17.316,70.624,41.425,38.034
Historical,Brest,1998,18.682,77.745,52.421,51.932
Historical,Brest,1999,26.879,103.922,51.085,53.198
Historical,Brest,2000,22.868,84.246,45.507,35.654
Historical,Brest,2001,25.572,96.578,40.026,27.942
Historical,Brest,2002,23.736,88.554,56.879,37.259
Historical,Brest,2003,29.619,83.837,49.928,36.261
Historical,Brest,2004,21.573,84.579,52.896,46.945
Historical,Brest,2005,14.640,84.270,45.122,39.358
Historical,Brest,2006,27.362,73.160,50.686,41.883
Historical,Brest,2007,17.488,76.563,41.274,34.653
Historical,Brest,2008,23.612,95.185,59.018,50.420
Historical,Brest,2009,28.853,91.646,54.927,46.959
Historical,Brest,2010,26.176,79.399,48.105,37.871
Historical,Brest,2011,25.179,75.284,54.917,37.359
Historical,Brest,2012,25.516,101.445,60.123,55.126
Historical,Brest,2013,21.095,78.769,50.848,33.791
Historical,Brest,2014,23.760,100.281,54.819,59.511
Historical,Gomel,1900,20.436,77.231,55.478,41.664
Historical,Gomel,1901,26.264,79.732,52.643,47.654
Historical,Gomel,1902,21.525,94.140,46.451,50.687
Historical,Gomel,1903,20.717,92.289,40.769,53.721
Historical,Gomel,1904,17.270,92.001,53.874,55.335
Historical,Gomel,1905,17.858,86.597,53.774,36.990
Historical,Gomel,1906,15.356,87.409,53.853,58.151
Historical,Gomel,1907,21.287,84.945,55.007,36.103
Historical,Gomel,1908,19.839,75.264,45.353,44.586
Historical,Gomel,1909,28.239,95.714,52.646,57.203
Historical,Gomel,1910,19.177,87.783,48.246,46.737
Historical,Gomel,1911,19.318,96.137,52.806,51.525
Historical,Gomel,1912,20.260,90.944,59.596,52.358
Historical,Gomel,1913,27.868,82.563,47.286,55.103
Historical,Gomel,1914,21.031,85.916,56.330,43.677
Historical,Gomel,1915,14.740,89.818,48.811,38.720
Historical,Gomel,1916,20.002,95.642,48.254,51.959
Historical,Gomel,1917,12.313,87.243,43.748,37.465
Historical,Gomel,1918,23.955,82.553,51.735,35.002
Historical,Gomel,1919,18.230,73.283,49.447,50.512
Historical,Gomel,1920,19.485,80.309,46.582,35.534
Historical,Gomel,1921,22.635,87.536,52.953,58.906
Historical,Gomel,1922,26.379,85.775,45.743,43.825
Historical,Gomel,1923,17.487,86.333,50.114,37.720
Historical,Gomel,1924,22.042,79.082,37.294,42.289
Historical,Gomel,1925,20.129,95.634,47.921,46.841
Historical,Gomel,1926,22.947,87.776,51.254,54.913
Historical,Gomel,1927,28.445,90.835,50.977,60.577
Historical,Gomel,1928,21.527,73.912,44.773,37.528
Historical,Gomel,1929,14.147,78.728,46.100,48.605
Historical,Gomel,1930,14.910,80.354,46.828,29.530
Historical,Gomel,1931,25.784,87.610,44.999,37.799
Historical,Gomel,1932,24.492,75.396,48.976,40.748
Historical,Gomel,1933,17.628,76.908,44.629,39.213
Historical,Gomel,1934,28.732,83.782,52.905,40.495
Historical,Gomel,1935,23.652,76.994,55.777,41.964
Historical,Gomel,1936,28.159,83.045,51.803,59.455
Historical,Gomel,1937,25.985,90.146,47.692,45.868
Historical,Gomel,1938,22.216,81.783,53.350,54.097
Historical,Gomel,1939,23.453,78.606,54.283,42.283
Historical,Gomel,1940,25.124,77.956,47.996,48.998
Historical,Gomel,1941,25.743,96.169,45.995,52.916
Historical,Gomel,1942,25.504,76.525,54.423,31.687
Historical,Gomel,1943,17.210,88.397,42.188,46.415
Historical,Gomel,1944,18.674,87.839,52.659,49.911
Historical,Gomel,1945,18.374,77.439,44.786,44.296
Historical,Gomel,1946,29.477,91.148,51.130,56.148
Historical,Gomel,1947,21.108,94.158,47.768,47.208
Historical,Gomel,1948,22.276,82.200,41.349,53.244
Historical,Gomel,1949,22.710,93.218,45.020,43.965
Historical,Gomel,1950,25.245,109.304,51.910,66.811
Historical,Gomel,1951,18.852,105.009,40.385,44.885
Historical,Gomel,1952,21.943,97.276,56.248,52.025
Historical,Gomel,1953,23.846,81.840,48.149,54.289
Historical,Gomel,1954,24.903,94.840,42.211,47.399
Historical,Gomel,1955,31.611,88.050,54.814,58.321
Historical,Gomel,1956,18.237,78.511,45.972,34.179
Historical,Gomel,1957,32.262,84.063,48.635,35.817
Historical,Gomel,1958,20.184,86.993,53.774,62.213
Historical,Gomel,1959,26.762,76.198,54.238,47.621
Historical,Gomel,1960,36.530,103.316,61.546,52.494
Historical,Gomel,1961,14.982,104.932,48.855,45.576
Historical,Gomel,1962,18.192,82.637,47.783,42.356
Historical,Gomel,1963,30.963,75.754,47.680,43.864
Historical,Gomel,1964,25.196,95.260,57.968,40.003
Historical,Gomel,1965,28.952,91.239,46.735,43.694
Historical,Gomel,1966,28.053,80.566,46.331,35.422
Historical,Gomel,1967,26.152,81.486,49.004,35.749
Historical,Gomel,1968,37.871,80.311,53.158,56.912
Historical,Gomel,1969,26.313,94.942,56.095,55.267
