experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,22.383,83.332,49.858,50.668
Historical,Brest,1901,34.594,76.202,55.710,51.618
Historical,Brest,1902,22.918,77.778,47.488,47.281
Historical,Brest,1903,26.802,79.710,48.247,48.870
Historical,Brest,1904,15.714,77.544,51.441,50.224
Historical,Brest,1905,18.058,85.347,52.223,51.910
Historical,Brest,1906,15.872,89.995,52.339,56.821
Historical,Brest,1907,23.479,94.433,57.527,46.272
Historical,Brest,1908,30.701,69.408,52.956,53.113
Historical,Brest,1909,25.682,94.705,57.165,49.000
Historical,Brest,1910,24.416,84.782,54.489,49.331
Historical,Brest,1911,25.531,75.770,42.577,57.321
Historical,Brest,1912,23.276,82.112,50.036,54.276
Historical,Brest,1913,29.056,79.861,49.304,60.819
Historical,Brest,1914,28.019,89.610,62.658,53.269
Historical,Brest,1915,19.276,90.114,55.116,44.003
Historical,Brest,1916,27.779,91.847,46.274,46.253
Historical,Brest,1917,15.150,80.790,47.512,52.282
Historical,Brest,1918,28.434,88.537,53.306,56.589
Historical,Brest,1919,23.123,73.888,52.080,49.833
Historical,Brest,1920,21.009,82.509,45.421,49.745
Historical,Brest,1921,32.068,97.453,57.088,58.670
Historical,Brest,1922,22.296,86.005,48.606,51.088
Historical,Brest,1923,16.552,95.239,45.921,36.762
Historical,Brest,1924,21.694,76.568,41.634,36.898
Historical,Brest,1925,21.149,86.383,48.098,36.783
Historical,Brest,1926,23.007,79.514,54.700,47.224
Historical,Brest,1927,26.083,90.234,48.946,54.099
Historical,Brest,1928,20.498,76.207,42.347,45.058
Historical,Brest,1929,17.430,77.285,51.028,37.885
Historical,Brest,1930,25.153,79.975,45.016,40.510
Historical,Brest,1931,29.115,72.900,45.193,50.524
Historical,Brest,1932,30.784,77.476,46.532,45.619
Historical,Brest,1933,17.633,74.539,43.128,33.558
Historical,Brest,1934,26.883,83.274,55.105,51.357
Historical,Brest,1935,26.357,82.456,56.622,51.756
Historical,Brest,1936,31.839,87.564,56.086,49.556
Historical,Brest,1937,22.338,87.244,47.944,38.186
Historical,Brest,1938,36.057,80.687,56.088,62.749
Historical,Brest,1939,23.648,102.023,56.446,53.286
Historical,Brest,1940,22.181,85.042,48.444,41.530
Historical,Brest,1941,24.535,83.520,53.570,51.658
Historical,Brest,1942,32.601,76.346,55.055,46.611
Historical,Brest,1943,21.469,82.456,55.057,38.443
Historical,Brest,1944,18.950,90.082,53.964,54.146
Historical,Brest,1945,18.992,86.061,57.379,53.742
Historical,Brest,1946,32.681,97.053,49.299,42.730
Historical,Brest,1947,23.585,87.769,52.281,46.894
Historical,Brest,1948,21.753,75.582,38.196,36.537
Historical,Brest,1949,23.604,86.447,40.394,44.348
Historical,Brest,1950,34.586,89.946,54.567,60.377
Historical,Brest,1951,19.935,123.954,46.976,52.627
Historical,Brest,1952,22.685,93.751,48.600,52.485
Historical,Brest,1953,29.663,80.601,49.335,43.376
Historical,Brest,1954,28.697,74.972,44.918,39.188
Historical,Brest,1955,28.987,77.073,53.112,48.880
Historical,Brest,1956,17.481,74.895,44.256,45.439
Historical,Brest,1957,29.506,91.846,45.848,37.518
Historical,Brest,1958,19.977,84.843,46.190,34.790
Historical,Brest,1959,29.107,77.390,49.111,47.911
Historical,Brest,1960,30.440,100.532,55.810,47.031
Historical,Brest,1961,18.882,100.780,50.377,47.005
Historical,Brest,1962,15.841,73.502,49.369,40.416
Historical,Brest,1963,28.031,82.716,45.455,59.688
Historical,Brest,1964,24.256,94.458,50.668,41.713
Historical,Brest,1965,32.026,80.144,50.942,39.976
Historical,Brest,1966,20.445,77.349,46.765,44.735
Historical,Brest,1967,24.729,73.911,50.864,42.598
Historical,Brest,1968,32.169,72.836,51.206,52.636
Historical,Brest,1969,25.033,86.306,55.926,49.984
Historical,Brest,1970,16.284,83.570,61.405,58.003
Historical,Brest,1971,32.562,92.250,51.463,65.263
Historical,Brest,1972,23.905,76.385,54.168,44.301
Historical,Brest,1973,32.366,91.030,59.410,64.939
Historical,Brest,1974,30.479,91.201,52.498,65.149
Historical,Brest,1975,34.120,110.422,57.100,50.524
Historical,Brest,1976,17.999,90.716,48.741,62.029
Historical,Brest,1977,23.283,92.590,50.174,45.410
Historical,Brest,1978,17.741,79.746,37.103,43.912
Historical,Brest,1979,23.234,86.464,50.406,60.230
Historical,Brest,1980,30.615,76.943,49.139,47.142
Historical,Brest,1981,31.776,73.110,50.061,42.132
Historical,Brest,1982,15.438,72.379,44.147,38.121
Historical,Brest,1983,24.337,80.658,55.315,59.452
Historical,Brest,1984,14.424,74.573,49.079,38.235
Historical,Brest,1985,23.857,94.550,46.816,44.431
Historical,Brest,1986,34.477,85.422,64.139,59.357
Historical,Brest,1987,25.295,98.190,51.994,56.498
Historical,Brest,1988,30.858,89.020,56.561,51.972
Historical,Brest,1989,19.729,86.215,47.103,43.486
Historical,Brest,1990,16.300,92.038,44.330,44.878
Historical,Brest,1991,18.490,82.574,46.572,33.480
Historical,Brest,1992,21.892,85.398,55.440,65.421
Historical,Brest,1993,27.716,85.275,61.110,48.380
Historical,Brest,1994,24.369,73.572,51.825,40.623
Historical,Brest,1995,30.437,94.291,50.775,56.524
Historical,Brest,1996,21.335,88.333,54.693,52.813
Historical,Brest,1997,17.316,70.624,41.425,49.576
Historical,Brest,1998,18.682,77.745,52.421,55.490
Historical,Brest,1999,26.879,103.922,51.085,55.422
Historical,Brest,2000,22.868,84.246,45.507,29.802
Historical,Brest,2001,25.572,96.578,40.026,36.860
Historical,Brest,2002,23.736,88.554,56.879,44.195
Historical,Brest,2003,29.619,83.837,49.928,48.058
Historical,Brest,2004,21.573,84.579,52.896,47.177
Historical,Brest,2005,14.640,84.270,45.122,46.096
Historical,Brest,2006,27.362,73.160,50.686,46.787
Historical,Brest,2007,17.488,76.563,41.274,43.284
Historical,Brest,2008,23.612,95.185,59.018,47.446
Historical,Brest,2009,28.853,91.646,54.927,68.444
Historical,Brest,2010,26.176,79.399,48.105,45.629
Historical,Brest,2011,25.179,75.284,54.917,45.192
Historical,Brest,2012,25.516,101.445,60.123,52.440
Historical,Brest,2013,21.095,78.769,50.848,34.674
Historical,Brest,2014,23.760,100.281,54.819,62.969
Historical,Gomel,1900,20.436,77.231,55.478,40.361
Historical,Gomel,1901,26.264,79.732,52.643,50.435
Historical,Gomel,1902,21.525,94.140,46.451,45.785
Historical,Gomel,1903,20.717,92.289,40.769,61.839
Historical,Gomel,1904,17.270,92.001,53.874,56.593
Historical,Gomel,1905,17.858,86.597,53.774,40.413
Historical,Gomel,1906,15.356,87.409,53.853,55.943
Historical,Gomel,1907,21.287,84.945,55.007,49.088
