experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,21.101,103.682,42.745,64.447
Historical,Brest,1901,24.396,95.492,47.472,65.104
Historical,Brest,1902,21.128,77.615,50.375,65.089
Historical,Brest,1903,25.896,85.310,51.629,59.724
Historical,Brest,1904,25.504,88.936,44.054,61.395
Historical,Brest,1905,15.904,80.027,43.959,57.199
Historical,Brest,1906,21.527,89.742,49.814,66.019
Historical,Brest,1907,17.452,72.303,47.109,54.614
Historical,Brest,1908,16.469,76.461,38.095,46.986
Historical,Brest,1909,14.790,89.765,31.831,58.433
Historical,Brest,1910,15.716,92.449,32.149,54.246
Historical,Brest,1911,21.280,73.888,40.285,60.098
Historical,Brest,1912,22.013,78.058,47.603,61.795
Historical,Brest,1913,23.047,84.189,50.782,57.771
Historical,Brest,1914,18.353,78.680,34.416,45.738
Historical,Brest,1915,15.187,94.540,43.512,61.268
Historical,Brest,1916,20.758,85.135,39.368,55.914
Historical,Brest,1917,21.659,92.823,50.037,68.247
Historical,Brest,1918,16.210,91.397,45.996,63.266
Historical,Brest,1919,16.015,74.355,42.868,56.565
Historical,Brest,1920,22.827,96.736,54.124,59.612
Historical,Brest,1921,14.716,83.866,45.391,54.727
Historical,Brest,1922,17.114,85.932,40.900,54.692
Historical,Brest,1923,16.961,76.775,38.103,50.563
Historical,Brest,1924,17.014,87.002,41.769,52.194
Historical,Brest,1925,22.890,74.916,51.803,70.436
Historical,Brest,1926,17.693,66.961,31.577,43.547
Historical,Brest,1927,20.276,92.505,48.351,62.648
Historical,Brest,1928,13.964,75.316,42.390,62.064
Historical,Brest,1929,17.484,79.944,41.769,61.604
Historical,Brest,1930,22.096,58.568,44.097,55.927
Historical,Brest,1931,9.547,85.700,53.506,67.343
Historical,Brest,1932,20.013,87.294,46.531,72.053
Historical,Brest,1933,18.929,73.726,41.183,46.653
Historical,Brest,1934,19.506,95.513,50.518,52.703
Historical,Brest,1935,23.165,84.447,45.948,61.285
Historical,Brest,1936,16.102,91.178,42.587,51.951
Historical,Brest,1937,23.114,77.949,37.626,61.241
Historical,Brest,1938,21.400,73.959,45.364,62.251
Historical,Brest,1939,19.234,85.472,40.977,59.209
Historical,Brest,1940,13.149,75.887,36.506,49.630
Historical,Brest,1941,24.173,80.937,50.281,67.426
Historical,Brest,1942,30.315,85.247,49.910,58.662
Historical,Brest,1943,12.290,86.206,35.070,56.131
Historical,Brest,1944,20.397,84.439,43.800,51.438
Historical,Brest,1945,20.044,81.263,45.541,53.330
Historical,Brest,1946,19.431,76.856,46.483,57.079
Historical,Brest,1947,20.463,82.166,47.292,57.590
Historical,Brest,1948,21.351,79.116,37.462,55.671
Historical,Brest,1949,14.637,96.635,51.415,52.053
Historical,Brest,1950,18.032,81.605,39.120,52.878
Historical,Brest,1951,19.278,80.392,44.019,63.169
