experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,509.316,872.369,699.482,599.959
Historical,Brest,1901,516.052,831.558,631.993,627.186
Historical,Brest,1902,484.904,920.117,721.463,652.690
Historical,Brest,1903,515.894,776.376,670.995,590.032
Historical,Brest,1904,482.655,908.080,673.055,648.158
Historical,Brest,1905,534.703,797.481,697.273,605.786
Historical,Brest,1906,476.573,821.611,661.080,579.893
Historical,Brest,1907,520.219,822.174,625.594,619.112
Historical,Brest,1908,515.119,806.781,632.148,538.456
Historical,Brest,1909,486.907,861.489,628.164,598.208
Historical,Brest,1910,473.745,800.041,624.631,545.574
Historical,Brest,1911,487.369,856.678,648.332,645.168
Historical,Brest,1912,517.553,850.134,665.812,586.578
Historical,Brest,1913,482.244,829.030,662.344,578.493
Historical,Brest,1914,530.764,794.333,648.890,606.648
Historical,Brest,1915,474.088,814.660,657.701,585.136
Historical,Brest,1916,501.032,820.222,686.758,600.310
Historical,Brest,1917,547.102,779.747,666.792,664.113
Historical,Brest,1918,520.281,845.661,674.395,603.292
Historical,Brest,1919,502.083,850.557,672.963,596.863
Historical,Brest,1920,525.565,933.115,639.862,612.237
Historical,Brest,1921,538.100,897.804,646.586,585.467
Historical,Brest,1922,502.350,865.502,707.844,630.547
Historical,Brest,1923,531.035,800.716,675.026,636.519
Historical,Brest,1924,447.950,843.330,598.042,570.136
Historical,Brest,1925,527.031,830.199,623.608,565.762
Historical,Brest,1926,479.977,813.048,657.214,581.977
Historical,Brest,1927,539.072,866.464,650.707,637.174
Historical,Brest,1928,463.713,830.881,686.438,657.925
Historical,Brest,1929,502.047,798.252,635.221,579.995
Historical,Brest,1930,546.260,761.128,647.882,606.741
Historical,Brest,1931,525.350,782.800,651.756,597.108
Historical,Brest,1932,498.647,836.506,718.432,575.226
Historical,Brest,1933,481.147,805.407,665.233,564.749
Historical,Brest,1934,516.353,879.522,661.417,592.338
Historical,Brest,1935,524.820,841.510,645.545,577.542
Historical,Brest,1936,532.254,818.281,631.365,621.351
Historical,Brest,1937,498.834,786.413,667.027,626.347
Historical,Brest,1938,502.776,783.673,611.184,612.828
Historical,Brest,1939,486.999,895.008,653.052,565.944
Historical,Brest,1940,485.111,780.807,656.920,574.847
Historical,Brest,1941,483.016,844.494,672.918,578.561
Historical,Brest,1942,543.340,870.845,659.614,653.769
Historical,Brest,1943,484.451,813.639,591.300,594.475
Historical,Brest,1944,460.278,781.357,692.030,615.423
Historical,Brest,1945,500.301,816.268,673.056,591.883
Historical,Brest,1946,554.502,817.607,687.708,672.736
