experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,186.005,360.360,266.790,193.668
Historical,Brest,1901,209.272,335.128,268.796,219.814
Historical,Brest,1902,180.146,325.167,246.681,145.671
Historical,Brest,1903,211.051,317.980,264.635,188.038
Historical,Brest,1904,193.036,310.045,261.162,184.008
Historical,Brest,1905,194.913,309.220,263.140,187.041
Historical,Brest,1906,205.688,298.754,251.994,185.284
Historical,Brest,1907,196.016,344.061,263.353,191.105
Historical,Brest,1908,189.115,284.350,246.687,153.997
Historical,Brest,1909,193.452,293.510,242.147,174.858
Historical,Brest,1910,200.482,314.542,256.952,186.609
Historical,Brest,1911,189.214,333.319,276.237,202.174
Historical,Brest,1912,192.262,336.230,255.783,179.428
Historical,Brest,1913,212.745,316.401,243.596,171.054
Historical,Brest,1914,195.707,335.985,253.052,164.902
Historical,Brest,1915,197.193,303.042,256.565,183.987
Historical,Brest,1916,197.080,337.349,254.513,190.119
Historical,Brest,1917,208.264,327.538,252.520,177.922
Historical,Brest,1918,178.934,325.498,261.622,179.207
Historical,Brest,1919,199.348,293.940,261.696,175.058
Historical,Brest,1920,186.899,320.167,264.757,199.617
Historical,Brest,1921,209.040,339.262,276.286,201.543
Historical,Brest,1922,193.152,331.953,254.630,194.408
Historical,Brest,1923,202.465,339.403,259.950,186.331
Historical,Brest,1924,203.263,302.530,245.714,167.231
Historical,Brest,1925,200.717,331.823,263.023,198.276
Historical,Brest,1926,214.134,330.712,265.638,196.541
Historical,Brest,1927,197.294,301.010,260.041,186.090
Historical,Brest,1928,217.246,304.740,263.250,198.925
Historical,Brest,1929,186.072,304.700,242.107,183.228
Historical,Brest,1930,201.256,319.447,254.790,193.209
Historical,Brest,1931,211.879,324.990,259.079,190.671
Historical,Brest,1932,208.792,322.935,260.086,175.746
Historical,Brest,1933,211.492,315.047,250.140,200.533
Historical,Brest,1934,220.818,304.542,261.260,181.854
Historical,Brest,1935,190.043,325.688,240.498,176.618
Historical,Brest,1936,184.776,318.005,244.161,179.482
Historical,Brest,1937,211.713,327.753,255.823,190.336
Historical,Brest,1938,194.560,316.016,267.493,200.938
Historical,Brest,1939,194.385,336.706,248.841,178.513
Historical,Brest,1940,189.956,309.090,254.489,168.813
Historical,Brest,1941,206.891,321.539,256.831,188.271
Historical,Brest,1942,180.977,319.256,252.470,189.249
Historical,Brest,1943,191.687,320.884,242.880,195.918
Historical,Brest,1944,203.854,313.872,241.606,196.052
