experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,186.005,360.360,266.790,218.947
Historical,Brest,1901,209.272,335.128,268.796,251.706
Historical,Brest,1902,180.146,325.167,246.681,191.835
Historical,Brest,1903,211.051,317.980,264.635,225.721
Historical,Brest,1904,193.036,310.045,261.162,233.594
Historical,Brest,1905,194.913,309.220,263.140,229.966
Historical,Brest,1906,205.688,298.754,251.994,231.633
Historical,Brest,1907,196.016,344.061,263.353,249.088
Historical,Brest,1908,189.115,284.350,246.687,200.504
Historical,Brest,1909,193.452,293.510,242.147,205.782
Historical,Brest,1910,200.482,314.542,256.952,214.517
Historical,Brest,1911,189.214,333.319,276.237,249.485
Historical,Brest,1912,192.262,336.230,255.783,220.730
Historical,Brest,1913,212.745,316.401,243.596,211.822
Historical,Brest,1914,195.707,335.985,253.052,214.516
Historical,Brest,1915,197.193,303.042,256.565,212.364
Historical,Brest,1916,197.080,337.349,254.513,231.946
Historical,Brest,1917,208.264,327.538,252.520,212.328
Historical,Brest,1918,178.934,325.498,261.622,221.353
Historical,Brest,1919,199.348,293.940,261.696,227.555
Historical,Brest,1920,186.899,320.167,264.757,224.775
Historical,Brest,1921,209.040,339.262,276.286,244.473
Historical,Brest,1922,193.152,331.953,254.630,226.373
Historical,Brest,1923,202.465,339.403,259.950,220.588
Historical,Brest,1924,203.263,302.530,245.714,202.995
Historical,Brest,1925,200.717,331.823,263.023,239.789
Historical,Brest,1926,214.134,330.712,265.638,229.753
Historical,Brest,1927,197.294,301.010,260.041,231.371
Historical,Brest,1928,217.246,304.740,263.250,237.649
Historical,Brest,1929,186.072,304.700,242.107,214.642
Historical,Brest,1930,201.256,319.447,254.790,219.047
Historical,Brest,1931,211.879,324.990,259.079,248.916
Historical,Brest,1932,208.792,322.935,260.086,202.274
Historical,Brest,1933,211.492,315.047,250.140,231.291
Historical,Brest,1934,220.818,304.542,261.260,213.556
Historical,Brest,1935,190.043,325.688,240.498,226.884
Historical,Brest,1936,184.776,318.005,244.161,210.140
Historical,Brest,1937,211.713,327.753,255.823,245.989
Historical,Brest,1938,194.560,316.016,267.493,235.611
Historical,Brest,1939,194.385,336.706,248.841,229.804
Historical,Brest,1940,189.956,309.090,254.489,215.525
Historical,Brest,1941,206.891,321.539,256.831,208.500
Historical,Brest,1942,180.977,319.256,252.470,221.697
Historical,Brest,1943,191.687,320.884,242.880,239.700
Historical,Brest,1944,203.854,313.872,241.606,226.489
Historical,Brest,1945,205.255,300.059,255.808,217.256
Historical,Brest,1946,223.015,354.607,276.628,250.802
Historical,Brest,1947,204.751,328.349,265.118,254.279
Historical,Brest,1948,194.171,328.723,267.173,217.989
Historical,Brest,1949,211.263,306.808,256.743,222.887
Historical,Brest,1950,193.449,325.291,246.133,212.249
Historical,Brest,1951,200.992,314.694,254.679,210.818
Historical,Brest,1952,211.679,312.477,275.407,233.674
Historical,Brest,1953,191.455,336.259,248.356,215.264
Historical,Brest,1954,200.596,315.071,261.598,205.042
Historical,Brest,1955,186.077,318.347,248.709,209.274
Historical,Brest,1956,206.452,304.043,247.324,219.239
Historical,Brest,1957,185.642,326.108,227.543,228.600
Historical,Brest,1958,190.282,314.957,276.464,228.279
Historical,Brest,1959,210.405,311.485,255.602,221.110
Historical,Brest,1960,192.800,329.228,241.842,247.750
Historical,Brest,1961,180.527,351.325,259.499,211.190
Historical,Brest,1962,186.460,301.180,248.485,216.496
Historical,Brest,1963,190.512,344.391,240.610,214.645
Historical,Brest,1964,197.914,301.469,241.584,198.988
Historical,Brest,1965,192.273,278.057,240.350,211.856
Historical,Brest,1966,201.083,310.720,243.623,241.797
Historical,Brest,1967,193.311,318.303,241.412,208.407
