experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,98.900,217.602,161.988,149.412
Historical,Brest,1901,123.390,222.311,163.019,141.791
Historical,Brest,1902,102.068,210.958,167.080,145.702
Historical,Brest,1903,114.473,209.679,153.453,137.516
Historical,Brest,1904,95.527,230.830,158.436,127.120
Historical,Brest,1905,87.494,216.414,162.549,152.730
Historical,Brest,1906,93.055,232.281,159.206,139.528
Historical,Brest,1907,91.900,231.219,164.501,133.322
Historical,Brest,1908,104.176,200.837,151.727,140.475
Historical,Brest,1909,99.182,233.165,158.893,118.959
Historical,Brest,1910,87.485,233.126,147.217,119.825
Historical,Brest,1911,93.784,240.186,157.110,131.775
Historical,Brest,1912,112.754,216.157,165.738,146.971
Historical,Brest,1913,111.367,215.510,154.949,136.699
Historical,Brest,1914,101.758,240.894,151.145,155.246
Historical,Brest,1915,84.589,236.596,156.473,125.250
Historical,Brest,1916,108.680,229.100,166.614,131.661
Historical,Brest,1917,108.524,209.747,167.347,148.734
Historical,Brest,1918,108.972,226.997,161.745,143.917
Historical,Brest,1919,108.794,201.929,150.679,144.644
Historical,Brest,1920,99.406,231.710,162.471,148.676
Historical,Brest,1921,117.483,222.341,164.790,159.541
Historical,Brest,1922,105.518,221.778,152.359,130.539
Historical,Brest,1923,104.063,235.884,152.787,158.386
Historical,Brest,1924,108.174,197.117,145.076,135.050
Historical,Brest,1925,109.144,209.864,162.628,142.455
Historical,Brest,1926,90.192,207.661,145.530,117.465
Historical,Brest,1927,108.289,216.463,157.968,140.825
Historical,Brest,1928,101.892,192.335,151.405,119.985
Historical,Brest,1929,94.376,216.104,136.216,113.516
Historical,Brest,1930,96.554,194.395,147.207,134.250
Historical,Brest,1931,113.168,223.936,160.487,140.520
Historical,Brest,1932,111.433,230.089,157.295,135.763
Historical,Brest,1933,95.039,187.173,147.458,119.090
Historical,Brest,1934,122.214,222.014,157.172,133.379
Historical,Brest,1935,106.292,215.918,153.749,133.402
Historical,Brest,1936,102.406,208.419,161.892,122.353
Historical,Brest,1937,119.429,218.157,154.481,150.877
Historical,Brest,1938,101.873,221.958,161.931,146.374
Historical,Brest,1939,100.414,213.333,162.102,153.575
Historical,Brest,1940,107.716,189.333,154.042,132.294
Historical,Brest,1941,112.549,217.421,165.412,143.996
Historical,Brest,1942,108.654,231.301,165.031,147.149
Historical,Brest,1943,104.626,213.541,160.923,138.991
Historical,Brest,1944,102.895,203.614,154.563,133.800
Historical,Brest,1945,96.741,229.392,169.787,161.332
Historical,Brest,1946,113.099,219.465,173.678,141.942
Historical,Brest,1947,104.171,208.035,161.634,131.294
Historical,Brest,1948,94.340,218.312,151.632,131.698
Historical,Brest,1949,88.875,244.614,139.004,136.694
Historical,Brest,1950,115.600,224.572,156.335,146.950
Historical,Brest,1951,126.133,223.395,151.158,158.298
Historical,Brest,1952,100.781,217.719,150.749,137.923
Historical,Brest,1953,117.284,211.016,157.188,150.674
Historical,Brest,1954,122.430,232.257,176.368,159.712
Historical,Brest,1955,103.486,209.630,166.447,147.470
Historical,Brest,1956,94.403,187.550,139.887,131.734
Historical,Brest,1957,116.442,222.141,153.436,127.746
Historical,Brest,1958,94.806,230.252,140.334,114.130
Historical,Brest,1959,97.423,203.190,151.129,138.961
