experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,107.957,226.891,158.918,157.452
Historical,Brest,1901,104.757,214.215,169.406,170.003
Historical,Brest,1902,100.448,258.037,165.702,178.365
Historical,Brest,1903,112.045,193.802,159.393,165.189
Historical,Brest,1904,115.330,233.328,153.183,154.581
Historical,Brest,1905,114.186,200.367,164.004,158.923
Historical,Brest,1906,110.340,205.640,150.442,153.904
Historical,Brest,1907,108.819,212.552,163.476,161.329
Historical,Brest,1908,103.910,207.409,159.557,175.531
Historical,Brest,1909,97.560,210.559,144.787,161.119
Historical,Brest,1910,119.803,204.771,155.321,165.566
Historical,Brest,1911,133.645,245.510,166.385,173.165
Historical,Brest,1912,100.530,207.454,152.917,150.897
Historical,Brest,1913,101.364,222.649,164.425,180.249
Historical,Brest,1914,117.522,204.444,152.957,154.788
Historical,Brest,1915,118.583,223.808,158.409,166.013
Historical,Brest,1916,113.544,219.551,167.408,182.404
Historical,Brest,1917,124.368,198.558,161.754,158.760
Historical,Brest,1918,113.876,200.980,146.049,149.074
Historical,Brest,1919,125.589,206.206,171.969,176.728
Historical,Brest,1920,111.881,230.653,165.970,171.892
Historical,Brest,1921,113.290,235.282,154.792,160.731
Historical,Brest,1922,110.146,221.393,163.062,180.425
Historical,Brest,1923,136.574,222.385,162.384,185.850
Historical,Brest,1924,93.521,208.158,159.647,126.536
Historical,Brest,1925,109.079,215.468,159.016,156.801
Historical,Brest,1926,118.816,241.869,156.319,187.642
Historical,Brest,1927,97.915,222.102,164.636,161.758
Historical,Brest,1928,112.366,227.725,161.535,154.877
Historical,Brest,1929,105.775,206.722,152.858,173.350
Historical,Brest,1930,107.873,208.072,156.103,158.720
Historical,Brest,1931,111.770,227.550,153.016,161.346
Historical,Brest,1932,115.547,217.050,168.188,178.743
Historical,Brest,1933,126.544,214.782,172.879,186.966
Historical,Brest,1934,118.304,233.275,160.568,160.141
Historical,Brest,1935,105.270,220.929,160.553,177.937
Historical,Brest,1936,125.127,205.336,161.156,159.951
Historical,Brest,1937,108.770,216.431,157.692,175.008
Historical,Brest,1938,116.722,204.840,151.028,156.035
Historical,Brest,1939,90.626,213.686,140.084,164.919
Historical,Brest,1940,100.520,208.361,166.015,168.650
Historical,Brest,1941,104.169,213.143,146.011,158.151
Historical,Brest,1942,122.151,249.500,161.116,170.649
Historical,Brest,1943,91.569,198.142,151.396,151.514
Historical,Brest,1944,107.204,227.350,158.612,150.047
Historical,Brest,1945,97.204,213.497,152.225,148.069
Historical,Brest,1946,109.335,193.667,158.282,149.748
Historical,Brest,1947,119.712,206.479,173.466,161.698
Historical,Brest,1948,90.428,248.109,157.653,155.417
Historical,Brest,1949,115.526,215.559,151.697,155.678
Historical,Brest,1950,113.472,213.657,158.165,159.018
Historical,Brest,1951,109.650,212.264,156.288,163.244
Historical,Brest,1952,130.561,216.786,165.901,162.162
Historical,Brest,1953,104.892,227.272,165.348,152.968
Historical,Brest,1954,101.747,208.450,160.425,161.702
Historical,Brest,1955,94.543,230.828,160.512,155.614
Historical,Brest,1956,93.114,205.199,150.253,157.759
Historical,Brest,1957,108.558,203.368,146.850,152.909
Historical,Brest,1958,105.752,216.126,156.979,158.137
Historical,Brest,1959,114.723,242.823,174.873,171.418
Historical,Brest,1960,105.368,228.215,169.216,157.482
Historical,Brest,1961,132.159,207.704,161.889,169.198
Historical,Brest,1962,109.501,229.677,153.175,179.517
Historical,Brest,1963,98.557,216.176,163.084,153.014
Historical,Brest,1964,129.336,213.359,160.066,168.829
Historical,Brest,1965,99.834,211.651,162.918,177.019
Historical,Brest,1966,112.516,215.030,155.759,164.551
Historical,Brest,1967,108.866,214.666,153.265,152.992
Historical,Brest,1968,92.841,230.994,142.384,180.451
Historical,Brest,1969,116.062,203.783,169.125,149.465
Historical,Brest,1970,114.442,216.904,148.167,157.074
Historical,Brest,1971,112.060,190.084,157.960,151.764
Historical,Brest,1972,112.916,245.703,163.305,166.804
Historical,Brest,1973,91.289,202.244,157.215,150.585
Historical,Brest,1974,111.517,202.329,146.680,139.797
Historical,Brest,1975,92.381,202.450,146.347,145.092
Historical,Brest,1976,114.392,204.130,162.907,173.164
Historical,Brest,1977,112.969,198.683,157.611,171.719
Historical,Brest,1978,113.553,215.167,155.425,142.409
Historical,Brest,1979,102.914,212.150,163.131,166.131
Historical,Brest,1980,113.587,210.044,149.888,175.849
Historical,Brest,1981,98.319,207.128,159.060,160.557
Historical,Brest,1982,114.036,196.615,157.505,177.066
Historical,Brest,1983,109.722,208.231,166.959,190.557
Historical,Brest,1984,92.470,242.143,147.296,154.139
Historical,Brest,1985,104.293,213.213,155.214,179.198
Historical,Brest,1986,104.944,223.827,155.867,167.010
Historical,Brest,1987,106.011,213.587,162.138,167.880
Historical,Brest,1988,118.632,220.868,163.416,180.599
Historical,Brest,1989,123.689,213.566,163.834,163.799
Historical,Brest,1990,94.188,227.384,153.529,156.918
Historical,Brest,1991,107.024,237.662,164.662,167.288
Historical,Brest,1992,111.804,219.880,169.478,161.514
Historical,Brest,1993,119.969,217.437,162.679,182.270
Historical,Brest,1994,97.418,207.816,155.550,166.811
Historical,Brest,1995,120.506,217.491,177.717,174.662
Historical,Brest,1996,112.319,224.106,161.324,172.889
Historical,Brest,1997,102.205,210.580,165.695,154.093
Historical,Brest,1998,118.005,213.392,164.829,147.135
Historical,Brest,1999,105.535,245.785,164.339,185.396
Historical,Brest,2000,123.144,234.922,168.418,172.343
Historical,Brest,2001,127.597,237.474,157.354,154.097
Historical,Brest,2002,114.499,226.822,161.706,179.304
Historical,Brest,2003,113.330,261.701,177.392,180.332
Historical,Brest,2004,123.798,221.755,178.053,169.502
Historical,Brest,2005,96.891,214.768,156.308,179.826
Historical,Brest,2006,107.800,217.938,179.573,174.176
Historical,Brest,2007,124.325,244.581,171.788,182.813
Historical,Brest,2008,114.083,212.854,161.768,175.793
Historical,Brest,2009,109.373,234.341,170.790,180.277
Historical,Brest,2010,112.738,249.958,162.960,185.530
Historical,Brest,2011,105.140,239.952,172.127,156.235
Historical,Brest,2012,121.578,255.315,178.644,162.970
Historical,Brest,2013,140.537,230.733,172.444,170.022
Historical,Brest,2014,125.643,221.121,167.249,193.609
Historical,Gomel,1900,97.329,221.456,161.379,138.732
Historical,Gomel,1901,107.643,206.195,163.284,136.293
Historical,Gomel,1902,89.566,248.204,167.822,168.284
Historical,Gomel,1903,92.912,196.829,155.201,157.079
Historical,Gomel,1904,98.666,232.530,154.181,174.633
Historical,Gomel,1905,97.384,205.102,158.330,152.200
Historical,Gomel,1906,106.333,193.738,147.283,141.527
Historical,Gomel,1907,112.698,215.170,163.387,170.208
Historical,Gomel,1908,112.043,210.419,158.475,159.022
Historical,Gomel,1909,104.573,182.102,136.012,148.871
Historical,Gomel,1910,127.470,226.779,170.179,171.869
Historical,Gomel,1911,102.444,238.386,158.553,164.344
Historical,Gomel,1912,102.608,205.553,142.835,151.359
Historical,Gomel,1913,113.890,226.144,159.017,161.793
Historical,Gomel,1914,114.144,207.209,161.723,160.983
Historical,Gomel,1915,105.925,220.821,158.085,178.435
Historical,Gomel,1916,106.016,209.897,155.027,159.882
Historical,Gomel,1917,119.262,210.320,150.954,162.081
Historical,Gomel,1918,105.182,203.660,136.384,142.231
Historical,Gomel,1919,100.145,236.501,144.558,151.910
Historical,Gomel,1920,104.384,235.051,161.175,173.642
Historical,Gomel,1921,112.631,238.212,157.488,163.528
Historical,Gomel,1922,100.085,210.269,146.786,157.322
Historical,Gomel,1923,127.738,211.434,163.685,170.442
Historical,Gomel,1924,88.774,213.344,168.666,143.453
Historical,Gomel,1925,105.648,220.271,157.154,161.926
Historical,Gomel,1926,112.209,231.350,160.583,152.340
Historical,Gomel,1927,110.776,204.228,167.246,172.952
Historical,Gomel,1928,104.853,210.992,164.621,147.447
Historical,Gomel,1929,115.066,231.142,167.493,177.792
Historical,Gomel,1930,96.312,205.357,150.009,151.550
Historical,Gomel,1931,114.323,219.010,149.005,161.904
Historical,Gomel,1932,114.484,239.626,157.918,176.606
Historical,Gomel,1933,119.282,220.160,158.386,159.752
Historical,Gomel,1934,104.577,222.094,158.758,161.964
Historical,Gomel,1935,106.752,206.882,163.984,156.671
Historical,Gomel,1936,110.358,206.263,162.044,157.961
Historical,Gomel,1937,106.661,199.670,142.383,160.260
Historical,Gomel,1938,98.823,217.688,145.254,149.451
Historical,Gomel,1939,84.942,195.019,136.514,135.216
