experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,84.802,310.165,183.244,197.690
Historical,Brest,1901,85.737,282.603,186.399,215.553
Historical,Brest,1902,82.748,286.013,212.766,240.620
Historical,Brest,1903,59.588,270.087,216.208,238.442
Historical,Brest,1904,82.049,327.921,175.566,273.988
Historical,Brest,1905,102.293,283.165,204.565,247.871
Historical,Brest,1906,72.774,303.479,212.930,244.156
Historical,Brest,1907,86.095,284.487,171.625,239.963
Historical,Brest,1908,77.403,330.685,181.569,220.929
Historical,Brest,1909,88.439,302.453,197.370,237.080
Historical,Brest,1910,94.370,291.667,170.534,241.919
Historical,Brest,1911,73.296,304.079,174.963,221.832
Historical,Brest,1912,69.643,294.300,166.306,231.888
Historical,Brest,1913,106.814,280.615,203.231,222.773
Historical,Brest,1914,96.570,255.655,188.951,226.274
Historical,Brest,1915,74.627,244.273,181.840,212.059
Historical,Brest,1916,86.360,285.350,185.143,234.328
Historical,Brest,1917,107.997,279.780,215.741,248.191
Historical,Brest,1918,75.144,327.178,198.331,215.066
Historical,Brest,1919,80.922,313.835,196.768,221.115
Historical,Brest,1920,83.695,294.252,188.544,233.687
Historical,Brest,1921,107.103,242.028,180.144,221.007
Historical,Brest,1922,117.473,269.481,210.479,254.010
Historical,Brest,1923,91.276,268.478,181.675,218.350
Historical,Brest,1924,68.158,267.121,174.783,199.765
Historical,Brest,1925,98.135,262.205,181.520,221.235
Historical,Brest,1926,102.128,286.208,190.635,243.131
Historical,Brest,1927,109.936,270.654,184.485,224.334
Historical,Brest,1928,93.470,286.914,205.137,258.888
Historical,Brest,1929,90.244,275.676,189.435,214.105
Historical,Brest,1930,130.559,260.921,193.981,206.503
Historical,Brest,1931,82.751,244.286,170.951,209.048
Historical,Brest,1932,94.709,299.306,187.419,255.202
Historical,Brest,1933,84.944,284.903,176.829,198.173
Historical,Brest,1934,113.886,304.657,201.816,221.109
Historical,Brest,1935,90.173,288.050,208.144,236.271
Historical,Brest,1936,101.052,272.691,170.277,239.106
