experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,84.802,310.165,183.244,215.182
Historical,Brest,1901,85.737,282.603,186.399,216.306
Historical,Brest,1902,82.748,286.013,212.766,261.322
Historical,Brest,1903,59.588,270.087,216.208,259.785
Historical,Brest,1904,82.049,327.921,175.566,255.340
Historical,Brest,1905,102.293,283.165,204.565,268.664
Historical,Brest,1906,72.774,303.479,212.930,236.684
Historical,Brest,1907,86.095,284.487,171.625,251.196
Historical,Brest,1908,77.403,330.685,181.569,237.460
Historical,Brest,1909,88.439,302.453,197.370,269.254
Historical,Brest,1910,94.370,291.667,170.534,237.671
Historical,Brest,1911,73.296,304.079,174.963,232.972
Historical,Brest,1912,69.643,294.300,166.306,248.018
Historical,Brest,1913,106.814,280.615,203.231,254.394
Historical,Brest,1914,96.570,255.655,188.951,250.879
Historical,Brest,1915,74.627,244.273,181.840,233.520
Historical,Brest,1916,86.360,285.350,185.143,243.502
Historical,Brest,1917,107.997,279.780,215.741,248.950
Historical,Brest,1918,75.144,327.178,198.331,247.124
Historical,Brest,1919,80.922,313.835,196.768,225.578
Historical,Brest,1920,83.695,294.252,188.544,232.281
Historical,Brest,1921,107.103,242.028,180.144,240.735
Historical,Brest,1922,117.473,269.481,210.479,278.545
Historical,Brest,1923,91.276,268.478,181.675,238.785
Historical,Brest,1924,68.158,267.121,174.783,205.464
Historical,Brest,1925,98.135,262.205,181.520,245.604
Historical,Brest,1926,102.128,286.208,190.635,257.126
Historical,Brest,1927,109.936,270.654,184.485,236.658
Historical,Brest,1928,93.470,286.914,205.137,275.234
Historical,Brest,1929,90.244,275.676,189.435,241.342
Historical,Brest,1930,130.559,260.921,193.981,246.209
Historical,Brest,1931,82.751,244.286,170.951,222.836
Historical,Brest,1932,94.709,299.306,187.419,250.608
Historical,Brest,1933,84.944,284.903,176.829,240.754
Historical,Brest,1934,113.886,304.657,201.816,240.138
Historical,Brest,1935,90.173,288.050,208.144,243.176
Historical,Brest,1936,101.052,272.691,170.277,254.495
Historical,Brest,1937,88.560,262.018,179.106,229.789
Historical,Brest,1938,80.696,260.036,169.210,215.238
Historical,Brest,1939,93.457,302.610,195.381,232.057
Historical,Brest,1940,74.435,302.878,190.759,256.543
Historical,Brest,1941,63.539,296.335,170.416,241.274
Historical,Brest,1942,98.973,300.381,198.912,234.723
Historical,Brest,1943,96.168,250.525,181.773,230.257
Historical,Brest,1944,82.875,267.956,176.293,250.463
Historical,Brest,1945,103.936,296.722,206.961,263.834
Historical,Brest,1946,68.666,292.327,203.065,245.254
Historical,Brest,1947,90.605,265.128,202.342,241.271
Historical,Brest,1948,76.078,313.337,209.819,221.040
Historical,Brest,1949,103.155,294.170,168.425,229.846
Historical,Brest,1950,110.263,267.538,176.648,238.407
Historical,Brest,1951,74.399,285.492,182.164,205.189
Historical,Brest,1952,89.049,278.341,193.150,229.024
Historical,Brest,1953,61.658,271.296,177.477,230.014
Historical,Brest,1954,73.143,270.563,176.213,235.633
Historical,Brest,1955,83.124,258.022,174.477,232.247
Historical,Brest,1956,84.836,308.047,168.336,258.806
Historical,Brest,1957,87.597,269.372,168.501,223.894
Historical,Brest,1958,91.005,281.895,197.443,240.718
Historical,Brest,1959,106.724,266.444,202.306,240.878
Historical,Brest,1960,66.606,293.692,183.240,248.712
Historical,Brest,1961,92.913,288.015,183.264,257.637
Historical,Brest,1962,89.413,279.278,194.646,258.221
Historical,Brest,1963,76.499,270.532,190.599,232.036
Historical,Brest,1964,90.068,259.552,200.110,218.068
Historical,Brest,1965,64.000,282.201,163.412,231.751
Historical,Brest,1966,90.098,287.511,161.647,219.870
Historical,Brest,1967,94.005,280.678,189.054,249.459
Historical,Brest,1968,71.213,266.527,202.068,250.775
Historical,Brest,1969,99.257,297.984,197.667,251.577
Historical,Brest,1970,78.307,293.457,196.902,262.777
Historical,Brest,1971,72.835,245.156,181.061,241.429
Historical,Brest,1972,69.975,302.474,179.209,257.866
Historical,Brest,1973,138.493,293.201,191.816,242.012
Historical,Brest,1974,84.620,249.934,175.614,245.145
Historical,Brest,1975,78.396,273.318,167.955,252.746
Historical,Brest,1976,111.468,268.649,181.188,231.361
Historical,Brest,1977,85.898,283.634,178.195,249.150
Historical,Brest,1978,70.397,273.098,187.254,232.288
Historical,Brest,1979,75.456,283.734,173.606,215.323
Historical,Brest,1980,109.632,241.644,184.198,257.717
Historical,Brest,1981,104.903,256.077,167.331,253.348
Historical,Brest,1982,107.437,249.260,180.984,242.803
Historical,Brest,1983,68.083,251.296,198.562,246.355
Historical,Brest,1984,101.550,263.903,184.165,225.176
Historical,Brest,1985,74.538,247.690,159.288,216.696
Historical,Brest,1986,80.728,322.104,190.846,269.277
Historical,Brest,1987,104.007,294.935,189.838,262.223
Historical,Brest,1988,86.807,285.851,181.279,237.037
Historical,Brest,1989,77.884,306.387,188.171,255.939
Historical,Brest,1990,103.230,281.954,194.237,283.306
Historical,Brest,1991,75.072,254.872,176.510,258.778
Historical,Brest,1992,80.655,274.646,176.637,256.237
Historical,Brest,1993,75.155,266.171,195.828,265.171
Historical,Brest,1994,90.465,287.234,187.677,243.063
Historical,Brest,1995,71.525,243.956,181.762,237.989
Historical,Brest,1996,89.007,267.970,168.709,229.929
Historical,Brest,1997,76.311,254.263,180.193,253.423
Historical,Brest,1998,109.446,279.041,204.659,268.732
Historical,Brest,1999,92.210,277.968,180.418,241.789
Historical,Brest,2000,85.945,307.816,199.929,263.434
Historical,Brest,2001,81.417,307.288,213.268,250.231
Historical,Brest,2002,86.615,256.534,163.853,214.095
Historical,Brest,2003,67.034,282.536,173.267,228.458
Historical,Brest,2004,100.317,257.300,172.100,252.714
Historical,Brest,2005,107.611,244.820,189.718,237.181
Historical,Brest,2006,64.698,263.563,165.529,218.278
Historical,Brest,2007,76.704,263.210,191.059,252.973
Historical,Brest,2008,81.824,261.233,161.492,222.083
Historical,Brest,2009,86.059,295.913,186.623,238.225
Historical,Brest,2010,63.725,252.845,138.663,208.217
Historical,Brest,2011,82.635,313.203,162.775,266.391
Historical,Brest,2012,84.127,291.036,182.596,238.239
Historical,Brest,2013,74.667,288.232,181.545,232.249
Historical,Brest,2014,79.492,303.724,164.533,246.309
Historical,Gomel,1900,77.795,312.005,174.781,241.034
Historical,Gomel,1901,65.545,267.836,176.139,229.600
Historical,Gomel,1902,73.423,266.793,195.982,239.679
Historical,Gomel,1903,62.686,263.659,179.134,242.661
Historical,Gomel,1904,79.084,327.103,170.481,234.010
Historical,Gomel,1905,90.606,253.554,190.891,276.668
Historical,Gomel,1906,66.778,262.551,194.411,255.129
Historical,Gomel,1907,63.557,298.711,164.600,239.161
Historical,Gomel,1908,79.249,276.724,183.523,233.936
Historical,Gomel,1909,71.379,250.912,164.593,253.430
Historical,Gomel,1910,62.410,247.920,161.384,240.439
Historical,Gomel,1911,94.642,300.533,164.611,246.737
Historical,Gomel,1912,62.869,297.363,175.887,263.290
Historical,Gomel,1913,87.211,260.808,177.714,237.198
Historical,Gomel,1914,61.218,253.935,155.665,233.115
Historical,Gomel,1915,72.343,248.351,163.877,230.926
Historical,Gomel,1916,73.000,279.356,173.420,251.025
Historical,Gomel,1917,86.951,314.240,189.785,265.939
Historical,Gomel,1918,71.510,295.327,165.209,250.455
Historical,Gomel,1919,64.038,286.186,187.996,257.685
Historical,Gomel,1920,67.163,277.977,166.215,217.875
Historical,Gomel,1921,97.506,263.114,178.723,256.761
Historical,Gomel,1922,95.703,289.395,185.249,263.870
Historical,Gomel,1923,72.804,265.311,178.666,238.467
Historical,Gomel,1924,50.470,260.234,167.751,208.276
Historical,Gomel,1925,77.286,276.859,135.413,227.794
Historical,Gomel,1926,94.360,258.647,173.194,239.948
Historical,Gomel,1927,91.642,262.722,164.170,232.473
Historical,Gomel,1928,66.930,257.693,178.861,242.206
Historical,Gomel,1929,79.174,256.240,186.035,239.896
Historical,Gomel,1930,89.618,243.007,170.466,224.678
Historical,Gomel,1931,72.906,242.987,190.536,252.412
Historical,Gomel,1932,88.952,278.518,181.675,247.183
Historical,Gomel,1933,61.942,252.476,169.087,225.866
Historical,Gomel,1934,96.153,291.192,187.374,251.733
Historical,Gomel,1935,85.615,275.157,175.224,263.417
Historical,Gomel,1936,74.827,241.628,165.558,243.244
Historical,Gomel,1937,81.477,265.724,173.757,272.455
Historical,Gomel,1938,76.595,250.063,170.512,240.318
Historical,Gomel,1939,69.044,303.000,160.307,235.475
Historical,Gomel,1940,72.683,267.696,180.429,252.682
Historical,Gomel,1941,78.886,255.413,173.414,256.601
Historical,Gomel,1942,99.534,283.261,176.057,230.863
Historical,Gomel,1943,76.711,274.593,173.157,238.039
Historical,Gomel,1944,65.862,255.566,176.136,247.458
Historical,Gomel,1945,107.558,261.061,190.414,249.971
Historical,Gomel,1946,61.076,283.377,200.876,242.286
Historical,Gomel,1947,89.550,264.007,161.546,242.814
Historical,Gomel,1948,48.540,282.785,183.033,235.758
Historical,Gomel,1949,87.834,294.664,165.685,247.411
Historical,Gomel,1950,69.760,256.126,153.757,233.999
Historical,Gomel,1951,82.879,296.730,160.608,237.040
Historical,Gomel,1952,88.836,269.905,170.386,218.080
Historical,Gomel,1953,65.087,270.945,169.321,254.359
Historical,Gomel,1954,78.543,282.060,178.841,237.988
Historical,Gomel,1955,91.331,234.246,149.373,239.390
Historical,Gomel,1956,65.133,288.530,156.135,264.662
Historical,Gomel,1957,78.145,224.235,159.463,235.221
Historical,Gomel,1958,65.145,286.863,210.617,262.793
Historical,Gomel,1959,65.407,280.055,180.976,249.765
Historical,Gomel,1960,51.138,285.885,156.327,240.375
Historical,Gomel,1961,66.054,257.915,171.722,260.469
Historical,Gomel,1962,78.659,277.336,176.677,270.870
Historical,Gomel,1963,70.315,255.796,170.777,225.784
Historical,Gomel,1964,71.306,239.808,182.265,244.181
Historical,Gomel,1965,48.684,270.081,162.684,245.789
Historical,Gomel,1966,74.235,293.443,149.913,240.345
Historical,Gomel,1967,82.973,261.544,165.733,259.848
Historical,Gomel,1968,70.440,261.935,159.065,236.399
Historical,Gomel,1969,77.366,260.750,187.704,248.500
Historical,Gomel,1970,82.639,270.852,188.439,271.602
Historical,Gomel,1971,78.024,251.225,170.620,237.478
Historical,Gomel,1972,76.229,278.765,162.289,247.793
Historical,Gomel,1973,114.210,248.512,165.622,246.588
Historical,Gomel,1974,87.435,246.536,165.063,252.954
Historical,Gomel,1975,62.368,265.706,167.783,244.663
Historical,Gomel,1976,95.387,269.913,186.265,242.315
Historical,Gomel,1977,67.688,282.022,162.494,241.956
Historical,Gomel,1978,82.065,287.940,181.533,233.332
Historical,Gomel,1979,73.639,286.549,171.763,248.388
Historical,Gomel,1980,101.869,264.861,166.148,260.648
Historical,Gomel,1981,115.636,254.986,164.272,248.907
Historical,Gomel,1982,97.967,238.652,172.429,258.457
Historical,Gomel,1983,58.521,255.367,182.718,239.097
Historical,Gomel,1984,85.948,280.656,199.470,249.007
Historical,Gomel,1985,68.339,235.414,145.177,231.472
Historical,Gomel,1986,78.333,308.335,165.247,264.504
Historical,Gomel,1987,84.545,296.722,197.449,270.927
Historical,Gomel,1988,84.132,256.176,184.792,246.899
Historical,Gomel,1989,60.650,309.503,180.012,211.669
Historical,Gomel,1990,83.974,271.688,191.827,280.979
Historical,Gomel,1991,63.360,248.254,171.246,238.157
Historical,Gomel,1992,62.547,262.702,183.583,243.949
Historical,Gomel,1993,74.220,244.563,173.376,251.156
Historical,Gomel,1994,102.538,241.202,151.133,225.506
Historical,Gomel,1995,100.979,282.157,154.643,251.304
Historical,Gomel,1996,110.676,255.169,152.122,236.213
Historical,Gomel,1997,89.831,271.732,157.166,255.630
Historical,Gomel,1998,93.300,247.632,142.474,240.285
Historical,Gomel,1999,98.050,277.116,166.963,263.764
Historical,Gomel,2000,87.580,292.959,183.479,271.839
Historical,Gomel,2001,81.447,268.144,190.071,258.294
Historical,Gomel,2002,89.104,257.456,144.589,219.195
Historical,Gomel,2003,55.289,273.663,154.737,230.128
Historical,Gomel,2004,77.716,275.001,149.041,243.070
Historical,Gomel,2005,103.854,280.680,177.333,251.741
Historical,Gomel,2006,65.208,268.166,170.013,230.243
Historical,Gomel,2007,54.802,250.352,177.409,238.350
Historical,Gomel,2008,74.527,252.202,157.867,230.766
Historical,Gomel,2009,80.271,250.967,163.510,254.687
Historical,Gomel,2010,60.413,223.849,126.066,200.568
Historical,Gomel,2011,66.030,263.644,160.656,243.436
Historical,Gomel,2012,68.946,300.525,157.334,252.407
Historical,Gomel,2013,72.163,278.390,157.218,214.288
Historical,Gomel,2014,73.143,281.639,168.922,240.513
Historical,Grodno,1900,87.656,321.765,212.147,207.837
