experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,167.673,463.242,306.122,323.511
Historical,Brest,1901,163.962,448.383,295.353,308.407
Historical,Brest,1902,156.462,454.043,323.842,349.633
Historical,Brest,1903,173.448,392.085,328.914,370.637
Historical,Brest,1904,159.939,459.042,290.865,369.793
Historical,Brest,1905,169.714,413.804,305.840,366.147
Historical,Brest,1906,172.452,462.447,304.128,374.811
Historical,Brest,1907,182.191,422.599,276.162,332.379
Historical,Brest,1908,153.877,475.813,292.720,337.992
Historical,Brest,1909,148.197,437.594,290.423,341.892
Historical,Brest,1910,161.057,423.185,288.202,318.454
Historical,Brest,1911,157.633,443.748,282.105,325.316
Historical,Brest,1912,150.836,438.416,285.773,325.493
Historical,Brest,1913,149.315,430.734,320.005,351.387
Historical,Brest,1914,186.514,386.386,300.296,340.876
Historical,Brest,1915,147.694,436.859,301.709,335.749
Historical,Brest,1916,131.312,427.998,312.245,339.108
Historical,Brest,1917,204.037,419.097,318.694,383.804
Historical,Brest,1918,139.961,488.301,323.764,340.659
Historical,Brest,1919,140.458,449.354,304.448,365.808
Historical,Brest,1920,180.792,481.044,311.870,369.320
Historical,Brest,1921,179.796,419.566,286.124,335.576
Historical,Brest,1922,194.810,420.056,323.494,377.075
Historical,Brest,1923,176.977,407.870,302.796,320.326
Historical,Brest,1924,119.026,412.708,270.555,304.935
Historical,Brest,1925,166.503,406.733,284.828,312.589
Historical,Brest,1926,204.994,454.613,283.879,341.528
Historical,Brest,1927,197.896,444.429,295.751,351.110
Historical,Brest,1928,182.033,453.927,314.144,353.204
Historical,Brest,1929,172.075,387.752,304.915,328.913
Historical,Brest,1930,215.985,373.728,294.596,355.926
Historical,Brest,1931,176.820,372.154,287.471,336.083
Historical,Brest,1932,159.035,432.395,354.076,355.751
Historical,Brest,1933,138.847,439.102,295.689,325.991
Historical,Brest,1934,183.716,462.752,317.107,351.879
Historical,Brest,1935,185.691,411.908,308.572,361.639
Historical,Brest,1936,185.544,403.880,284.794,330.924
Historical,Brest,1937,149.858,376.700,307.358,354.461
Historical,Brest,1938,175.168,346.883,279.042,316.828
Historical,Brest,1939,161.473,450.396,287.527,336.250
Historical,Brest,1940,132.437,431.137,284.293,308.964
Historical,Brest,1941,117.220,418.354,298.552,325.386
Historical,Brest,1942,186.181,458.695,294.079,370.177
Historical,Brest,1943,168.064,379.930,286.216,311.323
Historical,Brest,1944,191.000,405.275,308.461,335.050
Historical,Brest,1945,236.330,443.686,321.499,360.579
