experiment,region,year,pr_10,pr_90,pr_50,pr_corr
Historical,Brest,1900,115.506,207.508,162.181,109.778
Historical,Brest,1901,127.380,197.974,164.407,113.148
Historical,Brest,1902,109.646,192.775,139.718,93.776
Historical,Brest,1903,113.877,208.130,168.370,102.962
Historical,Brest,1904,110.645,191.617,155.508,114.691
Historical,Brest,1905,118.123,171.285,151.335,104.244
Historical,Brest,1906,105.498,175.600,146.665,107.100
Historical,Brest,1907,98.894,194.074,154.104,113.187
Historical,Brest,1908,98.305,187.132,142.729,108.298
Historical,Brest,1909,110.360,193.734,151.704,119.754
Historical,Brest,1910,107.190,184.997,155.846,114.562
Historical,Brest,1911,124.982,194.521,160.715,124.141
Historical,Brest,1912,110.246,201.611,158.773,110.555
Historical,Brest,1913,104.310,197.402,157.337,111.609
Historical,Brest,1914,105.876,205.638,142.918,116.748
Historical,Brest,1915,120.452,187.093,147.012,98.262
Historical,Brest,1916,119.284,201.115,151.644,125.057
Historical,Brest,1917,122.145,211.672,155.011,123.469
Historical,Brest,1918,110.476,191.967,147.501,103.087
Historical,Brest,1919,114.817,183.258,142.916,106.637
Historical,Brest,1920,104.980,198.873,161.387,121.764
Historical,Brest,1921,123.545,202.581,155.180,115.700
Historical,Brest,1922,112.742,202.440,151.146,106.005
Historical,Brest,1923,116.021,195.259,145.086,110.359
Historical,Brest,1924,121.593,193.062,144.547,106.993
Historical,Brest,1925,114.275,190.787,151.316,117.068
Historical,Brest,1926,129.599,199.431,158.406,122.045
Historical,Brest,1927,98.301,193.787,152.323,106.483
Historical,Brest,1928,122.345,198.019,151.631,110.708
Historical,Brest,1929,118.080,203.247,145.059,101.102
Historical,Brest,1930,113.077,202.736,154.462,118.327
Historical,Brest,1931,120.788,192.830,150.466,100.490
Historical,Brest,1932,103.863,189.025,152.776,111.848
Historical,Brest,1933,109.216,202.564,152.117,106.606
Historical,Brest,1934,121.434,182.026,148.053,102.813
Historical,Brest,1935,99.603,191.977,155.558,104.539
Historical,Brest,1936,96.513,200.545,150.743,92.076
Historical,Brest,1937,109.475,204.909,148.534,116.710
Historical,Brest,1938,117.321,192.015,159.080,121.107
Historical,Brest,1939,115.380,211.437,147.068,107.532
Historical,Brest,1940,111.697,190.697,158.533,123.062
Historical,Brest,1941,121.133,181.391,154.925,118.697
Historical,Brest,1942,110.468,189.899,147.389,106.605
Historical,Brest,1943,109.675,197.616,134.628,101.688
Historical,Brest,1944,120.047,192.996,152.952,122.327
Historical,Brest,1945,116.620,185.429,146.512,109.003
Historical,Brest,1946,130.413,218.844,167.485,127.206
Historical,Brest,1947,113.205,202.041,162.490,97.597
Historical,Brest,1948,124.136,196.355,160.801,103.996
Historical,Brest,1949,127.348,185.796,152.187,111.868
Historical,Brest,1950,100.991,186.735,145.001,87.078
Historical,Brest,1951,101.039,191.232,149.524,121.139
Historical,Brest,1952,115.488,210.318,159.959,116.015
Historical,Brest,1953,101.533,200.048,158.582,107.744
Historical,Brest,1954,115.781,184.651,146.720,107.976
Historical,Brest,1955,111.817,179.646,142.714,108.863
Historical,Brest,1956,117.276,195.124,150.579,109.106
Historical,Brest,1957,94.995,191.511,144.462,100.150
Historical,Brest,1958,108.742,209.897,153.942,107.864
Historical,Brest,1959,111.282,198.728,142.132,102.767
Historical,Brest,1960,115.683,197.758,148.130,97.136
Historical,Brest,1961,98.860,210.858,146.409,92.955
Historical,Brest,1962,108.518,188.798,151.133,95.263
Historical,Brest,1963,105.538,193.036,136.204,92.453
Historical,Brest,1964,93.338,188.817,139.917,108.827
Historical,Brest,1965,107.479,188.102,138.471,124.609
Historical,Brest,1966,117.507,191.179,152.351,94.073
Historical,Brest,1967,116.516,195.467,153.832,124.365
Historical,Brest,1968,124.259,192.356,149.262,106.775
Historical,Brest,1969,105.217,190.288,145.623,110.108
Historical,Brest,1970,124.609,196.129,151.362,108.712
Historical,Brest,1971,120.537,190.865,149.679,89.907
Historical,Brest,1972,103.414,192.760,142.784,98.905
Historical,Brest,1973,112.596,206.771,161.469,113.671
Historical,Brest,1974,112.642,199.630,145.990,106.070
Historical,Brest,1975,115.621,194.422,153.883,110.396
Historical,Brest,1976,111.043,202.730,142.884,110.352
Historical,Brest,1977,114.293,192.293,156.309,116.506
Historical,Brest,1978,107.298,194.928,159.197,118.498
Historical,Brest,1979,118.192,188.905,161.743,111.195
Historical,Brest,1980,120.137,209.144,164.515,111.162
Historical,Brest,1981,113.766,194.979,155.912,111.560
Historical,Brest,1982,101.405,193.097,133.033,109.556
Historical,Brest,1983,117.138,183.502,153.576,109.747
Historical,Brest,1984,118.092,199.212,152.073,102.985
Historical,Brest,1985,107.667,200.182,147.307,111.556
Historical,Brest,1986,120.164,201.449,164.278,115.244
Historical,Brest,1987,109.612,185.951,152.361,110.726
Historical,Brest,1988,106.672,195.600,144.045,111.581
Historical,Brest,1989,121.136,203.240,152.833,118.797
Historical,Brest,1990,119.155,187.618,150.104,115.205
Historical,Brest,1991,106.722,198.690,147.075,96.955
Historical,Brest,1992,114.012,186.198,152.022,102.679
Historical,Brest,1993,122.777,194.817,152.071,121.066
Historical,Brest,1994,114.824,196.884,153.604,120.567
Historical,Brest,1995,122.877,213.322,159.071,116.861
Historical,Brest,1996,115.178,205.119,150.542,103.907
Historical,Brest,1997,115.009,181.289,149.664,94.571
Historical,Brest,1998,124.291,203.547,158.699,109.826
Historical,Brest,1999,117.888,192.969,153.951,106.905
Historical,Brest,2000,113.798,198.915,155.003,126.514
Historical,Brest,2001,110.373,197.776,166.629,120.741
Historical,Brest,2002,119.933,202.483,168.960,104.740
Historical,Brest,2003,99.417,202.112,144.164,116.375
Historical,Brest,2004,127.179,217.289,167.709,120.420
Historical,Brest,2005,113.429,187.766,157.729,97.555
Historical,Brest,2006,112.309,198.218,154.755,123.723
Historical,Brest,2007,117.438,197.720,151.583,106.984
Historical,Brest,2008,109.642,192.074,163.609,103.418
Historical,Brest,2009,120.423,207.542,154.975,120.509
Historical,Brest,2010,128.715,198.806,163.051,125.599
Historical,Brest,2011,116.842,205.317,159.614,130.150
Historical,Brest,2012,129.182,209.657,167.967,108.241
Historical,Brest,2013,102.360,227.589,146.298,129.344
Historical,Gomel,1900,105.943,215.580,153.895,105.952
Historical,Gomel,1901,105.161,204.449,164.273,139.722
Historical,Gomel,1902,114.096,187.917,144.169,99.292
Historical,Gomel,1903,114.331,210.905,153.565,116.637
Historical,Gomel,1904,110.573,195.506,151.148,99.796
Historical,Gomel,1905,110.727,185.016,149.490,109.223
Historical,Gomel,1906,117.569,176.226,143.155,110.068
Historical,Gomel,1907,105.117,207.336,148.240,119.271
Historical,Gomel,1908,99.731,191.740,144.848,102.654
Historical,Gomel,1909,101.436,189.675,144.014,115.651
