year,region,tair_Jan,tair_Feb,tair_Mar,tair_Apr,tair_May,tair_Jun,tair_Jul,tair_Aug,tair_Sep,tair_Oct,tair_Nov,tair_Dec,tair_winter,tair_spring,tair_summer,tair_fall,tair_warm,tair_cold,tair_annual,prec_Jan,prec_Feb,prec_Mar,prec_Apr,prec_May,prec_Jun,prec_Jul,prec_Aug,prec_Sep,prec_Oct,prec_Nov,prec_Dec,prec_winter,prec_spring,prec_summer,prec_fall,prec_warm,prec_cold,prec_annual
1955,Brest,-4.133,-4.468,-2.838,3.963,11.034,15.594,18.846,18.939,14.382,8.011,1.160,-2.274,-6.446,4.055,17.814,7.852,15.768,-4.245,6.575,34.806,38.649,27.604,27.606,84.359,57.734,156.142,34.067,35.360,32.595,32.943,68.213,134.196,140.208,252.095,100.859,372.136,192.576,632.659
1955,Gomel,-4.893,-4.462,-2.874,3.676,11.648,16.129,19.367,18.953,14.767,8.299,-0.792,-4.711,-8.144,4.154,18.168,7.432,16.181,-5.720,6.311,47.782,38.096,34.440,25.510,64.825,33.725,69.539,39.401,63.200,27.568,27.635,56.481,127.080,125.172,148.647,118.030,276.648,180.892,536.818
1955,Grodno,-4.762,-4.980,-3.441,2.719,9.964,14.784,18.429,18.946,14.465,7.871,0.987,-3.688,-7.262,3.084,17.410,7.775,15.325,-4.831,5.996,36.362,39.489,30.035,51.125,91.142,50.912,138.760,28.630,53.795,30.495,38.060,81.883,154.803,172.384,216.716,122.129,363.729,223.071,666.971
1955,Minsk,-5.323,-5.271,-3.907,2.262,10.184,15.116,18.292,18.717,14.064,7.598,-0.290,-5.365,-8.454,2.853,17.398,7.129,15.283,-5.908,5.568,42.137,41.620,33.954,43.712,74.353,44.161,108.883,38.645,68.595,36.975,34.099,71.222,148.890,151.719,194.932,139.793,338.587,210.662,640.079
1955,Mogilev,-5.784,-5.342,-4.248,2.322,10.762,15.582,18.423,18.553,14.142,7.785,-1.556,-7.119,-9.828,2.951,17.537,6.799,15.499,-7.016,5.345,52.379,39.087,43.002,27.998,64.610,31.460,78.265,37.207,75.253,42.618,28.409,70.372,146.606,137.715,148.786,146.825,288.576,203.699,595.711
1955,Vitebsk,-5.601,-6.186,-4.959,1.011,9.643,14.418,17.688,18.229,13.535,7.283,-0.890,-7.396,-10.154,1.906,16.801,6.649,14.711,-7.299,4.788,32.061,40.183,36.720,56.981,75.172,46.978,85.194,23.712,110.647,38.607,33.340,55.691,140.221,167.852,150.395,182.999,335.659,190.906,627.039
1956,Brest,-3.481,-14.011,-3.020,5.154,12.728,18.635,16.589,15.323,11.247,7.320,-2.316,-2.671,-1.625,4.953,16.831,5.435,14.903,-1.587,5.187,28.414,37.397,28.596,36.591,35.286,90.068,76.542,111.682,50.104,80.683,28.337,40.892,108.070,99.397,286.298,155.747,375.591,162.960,658.939
1956,Gomel,-5.353,-14.714,-3.375,5.382,12.458,19.609,16.716,16.160,10.756,6.878,-3.463,-3.745,-2.674,4.817,17.476,4.743,15.139,-2.629,4.834,29.716,40.453,26.309,59.599,48.762,90.068,103.418,117.016,59.311,47.841,32.619,41.567,102.143,134.428,286.298,140.792,382.680,155.379,658.939
1956,Grodno,-4.380,-14.099,-3.326,3.740,12.006,18.501,16.119,14.468,10.818,6.607,-2.758,-2.594,-1.647,4.143,16.343,4.905,14.379,-1.861,4.651,39.528,35.999,27.561,53.184,44.725,90.068,82.629,120.165,38.622,71.279,33.842,33.808,109.559,126.379,286.298,145.878,377.990,179.238,658.939
1956,Minsk,-5.656,-14.735,-3.870,3.599,11.726,18.774,15.878,14.567,10.243,6.212,-3.395,-3.369,-2.379,3.820,16.381,4.373,14.234,-2.611,4.232,37.256,42.160,27.868,64.549,48.755,90.068,76.775,117.893,44.129,66.239,33.530,29.913,103.700,141.461,286.298,144.588,379.750,161.932,658.939
