experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,3.869,10.141,6.982,7.168
Historical,Brest,1901,2.229,9.900,5.779,7.310
Historical,Brest,1902,2.858,9.425,6.272,7.015
Historical,Brest,1903,2.753,8.889,5.870,6.099
Historical,Brest,1904,3.477,9.785,6.899,8.113
Historical,Brest,1905,1.919,7.978,5.438,6.025
Historical,Brest,1906,0.994,10.349,5.815,7.966
Historical,Brest,1907,3.768,9.542,6.492,7.477
Historical,Brest,1908,3.144,8.592,5.749,7.191
Historical,Brest,1909,2.800,9.324,6.481,7.228
Historical,Brest,1910,2.220,8.800,5.834,6.356
Historical,Brest,1911,2.794,8.830,5.917,5.628
Historical,Brest,1912,2.582,11.073,6.091,7.883
Historical,Brest,1913,2.659,9.016,6.336,7.922
Historical,Brest,1914,3.327,9.417,7.377,7.625
Historical,Brest,1915,2.604,8.422,6.596,6.126
Historical,Brest,1916,3.049,11.266,6.817,6.490
Historical,Brest,1917,2.898,8.828,6.393,7.147
Historical,Brest,1918,3.661,9.164,6.683,7.118
Historical,Brest,1919,3.066,9.221,6.372,7.195
Historical,Brest,1920,3.697,10.388,6.498,8.104
Historical,Brest,1921,3.183,10.300,6.516,6.431
Historical,Brest,1922,2.521,8.992,5.922,7.030
Historical,Brest,1923,3.321,10.188,6.342,6.792
Historical,Brest,1924,4.362,10.951,6.024,8.060
Historical,Brest,1925,4.344,9.358,6.439,7.364
Historical,Brest,1926,4.642,10.035,6.449,7.471
Historical,Brest,1927,3.789,9.843,6.595,7.423
Historical,Brest,1928,3.897,10.596,6.029,7.755
Historical,Brest,1929,1.900,10.552,7.008,7.117
Historical,Brest,1930,3.780,10.041,6.048,7.293
Historical,Brest,1931,3.346,8.381,6.572,6.527
Historical,Brest,1932,4.473,9.258,7.019,7.402
Historical,Brest,1933,1.948,9.885,5.536,6.043
Historical,Brest,1934,3.794,9.764,6.538,7.667
Historical,Brest,1935,2.912,9.033,6.899,7.684
Historical,Brest,1936,1.559,9.365,5.891,5.830
Historical,Brest,1937,3.961,8.813,7.035,7.920
Historical,Brest,1938,2.623,9.084,6.507,7.378
Historical,Brest,1939,3.880,10.011,7.328,8.160
Historical,Brest,1940,3.644,10.122,6.633,8.004
Historical,Brest,1941,2.671,9.355,5.893,7.599
Historical,Brest,1942,4.297,9.964,6.746,7.931
Historical,Brest,1943,3.275,10.317,7.033,8.056
Historical,Brest,1944,3.749,8.295,5.937,7.274
Historical,Brest,1945,3.927,9.391,6.024,7.852
Historical,Brest,1946,3.131,10.509,6.637,7.010
Historical,Brest,1947,3.838,9.846,6.854,6.704
Historical,Brest,1948,2.107,8.652,6.186,5.855
Historical,Brest,1949,2.889,9.924,6.296,6.860
Historical,Brest,1950,3.409,9.358,6.394,7.455
Historical,Brest,1951,2.936,9.885,6.572,6.664
Historical,Brest,1952,3.428,8.811,6.670,6.875
Historical,Brest,1953,3.858,9.229,6.280,7.289
Historical,Brest,1954,1.852,9.751,6.925,7.608
Historical,Brest,1955,3.733,10.091,6.294,5.859
Historical,Brest,1956,3.908,9.241,7.391,6.603
Historical,Brest,1957,1.151,8.979,5.699,5.960
Historical,Brest,1958,4.266,10.709,7.748,7.437
Historical,Brest,1959,4.157,9.702,7.427,7.778
Historical,Brest,1960,3.005,10.336,6.475,5.942
Historical,Brest,1961,3.757,8.763,6.187,5.769
Historical,Brest,1962,3.988,9.499,6.415,8.009
Historical,Brest,1963,4.369,9.570,6.642,7.817
Historical,Brest,1964,3.847,8.474,7.279,7.864
Historical,Brest,1965,2.423,9.533,5.839,5.110
Historical,Brest,1966,2.631,9.060,6.293,7.586
Historical,Brest,1967,2.357,8.463,6.891,7.509
Historical,Brest,1968,2.391,9.744,6.282,7.891
Historical,Brest,1969,2.233,9.080,6.316,6.642
Historical,Brest,1970,3.822,8.798,7.028,6.486
Historical,Brest,1971,3.767,10.178,6.786,7.810
Historical,Brest,1972,3.954,9.213,6.131,7.075
Historical,Brest,1973,3.528,9.193,6.167,7.174
Historical,Brest,1974,2.881,7.900,5.649,5.308
Historical,Brest,1975,2.854,9.274,5.798,7.243
Historical,Brest,1976,3.662,9.023,5.483,7.479
Historical,Brest,1977,3.883,10.062,6.752,7.232
Historical,Brest,1978,1.392,9.156,6.277,6.315
Historical,Brest,1979,4.111,8.264,6.750,7.727
Historical,Brest,1980,3.328,9.164,6.390,7.370
Historical,Brest,1981,3.948,10.055,6.863,7.405
Historical,Brest,1982,4.104,8.728,6.096,6.302
Historical,Brest,1983,2.959,9.990,6.843,7.655
Historical,Brest,1984,1.511,8.358,5.822,7.813
Historical,Brest,1985,3.266,9.535,6.763,8.139
Historical,Brest,1986,3.593,8.953,6.336,7.148
Historical,Brest,1987,2.247,8.422,6.321,6.332
Historical,Brest,1988,3.079,9.392,6.812,7.906
Historical,Brest,1989,2.808,9.999,6.111,7.993
Historical,Brest,1990,5.171,10.143,7.165,8.343
Historical,Brest,1991,3.363,10.548,7.459,7.329
Historical,Brest,1992,1.696,9.109,6.619,7.159
Historical,Brest,1993,3.278,9.044,7.125,7.865
Historical,Brest,1994,2.632,9.746,7.391,7.938
Historical,Brest,1995,4.092,10.194,6.760,7.928
Historical,Brest,1996,5.253,9.726,6.910,7.017
Historical,Brest,1997,4.440,9.500,7.689,8.012
Historical,Brest,1998,4.239,9.195,6.881,6.484
Historical,Brest,1999,4.489,10.018,7.205,9.056
Historical,Brest,2000,4.558,10.140,7.473,9.940
Historical,Brest,2001,4.668,9.647,8.089,8.072
Historical,Brest,2002,3.364,11.554,7.755,8.478
Historical,Brest,2003,5.304,9.664,7.969,7.658
Historical,Brest,2004,4.682,10.948,7.404,8.864
Historical,Brest,2005,4.233,11.836,8.307,9.176
Historical,Brest,2006,5.109,10.705,8.238,8.071
Historical,Brest,2007,3.931,10.185,8.331,8.156
Historical,Brest,2008,6.328,11.623,8.897,9.118
Historical,Brest,2009,4.306,10.492,7.117,8.255
Historical,Brest,2010,4.496,11.126,8.297,8.890
Historical,Brest,2011,4.620,10.205,7.501,7.601
Historical,Brest,2012,4.581,10.717,7.962,8.437
