experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,15.588,19.942,17.379,16.412
Historical,Brest,1901,16.291,20.561,17.993,17.304
Historical,Brest,1902,14.802,21.074,17.423,16.888
Historical,Brest,1903,14.316,20.925,16.945,15.884
Historical,Brest,1904,14.947,20.325,17.184,17.165
Historical,Brest,1905,15.829,21.450,17.933,16.941
Historical,Brest,1906,15.526,19.709,17.415,16.420
Historical,Brest,1907,15.949,21.717,18.033,17.133
Historical,Brest,1908,15.464,21.337,17.410,17.099
Historical,Brest,1909,15.813,20.209,18.156,16.967
Historical,Brest,1910,15.317,22.059,17.793,17.446
Historical,Brest,1911,14.945,20.338,18.403,17.458
Historical,Brest,1912,14.035,19.878,17.434,15.896
Historical,Brest,1913,15.892,20.609,17.396,16.917
Historical,Brest,1914,16.113,20.282,17.610,17.571
Historical,Brest,1915,15.457,20.157,17.150,16.649
Historical,Brest,1916,14.870,20.755,18.314,16.747
Historical,Brest,1917,14.800,21.145,17.183,16.140
Historical,Brest,1918,15.140,20.587,17.362,16.153
Historical,Brest,1919,15.983,20.989,17.823,16.785
Historical,Brest,1920,15.524,20.470,17.709,16.987
Historical,Brest,1921,15.815,21.565,17.392,17.026
Historical,Brest,1922,14.750,20.452,17.240,16.396
Historical,Brest,1923,15.862,20.986,18.716,17.414
Historical,Brest,1924,16.421,21.224,18.444,18.144
Historical,Brest,1925,15.430,20.562,18.488,18.042
Historical,Brest,1926,14.573,21.036,18.355,17.222
Historical,Brest,1927,15.640,21.282,17.673,17.972
Historical,Brest,1928,15.639,20.776,17.790,16.818
Historical,Brest,1929,14.784,21.503,18.126,17.129
Historical,Brest,1930,15.102,20.445,18.227,17.298
Historical,Brest,1931,15.899,20.513,18.087,16.950
Historical,Brest,1932,15.423,20.714,17.697,16.601
Historical,Brest,1933,15.678,21.573,18.003,17.755
Historical,Brest,1934,14.891,19.824,17.713,16.830
Historical,Brest,1935,15.896,21.145,17.837,17.309
Historical,Brest,1936,16.194,21.611,18.442,17.683
Historical,Brest,1937,15.314,21.836,18.372,17.177
Historical,Brest,1938,15.200,22.192,18.524,17.064
Historical,Brest,1939,14.850,20.950,17.766,16.727
Historical,Brest,1940,14.722,21.009,17.824,17.257
Historical,Brest,1941,15.615,21.577,18.654,17.453
Historical,Brest,1942,15.284,20.936,18.073,17.632
Historical,Brest,1943,14.385,21.805,17.751,17.208
Historical,Brest,1944,15.204,21.358,18.749,16.937
Historical,Brest,1945,14.814,20.328,17.749,16.571
Historical,Brest,1946,15.617,22.612,18.439,17.052
Historical,Brest,1947,15.764,20.490,18.244,16.754
