experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-7.829,1.039,-2.463,-2.715
Historical,Brest,1901,-8.538,0.155,-3.748,-2.989
Historical,Brest,1902,-9.940,0.178,-4.042,-4.355
Historical,Brest,1903,-11.477,-0.480,-4.461,-2.934
Historical,Brest,1904,-10.287,0.032,-3.614,-4.317
Historical,Brest,1905,-8.965,0.425,-4.411,-4.304
Historical,Brest,1906,-8.148,-0.087,-2.453,-4.102
Historical,Brest,1907,-8.167,-0.341,-3.413,-4.547
Historical,Brest,1908,-9.678,0.422,-4.591,-3.107
Historical,Brest,1909,-9.131,1.452,-2.885,-2.497
Historical,Brest,1910,-9.607,1.559,-3.464,-3.024
Historical,Brest,1911,-5.442,1.361,-2.433,-1.967
Historical,Brest,1912,-9.189,0.227,-4.112,-4.500
Historical,Brest,1913,-10.565,-0.056,-3.273,-2.801
Historical,Brest,1914,-9.899,0.152,-2.905,-3.845
Historical,Brest,1915,-10.961,1.277,-2.011,-0.986
Historical,Brest,1916,-8.377,2.166,-2.348,-1.682
Historical,Brest,1917,-6.648,0.339,-3.514,-2.726
Historical,Brest,1918,-7.581,1.230,-2.141,-3.196
Historical,Brest,1919,-8.330,1.080,-3.577,-4.044
Historical,Brest,1920,-8.474,0.269,-3.717,-6.013
Historical,Brest,1921,-5.000,1.784,-1.131,-1.467
Historical,Brest,1922,-7.265,-0.053,-2.815,-3.678
Historical,Brest,1923,-12.108,-0.034,-4.865,-6.569
Historical,Brest,1924,-8.715,0.754,-1.954,-2.850
Historical,Brest,1925,-7.107,0.641,-1.661,-2.293
Historical,Brest,1926,-8.028,0.766,-2.280,-2.932
Historical,Brest,1927,-7.095,2.047,-2.283,-1.902
Historical,Brest,1928,-9.992,0.401,-3.276,-3.808
Historical,Brest,1929,-8.625,0.831,-3.961,-3.057
Historical,Brest,1930,-11.565,0.489,-2.130,-2.942
Historical,Brest,1931,-8.325,1.519,-2.693,-1.518
Historical,Brest,1932,-7.257,0.839,-3.579,-2.242
Historical,Brest,1933,-8.842,0.885,-2.996,-3.730
Historical,Brest,1934,-6.507,0.453,-2.342,-2.385
Historical,Brest,1935,-11.144,0.166,-2.271,-2.668
Historical,Brest,1936,-5.634,1.260,-1.772,-2.498
Historical,Brest,1937,-6.908,0.897,-3.161,-2.321
Historical,Brest,1938,-7.076,1.020,-2.640,-2.300
Historical,Brest,1939,-6.821,-0.434,-4.346,-4.988
Historical,Brest,1940,-7.993,1.037,-2.727,-2.581
Historical,Brest,1941,-7.134,0.997,-3.811,-3.134
Historical,Brest,1942,-10.178,0.693,-3.344,-4.348
Historical,Brest,1943,-9.725,-0.276,-4.484,-3.496
Historical,Brest,1944,-7.588,1.309,-3.294,-2.318
Historical,Brest,1945,-8.008,1.471,-3.839,-2.157
Historical,Brest,1946,-5.982,0.135,-2.666,-2.339
Historical,Brest,1947,-11.773,0.891,-1.806,-3.770
Historical,Brest,1948,-8.831,1.182,-2.281,-3.012
Historical,Brest,1949,-9.208,0.264,-3.039,-4.566
Historical,Brest,1950,-7.074,1.720,-2.486,-3.884
Historical,Brest,1951,-8.796,0.552,-3.054,-3.931
Historical,Brest,1952,-7.819,1.518,-2.915,-3.492
Historical,Brest,1953,-8.115,0.393,-3.691,-3.361
Historical,Brest,1954,-8.016,1.112,-2.278,-1.377
Historical,Brest,1955,-7.139,0.798,-4.062,-4.648
Historical,Brest,1956,-8.885,0.950,-5.117,-2.591
Historical,Brest,1957,-7.988,0.998,-3.822,-2.982
Historical,Brest,1958,-9.123,-0.622,-2.597,-2.917
Historical,Brest,1959,-7.578,2.181,-2.460,-2.669
Historical,Brest,1960,-5.817,-0.589,-2.589,-1.621
Historical,Brest,1961,-10.440,0.766,-2.456,-2.994
Historical,Brest,1962,-7.592,1.294,-1.887,-2.730
Historical,Brest,1963,-8.824,1.116,-2.685,-3.474
Historical,Brest,1964,-9.655,1.335,-2.220,-3.957
Historical,Brest,1965,-10.458,1.292,-3.362,-1.960
Historical,Brest,1966,-6.182,0.976,-3.039,-2.923
Historical,Brest,1967,-6.954,0.068,-2.309,-2.878
Historical,Brest,1968,-8.103,1.124,-3.164,-2.543
Historical,Brest,1969,-8.644,0.352,-3.109,-4.007
Historical,Brest,1970,-9.060,0.788,-4.085,-4.113
