experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-9.885,1.900,-4.077,-4.433
Historical,Brest,1901,-12.880,-0.333,-3.882,-6.601
Historical,Brest,1902,-9.072,1.543,-3.014,-3.840
Historical,Brest,1903,-10.605,-0.209,-4.576,-4.565
Historical,Brest,1904,-10.294,-0.510,-5.047,-7.497
Historical,Brest,1905,-11.698,0.897,-4.896,-3.962
Historical,Brest,1906,-9.626,-0.450,-5.333,-4.542
Historical,Brest,1907,-12.818,0.176,-4.631,-5.381
Historical,Brest,1908,-9.248,0.818,-3.929,-6.574
Historical,Brest,1909,-11.797,0.186,-6.549,-5.991
Historical,Brest,1910,-11.517,1.513,-5.071,-5.491
Historical,Brest,1911,-9.086,-0.059,-3.770,-4.134
Historical,Brest,1912,-8.473,-0.653,-3.994,-5.222
Historical,Brest,1913,-11.953,0.150,-4.005,-3.248
Historical,Brest,1914,-11.341,0.563,-3.592,-2.447
Historical,Brest,1915,-10.532,0.177,-4.441,-4.279
Historical,Brest,1916,-9.836,-0.113,-3.099,-3.273
Historical,Brest,1917,-10.694,0.897,-4.270,-3.151
Historical,Brest,1918,-10.998,-2.226,-5.769,-7.965
Historical,Brest,1919,-10.584,0.015,-5.856,-3.613
Historical,Brest,1920,-8.992,-0.441,-4.804,-5.750
Historical,Brest,1921,-8.904,0.688,-5.528,-4.930
Historical,Brest,1922,-8.977,1.178,-4.368,-3.391
Historical,Brest,1923,-11.267,-0.540,-5.661,-6.659
Historical,Brest,1924,-12.635,0.176,-3.578,-4.120
Historical,Brest,1925,-8.184,1.337,-3.929,-4.209
Historical,Brest,1926,-9.535,0.540,-3.643,-2.371
Historical,Brest,1927,-10.826,0.895,-3.085,-3.963
Historical,Brest,1928,-8.510,0.191,-3.545,-4.904
Historical,Brest,1929,-6.584,0.058,-3.156,-2.618
Historical,Brest,1930,-11.501,-0.799,-4.230,-6.060
Historical,Brest,1931,-13.478,-0.792,-5.943,-6.272
Historical,Brest,1932,-8.663,0.962,-4.223,-4.509
Historical,Brest,1933,-11.761,-0.495,-5.261,-3.727
Historical,Brest,1934,-12.356,-1.288,-4.310,-7.179
Historical,Brest,1935,-10.769,-0.993,-3.492,-5.899
Historical,Brest,1936,-7.594,0.060,-3.918,-4.071
Historical,Brest,1937,-9.868,0.540,-3.893,-5.039
Historical,Brest,1938,-9.069,0.117,-3.461,-3.278
Historical,Brest,1939,-10.616,-0.444,-4.632,-5.793
Historical,Brest,1940,-11.126,0.828,-2.754,-6.830
Historical,Brest,1941,-9.043,1.157,-3.694,-3.392
Historical,Brest,1942,-9.012,0.246,-3.368,-2.929
Historical,Brest,1943,-11.722,0.428,-4.314,-7.079
Historical,Brest,1944,-10.177,0.324,-4.264,-1.734
Historical,Brest,1945,-9.550,-0.638,-4.303,-5.320
Historical,Brest,1946,-7.379,1.763,-2.944,-3.867
Historical,Brest,1947,-11.476,0.778,-5.629,-5.694
Historical,Brest,1948,-10.640,0.255,-4.363,-4.605
Historical,Brest,1949,-11.147,1.812,-3.863,-4.192
Historical,Brest,1950,-10.901,0.270,-2.814,-3.239
Historical,Brest,1951,-11.517,-0.385,-5.585,-5.561
Historical,Brest,1952,-11.211,-0.061,-5.657,-4.568
Historical,Brest,1953,-10.087,-0.724,-3.499,-3.450
Historical,Brest,1954,-10.670,0.310,-4.372,-4.977
Historical,Brest,1955,-10.955,0.074,-6.135,-5.638
Historical,Brest,1956,-8.239,1.006,-3.712,-5.139
Historical,Brest,1957,-11.302,1.240,-5.973,-5.551
Historical,Brest,1958,-9.648,1.027,-2.659,-3.419
Historical,Brest,1959,-8.017,0.044,-2.956,-2.697
Historical,Brest,1960,-8.701,-0.275,-3.697,-6.087
Historical,Brest,1961,-8.881,1.574,-2.477,-3.122
Historical,Brest,1962,-9.866,-0.163,-4.846,-5.529
Historical,Brest,1963,-9.826,1.095,-5.156,-4.062
Historical,Brest,1964,-10.959,1.289,-3.521,-5.183
Historical,Brest,1965,-8.254,0.460,-4.207,-5.502
Historical,Brest,1966,-8.548,1.596,-3.479,-4.167
Historical,Brest,1967,-10.904,1.566,-3.229,-5.591
Historical,Brest,1968,-11.119,-0.144,-3.165,-3.993
Historical,Brest,1969,-11.688,1.431,-3.349,-3.994
Historical,Brest,1970,-8.800,-0.251,-4.982,-6.258
Historical,Brest,1971,-10.191,1.302,-3.600,-2.651
Historical,Brest,1972,-9.132,0.145,-4.417,-6.341
Historical,Brest,1973,-8.408,1.250,-2.171,-3.462
Historical,Brest,1974,-8.121,0.235,-3.572,-3.257
Historical,Brest,1975,-11.281,0.559,-5.462,-3.548
Historical,Brest,1976,-9.592,-0.132,-4.862,-6.574
Historical,Brest,1977,-11.462,-0.727,-4.023,-3.496
Historical,Brest,1978,-12.720,1.151,-4.487,-6.334
Historical,Brest,1979,-9.762,0.794,-3.704,-4.807
Historical,Brest,1980,-8.369,0.147,-3.657,-5.353
Historical,Brest,1981,-10.778,0.327,-2.150,-4.571
Historical,Brest,1982,-10.335,-0.022,-4.351,-3.991
Historical,Brest,1983,-9.855,1.085,-4.403,-5.037
Historical,Brest,1984,-10.881,-1.373,-5.075,-6.616
Historical,Brest,1985,-7.755,1.841,-2.527,-2.020
Historical,Brest,1986,-8.680,0.127,-3.195,-4.519
Historical,Brest,1987,-10.146,-0.880,-5.119,-5.943
Historical,Brest,1988,-9.842,1.361,-2.767,-3.746
Historical,Brest,1989,-6.960,1.317,-3.682,-3.536
