experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-10.081,-0.658,-5.600,-6.128
Historical,Brest,1901,-11.742,-1.342,-5.344,-5.741
Historical,Brest,1902,-10.077,0.114,-4.148,-3.512
Historical,Brest,1903,-9.908,0.197,-6.406,-5.326
Historical,Brest,1904,-11.339,0.067,-4.010,-5.415
Historical,Brest,1905,-11.860,-1.405,-7.321,-6.207
Historical,Brest,1906,-11.315,-0.651,-4.987,-5.023
Historical,Brest,1907,-9.511,-0.573,-4.557,-6.192
Historical,Brest,1908,-10.797,-0.880,-5.064,-6.017
Historical,Brest,1909,-12.506,-0.447,-6.321,-7.282
Historical,Brest,1910,-11.633,0.416,-5.598,-4.768
Historical,Brest,1911,-11.956,-2.088,-5.986,-5.902
Historical,Brest,1912,-11.231,-1.485,-5.641,-4.751
Historical,Brest,1913,-11.120,0.068,-6.295,-4.799
Historical,Brest,1914,-13.287,-1.299,-6.066,-6.086
Historical,Brest,1915,-12.666,-0.114,-6.106,-8.807
Historical,Brest,1916,-13.777,0.646,-4.256,-6.674
Historical,Brest,1917,-12.340,-0.595,-4.249,-5.515
Historical,Brest,1918,-10.839,-1.192,-6.915,-5.888
Historical,Brest,1919,-13.516,0.124,-4.888,-2.750
Historical,Brest,1920,-10.330,-1.907,-5.715,-8.304
Historical,Brest,1921,-11.188,-0.156,-5.161,-3.876
Historical,Brest,1922,-11.282,-0.416,-4.406,-3.732
Historical,Brest,1923,-12.541,0.019,-5.572,-6.539
Historical,Brest,1924,-11.045,-1.124,-4.065,-5.283
Historical,Brest,1925,-11.098,-0.468,-4.083,-5.017
Historical,Brest,1926,-11.067,-1.250,-4.474,-5.333
Historical,Brest,1927,-9.186,0.363,-3.077,-3.231
Historical,Brest,1928,-9.784,0.368,-3.075,-3.879
Historical,Brest,1929,-12.870,-0.461,-4.806,-5.748
Historical,Brest,1930,-9.486,-0.909,-6.513,-4.954
Historical,Brest,1931,-13.316,-1.277,-6.959,-6.181
Historical,Brest,1932,-12.668,1.401,-5.684,-4.509
Historical,Brest,1933,-10.773,-0.725,-5.384,-5.633
Historical,Brest,1934,-11.005,0.193,-5.039,-6.122
Historical,Brest,1935,-10.659,-1.403,-5.737,-5.567
Historical,Brest,1936,-11.468,-1.171,-5.379,-3.966
Historical,Brest,1937,-7.282,-0.047,-3.624,-2.883
Historical,Brest,1938,-11.743,0.860,-4.433,-3.956
Historical,Brest,1939,-10.772,-0.856,-4.061,-3.630
Historical,Brest,1940,-11.975,0.021,-4.512,-4.018
Historical,Brest,1941,-10.888,-1.106,-5.448,-6.322
Historical,Brest,1942,-10.197,0.590,-4.049,-5.989
Historical,Brest,1943,-10.204,0.193,-5.572,-4.458
Historical,Brest,1944,-11.286,-0.975,-4.935,-5.635
Historical,Brest,1945,-11.842,-0.240,-5.537,-6.168
Historical,Brest,1946,-9.838,0.534,-5.031,-6.616
Historical,Brest,1947,-13.572,-1.647,-5.257,-5.467
Historical,Brest,1948,-12.868,0.684,-5.955,-4.277
Historical,Brest,1949,-11.715,-0.449,-3.507,-5.016
Historical,Brest,1950,-9.159,-0.218,-3.590,-3.973
Historical,Brest,1951,-11.675,-0.829,-4.264,-4.403
Historical,Brest,1952,-11.119,-0.444,-4.776,-5.233
Historical,Brest,1953,-10.270,-0.523,-5.565,-4.955
Historical,Brest,1954,-11.431,0.936,-6.126,-4.263
Historical,Brest,1955,-12.369,-0.765,-4.326,-5.449
Historical,Brest,1956,-7.557,0.286,-3.795,-3.719
Historical,Brest,1957,-13.950,-1.822,-5.017,-4.804
Historical,Brest,1958,-11.473,-1.611,-5.736,-4.497
Historical,Brest,1959,-11.979,0.818,-5.602,-5.194
Historical,Brest,1960,-12.215,-1.350,-4.422,-7.073
Historical,Brest,1961,-10.540,-0.651,-4.429,-5.175
Historical,Brest,1962,-10.188,-0.345,-4.643,-4.053
Historical,Brest,1963,-11.286,0.785,-4.215,-8.353
Historical,Brest,1964,-13.252,-0.003,-4.237,-4.840
Historical,Brest,1965,-9.221,-0.465,-4.600,-4.809
Historical,Brest,1966,-13.172,0.644,-4.892,-3.762
Historical,Brest,1967,-11.451,-1.125,-6.826,-6.179
Historical,Brest,1968,-10.090,-0.780,-6.331,-5.793
Historical,Brest,1969,-10.109,-1.251,-5.469,-4.708
Historical,Brest,1970,-10.522,-0.409,-6.086,-6.785
Historical,Brest,1971,-13.815,-0.924,-4.442,-6.715
Historical,Brest,1972,-8.752,-0.021,-3.140,-2.356
Historical,Brest,1973,-11.322,-0.175,-5.682,-6.824
Historical,Brest,1974,-9.872,0.160,-3.913,-4.956
Historical,Brest,1975,-12.421,-0.094,-4.602,-4.142
Historical,Brest,1976,-12.766,-0.188,-5.100,-5.891
Historical,Brest,1977,-9.803,-1.026,-5.577,-5.562
Historical,Brest,1978,-9.633,1.179,-4.577,-3.944
Historical,Brest,1979,-9.626,-0.841,-3.976,-4.357
Historical,Brest,1980,-11.162,0.829,-4.407,-6.100
Historical,Brest,1981,-11.691,0.576,-6.111,-4.099
Historical,Brest,1982,-9.532,-0.968,-4.852,-4.651
Historical,Brest,1983,-14.870,-0.638,-4.560,-3.658
Historical,Brest,1984,-15.291,-0.523,-6.554,-8.076
Historical,Brest,1985,-8.539,-0.380,-3.431,-4.239
Historical,Brest,1986,-8.958,-0.962,-4.835,-5.468
Historical,Brest,1987,-9.019,-0.485,-4.540,-6.710
Historical,Brest,1988,-11.487,-1.097,-4.990,-4.315
Historical,Brest,1989,-9.167,-0.349,-3.682,-3.671
Historical,Brest,1990,-6.708,0.132,-3.490,-3.752
Historical,Brest,1991,-12.296,-0.420,-3.492,-4.528
Historical,Brest,1992,-7.647,-0.250,-2.526,-3.543
Historical,Brest,1993,-10.045,-1.160,-5.984,-4.529
Historical,Brest,1994,-10.971,-0.419,-4.194,-3.201
Historical,Brest,1995,-12.097,0.565,-4.708,-4.750
Historical,Brest,1996,-9.441,0.092,-3.055,-3.437
Historical,Brest,1997,-10.155,1.038,-4.708,-4.148
Historical,Brest,1998,-12.777,1.020,-4.657,-4.983
Historical,Brest,1999,-13.348,1.097,-3.365,-2.517
Historical,Brest,2000,-10.579,0.687,-3.769,-3.040
Historical,Brest,2001,-11.864,0.019,-4.221,-2.805
Historical,Brest,2002,-10.101,1.868,-3.592,-3.893
Historical,Brest,2003,-8.396,0.308,-4.627,-3.791
Historical,Brest,2004,-9.677,1.280,-4.352,-5.745
Historical,Brest,2005,-9.723,0.535,-3.812,-4.319
Historical,Brest,2006,-8.730,1.145,-2.174,-2.729
Historical,Brest,2007,-10.210,-1.035,-3.565,-3.059
Historical,Brest,2008,-6.943,1.187,-2.125,-1.369
Historical,Brest,2009,-10.523,0.974,-3.130,-3.287
Historical,Brest,2010,-9.971,1.916,-2.638,-3.918
Historical,Brest,2011,-11.368,1.030,-3.548,-2.682
Historical,Brest,2012,-9.948,0.489,-4.513,-2.564
Historical,Brest,2013,-10.412,0.594,-3.184,-3.069
Historical,Brest,2014,-8.642,-0.682,-4.923,-3.958
Historical,Gomel,1900,-11.436,-1.448,-6.628,-6.676
Historical,Gomel,1901,-12.936,-2.203,-7.097,-7.364
Historical,Gomel,1902,-11.267,-1.168,-5.815,-4.609
Historical,Gomel,1903,-12.489,-1.353,-8.312,-6.592
Historical,Gomel,1904,-13.153,-2.296,-5.723,-6.332
Historical,Gomel,1905,-14.125,-2.489,-9.084,-7.606
Historical,Gomel,1906,-15.421,-2.723,-6.565,-6.925
