experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,16.163,22.298,18.416,16.769
Historical,Brest,1901,16.150,23.929,20.306,19.157
Historical,Brest,1902,16.277,22.432,19.646,17.695
Historical,Brest,1903,16.024,22.036,18.476,16.646
Historical,Brest,1904,16.492,22.854,19.077,18.468
Historical,Brest,1905,16.928,23.168,18.625,16.855
Historical,Brest,1906,17.223,22.491,19.721,18.789
Historical,Brest,1907,16.201,22.801,18.501,17.601
Historical,Brest,1908,17.048,23.429,19.132,18.032
Historical,Brest,1909,16.334,22.320,18.990,18.012
Historical,Brest,1910,16.129,22.313,19.552,17.614
Historical,Brest,1911,16.787,22.527,19.347,17.926
Historical,Brest,1912,15.293,22.229,18.566,17.498
Historical,Brest,1913,16.773,22.590,19.142,17.139
Historical,Brest,1914,17.013,22.680,18.564,17.494
Historical,Brest,1915,16.416,23.817,19.957,18.245
Historical,Brest,1916,16.486,22.660,18.622,17.493
Historical,Brest,1917,16.551,23.142,19.165,17.937
Historical,Brest,1918,16.247,23.181,19.559,18.180
Historical,Brest,1919,17.059,23.761,19.713,20.009
Historical,Brest,1920,16.532,22.436,19.341,17.935
Historical,Brest,1921,16.286,23.050,19.141,17.329
Historical,Brest,1922,16.525,22.598,18.777,17.764
Historical,Brest,1923,16.159,22.046,18.561,17.292
Historical,Brest,1924,16.597,21.580,19.554,18.242
Historical,Brest,1925,17.028,23.715,19.984,19.505
Historical,Brest,1926,16.319,23.262,19.078,17.718
Historical,Brest,1927,16.195,23.666,19.097,18.335
Historical,Brest,1928,16.747,22.331,19.818,17.505
Historical,Brest,1929,16.180,23.098,18.383,16.861
Historical,Brest,1930,16.981,21.353,18.841,17.218
Historical,Brest,1931,17.239,21.950,19.400,17.871
Historical,Brest,1932,16.258,22.954,18.632,17.251
Historical,Brest,1933,15.300,24.825,18.922,18.385
Historical,Brest,1934,16.924,23.770,19.334,17.770
Historical,Brest,1935,15.661,22.621,19.193,17.339
Historical,Brest,1936,16.352,22.042,19.177,17.782
Historical,Brest,1937,16.161,21.859,19.302,18.657
Historical,Brest,1938,17.070,23.606,19.053,17.278
Historical,Brest,1939,16.774,22.357,20.022,18.386
Historical,Brest,1940,17.028,23.442,19.362,19.360
Historical,Brest,1941,16.814,23.846,19.931,19.422
Historical,Brest,1942,16.755,23.008,18.831,17.715
Historical,Brest,1943,16.359,22.930,18.996,18.395
Historical,Brest,1944,16.671,23.227,18.994,18.548
Historical,Brest,1945,16.146,22.580,19.039,17.514
Historical,Brest,1946,16.459,22.855,18.669,16.565
Historical,Brest,1947,16.705,22.366,19.556,17.987
Historical,Brest,1948,17.120,23.076,19.339,17.959
Historical,Brest,1949,16.959,22.951,19.206,18.228
Historical,Brest,1950,16.570,21.765,18.978,16.869
Historical,Brest,1951,17.516,22.067,18.845,18.302
Historical,Brest,1952,16.986,22.833,19.760,18.174
Historical,Brest,1953,17.050,23.055,19.225,18.323
Historical,Brest,1954,16.402,21.706,19.516,17.523
Historical,Brest,1955,16.475,23.007,19.611,18.315
Historical,Brest,1956,16.096,23.659,19.839,18.223
Historical,Brest,1957,16.219,22.512,18.998,17.006
Historical,Brest,1958,16.756,23.927,18.910,17.431
Historical,Brest,1959,16.518,22.658,18.516,18.942
Historical,Brest,1960,16.816,21.593,19.474,18.327
Historical,Brest,1961,15.551,22.303,19.059,17.538
Historical,Brest,1962,15.398,22.946,18.572,16.466
Historical,Brest,1963,16.216,21.725,19.199,17.616
Historical,Brest,1964,15.515,22.105,19.454,17.699
Historical,Brest,1965,16.233,22.439,18.743,17.933
Historical,Brest,1966,15.346,22.844,18.344,17.230
Historical,Brest,1967,16.932,22.656,19.251,17.877
Historical,Brest,1968,16.760,22.307,19.639,17.885
Historical,Brest,1969,16.002,22.005,19.289,18.623
Historical,Brest,1970,15.712,22.254,18.589,17.519
Historical,Brest,1971,16.208,22.432,18.596,17.104
Historical,Brest,1972,16.095,22.940,19.612,18.228
Historical,Brest,1973,16.878,22.712,18.352,17.230
Historical,Brest,1974,16.842,22.898,19.520,18.064
Historical,Brest,1975,16.494,23.721,18.542,17.966
Historical,Brest,1976,16.347,22.593,18.647,17.227
Historical,Brest,1977,16.629,21.288,18.534,17.639
Historical,Brest,1978,17.163,21.823,19.306,16.728
Historical,Brest,1979,16.309,22.893,19.285,17.760
Historical,Brest,1980,16.005,22.598,18.894,17.730
Historical,Brest,1981,17.075,22.513,18.879,17.134
Historical,Brest,1982,15.410,21.781,19.241,17.109
Historical,Brest,1983,15.894,21.252,18.351,17.404
Historical,Brest,1984,16.472,23.254,18.731,17.215
Historical,Brest,1985,16.646,23.083,19.603,18.564
Historical,Brest,1986,16.317,23.059,18.922,17.700
Historical,Brest,1987,16.235,22.226,18.822,17.919
Historical,Brest,1988,16.558,23.082,19.134,18.594
Historical,Brest,1989,17.674,22.148,20.143,18.353
Historical,Brest,1990,16.661,23.617,19.340,18.727
Historical,Brest,1991,18.001,23.886,18.998,18.755
Historical,Brest,1992,15.987,21.668,18.530,18.077
Historical,Brest,1993,15.628,23.034,19.796,17.435
