experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,14.283,20.729,17.725,15.474
Historical,Brest,1901,15.652,20.571,17.341,16.646
Historical,Brest,1902,14.958,20.662,18.051,16.851
Historical,Brest,1903,14.973,19.712,17.164,16.009
Historical,Brest,1904,14.676,20.431,17.120,16.830
Historical,Brest,1905,14.474,21.229,17.164,16.049
Historical,Brest,1906,14.178,22.042,17.950,18.218
Historical,Brest,1907,14.547,19.505,17.820,16.205
Historical,Brest,1908,13.800,20.943,16.910,14.852
Historical,Brest,1909,14.381,20.811,17.220,17.113
Historical,Brest,1910,15.176,20.297,17.701,16.836
Historical,Brest,1911,14.949,20.124,17.497,16.729
Historical,Brest,1912,14.651,20.903,16.804,17.013
Historical,Brest,1913,14.746,21.118,16.967,16.540
Historical,Brest,1914,13.896,20.596,16.991,16.229
Historical,Brest,1915,15.099,20.053,17.192,16.726
Historical,Brest,1916,15.000,19.239,17.133,16.179
Historical,Brest,1917,15.474,20.262,17.159,16.738
Historical,Brest,1918,15.515,20.025,17.244,16.593
Historical,Brest,1919,15.003,20.496,17.060,16.920
Historical,Brest,1920,14.882,19.193,17.504,16.031
Historical,Brest,1921,15.217,19.762,17.102,16.178
Historical,Brest,1922,15.123,20.597,17.686,17.291
Historical,Brest,1923,14.647,20.260,16.997,15.489
Historical,Brest,1924,15.806,20.152,17.558,17.503
Historical,Brest,1925,15.736,20.313,17.528,15.977
Historical,Brest,1926,14.590,20.604,17.323,16.045
Historical,Brest,1927,14.737,20.564,17.172,15.742
Historical,Brest,1928,14.827,20.734,17.697,16.068
Historical,Brest,1929,15.169,20.938,17.074,17.474
Historical,Brest,1930,14.693,20.348,17.488,16.389
Historical,Brest,1931,14.914,19.993,17.709,16.736
Historical,Brest,1932,14.784,21.382,16.854,15.741
Historical,Brest,1933,14.048,21.031,16.939,16.682
Historical,Brest,1934,14.329,20.110,17.490,15.844
Historical,Brest,1935,15.195,20.196,17.108,15.348
Historical,Brest,1936,14.326,21.057,17.821,16.474
Historical,Brest,1937,14.480,20.308,16.969,16.149
Historical,Brest,1938,15.122,19.134,17.535,16.117
Historical,Brest,1939,15.441,19.723,17.719,16.448
Historical,Brest,1940,15.370,20.258,17.657,16.883
Historical,Brest,1941,15.202,21.376,17.570,16.621
Historical,Brest,1942,14.841,20.115,16.763,16.257
Historical,Brest,1943,15.070,20.360,17.644,17.250
Historical,Brest,1944,16.113,19.790,18.092,17.087
Historical,Brest,1945,15.348,19.186,17.638,16.191
Historical,Brest,1946,15.224,19.449,17.286,17.006
Historical,Brest,1947,15.888,20.393,17.292,15.816
Historical,Brest,1948,14.055,20.207,16.873,15.448
Historical,Brest,1949,14.874,19.695,17.674,16.495
Historical,Brest,1950,14.009,20.905,17.588,16.182
Historical,Brest,1951,14.430,21.177,17.118,15.466
Historical,Brest,1952,13.801,20.674,17.324,16.572
Historical,Brest,1953,15.124,21.328,16.926,15.182
Historical,Brest,1954,14.912,21.490,17.612,16.967
Historical,Brest,1955,14.810,21.336,17.645,16.660
Historical,Brest,1956,14.892,20.992,17.833,17.022
